date,open,high,low,close,volume
2019-12-02,9863.1,9863.15,9778.6,9798,2970000
2019-11-29,9871.1,9872.1,9781.05,9813.65,2410000
2019-11-28,9838.45,9874.9,9816.75,9869.75,2290000
2019-11-27,9787.3,9824.5,9778.15,9815.95,1670000
2019-11-26,9833.6,9852.9,9739.2,9762.85,3700000
2019-11-25,9688.85,9809.1,9687.05,9802.05,1910000
2019-11-22,9715.05,9715.5,9650.2,9679.3,1760000
2019-11-21,9768.05,9769.5,9703.9,9712.35,2440000
2019-11-20,9748.4,9776.7,9725.7,9744.9,3440000
2019-11-19,9692.2,9714.25,9662.6,9702.15,2510000
2019-11-18,9685.85,9705.7,9654.4,9668.6,1820000
2019-11-15,9676.95,9721.3,9657.8,9667.3,2260000
2019-11-14,9648.85,9671.1,9596.85,9650.4,1950000
2019-11-13,9698.1,9730.6,9618.25,9633.95,1820000
2019-11-11,9665.65,9708.35,9655.5,9695.85,1570000
2019-11-08,9753.25,9785.4,9669.95,9683.3,1980000
2019-11-07,9768.9,9771.3,9718.25,9764.3,1690000
2019-11-06,9694.85,9750.55,9646.1,9721.35,1690000
2019-11-05,9757.75,9760.8,9657.7,9694.05,1690000
2019-11-04,9736.75,9780,9712.1,9732.4,1980000
2019-11-01,9703.1,9730.75,9678.2,9704,2680000
2019-10-31,9686.4,9733.35,9671.3,9689.65,2890000
2019-10-30,9666.6,9673.7,9602.1,9647.55,1920000
2019-10-29,9490.1,9615.75,9475.5,9598.35,2170000
2019-10-25,9478.45,9479.05,9365.55,9431.1,2060000
2019-10-24,9501.35,9516.65,9402.5,9437.65,2230000
2019-10-23,9457.25,9497.75,9418.25,9458.65,1700000
2019-10-22,9481.05,9526.8,9435.85,9448.25,1990000
2019-10-18,9391.85,9494.7,9373.5,9479.2,2190000
2019-10-17,9286.65,9399.25,9268.05,9391,1840000
2019-10-16,9282.95,9301.75,9246.65,9281.85,1630000
2019-10-15,9208.7,9277.25,9196.85,9253.85,1470000
2019-10-14,9187.7,9248.5,9156.9,9192.65,1460000
2019-10-11,9132.4,9207.35,9076.3,9161.4,1700000
2019-10-10,9153.5,9165.05,9097.55,9112.75,1730000
2019-10-09,9059.1,9183.3,9008.85,9177.95,1760000
2019-10-07,9104.5,9120.3,9031.6,9040.65,1550000
2019-10-04,9253.1,9264,9078.8,9091.65,1770000
2019-10-03,9207.15,9243.8,9153.7,9198.4,1910000
2019-10-01,9372.7,9402,9140.05,9236.4,887000000
2019-09-30,9384.65,9389.55,9276.9,9340.9,2050000
2019-09-27,9435.55,9465.35,9388.5,9395.6,1570000
2019-09-26,9365.5,9471.25,9363.25,9443.8,1910000
2019-09-25,9458.05,9458.45,9326.1,9344.15,1570000
2019-09-24,9489.1,9530.35,9434.65,9474.75,1690000
2019-09-23,9425.4,9552.25,9386.9,9486.6,2220000
2019-09-20,8799.45,9293.9,8748.05,9230.5,3270000
2019-09-19,8884.5,8884.5,8738.65,8766.45,1650000
2019-09-18,8898.95,8912.2,8841.55,8877.7,1330000
2019-09-17,9010.55,9012.1,8838.25,8853.9,1530000
2019-09-16,8992.15,9044.45,8978.95,9009.15,1270000
2019-09-13,8992.65,9056.8,8945.6,9050.85,1530000
2019-09-12,9036.95,9061,8969.85,8981.6,1510000
2019-09-11,8992.7,9026.25,8981.1,9015.15,1690000
2019-09-09,8914.7,8986.6,8882.9,8972.4,1180000
2019-09-06,8873.75,8928.45,8859.25,8920.4,1280000
2019-09-05,8848,8894.9,8825,8846.3,1350000
2019-09-04,8798.75,8841.95,8751.25,8833.1,1270000
2019-09-03,8927.9,8931.65,8783.75,8802.35,1260000
2019-08-30,8936.45,8991.2,8859.75,8977.55,1520000
2019-08-29,8938.05,8954.65,8874.25,8906.1,1630000
2019-08-28,9023.8,9047.55,8930.1,8970.9,1450000
2019-08-27,9004,9047.85,8972.9,9022.25,1860000
2019-08-26,8933.05,8973.2,8735.3,8964.7,1810000
2019-08-23,8687.45,8812.85,8628.35,8790.55,1720000
2019-08-22,8851.35,8853.25,8706.45,8719.25,1750000
2019-08-21,8957.85,8965.1,8858.45,8864.5,1340000
2019-08-20,9004.75,9012.1,8930.5,8957.4,1200000
2019-08-19,9022.6,9061.4,8983.65,8997.95,1130000
