date,open,high,low,close,volume
2018-01-01,1763.95,1763.95,1725.0,1731.35,215606133.0
2018-01-02,1736.2,1745.8,1725.0,1743.2,480842323.7
2018-01-03,1741.1,1780.0,1740.1,1774.6,342914946.1
2018-01-04,1779.95,1808.0,1770.0,1801.35,496944090.6
2018-01-05,1801.1,1820.4,1795.6,1809.95,565051196.5
2018-01-08,1816.0,1827.95,1800.0,1825.0,344239471.3
2018-01-09,1823.0,1835.0,1793.9,1812.05,527556370.5
2018-01-10,1812.05,1823.0,1801.4,1816.55,318311890.7
2018-01-11,1825.0,1825.05,1798.55,1802.1,250582586.5
2018-01-12,1805.0,1820.0,1794.0,1804.95,346362205.1
2018-01-15,1809.9,1834.45,1792.45,1830.0,488588436.2
2018-01-16,1835.0,1857.45,1826.1,1850.25,712651369.5
2018-01-17,1850.0,1852.45,1826.2,1840.5,329694339.9
2018-01-18,1840.5,1852.0,1823.5,1839.0,1349756211.0
2018-01-19,1828.25,1836.35,1811.0,1829.5,487063416.1
2018-01-22,1816.5,1832.55,1805.5,1827.2,431017479.1
2018-01-23,1825.0,1825.0,1782.25,1790.15,446327214.3
2018-01-24,1787.8,1792.7,1732.15,1737.5,906561384.5
2018-01-25,1739.9,1753.4,1720.0,1726.4,1049125294.0
2018-01-29,1735.15,1754.95,1729.8,1738.7,373188494.5
2018-01-30,1728.0,1740.0,1722.0,1728.1,259299539.8
2018-01-31,1728.1,1737.9,1700.05,1715.25,578342225.5
2018-02-01,1723.0,1744.85,1695.1,1737.0,518590229.9
2018-02-02,1725.9,1728.95,1675.1,1679.8,445973117.8
2018-02-05,1667.0,1667.0,1612.9,1641.15,792646936.6
2018-02-06,1595.0,1640.6,1565.0,1618.95,603390161.6
2018-02-07,1627.0,1644.85,1575.8,1587.4,459737104.5
2018-02-08,1589.85,1707.25,1568.3,1693.25,2490539736.0
2018-02-09,1652.0,1684.4,1650.1,1660.95,798494649.8
2018-02-12,1678.0,1685.0,1645.0,1651.55,420563337.2
2018-02-14,1652.0,1661.1,1620.0,1629.7,338640832.6
2018-02-15,1626.55,1651.3,1611.1,1621.3,888675987.2
2018-02-16,1634.0,1661.0,1630.15,1650.6,864717059.1
2018-02-19,1655.85,1665.0,1621.0,1633.7,425400995.1
2018-02-20,1644.0,1652.4,1622.0,1640.35,405994040.9
2018-02-21,1656.55,1662.0,1639.0,1645.25,532937489.8
2018-02-22,1635.0,1641.15,1617.0,1632.35,673799809.5
2018-02-23,1630.0,1658.1,1627.55,1651.45,495574223.9
2018-02-26,1659.8,1675.5,1652.65,1661.05,228912325.8
2018-02-27,1655.0,1660.0,1624.0,1632.8,545569798.0
2018-02-28,1618.0,1635.15,1615.45,1623.05,338378876.9
2018-03-01,1624.9,1642.9,1624.7,1633.8,209811619.1
2018-03-05,1626.4,1631.1,1593.5,1606.15,305301306.1
2018-03-06,1614.7,1617.0,1591.0,1595.3,381739943.2
2018-03-07,1590.15,1594.8,1570.0,1575.2,349499800.6
2018-03-08,1577.0,1584.7,1542.75,1544.95,459604612.2
2018-03-09,1554.0,1554.0,1528.0,1531.85,444095508.0
2018-03-12,1536.7,1564.05,1521.0,1559.9,417640350.1
2018-03-13,1575.15,1582.0,1557.4,1575.35,694249722.0
2018-03-14,1567.65,1623.45,1565.0,1612.0,474765455.0
2018-03-15,1616.75,1617.0,1596.1,1603.15,365163956.4
2018-03-16,1599.9,1607.25,1552.7,1567.95,399538110.1
2018-03-19,1571.5,1573.7,1535.55,1562.9,303825529.8
2018-03-20,1557.65,1573.5,1527.0,1554.8,526302321.0
2018-03-21,1556.5,1574.25,1544.75,1558.4,337952793.8
2018-03-22,1558.0,1571.0,1539.85,1549.4,495798675.4
2018-03-23,1530.35,1539.75,1517.65,1528.55,319021789.3
2018-03-26,1530.0,1539.4,1522.35,1533.15,367967079.8
2018-03-27,1541.25,1547.65,1514.0,1524.0,380901376.8
2018-03-28,1512.0,1520.9,1498.95,1507.5,1261032269.0
2018-04-02,1509.4,1545.0,1509.4,1536.95,643081141.3
2018-04-03,1534.0,1562.0,1534.0,1554.8,311560275.4
2018-04-04,1554.0,1576.85,1525.85,1530.0,266555404.2
2018-04-05,1551.4,1559.7,1536.9,1552.35,307466682.1
2018-04-06,1558.0,1560.95,1542.85,1553.25,185033652.6
2018-04-09,1552.9,1559.15,1535.65,1541.3,271654135.8
2018-04-10,1555.9,1555.9,1531.45,1539.15,172731318.9
2018-04-11,1531.9,1543.5,1520.1,1533.55,489605559.0
2018-04-12,1526.1,1532.4,1520.0,1524.95,378893823.0
2018-04-13,1528.0,1545.0,1521.6,1536.45,380036722.9
2018-04-16,1531.7,1582.85,1530.0,1576.5,348165616.7
2018-04-17,1587.7,1600.0,1572.55,1586.95,477595280.4
2018-04-18,1599.0,1602.7,1561.95,1573.5,775619577.0
2018-04-19,1605.0,1629.0,1561.0,1571.35,1395259203.0
2018-04-20,1567.8,1585.0,1552.6,1561.65,440160861.2
2018-04-23,1560.0,1581.8,1552.0,1565.3,474168705.7
2018-04-24,1570.0,1581.95,1557.45,1562.0,269447397.2
2018-04-25,1560.9,1577.7,1548.95,1567.65,494462243.3
2018-04-26,1573.8,1573.8,1536.25,1545.4,515458368.7
2018-04-27,1551.9,1564.45,1546.55,1559.6,355708989.0
2018-04-30,1564.85,1599.9,1563.0,1587.15,421301133.9
2018-05-02,1584.45,1595.3,1548.7,1557.15,427702493.6
2018-05-03,1557.0,1563.15,1532.1,1537.8,295949566.8
2018-05-04,1541.95,1548.7,1523.55,1527.75,334909734.2
2018-05-07,1530.0,1542.0,1515.75,1523.5,436384922.5
2018-05-08,1526.2,1531.0,1515.3,1518.65,304271287.3
2018-05-09,1520.9,1525.75,1500.3,1509.65,584032278.6
2018-05-10,1511.0,1515.15,1483.55,1493.85,361287156.9
