date,open,high,low,close,volume
2018-01-01,279.6,281.0,277.45,278.45,28487936.5
2018-01-02,278.45,320.9,278.45,309.15,1358840981.0
2018-01-03,311.95,315.0,298.1,302.0,237943351.6
2018-01-04,303.8,303.8,293.0,294.4,83545238.15
2018-01-05,296.4,314.3,296.35,302.6,260085541.7
2018-01-08,305.4,311.25,304.05,304.95,82636946.3
2018-01-09,306.7,314.8,304.15,310.5,214001852.7
2018-01-10,312.5,312.5,301.9,303.8,74847095.45
2018-01-11,305.0,318.4,302.25,312.1,325474661.8
2018-01-12,316.2,323.5,305.1,310.05,266507352.1
2018-01-15,312.0,314.5,308.0,308.9,56372405.7
2018-01-16,309.0,314.0,303.25,305.2,97350911.0
2018-01-17,305.9,305.9,295.0,298.75,132985757.0
2018-01-18,301.2,309.0,292.1,294.3,72237033.7
2018-01-19,295.9,295.95,285.7,289.7,69171986.9
2018-01-22,290.4,290.7,284.4,286.95,27022057.75
2018-01-23,287.9,293.5,287.0,290.45,33024912.3
2018-01-24,290.8,290.8,284.0,285.25,29686153.4
2018-01-25,287.0,291.2,282.1,284.15,19036525.55
2018-01-29,286.5,293.8,278.45,279.75,164581375.5
2018-01-30,282.75,284.05,267.0,268.85,55515480.2
2018-01-31,265.0,269.0,263.0,264.1,33432710.05
2018-02-01,267.7,267.8,260.1,261.4,37070837.4
2018-02-02,258.0,260.8,248.0,249.8,60629981.7
2018-02-05,240.0,247.95,235.2,246.7,170133894.2
2018-02-06,235.0,263.0,230.0,256.0,125280013.0
2018-02-07,267.4,269.9,259.15,261.5,57878221.0
2018-02-08,263.45,264.0,256.9,259.85,41475600.3
2018-02-09,249.7,259.0,243.2,254.2,33868881.9
2018-02-12,255.2,260.7,253.5,254.1,43378307.75
2018-02-14,256.0,259.05,248.0,252.35,49055013.7
2018-02-15,254.8,254.95,239.5,243.9,43548034.5
2018-02-16,245.8,247.5,237.0,241.15,46137335.8
2018-02-19,244.1,244.1,234.1,235.0,34532748.7
2018-02-20,235.8,240.0,231.0,232.95,40012652.65
2018-02-21,236.0,238.8,232.85,233.95,54616013.35
2018-02-22,233.0,233.0,228.45,230.4,40245300.2
2018-02-23,232.0,235.0,228.0,229.7,48834212.15
2018-02-26,231.8,235.9,230.9,233.7,28310719.7
2018-02-27,235.0,235.4,231.0,231.9,16780246.75
2018-02-28,231.0,244.55,228.85,242.95,90169107.8
2018-03-01,243.4,247.35,239.25,241.2,118692955.8
2018-03-05,239.2,240.0,236.0,237.95,22375123.7
2018-03-06,238.5,239.8,232.1,233.4,28791482.95
2018-03-07,231.45,232.55,212.15,219.75,102595091.1
2018-03-08,221.1,224.7,212.25,215.4,56836960.35
2018-03-09,215.6,219.0,213.45,214.55,38284820.25
2018-03-12,217.5,224.0,213.85,220.7,60349203.9
2018-03-13,222.0,226.0,218.0,221.5,43603152.95
2018-03-14,218.55,224.5,216.0,218.0,46774765.35
