date,open,high,low,close,volume
2018-01-01,1559.95,1559.95,1529.0,1536.65,107898595.7
2018-01-02,1546.0,1546.0,1511.0,1525.4,10511575.65
2018-01-03,1535.0,1550.0,1525.0,1539.75,111849992.1
2018-01-04,1559.75,1585.0,1547.55,1572.4,17083128.1
2018-01-05,1582.0,1625.9,1572.55,1597.75,199135098.1
2018-01-08,1605.75,1615.0,1566.2,1576.6,31874910.5
2018-01-09,1584.5,1600.0,1530.25,1556.95,21996364.75
2018-01-10,1550.0,1625.05,1550.0,1608.6,64340592.35
2018-01-11,1607.75,1625.0,1589.9,1616.35,62070276.75
2018-01-12,1616.35,1658.2,1600.0,1641.1,34179714.65
2018-01-15,1631.0,1649.95,1552.0,1567.35,71477308.6
2018-01-16,1567.0,1608.0,1567.0,1575.05,41115335.15
2018-01-17,1575.05,1597.3,1540.0,1582.15,47963715.9
2018-01-18,1585.1,1619.8,1568.8,1581.1,25568252.75
2018-01-19,1581.0,1618.0,1554.65,1599.8,47749552.05
2018-01-22,1605.0,1616.05,1580.05,1593.3,18241930.35
2018-01-23,1593.3,1613.65,1570.0,1577.85,7591091.7
2018-01-24,1578.4,1617.0,1553.3,1584.85,23333821.35
2018-01-25,1599.0,1615.0,1587.3,1600.45,64930093.8
2018-01-29,1600.0,1622.35,1576.0,1590.8,102268367.5
2018-01-30,1588.05,1588.3,1547.0,1564.15,37684379.0
2018-01-31,1566.0,1570.0,1525.0,1535.85,41927585.05
2018-02-01,1537.85,1540.15,1480.0,1500.6,73588141.95
2018-02-02,1478.15,1505.35,1422.0,1428.9,174465917.6
2018-02-05,1419.95,1469.0,1367.0,1450.55,91152784.6
2018-02-06,1428.85,1451.0,1399.95,1433.75,398399491.0
2018-02-07,1433.75,1462.35,1430.0,1444.95,103883727.2
2018-02-08,1440.0,1450.0,1435.0,1440.7,111744669.4
2018-02-09,1419.0,1454.65,1408.75,1446.7,167105456.9
2018-02-12,1447.7,1479.9,1426.35,1451.45,31027801.35
2018-02-14,1465.0,1475.0,1440.0,1468.2,69393866.35
2018-02-15,1467.9,1472.45,1453.9,1464.7,14960975.65
2018-02-16,1464.7,1465.0,1440.0,1450.05,32684069.0
2018-02-19,1436.0,1470.0,1434.2,1463.25,15012880.05
2018-02-20,1454.0,1456.5,1438.15,1441.5,6094706.25
2018-02-21,1444.45,1465.95,1416.0,1461.45,26054973.9
2018-02-22,1452.0,1493.95,1440.0,1484.55,54267321.9
2018-02-23,1462.9,1486.8,1456.75,1474.25,16706604.7
2018-02-26,1465.35,1470.0,1432.4,1449.45,34805099.75
2018-02-27,1453.0,1463.05,1446.4,1452.65,34878327.75
2018-02-28,1463.45,1463.45,1430.0,1439.6,31957642.1
2018-03-01,1447.85,1455.45,1426.9,1443.5,6604063.35
2018-03-05,1434.25,1442.95,1412.55,1414.85,8891084.75
2018-03-06,1414.85,1452.95,1380.2,1401.95,11486975.4
2018-03-07,1413.4,1413.4,1361.5,1370.5,12392906.9
2018-03-08,1397.8,1449.0,1360.1,1425.8,27728792.8
2018-03-09,1434.95,1455.0,1408.0,1446.3,12804218.65
2018-03-12,1437.0,1451.0,1430.0,1442.95,16219347.85
2018-03-13,1453.9,1453.9,1427.55,1447.9,12185083.7
2018-03-14,1439.35,1439.6,1410.0,1424.15,16243176.65
2018-03-15,1425.05,1451.0,1413.6,1437.9,5420492.1
2018-03-16,1429.45,1429.45,1320.55,1347.05,75386076.7
2018-03-19,1347.5,1373.0,1345.05,1354.95,83485162.35
2018-03-20,1341.9,1435.0,1341.9,1393.6,58382661.5
2018-03-21,1415.2,1422.0,1368.05,1401.6,42901988.7
2018-03-22,1401.6,1420.0,1391.1,1406.9,13842384.15
2018-03-23,1398.0,1420.0,1395.0,1403.65,160060634.1
2018-03-26,1413.0,1444.0,1408.0,1414.3,13875170.85
2018-03-27,1419.1,1441.0,1407.65,1438.0,77566766.65
2018-03-28,1435.0,1466.25,1406.0,1441.4,9416721.1
2018-04-02,1454.0,1454.0,1419.4,1441.9,43863278.65
2018-04-03,1440.0,1443.65,1416.0,1424.0,18398798.05
2018-04-04,1414.2,1446.0,1414.2,1439.85,11399333.3
2018-04-05,1446.0,1459.9,1429.6,1450.0,21393244.35
2018-04-06,1440.95,1450.4,1411.0,1429.35,60962211.75
2018-04-09,1415.0,1415.0,1382.05,1409.7,111749412.2
2018-04-10,1414.3,1418.7,1407.0,1411.9,66882061.1
2018-04-11,1420.0,1420.6,1408.1,1415.85,42713771.75
2018-04-12,1424.9,1424.9,1405.05,1416.3,17019447.2
2018-04-13,1410.0,1423.9,1408.05,1420.15,56200589.65
2018-04-16,1430.0,1439.9,1408.85,1429.7,50724218.2
