date,open,high,low,close,volume
2018-01-01,1970.0,1994.95,1955.0,1980.6,40769365.65
2018-01-02,1990.0,1993.15,1954.3,1980.15,29896035.25
2018-01-03,1980.0,2121.0,1980.0,2111.1,105706758.7
2018-01-04,2122.0,2376.0,2122.0,2299.9,510237169.4
2018-01-05,2297.6,2368.45,2256.0,2289.8,251504553.5
2018-01-08,2290.0,2325.0,2212.2,2281.1,165490833.8
2018-01-09,2299.7,2334.9,2231.15,2248.45,123461533.4
2018-01-10,2280.0,2280.0,2188.0,2218.45,71375811.4
2018-01-11,2225.0,2230.0,2166.1,2180.6,652095140.5
2018-01-12,2192.05,2261.0,2186.15,2227.3,586493699.5
2018-01-15,2241.0,2295.0,2222.5,2261.85,526184816.7
2018-01-16,2270.0,2314.8,2249.95,2299.2,233136887.7
2018-01-17,2300.0,2398.0,2220.1,2341.2,116098723.0
2018-01-18,2400.0,2447.95,2330.1,2396.15,258101182.3
2018-01-19,2409.8,2525.0,2350.0,2500.65,178597356.3
2018-01-22,2485.0,2536.0,2459.9,2514.55,65469408.65
2018-01-23,2514.55,2530.0,2395.75,2462.35,59454295.3
2018-01-24,2465.65,2474.95,2343.0,2425.8,61751601.25
2018-01-25,2480.0,2575.0,2431.35,2528.8,81665013.95
2018-01-29,2490.0,2490.0,2360.0,2387.6,146306600.0
2018-01-30,2389.0,2390.4,2202.5,2255.3,269778940.4
2018-01-31,2240.0,2240.0,2104.95,2143.4,191871907.5
2018-02-01,2143.3,2179.8,1998.0,2126.1,291821778.0
2018-02-02,2099.8,2144.95,1974.95,2124.1,51595000.95
2018-02-05,2050.0,2145.0,1975.0,2085.35,110763926.0
2018-02-06,1989.0,2115.15,1880.0,2055.65,96082688.1
2018-02-07,2071.0,2209.8,2071.0,2190.6,30518696.3
2018-02-08,2209.0,2260.05,2194.05,2223.7,43753611.5
2018-02-09,2100.0,2170.0,2079.65,2094.1,73798881.0
2018-02-12,2157.0,2159.95,2115.05,2126.95,17416489.15
2018-02-14,2139.9,2191.0,2029.85,2054.6,105762518.5
2018-02-15,2056.5,2076.0,1980.1,2046.2,50861467.6
