date,open,high,low,close,volume
2018-01-01,532.9,538.0,529.85,531.2,4840534.95
2018-01-02,531.2,531.65,522.0,526.45,4882812.1
2018-01-03,529.0,533.95,521.75,524.05,7390423.35
2018-01-04,528.0,532.0,521.85,524.95,51325773.85
2018-01-05,526.0,530.0,525.0,526.85,12382777.2
2018-01-08,527.95,541.75,523.1,539.55,38299019.95
2018-01-09,540.15,563.0,532.0,559.85,66710503.6
2018-01-10,563.95,578.85,560.55,567.1,61005791.25
2018-01-11,574.0,577.45,561.0,565.45,39189322.35
2018-01-12,574.0,574.0,551.0,552.9,45089505.95
2018-01-15,555.0,555.0,541.95,545.6,8834353.5
2018-01-16,542.0,575.0,536.5,539.3,40990854.1
2018-01-17,537.1,551.45,530.0,549.25,27334477.85
2018-01-18,543.0,560.05,538.1,540.85,9024808.1
2018-01-19,556.0,556.0,541.05,547.05,13586291.8
2018-01-22,550.0,554.0,542.3,550.25,16665686.1
2018-01-23,551.0,555.95,545.15,547.9,255972691.9
2018-01-24,554.0,554.5,535.0,550.7,21102457.0
2018-01-25,549.6,556.0,542.3,553.0,258893036.4
2018-01-29,555.0,564.95,555.0,560.45,28595034.95
2018-01-30,560.45,560.45,549.1,555.25,97266058.15
2018-01-31,543.5,576.9,543.5,567.1,275385155.5
2018-02-01,574.0,574.0,545.6,551.45,24195424.25
2018-02-02,549.1,557.9,510.0,535.2,49325170.25
2018-02-05,520.5,524.75,512.6,523.65,13550315.95
2018-02-06,495.0,526.95,495.0,518.65,66015765.55
2018-02-07,522.55,539.5,522.55,535.2,12379744.8
2018-02-08,526.05,548.0,526.05,541.75,218451056.4
2018-02-09,554.8,554.8,532.6,545.25,10532873.4
2018-02-12,554.0,561.35,546.55,558.6,16173667.5
2018-02-14,574.0,574.0,554.95,561.3,10423123.55
2018-02-15,560.0,589.4,557.8,577.15,139654960.0
2018-02-16,576.45,585.0,555.05,576.45,20861064.2
2018-02-19,570.6,580.0,546.8,554.8,12222504.7
2018-02-20,558.9,575.0,550.55,571.05,76633506.55
2018-02-21,575.0,576.0,556.3,560.85,15772414.05
2018-02-22,564.9,569.35,552.0,563.7,7975487.4
2018-02-23,568.0,568.9,555.15,561.9,10898511.5
2018-02-26,562.0,571.95,562.0,570.35,11601499.0
2018-02-27,572.0,576.0,559.75,561.7,118242894.7
2018-02-28,563.95,563.95,550.05,552.75,16008377.4
2018-03-01,550.0,556.0,543.65,553.4,203524143.9
2018-03-05,559.95,559.95,547.55,548.65,70736664.4
2018-03-06,545.0,555.4,545.0,550.85,107737471.6
2018-03-07,550.85,552.05,532.35,542.1,11556215.25
2018-03-08,546.0,556.0,533.2,544.45,12125769.45
2018-03-09,550.0,550.0,522.0,532.55,16602060.55
2018-03-12,537.85,545.0,534.25,543.25,7418347.85
2018-03-13,545.0,545.0,540.0,542.2,4264815.55
2018-03-14,549.9,549.9,539.9,540.1,10866490.7
2018-03-15,541.95,545.0,538.75,540.1,12202070.45
2018-03-16,540.0,547.0,531.15,536.4,23289717.6
2018-03-19,544.35,544.35,527.15,540.95,15103395.3
2018-03-20,539.0,547.0,524.7,535.25,22795663.9
2018-03-21,531.65,557.85,513.8,542.35,168614705.0
2018-03-22,542.35,546.9,535.0,541.7,144098644.4
2018-03-23,532.1,538.45,529.55,532.8,20959072.15
2018-03-26,531.35,539.4,530.1,533.85,20142183.9
2018-03-27,540.0,543.0,532.9,540.9,12459703.45
2018-03-28,545.0,554.0,536.0,548.35,16228034.6
2018-04-02,542.15,548.55,541.05,544.05,3218593.1
2018-04-03,536.0,551.5,536.0,540.6,4349799.5
2018-04-04,547.0,555.0,539.85,549.8,12801820.4
2018-04-05,553.0,555.9,547.3,550.55,114799215.3
2018-04-06,550.0,561.7,536.9,540.8,47343850.9
2018-04-09,546.0,570.0,531.5,536.7,153454497.0
2018-04-10,540.0,549.0,526.0,527.4,25621622.4
2018-04-11,525.0,537.45,523.3,533.15,23847806.7
2018-04-12,533.45,534.15,495.55,499.05,46979765.9
2018-04-13,501.0,510.0,499.05,508.1,44993300.5
2018-04-16,505.0,512.95,501.15,505.4,8181297.75
2018-04-17,507.0,511.0,505.0,507.7,5777300.95
2018-04-18,510.8,510.8,497.3,499.05,5976108.25
2018-04-19,501.0,504.95,499.0,500.7,6469658.8
2018-04-20,502.0,504.95,498.3,500.45,13099974.25
2018-04-23,505.9,508.1,502.0,505.3,9467597.05
2018-04-24,517.0,532.0,514.05,518.9,47518610.15
2018-04-25,524.5,525.0,513.55,520.0,28198346.1
2018-04-26,514.0,521.9,514.0,520.0,217922416.8
2018-04-27,521.0,531.0,521.0,529.7,13947094.4
2018-04-30,530.0,536.35,525.8,534.05,10524144.2
