date,open,high,low,close,volume
2018-01-01,850.0,852.95,832.0,835.55,9461287.3
2018-01-02,849.9,849.9,827.1,829.65,13728993.4
2018-01-03,829.0,839.9,809.05,818.4,14518704.9
2018-01-04,819.3,821.2,810.0,811.0,26502671.55
2018-01-05,812.0,829.85,802.0,824.45,30613733.5
2018-01-08,824.0,827.95,805.4,820.9,28030799.55
2018-01-09,826.0,868.0,813.7,849.05,143077016.1
2018-01-10,859.65,859.65,835.0,836.9,28415826.8
2018-01-11,831.2,849.0,831.2,845.35,16127707.55
2018-01-12,850.0,850.0,834.0,836.25,11382881.75
2018-01-15,840.0,855.0,830.0,840.15,14073211.4
2018-01-16,849.9,849.9,826.2,830.0,32157741.4
2018-01-17,834.9,856.0,820.0,841.35,24744882.2
2018-01-18,843.05,851.95,835.05,837.4,14061683.75
2018-01-19,835.0,841.0,835.0,837.5,13989318.7
2018-01-22,835.0,850.0,835.0,844.6,13716397.6
2018-01-23,839.0,849.8,826.45,830.45,11714290.55
2018-01-24,825.1,835.95,799.1,819.95,10082123.85
2018-01-25,819.95,821.95,804.0,811.5,15879251.95
2018-01-29,811.0,818.85,790.0,801.5,50147596.9
2018-01-30,800.1,800.1,756.6,774.25,67407574.65
2018-01-31,774.25,814.0,764.05,798.75,15673885.45
2018-02-01,795.0,821.75,781.55,793.2,20210927.95
2018-02-02,788.0,807.95,770.55,782.4,18607017.1
2018-02-05,770.0,810.0,732.5,796.8,51596860.05
2018-02-06,753.0,805.0,737.0,774.75,183904375.8
2018-02-07,790.15,800.15,767.4,771.3,14118793.35
2018-02-08,775.9,799.0,770.0,794.95,13728048.2
2018-02-09,796.0,799.8,765.05,795.15,27041725.55
2018-02-12,815.0,815.0,771.5,784.7,21698753.15
2018-02-14,787.7,805.75,774.2,782.0,29692901.55
2018-02-15,787.05,800.0,768.0,771.35,28083579.8
2018-02-16,776.0,784.9,755.3,764.0,20925392.65
2018-02-19,774.95,779.9,760.0,772.85,12432100.85
2018-02-20,777.9,785.0,759.85,765.0,22772264.5
2018-02-21,770.0,780.0,752.4,761.05,8021401.85
2018-02-22,767.9,768.0,743.35,760.05,22688608.5
