date,open,high,low,close,volume
2018-01-01,495.0,501.45,486.35,489.25,55342567.6
2018-01-02,491.65,493.9,476.2,489.8,77303680.85
2018-01-03,490.0,548.7,487.5,533.45,830300080.4
2018-01-04,545.0,552.0,532.3,540.35,457277044.8
2018-01-05,541.95,584.7,541.95,567.65,1246086633.0
2018-01-08,568.0,577.0,555.05,560.7,288410776.5
2018-01-09,564.95,578.4,554.35,559.6,234805351.8
2018-01-10,560.0,570.95,541.55,547.05,162230724.7
2018-01-11,548.3,561.3,546.6,550.25,185728721.3
2018-01-12,553.0,560.0,548.2,557.4,155632347.3
2018-01-15,561.6,561.65,545.0,547.45,82390346.55
2018-01-16,551.9,564.85,545.0,549.5,267424844.8
2018-01-17,549.5,550.0,532.6,538.1,173440651.5
2018-01-18,541.7,561.9,525.0,529.7,299668779.5
2018-01-19,531.2,539.95,503.2,530.75,181500408.6
2018-01-22,533.8,535.75,519.0,521.7,71778811.65
2018-01-23,522.0,539.3,522.0,527.15,162608360.2
2018-01-24,527.0,534.5,527.0,529.35,131561665.9
2018-01-25,530.0,530.0,509.0,512.15,64589462.15
2018-01-29,511.0,525.0,494.0,496.4,113045557.4
2018-01-30,496.4,499.0,481.1,495.2,93193379.45
2018-01-31,494.0,512.0,482.0,488.1,105167702.8
2018-02-01,489.8,498.4,470.0,470.65,140095501.0
2018-02-02,468.0,468.0,431.95,440.75,231221569.3
2018-02-05,427.55,445.0,405.55,432.45,199129343.0
2018-02-06,411.0,452.0,400.0,446.8,160628994.0
2018-02-07,455.25,492.0,455.25,489.3,623568195.5
2018-02-08,494.85,518.65,478.2,510.15,762662682.6
2018-02-09,490.0,545.0,486.1,537.0,643620321.6
2018-02-12,543.7,556.65,509.85,514.0,426940793.4
2018-02-14,518.4,530.0,510.0,513.2,246074674.0
2018-02-15,516.8,524.0,495.0,499.8,125656271.0
2018-02-16,508.45,509.8,491.4,505.55,173102819.6
2018-02-19,503.0,511.5,492.1,506.5,192113823.5
2018-02-20,505.0,513.9,498.0,502.5,110217839.8
2018-02-21,505.95,507.4,496.55,502.85,52568297.45
2018-02-22,499.0,511.95,495.15,500.35,143007488.5
2018-02-23,504.0,511.4,497.0,505.6,150316507.5
2018-02-26,509.2,532.3,504.05,529.1,393580813.7
2018-02-27,533.9,545.7,522.0,540.1,377833174.0
2018-02-28,534.0,538.4,521.55,527.55,131023998.9
2018-03-01,528.65,547.7,528.05,536.95,273000206.5
2018-03-05,538.1,551.95,526.0,546.55,248410110.9
2018-03-06,551.0,577.0,547.0,567.95,629685569.4
2018-03-07,568.95,576.0,548.25,552.8,410549889.8
2018-03-08,556.2,570.8,553.4,564.75,354451500.5
2018-03-09,570.4,573.9,560.25,565.8,203843060.3
2018-03-12,571.0,584.0,567.15,576.55,297028886.9
2018-03-13,578.0,624.0,564.7,611.7,796899977.6
2018-03-14,607.0,632.7,601.8,621.3,661303025.0
2018-03-15,621.25,634.4,605.25,612.45,626190584.9
2018-03-16,610.5,626.0,579.25,586.35,345777480.5
2018-03-19,591.0,599.9,549.25,557.55,362128691.3
2018-03-20,553.3,574.7,544.05,553.35,391251930.9
2018-03-21,559.4,568.4,546.8,550.7,247175849.4
2018-03-22,553.0,566.9,531.3,535.2,420283060.3
2018-03-23,520.0,541.0,513.0,532.15,325679192.2
2018-03-26,533.05,565.9,533.05,561.8,407961406.1
2018-03-27,567.4,582.0,565.1,572.6,335659441.9
2018-03-28,569.5,575.0,558.05,564.1,159916819.8
2018-04-02,565.1,580.95,565.1,574.7,144683364.3
2018-04-03,575.0,638.0,572.4,620.45,841717757.1
2018-04-04,639.65,664.0,603.0,609.0,1930341663.0
2018-04-05,620.0,634.3,612.1,618.15,474431724.5
2018-04-06,613.0,632.0,601.0,604.7,469908907.0
2018-04-09,609.8,626.5,606.55,618.35,722014480.8
2018-04-10,620.55,626.55,611.05,622.0,290130395.5
2018-04-11,624.9,634.0,612.0,622.35,406396937.3
2018-04-12,622.0,627.7,614.5,618.65,159271032.0
2018-04-13,622.0,625.7,616.0,617.85,162025647.1
2018-04-16,617.0,633.0,615.0,618.7,441216561.7
2018-04-17,645.0,671.0,640.0,653.4,3955036243.0
2018-04-18,658.0,658.95,645.5,649.4,411461655.9
2018-04-19,652.95,653.0,637.9,644.6,289770556.4
2018-04-20,646.95,649.0,638.0,643.65,130951981.0
2018-04-23,646.95,694.8,637.9,682.0,935251290.9
2018-04-24,686.7,705.8,660.1,666.55,891296339.5
2018-04-25,666.0,674.0,645.3,654.0,257159201.5
2018-04-26,659.8,663.0,645.0,650.95,162765499.8
2018-04-27,654.95,663.0,651.1,653.8,200925857.9
2018-04-30,655.0,660.95,647.05,656.15,160743326.4
2018-05-02,655.15,657.0,628.3,637.05,147908042.1
2018-05-03,642.9,649.1,636.05,639.85,121525845.4
2018-05-04,640.0,644.35,630.5,637.85,101357720.1
2018-05-07,641.6,667.65,632.5,663.9,464893766.9
