date,open,high,low,close,volume
2018-01-01,5208.0,5308.75,5151.6,5171.85,234577505.4
2018-01-02,5199.9,5229.0,5047.75,5101.1,406273658.9
2018-01-03,5139.35,5179.8,5088.8,5099.45,614143603.4
2018-01-04,5120.0,5135.0,5051.0,5062.55,402265228.2
2018-01-05,5098.8,5144.95,5076.1,5127.2,776403937.0
2018-01-08,5170.0,5253.0,5146.15,5221.25,943636503.1
2018-01-09,5230.0,5242.4,5105.0,5156.4,1203557648.0
2018-01-10,5160.0,5272.6,5130.0,5199.55,1352507141.0
2018-01-11,5198.0,5198.0,5135.0,5146.4,367778309.2
2018-01-12,5146.4,5170.0,5032.0,5057.3,1143816010.0
2018-01-15,5052.0,5105.2,5001.1,5010.35,874608632.5
2018-01-16,5039.0,5060.0,4935.0,4956.8,619654074.5
2018-01-17,4950.0,5012.0,4890.4,4964.9,698060651.6
2018-01-18,5007.0,5045.0,4884.5,4922.6,1051170131.0
2018-01-19,4920.0,5021.0,4842.35,4973.05,542178544.9
2018-01-22,5000.0,5064.95,4951.0,5051.45,525778637.6
2018-01-23,5042.0,5089.0,4987.6,5014.6,896696038.7
2018-01-24,5015.0,5072.8,4949.0,5014.45,440890299.4
2018-01-25,5025.0,5070.0,4900.0,4933.05,744550495.3
2018-01-29,4949.5,5010.0,4899.0,4912.4,496562625.9
2018-01-30,4925.0,4939.0,4860.0,4875.65,510938084.7
2018-01-31,4861.0,4863.45,4736.45,4812.35,1056380074.0
2018-02-01,4811.05,5080.0,4770.0,5038.4,1730360197.0
2018-02-02,5001.0,5148.1,4890.95,4935.75,1888469451.0
2018-02-05,4810.0,4994.9,4763.05,4918.0,1449599369.0
2018-02-06,4500.0,4949.0,4500.0,4904.6,1267077656.0
2018-02-07,5009.0,5056.0,4927.55,5012.05,1004369746.0
2018-02-08,5000.0,5174.0,4975.0,5057.25,787721093.3
2018-02-09,4989.9,5088.0,4961.2,5059.35,728376955.0
2018-02-12,5096.3,5244.0,5042.8,5235.45,731887262.1
2018-02-14,5260.0,5350.0,5152.3,5189.0,814804683.3
2018-02-15,5200.0,5291.0,5112.05,5130.35,541516294.8
2018-02-16,5168.85,5199.8,5030.0,5058.25,450241691.6
2018-02-19,5095.0,5119.85,4970.0,5000.75,737190001.5
2018-02-20,5030.0,5049.0,4976.2,5014.3,540759000.0
2018-02-21,5040.0,5050.25,4955.1,4973.45,503791406.2
2018-02-22,4989.0,5030.0,4925.15,4951.85,614571520.3
2018-02-23,4943.15,5057.0,4940.0,5019.65,684114336.4
2018-02-26,5051.0,5260.0,5030.05,5192.95,870909382.8
2018-02-27,5208.0,5227.5,5101.1,5121.35,427389732.1
2018-02-28,5090.0,5131.8,5030.2,5051.7,663755771.1
2018-03-01,5052.0,5087.9,4986.0,4999.4,427175852.5
2018-03-05,4999.4,5067.6,4952.2,5037.45,571301286.9
2018-03-06,5075.5,5097.95,4955.0,4980.65,436901346.8
2018-03-07,4980.0,4980.0,4806.0,4836.15,607684105.4
2018-03-08,4863.95,4889.0,4800.0,4864.6,496649720.9
2018-03-09,4893.4,4990.0,4845.0,4966.25,690592003.5
2018-03-12,5002.5,5077.85,4967.2,5040.05,539069558.1
2018-03-13,5039.0,5119.95,5016.6,5098.4,470772050.7
2018-03-14,5090.0,5134.4,5053.45,5111.6,402108470.3
2018-03-15,5111.5,5140.05,5020.05,5034.5,417726673.7
2018-03-16,4971.6,5085.0,4971.6,5011.35,894506016.8
2018-03-19,5020.0,5049.95,4932.25,4963.45,419908589.8
2018-03-20,4945.0,5090.0,4942.55,5080.85,543612839.7
2018-03-21,5090.0,5149.85,5090.0,5131.5,512588174.1
2018-03-22,5100.0,5135.45,5090.0,5119.85,378551766.0
2018-03-23,5058.9,5151.7,5040.0,5126.7,884410900.9
2018-03-26,5128.0,5187.85,5063.15,5151.05,649054933.7
2018-03-27,5180.0,5278.45,5111.0,5258.95,673667415.4
2018-03-28,5230.0,5299.0,5021.55,5171.55,6372023961.0
2018-04-02,5075.0,5295.0,5071.15,5267.4,1250794999.0
2018-04-03,5269.0,5418.45,5232.6,5381.6,1010791673.0
2018-04-04,5420.0,5445.6,5202.8,5228.55,1009609757.0
2018-04-05,5333.0,5500.0,5315.0,5443.85,1107090880.0
2018-04-06,5463.3,5513.95,5415.05,5484.25,665692037.3
2018-04-09,5488.0,5579.0,5454.55,5561.3,761349398.4
2018-04-10,5581.05,5585.95,5394.95,5412.9,862048336.9
2018-04-11,5439.05,5473.9,5340.0,5420.2,790224118.6
