date,open,high,low,close,volume
2018-01-01,133.45,137.65,132.5,135.3,363985977.1
2018-01-02,137.95,137.95,133.75,135.55,253849097.7
2018-01-03,135.5,139.2,135.5,137.25,289080626.5
2018-01-04,138.0,138.4,135.55,137.15,210106874.6
2018-01-05,137.3,141.55,137.3,139.9,320979737.6
2018-01-08,140.2,143.4,140.2,141.55,296986884.7
2018-01-09,141.0,144.65,140.65,143.7,325274117.1
2018-01-10,142.5,144.9,141.0,142.05,286119082.4
2018-01-11,142.25,142.5,140.4,141.35,144605445.0
2018-01-12,141.45,142.0,136.25,137.5,283505831.7
2018-01-15,138.4,138.95,135.35,135.85,171814337.4
2018-01-16,135.8,136.2,129.15,130.55,265564351.7
2018-01-17,130.5,131.75,126.45,131.25,172720843.0
2018-01-18,132.25,133.0,125.25,125.95,293377153.4
2018-01-19,126.5,127.9,121.75,122.7,277451746.0
2018-01-22,122.7,125.9,116.5,124.15,635231334.0
2018-01-23,124.55,127.5,122.8,126.4,361197788.3
2018-01-24,125.5,126.5,120.55,121.3,222031881.7
2018-01-25,121.9,125.35,120.1,121.75,467678391.6
2018-01-29,122.0,122.6,118.5,119.6,123714686.5
2018-01-30,120.0,121.05,117.5,119.0,161110492.0
2018-01-31,120.0,125.2,119.95,122.15,517160707.1
2018-02-01,122.0,122.45,116.1,118.4,182183970.4
2018-02-02,116.8,117.95,109.05,111.3,313898025.0
2018-02-05,111.0,119.0,106.05,116.2,464917995.8
2018-02-06,108.0,118.9,105.05,113.7,487968217.5
2018-02-07,118.35,118.35,112.65,113.6,268768918.2
2018-02-08,113.95,120.7,108.5,119.9,853917141.6
2018-02-09,118.0,122.8,116.1,120.4,774621690.0
2018-02-12,122.0,122.55,120.0,121.85,228266386.6
2018-02-14,122.75,123.0,120.95,121.25,159682926.1
2018-02-15,121.6,122.4,118.45,120.2,185542973.0
2018-02-16,120.7,121.6,116.05,116.65,188644603.4
2018-02-19,116.35,116.8,112.8,115.75,206412960.7
2018-02-20,116.0,120.45,115.5,119.15,240437884.2
2018-02-21,121.0,121.0,112.65,114.35,758088119.8
2018-02-22,113.35,116.65,112.8,114.45,496891858.4
2018-02-23,115.2,117.65,114.3,116.4,307542478.9
2018-02-26,116.9,118.15,116.2,117.7,189164872.2
2018-02-27,117.4,119.9,116.95,119.6,272735612.8
2018-02-28,119.5,120.25,118.0,119.75,280317777.4
2018-03-01,119.2,120.8,116.5,117.45,399727205.3
2018-03-05,114.95,115.2,105.3,107.45,646083765.6
2018-03-06,109.75,109.75,98.5,100.3,653413676.1
2018-03-07,99.7,99.7,93.15,96.3,591716734.9
2018-03-08,95.55,96.3,84.05,89.95,1273363003.0
2018-03-09,90.1,90.85,84.6,85.1,794280877.7
2018-03-12,85.0,87.85,79.7,86.9,943140228.0
2018-03-13,86.5,91.7,84.55,90.25,513094918.5
2018-03-14,91.0,93.3,88.55,89.2,441097964.1
2018-03-15,89.0,90.4,86.3,86.95,338270105.4
2018-03-16,86.5,90.2,85.3,86.4,432233952.8
2018-03-19,87.0,87.9,80.1,81.8,527742668.5
2018-03-20,81.0,87.9,80.65,85.75,672446775.8
2018-03-21,86.7,95.3,85.45,93.55,1973642502.0
2018-03-22,94.05,94.4,85.85,87.1,942222324.7
2018-03-23,83.2,85.7,82.4,84.95,354502180.4
2018-03-26,85.5,87.0,83.0,83.45,217200876.2
2018-03-27,84.0,84.3,80.25,81.2,618427256.4
2018-03-28,79.8,80.05,74.8,75.65,982442859.3
2018-04-02,74.95,78.95,74.55,78.45,460861387.2
2018-04-03,77.25,77.95,75.2,77.55,377226883.8
2018-04-04,78.0,79.7,76.65,78.75,358474796.0
2018-04-05,80.0,80.4,75.05,76.05,420558112.5
2018-04-06,75.5,77.3,75.35,76.65,306593921.5
2018-04-09,76.95,77.45,75.65,75.85,139191735.3
2018-04-10,76.9,82.75,76.9,79.7,1710152289.0
2018-04-11,80.2,80.3,76.95,77.45,500990246.0
2018-04-12,77.0,77.4,72.9,73.25,597327018.6
2018-04-13,73.2,74.25,72.0,72.65,448898953.8
2018-04-16,72.35,73.25,72.05,72.6,209817168.5
2018-04-17,72.9,75.0,72.7,74.0,316173689.3
2018-04-18,74.45,74.5,70.25,70.45,527786995.3
2018-04-19,70.35,70.9,65.6,66.5,778502684.4
2018-04-20,66.05,68.7,66.0,67.65,415659108.2
2018-04-23,68.0,69.7,67.25,68.65,548841732.2
2018-04-24,70.5,71.5,68.35,69.15,650877363.2
2018-04-25,68.45,68.7,66.3,67.1,271300664.9
2018-04-26,66.0,66.5,64.15,64.45,319491119.3
2018-04-27,66.0,69.35,64.75,66.7,504261326.6
2018-04-30,67.2,71.05,66.35,70.0,467210572.2
2018-05-02,70.6,73.2,65.7,66.4,897156491.9
2018-05-03,64.9,65.35,63.4,64.05,353697484.7
2018-05-04,64.5,67.4,63.5,64.55,461485499.9
2018-05-07,64.6,69.45,63.8,68.25,460004530.3
2018-05-08,68.7,69.7,66.6,68.9,456694533.5
2018-05-09,68.85,71.3,68.05,70.65,392043925.5
2018-05-10,70.6,70.6,65.5,65.8,330748404.7
2018-05-11,66.5,67.9,65.7,66.35,180725241.2
2018-05-14,66.6,66.6,64.05,64.75,322639621.7
