date,open,high,low,close,volume
2018-01-01,751.95,758.4,745.05,755.3,419932202.1
2018-01-02,757.0,761.9,742.45,753.9,377006829.0
2018-01-03,756.8,774.0,752.65,772.4,1023979591.0
2018-01-04,779.95,779.95,764.25,767.35,724217141.6
2018-01-05,770.0,771.75,760.7,764.8,320926924.0
2018-01-08,764.0,768.0,758.5,761.55,351832754.4
2018-01-09,762.55,765.4,745.0,746.9,440141372.4
2018-01-10,747.0,760.85,740.55,753.95,736220714.1
2018-01-11,748.1,754.5,746.45,749.7,546356365.1
2018-01-12,753.55,754.5,731.35,746.1,388426561.6
2018-01-15,752.9,755.0,742.25,746.15,320265784.6
2018-01-16,746.8,747.1,725.15,727.6,320600890.6
2018-01-17,727.0,739.4,708.6,730.7,419140774.7
2018-01-18,725.1,736.95,715.0,720.8,274008534.7
2018-01-19,719.3,723.15,709.0,716.25,395719206.1
2018-01-22,717.0,732.0,714.95,730.35,259811416.9
2018-01-23,730.55,738.0,721.5,733.1,394597009.3
2018-01-24,731.0,732.65,720.0,725.6,131604198.4
2018-01-25,724.05,725.95,702.6,706.3,347480473.5
2018-01-29,713.0,716.9,701.5,713.7,642496779.5
2018-01-30,713.5,720.8,705.1,712.55,268947773.1
2018-01-31,710.1,717.2,700.1,705.95,206483553.1
2018-02-01,706.95,717.95,694.65,710.3,471660181.0
2018-02-02,706.95,707.55,684.4,689.7,632681917.5
2018-02-05,680.0,695.5,661.2,693.8,296232702.6
2018-02-06,660.0,686.6,653.1,681.75,388008928.1
2018-02-07,684.0,703.0,682.0,697.05,182937374.7
2018-02-08,700.05,719.45,698.3,710.55,559720219.7
2018-02-09,698.0,719.0,693.0,714.9,403398401.3
2018-02-12,734.6,734.6,711.75,714.5,543660253.2
2018-02-14,715.0,725.0,713.75,717.95,449466505.0
2018-02-15,718.25,729.9,714.2,719.9,409890421.6
2018-02-16,720.0,728.6,693.75,700.25,439124789.0
2018-02-19,701.2,715.0,695.85,710.0,355776596.9
2018-02-20,714.65,718.7,710.15,711.55,240964216.1
2018-02-21,712.4,723.4,701.95,704.65,227006822.9
2018-02-22,703.8,709.0,696.1,698.6,216570743.6
2018-02-23,700.35,721.8,700.35,718.2,190548181.2
2018-02-26,724.0,732.5,719.0,726.25,303819646.2
2018-02-27,731.0,740.7,719.0,722.65,612749110.7
2018-02-28,715.0,735.2,713.7,729.95,373941475.1
2018-03-01,729.95,736.85,721.1,723.3,291886296.2
2018-03-05,722.0,726.25,714.0,716.2,183767778.3
2018-03-06,720.0,724.5,711.0,714.9,305741933.7
2018-03-07,713.0,718.75,705.05,706.85,300564007.5
2018-03-08,707.8,718.9,696.55,715.25,233597468.1
2018-03-09,725.0,725.0,704.0,707.75,412216994.4
2018-03-12,705.1,722.0,705.1,710.9,337182215.3
2018-03-13,701.3,717.45,701.3,715.35,403727223.3
2018-03-14,712.95,713.9,704.2,707.35,241450204.4
2018-03-15,711.0,716.35,702.0,710.95,358718467.7
2018-03-16,711.0,715.0,697.0,699.6,332118208.6
2018-03-19,699.9,704.5,674.0,676.9,365762062.2
2018-03-20,678.0,698.0,673.9,693.0,322843290.8
2018-03-21,695.5,709.6,695.5,706.8,371677600.2
2018-03-22,708.55,717.6,703.0,705.2,412742652.4
