date,open,high,low,close,volume
2018-03-23,370.0,402.7,362.0,389.8,1541407556.0
2018-03-26,389.8,414.6,389.0,396.95,475624448.0
2018-03-27,400.25,408.8,399.5,405.55,208043449.5
2018-03-28,401.0,405.0,394.3,396.65,70529475.6
2018-04-02,399.0,402.0,390.05,392.25,42400848.1
2018-04-03,392.7,397.9,389.05,392.25,44843607.7
2018-04-04,392.0,395.0,388.5,392.1,47011505.5
2018-04-05,393.05,396.3,388.0,388.9,27272585.25
2018-04-06,389.7,391.9,386.25,390.75,29161356.25
2018-04-09,392.0,393.0,375.0,389.95,34342591.4
2018-04-10,387.1,390.8,383.9,384.9,19350225.1
2018-04-11,388.8,388.8,380.0,381.2,18350308.15
2018-04-12,380.5,384.0,375.0,375.6,23115558.55
2018-04-13,372.3,382.0,372.3,375.7,34434869.65
2018-04-16,373.0,410.0,373.0,399.55,220407034.5
2018-04-17,402.7,417.8,400.4,405.15,188201406.4
2018-04-18,407.85,409.65,401.05,404.7,52282216.4
2018-04-19,408.5,421.9,406.35,415.0,190329692.2
2018-04-20,415.9,419.0,411.0,415.6,91634430.2
2018-04-23,415.8,421.0,406.5,408.1,62825740.35
2018-04-24,408.15,411.8,404.9,408.6,30505174.7
2018-04-25,406.0,410.0,405.0,408.25,23734702.25
2018-04-26,405.5,407.75,404.65,405.15,13787276.85
2018-04-27,403.0,406.1,403.0,405.0,16197043.1
2018-04-30,400.55,411.4,394.1,402.35,28134619.15
2018-05-02,396.0,403.95,387.05,390.1,19497193.35
2018-05-03,393.0,395.0,386.35,392.3,12569068.05
2018-05-04,393.0,394.0,388.0,388.85,8038888.2
2018-05-07,388.0,392.3,386.0,388.25,11235283.35
2018-05-08,390.0,397.0,386.1,388.1,103848053.4
2018-05-09,394.0,394.0,385.0,387.85,34119372.2
2018-05-10,387.0,390.9,387.0,388.1,14372205.0
2018-05-11,388.75,389.7,387.0,388.05,11897319.05
2018-05-14,386.0,389.05,386.0,388.05,10803159.3
2018-05-15,381.0,386.75,381.0,382.15,9772006.95
2018-05-16,380.0,380.5,378.0,379.0,7244737.05
2018-05-17,377.05,383.95,377.05,380.4,5952601.2
2018-05-18,376.05,380.65,370.0,370.9,18858148.1
2018-05-21,371.0,375.65,370.0,372.3,15688029.2
2018-05-22,370.05,379.0,370.0,376.4,9874009.25
2018-05-23,372.0,380.7,372.0,379.5,9390871.75
2018-05-24,381.0,384.0,375.75,379.85,7727156.55
2018-05-25,377.0,384.55,376.45,383.2,8565450.6
2018-05-28,380.1,398.9,380.1,396.25,16906218.3
2018-05-29,396.95,411.45,396.95,402.6,60989267.85
2018-05-30,400.0,405.0,398.0,402.3,14376277.55
2018-05-31,420.0,425.0,403.0,405.4,74007407.5
2018-06-01,406.95,409.45,400.0,401.2,18825031.05
2018-06-04,403.0,403.0,390.0,395.65,13352838.3
2018-06-05,395.0,395.05,386.0,388.05,14337767.0
2018-06-06,390.0,390.05,384.8,388.6,7331037.85
2018-06-07,385.05,405.0,385.05,400.85,37342438.9
2018-06-08,400.1,400.85,395.0,398.2,7090822.7
2018-06-11,396.65,400.0,394.65,396.75,8268318.65
2018-06-12,399.0,404.25,395.0,399.1,13032142.3
2018-06-13,395.5,398.0,394.0,395.6,6397955.55
2018-06-14,394.0,401.5,390.2,397.25,12495854.25
2018-06-15,394.0,407.45,393.55,402.2,22563140.4
2018-06-18,401.5,403.4,392.55,393.5,9451979.9
2018-06-19,392.0,394.85,385.95,388.7,8707640.6
2018-06-20,385.0,389.5,385.0,386.15,5571810.75
2018-06-21,382.4,385.0,381.45,382.25,5945548.6
2018-06-22,380.6,383.75,379.0,380.7,7340711.15
2018-06-25,380.75,384.5,380.0,382.7,7542982.8
2018-06-26,386.0,386.0,374.0,375.25,10435810.2
2018-06-27,378.3,379.75,372.5,375.35,8736456.5
2018-06-28,375.0,378.0,370.0,371.9,7405543.25
2018-06-29,372.9,377.8,372.05,376.15,5224748.25
2018-07-02,378.35,378.35,368.0,371.15,5956076.15
2018-07-03,370.0,380.0,368.05,377.7,8815081.55
2018-07-04,375.0,379.6,372.2,376.35,4057074.8
2018-07-05,376.05,377.9,371.25,372.15,4579695.15
2018-07-06,370.3,376.0,370.3,374.8,6035506.25
2018-07-09,374.8,377.95,372.0,372.7,5353425.7
2018-07-10,376.0,383.95,370.1,378.2,15532989.85
2018-07-11,375.0,386.15,375.0,379.7,12307282.8
2018-07-12,377.55,381.5,374.4,376.75,6819823.6
2018-07-13,377.5,377.5,367.5,368.75,9630689.35
2018-07-16,365.0,368.45,360.5,361.45,9474935.2
2018-07-17,358.0,362.9,357.05,358.65,9091535.6
2018-07-18,355.6,363.95,355.6,357.25,7423048.65
2018-07-19,363.7,363.7,350.05,352.0,21356419.95
2018-07-20,354.9,354.9,341.5,342.9,7705267.5
2018-07-23,342.8,348.15,335.1,336.35,7535036.4
2018-07-24,335.0,345.95,333.0,344.45,11134721.85
2018-07-25,349.0,349.0,342.95,345.65,8679317.15
2018-07-26,345.0,345.0,339.8,343.6,27754867.8
2018-07-27,350.0,350.25,341.5,342.35,14846813.05
2018-07-30,342.1,384.55,342.1,375.7,34952136.3
2018-07-31,378.4,389.0,375.7,384.2,51943051.35
2018-08-01,384.2,387.7,379.0,381.25,15437279.4
2018-08-02,377.0,380.0,372.05,376.9,9674207.65
2018-08-03,379.9,380.0,375.1,376.55,7379305.3
2018-08-06,376.0,383.75,373.6,374.35,16641620.35
2018-08-07,378.0,386.2,369.8,370.85,11346162.9
2018-08-08,370.0,373.9,365.05,369.45,7519533.85
2018-08-09,365.55,381.95,365.55,374.85,18426781.9
2018-08-10,371.85,380.0,371.85,377.9,13922640.9
2018-08-13,375.0,381.8,371.85,379.75,8174240.3
2018-08-14,380.0,385.25,360.2,370.85,36867367.05
2018-08-16,365.0,369.85,363.2,368.3,8387015.65
2018-08-17,375.0,375.0,365.35,367.0,6525288.45
2018-08-20,367.0,374.9,364.15,367.85,9509721.2
2018-08-21,362.15,368.9,362.15,364.2,4968503.25
2018-08-23,362.95,364.9,360.95,362.1,7538776.0
2018-08-24,362.0,365.0,358.0,358.75,4664692.6
2018-08-27,365.0,365.0,360.0,360.6,5202667.35
2018-08-28,360.6,362.0,354.1,355.45,9946717.65
2018-08-29,355.0,359.0,352.2,354.15,6909352.8
2018-08-30,354.45,355.05,351.0,351.65,4257332.45
2018-08-31,352.0,352.0,348.6,349.95,5414083.8
2018-09-03,350.0,359.15,349.95,358.45,6008336.25
2018-09-04,358.45,361.0,355.8,358.2,5119803.35
2018-09-05,358.9,359.45,347.45,348.55,9343628.4
2018-09-06,348.6,354.0,342.0,345.6,13779970.8
2018-09-07,348.4,362.0,342.7,348.05,26794453.1
2018-09-10,350.85,356.4,347.9,352.1,8379049.35
2018-09-11,353.0,354.95,346.0,348.35,96697474.9
2018-09-12,352.5,352.5,340.05,345.6,5663085.45
2018-09-14,346.1,352.5,346.1,347.55,7167656.8
2018-09-17,345.1,352.5,345.05,349.75,7857231.4
2018-09-18,344.4,379.25,339.6,344.1,137763458.2
2018-09-19,348.7,349.95,331.9,333.25,54020105.9
2018-09-21,337.0,344.75,310.0,319.6,16003053.9
2018-09-24,320.0,323.95,304.15,306.5,10914609.7
2018-09-25,305.0,307.5,298.0,299.25,11632914.3
2018-09-26,299.0,307.0,298.7,300.75,5293935.05
2018-09-27,303.8,305.15,292.0,293.65,7709440.65
2018-09-28,293.0,294.75,280.0,280.45,10374562.15
2018-10-01,280.45,287.95,275.0,280.35,9300630.55
2018-10-03,280.9,286.4,280.8,283.75,6579810.6
2018-10-04,283.0,283.0,278.1,280.4,4868318.3
2018-10-05,285.0,285.0,275.45,276.1,4981512.05
2018-10-08,275.0,277.95,266.4,274.45,5290555.45
2018-10-09,281.0,281.0,265.0,269.35,6526219.8
2018-10-10,274.9,284.0,270.25,279.6,15166395.0
2018-10-11,276.0,283.8,271.7,282.65,5673740.65
2018-10-12,283.0,287.0,279.05,282.9,3057723.25
2018-10-15,279.0,285.0,279.0,284.4,12837600.35
2018-10-16,284.4,291.95,282.6,287.65,5277389.05
2018-10-17,298.0,299.0,282.75,285.75,3044582.75
2018-10-19,285.75,285.75,274.6,277.75,4092813.4
2018-10-22,274.1,282.95,271.0,272.95,3545540.25
2018-10-23,270.0,272.0,266.5,268.95,2606848.35
2018-10-24,268.95,281.3,265.95,279.55,3951035.6
2018-10-25,276.4,287.8,273.0,283.3,3929839.35
2018-10-26,283.35,286.0,275.0,282.55,3183904.8
2018-10-29,281.95,283.1,277.1,279.9,3132872.8
2018-10-30,279.95,282.7,278.45,281.45,2950343.6
2018-10-31,276.0,283.8,276.0,282.3,2295245.75
2018-11-01,281.3,293.55,281.3,290.0,18398104.6
2018-11-02,294.0,294.0,287.3,289.4,5237936.6
2018-11-05,290.0,298.8,288.0,293.35,4044763.75
2018-11-06,290.8,295.1,287.6,288.25,2024141.55
2018-11-07,288.0,300.0,288.0,296.3,2312208.5
2018-11-09,300.0,326.75,293.25,318.1,21542109.35
2018-11-12,311.05,312.0,289.5,295.05,12971361.7
2018-11-13,290.0,297.45,289.8,290.3,2731781.25
2018-11-14,290.6,291.85,283.0,283.85,3208011.45
2018-11-15,288.0,288.0,283.0,283.9,2192135.15
2018-11-16,286.9,286.9,281.95,282.6,1677522.05
2018-11-19,283.0,284.95,280.0,281.4,16193744.8
2018-11-20,285.0,285.0,280.0,282.45,2009247.55
2018-11-21,281.0,288.95,275.7,282.8,6223479.75
2018-11-22,283.65,284.75,280.0,281.5,1552782.35
2018-11-26,283.0,283.95,277.05,278.65,2195972.3
