date,open,high,low,close,volume
2018-01-01,183.0,183.9,181.2,181.45,496497191.1
2018-01-02,182.5,183.65,180.75,181.65,715840169.0
2018-01-03,182.0,183.6,180.8,181.0,508419459.5
2018-01-04,181.1,181.9,179.7,180.05,834950494.1
2018-01-05,181.0,183.5,180.8,182.3,632355807.7
2018-01-08,183.55,185.2,182.7,184.05,749201100.8
2018-01-09,185.0,185.0,182.35,182.55,429456025.1
2018-01-10,182.65,183.75,179.2,179.95,715376227.6
2018-01-11,180.1,181.0,178.5,179.0,709762374.5
2018-01-12,179.8,180.1,176.05,178.0,594492815.6
2018-01-15,178.5,180.0,177.8,178.6,534859533.7
2018-01-16,178.5,178.8,172.6,173.2,795901966.8
2018-01-17,173.0,176.8,167.0,176.05,854716879.7
2018-01-18,176.2,177.9,169.05,171.1,550939487.3
2018-01-19,171.75,173.4,170.1,172.75,317543311.8
2018-01-22,173.4,175.9,172.35,175.4,458579244.7
2018-01-23,176.0,177.15,173.8,174.7,810950452.1
2018-01-24,174.8,174.9,172.35,173.55,604865256.7
2018-01-25,178.3,179.5,175.4,176.9,2703319504.0
2018-01-29,178.5,178.7,174.5,175.65,640702960.0
2018-01-30,176.95,177.95,175.0,177.0,599685965.5
2018-01-31,171.25,172.0,167.5,169.35,2451240241.0
2018-02-01,170.0,171.2,161.1,161.55,2283263202.0
2018-02-02,161.45,161.5,150.2,151.85,2060128538.0
2018-02-05,150.0,151.8,146.4,150.0,2869768938.0
2018-02-06,140.0,150.3,140.0,149.2,2051394508.0
2018-02-07,153.25,159.6,152.6,157.85,2809441226.0
2018-02-08,158.75,158.75,154.5,156.95,1097326174.0
2018-02-09,153.0,157.8,153.0,156.3,464239087.2
2018-02-12,158.0,158.1,155.75,157.75,337021687.3
2018-02-14,159.9,162.65,158.8,160.6,809251301.0
2018-02-15,161.25,162.15,156.2,156.95,580760445.2
2018-02-16,158.3,158.3,153.65,155.7,390977959.7
2018-02-19,156.0,156.0,151.25,153.2,516052901.1
2018-02-20,153.1,154.2,152.0,153.75,435827181.4
2018-02-21,153.85,154.75,150.05,150.85,601679727.1
2018-02-22,150.25,151.25,145.35,146.55,1204418044.0
2018-02-23,148.85,151.7,146.4,150.95,1681813265.0
2018-02-26,152.95,156.75,152.3,155.2,1008851922.0
2018-02-27,156.5,156.8,152.2,152.85,533083197.9
2018-02-28,152.5,155.2,151.15,154.35,328761485.2
2018-03-01,154.85,154.95,153.1,153.3,235644415.2
2018-03-05,152.9,157.2,151.4,155.55,471055983.1
2018-03-06,157.45,157.95,151.15,152.0,539162163.6
2018-03-07,151.5,151.6,147.15,148.35,393732517.7
2018-03-08,150.8,150.8,145.0,147.25,485601999.2
2018-03-09,148.75,151.35,147.35,148.45,460089431.6
2018-03-12,149.75,150.85,147.65,150.15,706056448.9
2018-03-13,150.0,152.2,149.6,151.55,627030825.6
2018-03-14,150.2,151.75,149.2,151.15,340729308.3
2018-03-15,151.05,154.3,150.0,151.3,461952983.4
2018-03-16,151.5,153.4,148.6,149.2,540609329.0
2018-03-19,149.3,149.7,146.5,148.55,310534409.5
2018-03-20,147.5,150.15,147.2,149.5,332297614.5
2018-03-21,150.0,152.0,148.0,148.35,393553376.5
2018-03-22,148.8,149.15,142.5,143.4,934788671.4
2018-03-23,140.9,141.15,138.05,139.95,1146311266.0
2018-03-26,139.95,145.0,139.7,142.95,666317288.4
2018-03-27,144.05,144.5,142.5,143.05,424640178.8
2018-03-28,142.45,145.8,140.7,141.45,1114998962.0
2018-04-02,142.8,145.35,142.1,144.75,362410081.8
2018-04-03,144.9,147.35,143.75,146.75,479296265.0
2018-04-04,147.3,148.75,143.0,143.75,571938754.0
2018-04-05,145.0,146.2,143.65,145.05,503968742.2
2018-04-06,145.05,146.4,143.55,144.8,274474722.8
2018-04-09,145.0,145.55,143.75,144.6,340420619.9
2018-04-10,145.0,146.95,144.65,145.5,330462401.0
2018-04-11,146.0,146.3,144.5,144.9,272680310.8
2018-04-12,146.5,149.15,145.9,147.3,678635526.3
2018-04-13,147.1,147.7,142.1,142.5,679125610.9
2018-04-16,143.1,143.2,138.7,139.05,821454465.6
2018-04-17,140.0,140.85,137.85,138.95,485558672.7
2018-04-18,139.9,140.5,138.3,138.7,638345536.6
2018-04-19,138.0,138.1,135.25,136.15,713447361.0
2018-04-20,133.95,134.35,130.5,132.3,1096461276.0
2018-04-23,132.45,138.9,132.45,137.25,1192242717.0
2018-04-24,138.1,138.55,135.3,135.8,421711780.8
2018-04-25,135.8,135.8,131.8,132.8,397690142.2
2018-04-26,132.9,133.45,130.6,131.05,689900396.9
2018-04-27,131.3,134.7,131.0,133.2,592589746.4
2018-04-30,131.55,132.95,130.8,131.2,607543021.0
2018-05-02,132.0,132.25,129.8,130.3,396474691.2
