date,open,high,low,close,volume
2018-01-01,731.5,733.95,720.15,723.0,271823469.3
2018-01-02,726.7,733.4,714.2,728.05,534655387.0
2018-01-03,731.5,741.8,725.25,733.1,787129409.7
2018-01-04,733.3,734.75,724.0,726.95,487241191.8
2018-01-05,745.75,745.75,731.3,738.85,1270385024.0
2018-01-08,740.9,751.0,735.5,742.4,907938529.6
2018-01-09,743.75,746.4,729.1,732.6,646639709.1
2018-01-10,732.6,740.1,717.25,726.55,779489303.7
2018-01-11,720.45,735.0,720.45,727.45,589216021.6
2018-01-12,729.7,740.9,720.0,730.6,700122265.5
2018-01-15,730.0,737.8,725.1,730.75,307558236.4
2018-01-16,729.0,735.85,710.25,715.2,565543045.3
2018-01-17,719.7,737.5,700.55,735.15,670169709.7
2018-01-18,735.0,737.9,717.0,720.9,497973679.7
2018-01-19,721.1,737.45,715.1,735.75,502816569.3
2018-01-22,732.0,743.8,729.25,739.7,522484772.4
2018-01-23,744.0,755.0,733.0,748.5,899163785.8
2018-01-24,748.4,756.0,740.8,746.35,704703759.1
2018-01-25,744.8,751.95,716.3,721.15,1638698150.0
2018-01-29,722.1,728.0,713.7,718.0,929826270.5
2018-01-30,714.0,723.1,702.55,721.1,413575066.1
2018-01-31,724.9,724.9,710.35,717.1,622125233.0
2018-02-01,718.5,732.0,711.95,724.45,600312103.9
2018-02-02,715.0,720.0,680.8,690.8,737462044.5
2018-02-05,678.0,719.0,672.0,714.05,1200738676.0
2018-02-06,695.0,709.0,674.3,699.9,922588319.7
2018-02-07,711.0,719.3,702.0,706.3,519599250.7
2018-02-08,706.9,764.8,706.9,761.2,2761422919.0
2018-02-09,751.0,775.1,747.3,762.8,2298637907.0
2018-02-12,770.1,781.4,763.6,776.35,1212071900.0
2018-02-14,785.0,785.0,757.0,763.8,696239002.7
2018-02-15,769.0,769.0,749.75,752.1,599988886.8
2018-02-16,755.0,757.45,737.25,742.25,585668578.4
2018-02-19,742.3,747.0,723.7,737.4,456126954.3
2018-02-20,745.5,754.6,734.7,738.8,814749468.9
2018-02-21,740.5,761.85,735.25,757.55,909044335.3
2018-02-22,754.0,762.0,748.05,756.2,762175629.1
2018-02-23,756.55,763.5,745.8,750.0,626129895.8
2018-02-26,757.75,776.4,752.6,767.6,1063918495.0
2018-02-27,773.0,776.75,763.0,772.5,607527464.6
2018-02-28,765.0,798.0,759.0,789.85,1469546057.0
2018-03-01,791.8,797.4,777.8,784.0,1145086615.0
2018-03-05,781.0,785.0,757.0,763.05,1105679229.0
2018-03-06,770.0,772.7,756.85,762.0,660530235.4
2018-03-07,761.4,761.4,740.0,741.85,621838261.5
2018-03-08,743.2,755.95,736.55,748.45,936187247.3
2018-03-09,747.25,753.7,745.0,747.8,453540483.0
2018-03-12,754.0,759.45,725.0,735.6,688366228.2
2018-03-13,743.0,750.2,729.0,737.75,764417339.2
2018-03-14,735.0,744.8,733.3,740.65,575508944.9
2018-03-15,738.0,744.35,733.55,738.6,699655715.0
2018-03-16,739.0,752.5,733.0,736.6,760162391.5
2018-03-19,736.6,737.9,703.6,709.25,730547285.4
2018-03-20,701.15,714.55,698.25,707.75,717188667.4
2018-03-21,710.0,719.9,700.1,703.55,557964309.4
2018-03-22,703.0,709.65,691.0,698.65,857429429.4
2018-03-23,685.0,697.25,678.0,690.3,1143510440.0
2018-03-26,688.15,702.45,683.6,699.1,428713159.5
2018-03-27,701.25,709.8,700.0,705.1,874044833.6
2018-03-28,703.0,705.0,695.0,699.65,973769186.7
2018-04-02,703.0,723.15,698.6,721.0,1116382774.0
2018-04-03,721.95,725.3,708.85,717.5,965268532.9
2018-04-04,728.1,734.5,707.85,716.45,2232061440.0
2018-04-05,728.0,733.25,722.05,726.9,987076239.6
2018-04-06,727.0,734.7,720.75,729.15,504755402.4
2018-04-09,730.0,734.55,721.25,723.8,735322220.4
2018-04-10,728.0,737.5,721.95,731.0,983776783.9
2018-04-11,735.5,742.0,727.45,730.65,1334690827.0
2018-04-12,735.0,737.35,728.1,730.75,550293839.7
2018-04-13,737.4,740.95,731.6,734.2,462312078.5
2018-04-16,731.6,741.35,728.25,736.15,564068768.1
2018-04-17,739.7,741.9,735.95,738.15,391658649.6
2018-04-18,740.9,746.0,732.4,736.65,444469060.5
