date,open,high,low,close,volume
2018-01-01,531.0,538.1,525.4,527.9,2307486230.0
2018-01-02,532.9,532.9,511.85,516.55,2463556274.0
2018-01-03,519.15,525.5,514.75,518.2,2975947484.0
2018-01-04,519.0,527.2,514.5,523.0,2794101405.0
2018-01-05,525.0,542.5,518.55,540.0,3855251256.0
2018-01-08,534.15,534.15,514.2,516.35,5756512301.0
2018-01-09,518.0,521.05,504.7,509.8,3481252368.0
2018-01-10,515.0,517.5,504.3,506.4,3064895821.0
2018-01-11,508.0,516.7,503.2,514.75,2727794913.0
2018-01-12,516.0,517.35,504.5,509.55,2228090353.0
2018-01-15,509.8,511.95,502.45,504.5,1294990048.0
2018-01-16,508.0,513.65,491.4,497.25,2905862988.0
2018-01-17,495.0,503.2,491.45,499.9,3055619972.0
2018-01-18,501.0,508.8,493.0,495.0,3567506126.0
2018-01-19,484.0,500.25,483.5,497.9,4430451746.0
2018-01-22,495.6,498.5,488.0,490.7,2007518672.0
2018-01-23,494.0,498.8,488.8,492.1,2735414566.0
2018-01-24,486.9,487.0,455.15,459.5,12392236513.0
2018-01-25,463.5,463.5,444.45,452.7,8415629700.0
2018-01-29,444.0,446.4,435.05,440.6,10772403917.0
2018-01-30,440.6,451.1,437.25,440.6,4274380757.0
2018-01-31,442.5,446.0,436.4,439.85,2814264851.0
2018-02-01,440.05,447.0,430.1,438.4,3189690678.0
2018-02-02,437.8,440.5,415.8,422.35,2589915486.0
2018-02-05,417.75,446.75,411.2,440.2,5948118649.0
2018-02-06,420.0,447.75,418.55,439.15,3671313436.0
2018-02-07,444.95,449.4,427.1,430.25,4310934713.0
2018-02-08,434.0,436.0,425.0,429.8,2393271001.0
2018-02-09,424.0,433.95,419.7,422.5,2069199478.0
2018-02-12,429.8,431.0,421.35,424.4,1530091232.0
2018-02-14,426.3,438.5,426.3,434.8,4098915067.0
2018-02-15,439.3,439.3,426.7,428.95,1787371623.0
2018-02-16,434.95,434.95,418.4,419.7,1690317542.0
2018-02-19,419.85,420.0,403.2,414.35,2393554591.0
2018-02-20,415.1,422.2,415.1,418.1,3030517712.0
2018-02-21,420.0,422.5,417.35,419.65,1790226374.0
2018-02-22,418.8,419.25,413.35,416.1,4048242120.0
2018-02-23,419.0,428.2,417.1,425.55,2874731315.0
2018-02-26,430.0,430.0,420.85,423.15,1556392207.0
2018-02-27,425.8,432.65,424.3,430.5,2002810240.0
2018-02-28,430.0,433.5,425.9,428.55,10015547850.0
2018-03-01,429.05,436.6,425.75,427.75,2274864995.0
2018-03-05,426.95,427.1,417.6,421.45,1470564010.0
2018-03-06,423.7,427.65,410.6,413.9,1596867752.0
2018-03-07,410.65,416.3,391.25,403.2,4387202277.0
2018-03-08,411.5,414.1,395.0,401.3,3170860649.0
2018-03-09,404.9,408.5,397.55,402.15,1852902776.0
2018-03-12,405.0,424.5,404.0,421.55,3138406646.0
2018-03-13,423.0,429.8,420.15,426.3,2186404117.0
2018-03-14,425.9,425.9,418.55,422.6,1593287327.0
2018-03-15,422.6,424.3,417.25,420.45,1378090973.0
2018-03-16,415.25,426.75,413.65,416.75,3033151322.0
2018-03-19,418.0,421.6,396.7,399.65,2201078297.0
2018-03-20,399.0,403.5,392.7,400.4,2968282482.0
2018-03-21,403.0,420.15,402.2,418.2,3462131492.0
2018-03-22,414.0,420.25,412.1,415.6,2018086895.0
2018-03-23,412.65,418.95,405.2,412.7,2107338020.0
2018-03-26,412.0,423.0,406.6,421.5,1824805265.0
2018-03-27,422.0,422.4,408.2,413.2,2513909840.0
2018-03-28,411.0,413.05,395.4,398.7,4126318687.0
2018-04-02,399.5,401.75,390.5,395.1,1966895003.0
2018-04-03,391.25,404.0,391.25,402.2,1813955454.0
2018-04-04,404.0,404.8,392.95,395.05,1447940373.0
2018-04-05,398.1,400.9,391.15,393.9,3463623311.0
2018-04-06,394.2,396.5,383.1,384.95,3284413653.0
2018-04-09,382.9,386.7,376.65,380.3,4571306956.0
2018-04-10,381.05,386.7,374.5,385.55,4545997178.0
2018-04-11,388.0,390.8,383.35,385.3,2679148436.0
2018-04-12,384.0,385.5,379.2,380.2,1707416691.0
2018-04-13,382.95,386.2,375.8,377.9,2647676875.0
2018-04-16,377.0,380.3,374.5,376.65,1408167174.0
2018-04-17,377.0,383.45,374.15,382.05,2168607761.0
2018-04-18,383.7,391.85,382.35,384.25,2216084654.0
2018-04-19,388.75,397.3,385.45,395.35,1358299936.0
2018-04-20,393.55,403.7,391.45,402.0,2686678452.0
2018-04-23,401.5,406.5,396.85,402.85,1525130499.0
2018-04-24,401.9,408.6,396.6,406.25,2533280202.0
2018-04-25,414.45,427.4,412.0,419.85,8408722937.0
2018-04-26,420.0,420.0,405.45,409.2,5147761764.0
2018-04-27,406.25,411.75,401.0,408.75,1837905895.0
2018-04-30,407.0,413.25,404.2,409.55,1341174696.0
2018-05-02,412.9,412.9,406.0,408.45,2487328263.0
2018-05-03,406.3,408.0,399.0,404.4,1500808252.0
2018-05-04,410.85,418.35,394.0,396.75,5844289092.0
2018-05-07,401.5,404.55,395.5,398.25,2362589385.0
2018-05-08,401.45,402.95,396.8,401.15,1425907635.0
2018-05-09,403.2,409.5,397.2,402.45,3277179189.0
2018-05-10,404.85,413.7,403.9,412.1,3328710708.0
2018-05-11,400.15,402.7,381.5,386.6,8963692821.0
