date,open,high,low,close,volume
2018-01-01,2375.0,2387.0,2357.6,2369.125,266620216.3
2018-01-02,2369.125,2371.125,2322.0,2328.025,413446780.6
2018-01-03,2329.5,2354.975,2328.275,2340.475,389152365.4
2018-01-04,2329.5,2344.45,2305.075,2313.2,776635088.9
2018-01-05,2331.0,2339.75,2307.175,2322.05,613893184.5
2018-01-08,2330.0,2355.5,2313.825,2346.875,412061268.6
2018-01-09,2350.0,2356.675,2312.425,2320.975,567691551.1
2018-01-10,2328.425,2354.5,2315.75,2337.375,905607266.3
2018-01-11,2335.0,2374.5,2316.0,2360.775,527280157.5
2018-01-12,2367.5,2384.5,2330.675,2354.15,607560606.5
2018-01-15,2354.15,2393.0,2352.5,2359.925,420958821.5
2018-01-16,2362.0,2386.5,2300.5,2338.675,785519980.5
2018-01-17,2340.0,2376.5,2320.025,2374.9,485433457.2
2018-01-18,2379.85,2389.4,2303.0,2315.75,839603453.3
2018-01-19,2332.5,2346.4,2315.0,2342.225,306422050.7
2018-01-22,2337.5,2376.0,2335.0,2353.675,380736967.4
2018-01-23,2342.5,2380.275,2324.625,2368.225,475353095.1
2018-01-24,2368.2,2377.575,2340.525,2359.625,377228584.2
2018-01-25,2359.6,2359.6,2300.5,2312.8,1844782712.0
2018-01-29,2320.0,2355.0,2303.5,2346.05,513258160.2
2018-01-30,2334.5,2370.025,2320.1,2352.8,608471233.9
2018-01-31,2345.0,2356.2,2323.6,2342.075,335935234.3
2018-02-01,2342.125,2380.85,2327.925,2370.25,703495241.7
2018-02-02,2337.75,2370.0,2288.5,2363.225,880627267.5
2018-02-05,2349.5,2349.5,2280.0,2308.35,819723303.6
2018-02-06,2250.0,2310.25,2200.0,2265.225,615305143.7
2018-02-07,2307.45,2312.5,2246.525,2275.225,581681772.2
2018-02-08,2274.925,2327.0,2257.75,2314.0,459794715.6
2018-02-09,2263.025,2339.9,2263.025,2320.575,558453773.4
2018-02-12,2335.0,2395.0,2335.0,2386.25,1023666395.0
2018-02-14,2432.5,2437.9,2373.175,2382.075,1674598463.0
2018-02-15,2393.9,2408.175,2350.775,2377.875,393518021.8
2018-02-16,2400.5,2405.0,2368.0,2390.975,394973671.5
2018-02-19,2390.75,2390.75,2347.95,2366.65,212459777.1
2018-02-20,2364.0,2390.0,2362.5,2367.05,629544320.8
2018-02-21,2387.5,2393.45,2369.8,2384.875,587364180.4
2018-02-22,2387.0,2437.5,2375.675,2427.925,1027695458.0
2018-02-23,2450.0,2489.5,2437.55,2480.95,752993223.1
2018-02-26,2482.8,2499.0,2472.025,2482.375,560024746.1
2018-02-27,2487.5,2532.9,2455.25,2476.125,1065863091.0
2018-02-28,2465.0,2504.65,2448.65,2497.125,449895333.1
2018-03-01,2492.5,2499.975,2460.0,2471.925,260328211.1
2018-03-05,2456.0,2469.725,2445.7,2451.225,386092718.8
2018-03-06,2447.5,2467.45,2393.525,2412.6,382085731.7
2018-03-07,2412.5,2457.5,2390.0,2442.35,620091455.9
2018-03-08,2452.75,2458.75,2411.125,2424.2,650291075.6
2018-03-09,2434.5,2440.0,2412.125,2420.9,915966849.6
2018-03-12,2437.5,2447.5,2410.375,2433.4,355222396.4
2018-03-13,2430.275,2447.5,2416.175,2434.975,531125827.3
2018-03-14,2425.125,2427.5,2403.0,2411.875,503342969.1
2018-03-15,2421.5,2448.0,2406.2,2434.125,1475683454.0
2018-03-16,2434.975,2447.5,2420.0,2430.3,739051897.8
2018-03-19,2431.0,2434.975,2401.5,2407.775,539470143.3
2018-03-20,2410.0,2417.5,2403.0,2412.525,779073649.6
2018-03-21,2410.0,2428.0,2410.0,2417.225,978002098.5
2018-03-22,2427.5,2435.0,2410.25,2419.1,428980077.5
2018-03-23,2405.5,2435.0,2395.0,2419.825,661006748.3
2018-03-26,2420.025,2435.0,2419.475,2429.0,467278800.1
2018-03-27,2437.5,2492.875,2431.925,2482.4,1197391584.0
2018-03-28,2482.4,2502.0,2452.1,2485.3,1308721616.0
2018-04-02,2499.0,2558.85,2487.2,2553.525,740153490.6
2018-04-03,2559.0,2559.5,2522.3,2549.9,546007179.7
2018-04-04,2528.5,2542.4,2495.5,2512.2,674404411.3
2018-04-05,2512.5,2537.35,2505.5,2533.925,514787989.7
2018-04-06,2544.975,2599.975,2525.0,2589.125,698738677.7
2018-04-09,2591.0,2603.5,2568.275,2581.45,322995175.2
2018-04-10,2582.0,2588.75,2530.0,2567.125,379948901.5
2018-04-11,2569.95,2580.675,2553.0,2567.675,225009250.5
2018-04-12,2566.5,2601.5,2555.0,2581.425,577593381.1
2018-04-13,2610.0,2618.075,2579.3,2604.45,762186051.3
2018-04-16,2606.45,2669.0,2592.925,2656.175,506287232.0
2018-04-17,2668.5,2710.225,2657.125,2671.05,1056846519.0
2018-04-18,2684.0,2694.2,2660.5,2680.825,348007795.9
2018-04-19,2683.5,2709.625,2673.075,2697.9,346975274.8
2018-04-20,2698.0,2700.475,2649.75,2661.175,234887470.0
2018-04-23,2675.0,2682.4,2652.225,2656.525,484561184.0
2018-04-24,2665.0,2671.55,2625.55,2648.6,307162132.8
2018-04-25,2650.0,2726.25,2638.625,2687.65,513164682.9
2018-04-26,2690.0,2706.025,2672.55,2686.7,496663287.8
2018-04-27,2695.0,2747.925,2689.175,2730.375,479744497.5
2018-04-30,2731.5,2768.225,2730.0,2756.6,356405304.4
2018-05-02,2772.5,2782.75,2704.4,2712.525,396477890.9
2018-05-03,2730.0,2730.0,2660.0,2668.55,407195111.8
2018-05-04,2675.0,2713.625,2650.5,2692.25,606212312.9
2018-05-07,2692.25,2750.025,2692.25,2736.35,414132434.3
2018-05-08,2745.0,2750.0,2691.625,2722.35,293019195.2
2018-05-09,2709.5,2726.275,2694.55,2700.75,340721918.3
2018-05-10,2700.225,2713.075,2672.75,2693.225,539204756.6
2018-05-11,2700.0,2746.2,2700.0,2738.85,338959090.8
2018-05-14,2755.0,2755.0,2706.6,2732.05,218636532.1
2018-05-15,2750.0,2753.85,2708.15,2727.4,758458323.7
2018-05-16,2715.0,2792.5,2667.825,2771.1,1305808407.0
2018-05-17,2775.0,2785.0,2720.525,2738.375,733296763.3
2018-05-18,2754.5,2820.0,2740.125,2798.525,854998762.7
2018-05-21,2803.5,2835.5,2739.45,2760.8,619419132.2
2018-05-22,2774.725,2815.0,2760.15,2802.2,625135968.7
2018-05-23,2810.0,2867.5,2800.0,2857.85,1105864526.0
2018-05-24,2851.675,2895.95,2841.0,2859.1,757763748.9
2018-05-25,2860.0,2925.0,2853.025,2913.75,680468992.0
2018-05-28,2939.375,2939.375,2896.5,2921.475,398100550.1
2018-05-29,2927.35,2934.0,2889.125,2902.55,493804039.3
2018-05-30,2876.7,2909.775,2868.0,2894.925,638061383.2
2018-05-31,2900.0,3007.9,2880.0,2961.975,1829029450.0
2018-06-01,2987.0,2987.0,2897.1,2906.225,715902060.3
2018-06-04,2918.7,2932.025,2855.3,2883.1,679700927.6
2018-06-05,2877.775,2920.0,2877.775,2905.9,424711922.3
2018-06-06,2902.5,2944.5,2902.5,2938.475,402183274.3
2018-06-07,2955.0,3008.5,2944.05,2996.65,727115316.5
2018-06-08,3008.0,3008.0,2944.025,2958.825,524011103.6
2018-06-11,2963.5,2982.125,2950.5,2955.225,410431936.8
2018-06-12,2955.225,2977.5,2930.275,2973.3,269413204.6
2018-06-13,2967.55,3040.0,2967.55,3008.575,596848448.5
2018-06-14,3023.5,3023.5,2985.5,3000.875,460484904.3
2018-06-15,3007.5,3089.725,2997.65,3068.3,1093225169.0
2018-06-18,3066.85,3066.85,3029.95,3037.0,714419111.4
2018-06-19,3030.0,3041.475,2961.025,2988.275,570763541.8
2018-06-20,2999.2,3027.75,2985.0,2997.775,779394834.0
2018-06-21,3000.0,3014.975,2975.0,2981.35,454298352.6
2018-06-22,2984.45,2999.0,2947.525,2979.725,547208295.3
2018-06-25,2987.0,3024.95,2980.0,2988.7,389993724.3
2018-06-26,3003.0,3040.9,2981.5,3025.05,681236339.3
2018-06-27,3043.0,3064.5,3024.0,3043.8,834246901.3
2018-06-28,3062.0,3074.0,3027.775,3064.775,782331032.8
2018-06-29,3075.0,3128.975,3056.15,3106.875,974039948.4
2018-07-02,3113.5,3133.975,3085.075,3116.475,498833618.0
2018-07-03,3129.8,3129.8,3093.025,3108.275,582977226.7
2018-07-04,3105.025,3159.55,3105.025,3149.875,622682525.4
2018-07-05,3174.5,3184.5,3147.1,3153.65,454927069.5
2018-07-06,3145.0,3179.75,3140.5,3154.95,741706808.5
2018-07-09,3155.5,3203.575,3150.0,3191.425,390821999.3
2018-07-10,3205.0,3212.525,3185.125,3194.85,588301472.8
2018-07-11,3204.0,3204.475,3154.0,3178.875,933699245.9
2018-07-12,3199.975,3215.6,3161.125,3202.825,916853470.6
2018-07-13,3195.0,3250.0,3195.0,3237.55,710321041.1
2018-07-16,3250.0,3283.5,3249.975,3266.35,563097475.0
2018-07-17,3272.5,3287.1,3207.275,3213.45,703266584.8
2018-07-18,3225.5,3237.525,3155.0,3182.9,682367398.1
2018-07-19,3182.5,3198.2,3141.625,3186.15,624498222.4
2018-07-20,3188.0,3217.35,3155.5,3179.075,617833660.4
2018-07-23,3200.0,3236.2,3182.5,3217.975,544629539.0
2018-07-24,3232.5,3247.5,3199.0,3233.225,509420761.4
2018-07-25,3249.5,3262.0,3215.0,3222.0,351486192.4
2018-07-26,3244.5,3247.275,3207.275,3225.15,697743590.2
2018-07-27,3222.0,3250.0,3185.0,3192.6,450523692.4
2018-07-30,3212.5,3212.5,3102.825,3165.725,1215294432.0
2018-07-31,3189.95,3280.0,3145.725,3271.1,1108971705.0
2018-08-01,3290.0,3312.5,3212.475,3244.925,1002129911.0
2018-08-02,3240.0,3274.5,3219.525,3228.7,750940232.3
2018-08-03,3260.0,3261.0,3184.1,3196.35,1108010910.0
2018-08-06,3220.0,3244.0,3132.425,3163.35,3822760044.0
2018-08-07,3167.0,3183.275,3085.0,3100.2,2173097786.0
2018-08-08,3115.8,3158.5,3108.025,3150.7,1198901403.0
2018-08-09,3160.0,3179.275,3140.275,3167.7,827636347.3
2018-08-10,3181.5,3181.5,3140.55,3171.875,691279795.4
2018-08-13,3171.5,3225.5,3156.5,3215.325,1036789743.0
2018-08-14,3225.0,3247.2,3212.275,3229.75,1087458787.0
2018-08-16,3234.5,3260.0,3213.05,3247.075,960584055.6
2018-08-17,3259.65,3320.225,3239.6,3314.95,1326407558.0
2018-08-20,3334.5,3393.4,3325.0,3385.7,975115781.7
2018-08-21,3397.5,3457.1,3355.025,3428.725,1508129367.0
2018-08-23,3459.0,3467.175,3415.85,3450.075,1119394660.0
2018-08-24,3445.0,3445.0,3382.5,3386.725,939834076.0
2018-08-27,3393.3,3430.0,3390.75,3402.475,446254349.6
2018-08-28,3421.95,3429.225,3409.5,3422.825,531394195.0
2018-08-29,3425.5,3425.5,3363.1,3367.9,641748172.4
2018-08-30,3367.9,3388.0,3282.6,3345.0,1006833194.0
2018-08-31,3345.3,3390.0,3325.025,3368.375,735944085.5
2018-09-03,3395.0,3407.475,3266.0,3282.925,568025127.3
2018-09-04,3268.2,3304.325,3149.85,3172.025,1309656692.0
2018-09-05,3134.0,3159.875,3025.0,3092.5,2298347233.0
2018-09-06,3099.975,3159.475,3060.575,3097.225,1135938514.0
2018-09-07,3120.45,3137.2,3087.9,3114.55,540674059.0
2018-09-10,3120.0,3122.5,3042.5,3047.0,525093001.9
2018-09-11,3051.3,3055.275,2960.075,2970.025,1272488536.0
2018-09-12,2990.0,3030.0,2955.175,3007.75,1316593998.0
2018-09-14,3034.5,3075.0,3000.0,3056.15,1587380852.0
2018-09-17,3054.0,3054.0,2988.275,3010.875,890161800.0
2018-09-18,3011.25,3077.7,3001.225,3033.2,1453266714.0
2018-09-19,3064.0,3064.0,2965.0,2979.95,800942733.4
2018-09-21,2987.55,3002.475,2685.025,2895.375,2136949046.0
2018-09-24,2918.75,2918.75,2781.25,2801.0,1104546850.0
2018-09-25,2812.5,2905.65,2741.025,2886.925,1319249239.0
2018-09-26,2935.0,2937.5,2825.0,2840.95,1084204982.0
2018-09-27,2842.5,2883.0,2812.5,2849.9,1320902258.0
2018-09-28,2897.0,2945.0,2767.1,2911.75,2553326880.0
2018-10-01,2930.0,2940.0,2850.5,2921.775,1002207427.0
2018-10-03,2912.0,2917.325,2851.0,2869.7,770091165.0
2018-10-04,2849.0,2849.0,2775.2,2812.675,1787173029.0
2018-10-05,2807.5,2807.5,2690.075,2723.85,1414517318.0
2018-10-08,2694.5,2784.95,2673.575,2771.75,1260126977.0
2018-10-09,2824.0,2839.45,2723.075,2755.625,1764861781.0
2018-10-10,2737.5,2875.0,2732.025,2854.25,774982214.8
2018-10-11,2762.5,2831.225,2745.3,2785.1,764340636.3
2018-10-12,2834.725,2894.5,2810.65,2878.75,1245687399.0
2018-10-15,2892.0,2892.475,2810.0,2835.8,1108700581.0
2018-10-16,2855.725,2885.0,2810.0,2850.25,560702642.9
2018-10-17,2879.5,2888.825,2752.55,2770.525,1063337825.0
2018-10-19,2774.0,2797.0,2737.5,2781.75,944933155.2
2018-10-22,2808.5,2811.25,2775.5,2790.075,532428411.4
2018-10-23,2784.5,2800.55,2726.125,2742.275,1059387478.0
2018-10-24,2762.75,2792.0,2655.0,2680.075,1305546116.0
2018-10-25,2655.0,2704.8,2628.0,2654.65,1326927081.0
2018-10-26,2669.725,2694.5,2628.6,2660.25,712842960.4
2018-10-29,2658.9,2724.5,2651.325,2699.125,508270593.6
2018-10-30,2710.0,2733.5,2687.7,2723.95,731545628.7
2018-10-31,2733.5,2833.025,2719.525,2822.05,1181703218.0
2018-11-01,2840.0,2858.925,2782.5,2791.525,709183125.8
2018-11-02,2810.5,2862.5,2790.0,2800.5,717441677.2
2018-11-05,2807.0,2865.725,2805.5,2857.25,520643434.8
2018-11-06,2862.25,2899.5,2825.6,2860.625,659730088.2
2018-11-07,2871.125,2910.0,2871.125,2905.225,225437038.2
2018-11-09,2917.0,2944.5,2850.5,2873.225,1282317203.0
2018-11-12,2883.75,2911.2,2791.7,2878.775,2004741551.0
2018-11-13,2890.0,2920.0,2828.0,2906.275,1040769508.0
2018-11-14,2930.0,2931.5,2865.8,2885.375,893838156.0
2018-11-15,2897.0,2914.0,2866.025,2909.075,355257293.9
2018-11-16,2916.5,2995.0,2895.0,2973.825,1337680061.0
2018-11-19,2995.0,3012.0,2970.0,2994.775,1101682460.0
2018-11-20,2985.0,3002.95,2920.425,2944.35,641576005.8
2018-11-21,2955.0,3012.5,2955.0,3002.325,1181274165.0
2018-11-22,3005.0,3030.2,2990.0,3004.35,1051372978.0
2018-11-26,3019.0,3029.45,2975.5,3004.025,1045024884.0
2018-11-27,3009.95,3040.0,2983.0,3017.525,1298482931.0
2018-11-28,3035.0,3035.0,2975.25,2980.875,747645125.3
2018-11-29,3016.0,3045.0,2985.0,3032.35,1253598616.0
2018-11-30,3040.9,3197.0,3040.8,3169.75,2998242279.0
2018-12-03,3175.0,3188.9,3081.35,3094.5,969779261.8
2018-12-04,3100.2,3128.75,3056.1,3093.1,1019905109.0
2018-12-05,3090.0,3109.4,3065.05,3093.0,634102969.5
2018-12-06,3078.9,3078.9,2980.0,2986.35,907881140.6
2018-12-07,2986.35,3013.85,2950.0,3005.35,465370083.5
2018-12-10,2984.95,3000.0,2930.0,2980.65,585004809.2
2018-12-11,2970.0,3009.9,2940.0,2997.2,591472656.9
2018-12-12,3001.8,3074.0,3000.25,3056.5,796822780.6
2018-12-13,3088.0,3157.95,3083.15,3143.2,1257164130.0
2018-12-14,3139.7,3171.1,3097.45,3135.75,588428318.9
2018-12-17,3159.75,3170.0,3114.0,3163.2,719337321.8
2018-12-18,3157.0,3183.0,3130.0,3168.7,727127959.9
2018-12-19,3179.9,3245.0,3170.0,3228.85,1368032316.0
2018-12-20,3207.7,3234.75,3160.15,3170.85,657525445.5
2018-12-21,3199.0,3200.0,3107.1,3119.8,1124811437.0
2018-12-24,3120.5,3157.0,3082.15,3100.55,766419003.5
2018-12-26,3086.4,3114.0,3041.0,3088.95,490754691.5
2018-12-27,3110.0,3124.95,3062.0,3075.4,742974528.3
2018-12-28,3083.0,3114.35,3080.95,3098.5,525452350.4
2018-12-31,3105.15,3120.0,3083.0,3115.4,573893690.1
