date,open,high,low,close,volume
2018-01-01,361.7,366.0,359.05,360.7,317635904.3
2018-01-02,362.2,363.65,349.5,352.05,512616572.2
2018-01-03,352.1,356.35,351.15,352.8,490010783.8
2018-01-04,354.9,365.6,352.0,362.55,994126788.2
2018-01-05,365.8,367.4,359.25,364.85,724334455.7
2018-01-08,365.0,369.45,363.1,364.75,444664932.8
2018-01-09,365.1,368.65,361.05,364.7,693512129.1
2018-01-10,364.0,365.35,352.95,354.65,685497808.6
2018-01-11,354.6,358.3,353.05,355.5,409958294.1
2018-01-12,356.35,358.75,350.35,353.95,493901507.2
2018-01-15,354.0,358.7,352.5,354.35,555892602.5
2018-01-16,355.0,356.3,338.15,339.5,655486299.2
2018-01-17,338.55,358.0,335.0,354.75,1257480129.0
2018-01-18,361.95,362.2,338.7,349.3,1255902235.0
2018-01-19,349.5,366.15,346.8,362.7,1148329366.0
2018-01-22,360.0,366.0,355.8,362.95,647777292.4
2018-01-23,365.0,378.7,359.6,374.5,1552174812.0
2018-01-24,373.8,382.05,368.05,379.25,1930575542.0
2018-01-25,384.7,384.9,358.3,361.35,2207382877.0
2018-01-29,359.4,363.55,341.9,345.55,1381092644.0
2018-01-30,345.0,353.95,340.0,349.4,1219955764.0
2018-01-31,345.1,352.0,338.85,341.35,868169709.8
2018-02-01,342.0,344.0,328.7,329.9,1077162444.0
2018-02-02,325.0,325.0,308.2,311.3,2755755970.0
2018-02-05,304.0,319.8,297.85,317.65,1412974860.0
2018-02-06,300.05,323.0,295.8,318.95,1614453383.0
2018-02-07,323.2,328.45,312.05,314.35,1166423524.0
2018-02-08,314.0,328.0,312.6,323.15,1179554108.0
2018-02-09,315.4,323.9,311.45,321.15,821892185.4
2018-02-12,320.0,333.65,319.15,327.8,1059107510.0
2018-02-14,328.0,328.0,307.25,308.8,1513684697.0
2018-02-15,308.0,317.0,302.7,310.35,1606521483.0
2018-02-16,312.7,314.0,303.1,307.45,985178197.3
2018-02-19,308.0,308.9,286.15,304.2,2260572915.0
2018-02-20,305.35,316.0,299.15,311.25,1923223055.0
2018-02-21,314.7,315.0,304.0,311.7,1046862102.0
2018-02-22,308.7,312.0,307.0,309.2,953424040.7
2018-02-23,311.85,316.6,310.0,313.85,806052970.3
2018-02-26,315.7,316.35,308.15,309.9,793865930.5
2018-02-27,308.0,308.5,293.3,295.6,1969576411.0
2018-02-28,287.0,303.0,285.45,299.25,2439077675.0
2018-03-01,290.05,299.7,288.85,290.3,2456964744.0
2018-03-05,287.0,289.0,278.5,280.25,1593967979.0
2018-03-06,283.4,284.9,264.0,267.95,1430660722.0
2018-03-07,265.5,267.0,242.25,249.45,3546969269.0
2018-03-08,251.45,255.0,240.0,251.15,3048300337.0
2018-03-09,251.0,251.2,234.15,235.45,2616774479.0
2018-03-12,235.1,242.1,225.2,238.6,3546962634.0
2018-03-13,234.0,261.75,232.85,252.0,5971740963.0
2018-03-14,247.9,261.0,241.35,259.6,4935550392.0
2018-03-15,261.0,266.8,257.5,264.45,3341980382.0
2018-03-16,262.6,272.65,260.45,268.35,3578523198.0
2018-03-19,271.0,271.4,257.65,264.2,2888703342.0
2018-03-20,250.0,258.9,250.0,254.2,3624210623.0
2018-03-21,258.0,263.0,255.7,257.7,2375577869.0
2018-03-22,259.0,259.0,253.5,254.65,1406446722.0
2018-03-23,247.0,249.9,242.35,244.75,1541687848.0
2018-03-26,245.4,274.85,242.2,270.5,4337218866.0
2018-03-27,276.0,277.15,265.0,268.8,4759218201.0
2018-03-28,264.8,273.15,262.45,263.9,3292917165.0
2018-04-02,263.0,265.55,256.1,264.3,1620127693.0
2018-04-03,266.05,272.9,264.15,268.85,2159931246.0
2018-04-04,270.0,273.5,261.1,262.5,1928827847.0
2018-04-05,267.0,290.45,266.0,283.1,2717113721.0
2018-04-06,284.6,289.45,277.3,285.9,4867230839.0
2018-04-09,285.85,292.0,280.65,285.85,3301138006.0
2018-04-10,286.9,290.0,284.0,287.35,2505768003.0
2018-04-11,285.0,286.0,278.4,280.6,1973575888.0
2018-04-12,279.8,284.85,276.55,278.0,1903882280.0
2018-04-13,280.0,287.0,278.3,283.95,2275432431.0
2018-04-16,283.55,285.4,280.3,282.1,1726233110.0
2018-04-17,285.0,285.7,272.4,274.7,1973581285.0
2018-04-18,277.4,282.45,274.3,277.3,2456779518.0
2018-04-19,278.05,279.9,276.2,278.3,1043442805.0
2018-04-20,277.0,277.25,255.4,258.7,3114194361.0
2018-04-23,255.3,265.0,251.05,263.15,3681276220.0
2018-04-24,263.0,264.85,257.75,258.7,1665131462.0
2018-04-25,255.0,260.25,252.1,254.35,1742499933.0
2018-04-26,254.2,255.7,250.4,253.65,1316467856.0
2018-04-27,254.5,269.5,254.5,261.05,2543216844.0
2018-04-30,262.0,267.75,258.35,265.95,1400667376.0
2018-05-02,266.0,267.9,253.65,256.35,1333855456.0
2018-05-03,255.9,261.5,252.9,257.4,1561540675.0
2018-05-04,257.0,261.3,253.2,255.6,1338770791.0
2018-05-07,257.9,263.6,256.75,262.75,1072382259.0
2018-05-08,263.6,272.0,255.95,262.1,2384390747.0
2018-05-09,261.45,263.15,257.0,257.95,1446491625.0
2018-05-10,259.6,261.5,246.85,248.6,1579316138.0
2018-05-11,241.25,250.2,241.25,246.7,2314035620.0
2018-05-14,238.05,258.5,237.95,249.35,5647376069.0
2018-05-15,248.05,253.1,240.3,242.0,2680510629.0
2018-05-16,240.75,246.4,235.1,241.0,2559932480.0
2018-05-17,243.8,244.35,238.35,239.9,1522143139.0
2018-05-18,240.0,240.8,234.5,235.7,1309166441.0
2018-05-21,240.7,249.8,235.15,245.65,2216352161.0
2018-05-22,245.0,252.95,240.35,245.7,2318659767.0
2018-05-23,243.65,256.4,238.95,242.7,2933817925.0
2018-05-24,244.0,248.4,240.45,245.1,1876642145.0
2018-05-25,245.3,256.0,244.2,253.2,1501338234.0
2018-05-28,255.25,268.45,254.0,264.45,2676433438.0
2018-05-29,263.6,263.9,255.2,256.85,1915841135.0
2018-05-30,251.05,258.5,250.45,256.15,2230309915.0
2018-05-31,257.0,259.5,252.3,257.15,1641087018.0
2018-06-01,259.9,262.5,252.6,255.95,1955636425.0
2018-06-04,257.0,259.7,252.2,253.15,1463383588.0
2018-06-05,254.75,255.5,248.1,253.6,1508147047.0
2018-06-06,254.65,262.25,251.6,260.6,1964122126.0
2018-06-07,258.3,274.5,257.55,272.3,3616780168.0
2018-06-08,269.9,277.8,268.1,276.25,2865295170.0
2018-06-11,276.25,282.6,272.55,274.95,2020909026.0
2018-06-12,273.2,281.0,273.2,279.5,1846878766.0
2018-06-13,280.5,284.1,278.2,280.35,1685967315.0
2018-06-14,279.75,279.75,272.65,277.5,1641190144.0
2018-06-15,277.7,278.75,267.85,269.65,1790801391.0
2018-06-18,268.5,271.65,266.35,267.7,952254143.9
2018-06-19,266.6,269.8,258.75,262.15,1453519083.0
2018-06-20,262.65,264.95,259.95,261.6,1081898845.0
2018-06-21,262.1,263.6,254.5,255.1,1104257241.0
2018-06-22,255.7,261.9,253.0,259.4,1291003247.0
2018-06-25,258.95,260.4,248.2,249.95,1074971764.0
2018-06-26,248.95,255.4,247.5,253.05,1342383118.0
2018-06-27,252.2,253.0,241.2,247.5,1473715473.0
2018-06-28,249.0,252.3,244.4,248.8,1549467968.0
2018-06-29,251.4,255.8,249.05,251.55,1333924028.0
2018-07-02,250.9,253.5,240.75,248.9,1799473179.0
2018-07-03,247.15,251.9,243.85,244.75,1644408039.0
2018-07-04,244.8,246.65,242.0,244.65,1430798982.0
2018-07-05,246.0,248.3,242.8,243.8,1150607532.0
2018-07-06,245.6,251.0,243.8,247.65,1484084419.0
2018-07-09,251.55,252.9,245.1,249.6,1550826482.0
2018-07-10,249.9,254.7,249.5,250.65,1106020726.0
2018-07-11,250.75,251.2,243.8,245.25,1033105721.0
2018-07-12,246.9,250.1,237.65,241.95,1247747370.0
2018-07-13,241.95,241.95,230.25,231.75,1732990848.0
2018-07-16,231.0,231.0,216.55,222.35,1226485965.0
2018-07-17,221.8,236.0,220.85,234.75,1835449415.0
