date,open,high,low,close,volume
2018-01-01,634.4,638.95,630.45,634.0,11787661.45
2018-01-02,638.5,638.5,621.5,631.95,12748020.3
2018-01-03,631.95,637.0,630.0,632.4,16905634.8
2018-01-04,634.9,685.0,625.85,676.95,106675825.6
2018-01-05,677.0,692.0,663.0,670.05,53769929.8
2018-01-08,674.7,680.0,665.0,670.0,28095626.1
2018-01-09,673.95,673.95,654.9,656.35,19690576.75
2018-01-10,655.25,689.9,650.0,660.6,67105718.3
2018-01-11,660.0,671.8,652.85,657.45,22968897.8
2018-01-12,661.9,672.2,655.1,662.9,22411226.5
2018-01-15,674.8,676.0,662.9,664.95,16831405.3
2018-01-16,665.0,667.0,648.0,651.75,19420000.45
2018-01-17,642.0,650.0,621.6,636.15,50663319.4
2018-01-18,649.95,649.95,625.1,627.45,35008817.55
2018-01-19,627.5,648.0,618.0,621.05,31341826.95
2018-01-22,621.0,635.0,620.05,621.75,19719992.65
2018-01-23,623.75,628.65,619.4,622.3,17365917.3
2018-01-24,623.0,623.1,610.05,613.95,14236327.9
2018-01-25,624.9,672.8,615.05,648.45,109122679.4
2018-01-29,649.0,665.85,632.0,635.95,20700037.4
2018-01-30,625.2,634.3,620.35,621.55,12717609.7
2018-01-31,624.0,629.0,584.0,589.85,47408212.4
2018-02-01,599.0,601.0,555.0,571.8,48810227.05
2018-02-02,580.0,618.0,564.0,589.2,66938860.75
2018-02-05,585.0,587.25,551.5,579.75,22736162.25
2018-02-06,563.8,572.05,521.5,558.4,21561951.2
2018-02-07,582.9,610.0,565.0,590.15,49295128.55
2018-02-08,629.7,629.7,604.55,618.9,38717448.35
2018-02-09,583.0,612.0,583.0,603.25,34840887.45
2018-02-12,624.0,624.0,610.15,615.7,24388547.9
2018-02-14,625.0,671.0,615.25,657.7,120581480.3
2018-02-15,660.4,665.0,651.0,660.95,57510959.25
2018-02-16,664.9,665.0,640.0,649.05,17884844.15
2018-02-19,651.0,651.0,618.05,624.4,15668394.65
2018-02-20,627.5,629.5,607.05,608.75,18993860.45
2018-02-21,606.05,611.0,598.3,600.35,16430241.2
2018-02-22,599.0,599.0,583.05,586.45,19643688.05
2018-02-23,598.0,622.3,585.05,612.7,21103908.15
2018-02-26,618.55,618.55,597.0,606.65,20418583.05
2018-02-27,607.0,612.0,599.0,600.85,25811737.15
2018-02-28,598.0,598.55,587.05,588.8,11109005.6
2018-03-01,585.0,595.0,578.0,585.55,10740912.55
2018-03-05,598.5,630.85,589.0,619.15,67851547.3
2018-03-06,621.5,629.0,612.2,621.25,27003756.35
2018-03-07,618.25,621.0,594.65,601.2,17467795.5
2018-03-08,595.0,608.95,594.25,599.4,12028706.6
2018-03-09,599.4,612.95,599.4,606.45,11388891.35
2018-03-12,612.0,612.05,595.05,598.25,23804311.95
2018-03-13,598.7,608.5,598.35,600.1,15899188.15
2018-03-14,600.1,608.45,597.55,600.6,7706232.2
2018-03-15,592.05,610.0,592.05,606.4,16995160.15
2018-03-16,610.0,615.95,585.55,594.65,24619679.25
2018-03-19,596.0,599.3,564.05,573.45,27525953.5
2018-03-20,579.95,589.9,567.05,571.8,26848777.4
2018-03-21,575.05,580.0,563.7,568.45,21864424.1
2018-03-22,574.95,576.55,564.05,569.3,10944998.7
2018-03-23,551.5,564.95,543.3,557.5,16134207.6
2018-03-26,556.3,556.3,534.0,539.75,22433518.2
2018-03-27,550.0,589.0,545.05,576.5,42551331.55
2018-03-28,570.0,583.0,540.0,569.55,13867721.2
2018-04-02,574.8,597.0,565.0,589.0,31105595.05
2018-04-03,591.0,597.9,580.0,590.15,8327098.7
2018-04-04,599.0,616.0,594.05,600.4,20444272.45
2018-04-05,603.2,613.0,601.0,604.9,7359892.35
2018-04-06,601.15,623.0,596.0,604.85,37036105.3
2018-04-09,591.4,609.0,591.4,605.25,7796367.6
2018-04-10,606.05,608.6,603.05,604.55,4511562.45
2018-04-11,601.25,605.0,575.0,581.85,21843605.1
2018-04-12,586.9,604.85,584.3,595.6,24980939.15
2018-04-13,604.9,604.9,591.8,597.15,16406417.85
2018-04-16,597.75,599.95,588.05,591.9,6843858.75
2018-04-17,591.0,604.85,591.0,600.05,7808808.05
2018-04-18,603.9,604.5,596.5,598.4,7991836.05
2018-04-19,602.9,603.85,590.0,593.55,11676641.6
2018-04-20,594.0,600.5,588.35,594.65,8732194.4
2018-04-23,600.05,607.0,597.05,600.05,7231176.85
2018-04-24,600.0,608.9,600.0,600.4,6838381.8
2018-04-25,597.05,619.95,589.35,597.95,39521305.85
2018-04-26,598.0,614.5,598.0,606.75,10020325.8
2018-04-27,603.4,612.7,591.0,598.65,19422817.75
2018-04-30,600.75,604.45,594.25,599.1,8100430.0
2018-05-02,619.95,619.95,598.95,602.3,15431441.95
2018-05-03,596.0,609.0,576.2,593.55,39841738.9
2018-05-04,595.0,599.9,589.0,590.8,6523212.1
2018-05-07,590.05,599.2,590.05,595.05,8491690.0
2018-05-08,598.45,598.45,578.05,581.95,29384727.75
2018-05-09,581.2,593.6,579.35,585.25,7501784.95
2018-05-10,586.7,588.7,576.0,577.75,12571549.55
2018-05-11,575.0,585.95,575.0,580.0,6600157.1
2018-05-14,580.0,587.8,580.0,582.8,6702419.85
2018-05-15,584.3,591.9,573.0,578.15,13077311.35
2018-05-16,580.25,585.4,571.3,574.6,8045951.3
2018-05-17,579.2,586.6,577.9,581.5,6677303.6
2018-05-18,584.95,588.0,575.0,580.9,9031668.6
2018-05-21,580.6,584.9,573.2,575.15,6417208.1
2018-05-22,574.05,576.55,563.65,572.15,10309701.6
2018-05-23,572.05,578.45,570.75,574.0,12579412.05
2018-05-24,573.95,579.45,567.5,569.25,10652032.8
2018-05-25,570.2,599.9,562.5,593.15,17141325.0
2018-05-28,590.35,613.0,585.25,595.25,23027912.65
2018-05-29,590.0,595.25,511.1,537.4,245741088.2
2018-05-30,526.35,530.0,494.65,503.0,116943334.0
2018-05-31,503.25,515.0,496.8,501.4,24476804.1
2018-06-01,508.0,508.0,420.55,429.5,156278838.5
