date,open,high,low,close,volume
2018-01-01,387.0,387.0,371.0,373.75,31665713.1
2018-01-02,374.1,377.5,372.3,374.3,7425128.55
2018-01-03,376.9,393.0,376.0,390.8,140584085.1
2018-01-04,398.45,427.0,393.05,420.5,399626422.1
2018-01-05,421.9,423.9,414.0,418.35,81219469.7
2018-01-08,424.0,424.0,409.0,415.4,153404331.4
2018-01-09,416.0,419.9,414.0,416.4,52249139.05
2018-01-10,419.0,419.0,410.2,415.0,40688733.35
2018-01-11,415.05,419.8,411.55,413.85,26093661.75
2018-01-12,415.0,417.15,398.0,404.4,19184768.05
2018-01-15,397.0,417.0,397.0,410.65,46310223.55
2018-01-16,411.4,416.7,396.0,399.75,36295066.75
2018-01-17,399.85,402.4,390.1,399.8,35082570.4
2018-01-18,403.4,404.2,387.95,390.7,18626638.3
2018-01-19,387.0,395.7,385.3,390.65,12163585.95
2018-01-22,387.0,399.0,387.0,395.85,19471316.0
2018-01-23,396.7,400.0,390.0,390.65,10404093.7
2018-01-24,394.7,395.9,389.0,392.85,17684508.7
2018-01-25,391.0,404.6,388.7,391.0,99492035.45
2018-01-29,391.0,393.95,388.1,390.0,27999619.45
2018-01-30,389.05,390.95,380.0,382.45,16219344.65
2018-01-31,379.1,382.0,367.15,370.35,38410477.85
2018-02-01,374.4,382.0,367.0,376.45,22741462.55
2018-02-02,371.0,380.0,358.3,365.7,57883934.95
2018-02-05,356.65,364.3,346.55,359.0,40971856.15
2018-02-06,341.0,362.0,341.0,354.25,64488016.85
2018-02-07,357.25,364.3,353.0,354.25,23038922.4
2018-02-08,355.5,362.85,355.0,357.35,33542393.15
2018-02-09,350.5,364.0,350.5,360.7,17543850.15
2018-02-12,361.05,368.75,358.05,367.2,11359358.45
2018-02-14,370.0,371.05,358.3,361.15,129162763.9
2018-02-15,365.5,365.5,350.3,352.7,54286728.05
2018-02-16,353.0,354.8,347.5,350.8,37810755.75
2018-02-19,353.95,358.0,345.0,354.5,12844327.2
2018-02-20,355.0,367.0,352.0,361.95,38199231.3
2018-02-21,364.95,368.5,356.55,358.8,16944782.3
2018-02-22,357.7,359.4,352.3,355.0,21573365.4
2018-02-23,355.9,358.0,354.05,356.9,8959401.05
2018-02-26,361.0,366.0,355.55,358.55,26905902.3
2018-02-27,358.5,362.8,350.5,354.9,22814591.7
2018-02-28,352.3,354.15,346.25,349.25,34327746.1
2018-03-01,350.25,353.0,343.55,344.9,11769592.2
2018-03-05,345.0,347.0,335.1,337.1,22629213.4
2018-03-06,339.75,354.0,339.75,350.45,111779307.9
2018-03-07,353.0,353.45,342.55,344.55,87105279.05
2018-03-08,347.85,350.95,340.1,349.9,49956535.2
2018-03-09,353.0,353.0,344.1,347.25,14012439.5
2018-03-12,350.0,352.3,343.1,345.05,21450776.25
2018-03-13,347.4,354.7,344.25,351.05,28348388.85
2018-03-14,351.0,352.5,343.15,344.9,116445186.8
2018-03-15,346.95,351.2,343.2,348.75,57166581.45
2018-03-16,351.0,351.0,342.55,347.95,18811340.0
2018-03-19,349.8,349.8,332.2,338.3,73384175.55
2018-03-20,338.0,345.65,334.05,342.9,10405670.5
2018-03-21,343.4,344.95,340.0,341.1,10550858.7
2018-03-22,340.0,347.9,340.0,344.25,13794046.75
2018-03-23,339.0,341.45,334.0,337.0,23613788.9
2018-03-26,341.95,343.0,332.5,340.1,70220499.85
2018-03-27,344.3,354.0,342.95,352.2,40751237.95
2018-03-28,352.0,352.05,345.0,347.4,7496096.95
2018-04-02,349.95,351.35,346.25,350.5,10910951.35
2018-04-03,349.05,366.85,349.05,364.55,28708193.95
2018-04-04,365.1,376.0,365.1,370.75,39684655.5
2018-04-05,373.5,376.0,368.0,372.2,35608927.95
2018-04-06,372.05,372.95,366.65,368.25,9900832.2
2018-04-09,371.0,371.0,361.55,363.55,12025957.05
2018-04-10,362.6,366.35,357.0,361.25,18059266.65
2018-04-11,360.0,364.5,355.5,362.15,7359735.1
2018-04-12,365.5,365.5,356.1,357.85,5976004.05
2018-04-13,361.65,365.0,355.0,357.1,8422716.5
2018-04-16,359.5,363.8,355.55,362.4,6145084.3
2018-04-17,363.25,371.0,357.3,368.4,89362709.4
2018-04-18,373.9,374.0,356.5,358.5,24993413.0
2018-04-19,357.0,360.95,356.0,359.65,21035890.35
2018-04-20,358.85,368.4,358.85,366.05,48179336.95
2018-04-23,367.65,370.0,360.3,366.1,19114097.4
2018-04-24,367.45,371.8,366.4,368.6,8107664.65
2018-04-25,370.25,370.25,357.1,358.65,11078638.85
2018-04-26,359.3,361.35,355.0,360.0,9101174.3
2018-04-27,361.0,366.0,358.25,363.7,15912459.1
2018-04-30,364.75,381.95,363.5,377.25,24199757.2
2018-05-02,382.0,386.0,365.05,368.15,14747564.05
2018-05-03,369.25,369.25,359.5,363.05,6724769.85
2018-05-04,363.05,383.8,361.45,375.85,130305372.8
2018-05-07,376.0,377.0,368.15,370.2,10974092.45
2018-05-08,370.95,377.95,368.2,373.55,11999098.5
2018-05-09,375.0,375.05,367.7,368.9,6292265.5
2018-05-10,371.95,371.95,362.6,365.25,4572597.8
2018-05-11,367.95,368.8,362.0,365.6,7656241.95
2018-05-14,365.05,368.9,360.15,361.6,5122047.05
2018-05-15,361.0,366.0,357.3,357.85,20420455.65
2018-05-16,358.35,360.75,355.05,356.7,3772954.15
2018-05-17,357.05,360.65,348.0,348.7,25095293.35
2018-05-18,349.3,350.85,344.8,345.15,4343035.9
2018-05-21,349.0,349.0,322.25,327.25,20373842.2
2018-05-22,328.0,337.95,325.0,334.95,59054751.35
2018-05-23,337.0,339.95,333.9,335.4,6770592.4
2018-05-24,335.7,335.95,327.0,329.4,10523992.1
2018-05-25,329.75,349.0,327.05,344.8,54323088.0
2018-05-28,344.75,351.5,344.75,350.05,7345237.4
2018-05-29,351.05,354.0,347.95,350.2,15180278.75
2018-05-30,350.0,351.35,346.25,350.15,7042849.25
2018-05-31,350.6,353.85,345.0,348.6,47605677.4
2018-06-01,349.75,349.75,335.0,337.05,17876300.3
2018-06-04,340.0,340.3,328.0,331.35,23491288.05
2018-06-05,331.7,333.95,325.0,326.1,77744699.5
2018-06-06,326.45,330.0,325.25,327.7,5757381.8
2018-06-07,329.95,335.55,329.75,332.1,8987480.3
2018-06-08,332.5,337.5,331.0,333.55,3036304.4
2018-06-11,337.9,338.35,330.0,331.85,7624105.4
2018-06-12,332.5,340.0,331.95,339.5,9223440.1
2018-06-13,338.45,339.3,335.0,335.2,4202003.5
2018-06-14,335.2,338.0,328.8,332.85,8795758.65
2018-06-15,332.85,336.85,328.05,329.85,5369373.25
2018-06-18,329.85,337.3,328.95,330.15,4667699.8
2018-06-19,330.8,337.0,326.45,333.85,26728381.7
2018-06-20,336.55,337.95,327.1,331.25,9519665.55
2018-06-21,332.0,332.0,324.0,325.85,33384422.45
2018-06-22,325.85,333.0,322.4,331.25,7418092.75
2018-06-25,331.25,334.0,326.0,328.95,7566467.15
2018-06-26,328.95,332.3,328.95,330.05,4306278.85
2018-06-27,330.25,331.8,314.95,320.9,9672219.1
2018-06-28,316.1,321.8,315.05,319.7,28919444.15
2018-06-29,319.8,326.0,313.85,316.9,11349913.2
2018-07-02,318.65,322.0,316.15,318.05,7575624.1
2018-07-03,318.05,321.0,314.0,319.05,6306877.75
2018-07-04,319.05,322.0,316.1,319.55,4172325.75
2018-07-05,320.25,322.0,317.1,318.85,74437441.25
2018-07-06,318.85,325.0,318.1,323.6,6051526.6
2018-07-09,324.0,330.8,323.25,329.5,6803917.0
2018-07-10,331.95,344.8,329.8,341.9,22571325.55
2018-07-11,342.8,345.0,335.0,337.8,5154602.0
2018-07-12,341.5,349.8,338.05,345.45,14325656.75
2018-07-13,344.95,346.0,325.55,337.5,26144788.75
2018-07-16,338.0,344.05,325.0,325.1,45998840.25
2018-07-17,325.9,335.0,324.2,332.7,5242757.85
2018-07-18,334.5,338.0,327.15,329.65,6696744.05
2018-07-19,329.65,329.9,321.75,323.85,3700601.25
2018-07-20,323.85,325.0,319.85,320.05,26093177.1
2018-07-23,320.95,331.0,320.0,330.0,8067169.45
2018-07-24,330.0,354.0,326.45,345.9,26899540.35
2018-07-25,346.25,361.25,346.25,357.25,27127331.55
2018-07-26,357.25,358.05,349.95,350.25,10629751.2
2018-07-27,350.15,360.05,345.5,358.4,19597876.65
2018-07-30,355.1,373.55,355.1,370.0,32793008.7
2018-07-31,370.6,378.4,362.0,371.05,16964367.75
2018-08-01,367.7,379.7,364.95,377.15,20902062.0
2018-08-02,377.0,377.0,362.65,369.85,17266890.95
2018-08-03,368.05,401.9,368.05,380.15,248347972.6
2018-08-06,373.0,380.15,360.25,362.5,27914481.1
2018-08-07,363.0,366.0,352.05,354.3,70268399.85
2018-08-08,354.0,358.0,345.0,352.95,46376459.2
2018-08-09,359.25,363.0,349.3,351.65,33286435.1
2018-08-10,348.1,356.55,345.5,350.3,14481002.0
