date,open,high,low,close,volume
2018-01-01,305.0,305.0,299.25,299.9,10207475.45
2018-01-02,302.7,302.7,298.6,299.65,9819543.7
2018-01-03,300.1,300.85,295.05,298.45,12561263.1
2018-01-04,299.0,309.7,298.0,299.25,42743946.9
2018-01-05,300.9,308.9,299.4,302.0,80378678.1
2018-01-08,310.0,311.05,300.55,301.3,77045030.25
2018-01-09,304.3,308.0,300.1,305.35,137497337.1
2018-01-10,309.1,315.0,300.5,303.1,131474047.1
2018-01-11,308.65,308.75,300.5,301.5,114099267.5
2018-01-12,302.65,307.75,300.0,301.2,64120307.45
2018-01-15,305.0,305.9,301.95,302.4,29084601.35
2018-01-16,303.85,303.85,296.1,298.2,33654770.9
2018-01-17,299.75,299.75,291.05,293.95,36700012.85
2018-01-18,295.95,299.35,283.95,286.7,72639751.75
2018-01-19,290.05,299.0,289.65,293.6,46546212.65
2018-01-22,294.25,298.9,292.25,295.7,20467662.85
2018-01-23,298.0,301.9,295.5,297.45,33606995.6
2018-01-24,299.65,302.0,294.45,299.4,25896842.75
2018-01-25,298.15,299.0,290.0,292.15,15650871.95
2018-01-29,293.0,295.35,290.1,291.85,11257828.7
2018-01-30,292.25,298.0,286.0,290.4,14465949.1
2018-01-31,289.4,297.7,287.0,294.85,34640841.45
2018-02-01,296.95,298.85,282.0,294.75,18236040.15
2018-02-02,285.0,286.95,268.0,275.9,64836354.85
2018-02-05,268.0,287.65,265.0,281.25,75951172.55
2018-02-06,270.0,295.5,266.0,292.45,66789268.8
2018-02-07,297.0,302.0,290.8,300.15,145083514.1
2018-02-08,300.0,310.0,296.0,298.65,66878896.65
2018-02-09,295.0,298.8,292.0,294.65,27838177.5
2018-02-12,297.4,298.0,291.25,293.6,11554729.75
2018-02-14,295.7,295.75,290.0,290.9,10004958.7
2018-02-15,290.0,291.9,284.0,284.7,31273019.6
2018-02-16,284.15,287.6,280.0,282.65,9505048.2
2018-02-19,284.85,287.0,282.8,286.25,8813155.85
2018-02-20,290.4,290.4,281.05,281.8,7441771.9
2018-02-21,284.85,284.85,278.6,281.05,7585316.2
2018-02-22,277.25,281.8,276.05,277.6,12711189.15
2018-02-23,279.9,289.9,278.55,287.4,135460368.7
2018-02-26,288.95,296.85,288.65,294.1,32207740.65
2018-02-27,296.8,299.9,296.8,299.0,32307342.45
2018-02-28,299.0,299.0,293.0,296.4,14851634.1
2018-03-01,296.0,299.95,296.0,299.25,22381260.1
2018-03-05,298.5,301.0,296.05,297.55,79781785.15
2018-03-06,301.5,301.5,291.0,294.9,14828646.55
2018-03-07,295.0,297.35,291.5,294.9,21923802.05
2018-03-08,295.0,299.0,291.6,293.95,25608920.1
2018-03-09,294.0,296.05,288.0,290.1,34184262.55
2018-03-12,294.4,295.0,287.2,288.4,17297969.4
2018-03-13,292.45,295.0,288.55,291.85,10551613.8
2018-03-14,294.4,294.4,289.1,290.35,11126037.85
2018-03-15,292.5,299.65,288.1,294.1,19214362.05
2018-03-16,295.8,299.0,292.0,294.15,6055839.0
2018-03-19,296.9,296.9,278.0,282.65,18818891.35
2018-03-20,281.85,294.8,280.75,288.15,16453605.55
2018-03-21,291.9,297.5,286.1,289.35,65828252.45
2018-03-22,290.45,294.4,274.95,277.05,26567685.6
2018-03-23,273.4,284.5,272.95,282.35,15006228.15
2018-03-26,280.7,285.95,278.0,279.5,8262901.2
2018-03-27,278.35,285.0,278.0,279.85,6273938.55
2018-03-28,279.85,281.15,274.0,278.5,16480766.0
2018-04-02,283.0,283.0,275.85,278.5,23126681.9
2018-04-03,279.65,284.0,278.7,283.1,15176488.2
2018-04-04,288.95,288.95,280.2,282.3,34680977.05
2018-04-05,282.0,293.9,282.0,289.9,11096535.9
2018-04-06,289.15,291.8,286.45,287.45,5878372.2
2018-04-09,288.95,288.95,284.0,285.45,6713555.25
2018-04-10,289.8,292.0,284.85,287.85,134450229.9
2018-04-11,291.65,298.45,287.05,287.9,122237035.1
2018-04-12,290.65,293.85,287.0,288.45,13487202.3
2018-04-13,288.45,294.75,287.1,292.35,12289818.15
2018-04-16,292.0,294.0,290.55,293.05,2933698.6
2018-04-17,294.45,299.0,290.2,291.45,87739695.05
2018-04-18,293.0,293.65,288.1,289.65,6249177.55
2018-04-19,291.45,292.5,288.5,290.95,37651245.95
2018-04-20,287.35,291.0,287.35,290.3,5777503.2
2018-04-23,292.7,292.7,289.8,291.55,13932241.65
2018-04-24,293.0,297.0,292.1,296.1,20639364.95
2018-04-25,296.0,296.7,292.55,295.75,6220243.1
2018-04-26,295.8,304.05,293.35,301.05,30125586.85
2018-04-27,301.05,305.0,298.05,304.15,13510583.3
2018-04-30,304.15,315.0,304.15,312.85,25930163.6
2018-05-02,316.9,317.7,309.0,311.0,11509601.6
2018-05-03,311.0,312.1,306.5,308.75,8573094.65
2018-05-04,311.9,311.95,305.0,308.85,7739998.25
2018-05-07,311.0,312.35,308.5,309.65,6449282.9
2018-05-08,312.2,312.2,305.0,308.5,5918271.8
2018-05-09,310.95,311.75,306.65,309.9,18671237.6
2018-05-10,312.4,315.0,299.2,303.2,16598197.9
2018-05-11,303.2,306.9,298.1,302.85,6201285.35
2018-05-14,300.15,305.85,297.0,297.65,5953859.75
2018-05-15,299.8,312.95,297.0,310.95,36696329.0
2018-05-16,312.0,318.0,311.6,317.35,48214265.6
2018-05-17,319.5,320.0,316.1,318.55,17178575.65
2018-05-18,318.75,320.95,315.5,316.0,17226801.6
2018-05-21,318.8,319.0,294.1,298.75,71848446.15
2018-05-22,299.95,306.0,290.35,303.75,47326171.1
2018-05-23,304.75,312.0,300.25,310.05,21239013.4
2018-05-24,314.95,319.0,309.95,315.05,42116907.8
2018-05-25,315.4,317.1,312.1,314.45,130323936.4
2018-05-28,318.9,318.9,311.2,313.25,24200109.85
2018-05-29,314.7,314.7,308.05,311.6,8290099.6
2018-05-30,308.55,312.3,305.65,307.4,7912419.0
2018-05-31,309.0,309.0,291.1,301.2,157731645.7
2018-06-01,299.95,299.95,290.0,294.55,7959888.55
2018-06-04,295.65,299.1,291.65,295.15,8172069.15
2018-06-05,295.8,295.8,282.15,283.45,15525879.4
2018-06-06,283.0,289.1,277.05,285.9,10760587.85
2018-06-07,285.75,289.9,284.1,285.0,9888568.45
2018-06-08,285.8,286.0,282.85,283.95,9790308.9
2018-06-11,285.25,286.55,283.9,285.9,14021344.65
2018-06-12,286.9,288.35,282.0,284.55,7633641.05
2018-06-13,287.75,287.75,280.55,284.15,8274902.45
2018-06-14,286.4,286.4,279.1,280.2,16355732.85
2018-06-15,280.2,284.5,278.5,280.55,20184546.2
2018-06-18,278.5,282.7,274.05,275.4,10349541.0
2018-06-19,275.05,277.95,266.15,267.0,18629054.95
2018-06-20,267.7,271.85,267.7,269.9,8073940.0
2018-06-21,272.4,281.0,269.2,270.85,22244511.5
2018-06-22,272.5,272.5,267.25,269.65,4017262.05
2018-06-25,270.95,270.95,263.0,263.75,23260597.2
2018-06-26,264.9,265.05,261.0,263.95,6711409.75
2018-06-27,265.0,267.85,258.0,259.7,8048032.15
2018-06-28,260.95,262.0,253.5,257.65,8214814.45
2018-06-29,258.9,274.85,258.5,270.15,8397157.45
2018-07-02,268.7,274.7,262.25,270.45,8467270.7
2018-07-03,270.05,275.0,265.0,266.5,33880217.7
2018-07-04,267.75,269.65,265.1,266.3,5781955.35
2018-07-05,266.8,272.25,265.05,268.45,116107136.1
2018-07-06,268.0,268.95,264.05,265.85,7472366.2
2018-07-09,265.55,276.0,265.55,274.0,11371185.0
2018-07-10,276.0,278.8,272.1,276.0,12867764.3
2018-07-11,275.35,276.9,270.0,271.5,7668088.85
2018-07-12,272.45,278.0,270.15,275.8,7481826.05
2018-07-13,275.1,283.75,275.1,281.5,14816841.5
2018-07-16,284.0,286.0,269.0,271.2,76886312.0
2018-07-17,269.05,274.0,266.25,270.85,30464519.15
2018-07-18,273.0,275.0,269.6,274.4,35916921.9
2018-07-19,274.4,274.4,270.65,272.15,11162369.5
2018-07-20,271.9,279.0,270.5,276.95,31195576.95
2018-07-23,279.3,279.6,275.0,275.9,41172277.8
2018-07-24,273.5,279.4,273.5,275.9,33534040.05
2018-07-25,282.0,282.0,272.95,275.25,198754512.2
2018-07-26,276.5,277.0,270.25,271.95,21775792.95
2018-07-27,273.0,274.55,267.1,267.65,18323981.0
2018-07-30,267.0,272.25,267.0,268.95,20102351.35
2018-07-31,268.05,270.05,264.3,265.0,21247083.95
2018-08-01,264.0,269.0,264.0,264.95,35200107.05
2018-08-02,264.5,268.55,259.15,260.45,17827330.05
2018-08-03,260.0,265.0,259.95,261.45,13495879.25
2018-08-06,262.0,264.25,260.9,261.95,10204572.45
2018-08-07,262.95,263.95,259.15,260.1,12497355.45
2018-08-08,261.8,263.9,254.5,254.9,23554949.35
2018-08-09,254.1,263.05,254.1,258.05,35841171.45
2018-08-10,260.65,263.0,255.55,257.2,5252722.6
2018-08-13,254.2,260.9,253.0,254.35,84645432.25
2018-08-14,252.55,257.5,252.55,256.1,9555922.5
2018-08-16,254.05,261.5,254.0,260.85,9179547.25
2018-08-17,262.0,264.85,260.1,261.0,5650696.95
2018-08-20,260.35,266.0,259.0,260.15,11275303.25
2018-08-21,258.65,268.0,257.95,264.15,54782976.0
2018-08-23,264.0,265.3,259.8,261.45,11874215.95
2018-08-24,260.15,265.15,260.15,260.85,6786434.1
2018-08-27,258.75,266.0,258.75,264.05,9854042.45
2018-08-28,267.85,270.0,265.4,267.3,18575093.3
2018-08-29,268.0,272.25,266.05,268.0,9283021.7
2018-08-30,269.8,270.5,268.0,268.65,4646388.85
2018-08-31,269.5,292.45,268.0,285.2,27431119.7
2018-09-03,289.9,294.75,287.0,291.2,20202129.15
2018-09-04,293.05,293.1,274.35,277.05,17848945.95
2018-09-05,277.05,279.75,267.1,268.6,12674934.9
2018-09-06,270.0,271.95,267.1,268.95,7930467.4
2018-09-07,269.95,270.5,265.2,267.7,10178743.8
2018-09-10,269.85,270.5,264.65,269.45,16363384.55
2018-09-11,268.65,277.7,267.5,274.25,24534436.75
2018-09-12,272.85,275.35,265.3,273.35,13757540.8
2018-09-14,273.35,273.35,266.1,267.95,10840125.9
2018-09-17,265.55,268.45,261.0,265.3,10362440.6
2018-09-18,262.35,272.5,262.35,270.35,11370014.55
2018-09-19,271.95,271.95,264.5,267.05,4038103.8
2018-09-21,270.35,270.35,256.9,258.05,11596932.7
2018-09-24,264.8,264.8,250.0,251.05,11448395.9
2018-09-25,254.85,254.85,250.0,253.3,12798257.7
2018-09-26,253.05,261.65,253.05,259.2,14245437.35
2018-09-27,261.95,261.95,254.75,255.3,3550659.0
2018-09-28,259.0,260.0,250.0,251.45,10116348.55
2018-10-01,252.8,253.05,245.9,250.1,6159160.55
2018-10-03,250.1,268.0,248.55,250.3,35101538.3
2018-10-04,248.5,253.15,245.0,248.25,6261520.3
2018-10-05,246.5,251.05,246.5,248.8,5305436.4
2018-10-08,250.0,253.95,245.0,247.65,33343056.55
2018-10-09,249.0,252.7,244.85,245.2,8316468.1
2018-10-10,248.85,250.0,242.0,243.8,6521936.85
2018-10-11,237.75,242.6,234.95,237.8,5292202.85
2018-10-12,241.3,245.0,237.7,244.0,5899929.5
2018-10-15,246.1,247.4,242.45,244.35,13918740.95
2018-10-16,251.85,254.25,242.0,243.6,24711682.5
2018-10-17,244.85,246.2,239.0,239.9,8621572.05
2018-10-19,238.5,247.8,237.0,243.55,6379583.25
2018-10-22,246.0,254.8,238.15,241.75,66959620.75
2018-10-23,241.75,243.45,235.0,236.05,39950765.05
2018-10-24,238.9,238.9,230.25,232.75,15360152.2
2018-10-25,231.95,231.95,225.5,225.95,16951594.65
2018-10-26,226.35,235.45,226.0,233.8,10590997.0
2018-10-29,239.0,239.0,230.5,234.7,34053825.8
2018-10-30,236.45,239.8,234.7,237.1,34287130.35
2018-10-31,239.0,254.25,238.3,253.15,19275674.1
2018-11-01,254.0,267.0,252.4,260.05,55436225.7
2018-11-02,260.2,270.0,260.2,268.15,24711521.3
2018-11-05,269.9,270.6,264.25,267.0,4641120.15
2018-11-06,268.9,273.45,264.35,270.7,15933676.6
2018-11-07,268.2,275.0,268.2,273.4,3575828.75
2018-11-09,270.0,275.0,269.45,272.45,9305082.3
2018-11-12,276.45,276.45,268.45,269.9,9546494.2
2018-11-13,267.2,272.9,266.15,271.7,24347584.0
2018-11-14,272.0,274.95,268.5,270.55,10518706.3
2018-11-15,268.6,274.1,268.6,272.8,61077035.0
2018-11-16,269.05,274.2,269.05,270.1,5327852.25
2018-11-19,272.45,275.0,267.35,272.15,10771052.2
2018-11-20,271.9,274.7,270.25,273.1,23904305.4
2018-11-21,271.1,273.35,271.0,272.5,27804767.15
2018-11-22,272.0,273.65,268.0,268.9,10822312.5
2018-11-26,270.2,271.0,266.5,267.55,11259277.8
2018-11-27,268.0,269.6,266.1,267.6,5796288.55
2018-11-28,266.05,269.8,266.05,268.25,13297060.55
2018-11-29,267.0,270.0,267.0,268.45,6841539.9
2018-11-30,266.15,270.6,266.15,268.15,7833965.6
2018-12-03,262.1,270.0,262.1,269.55,7728792.65
2018-12-04,269.9,269.9,266.45,268.0,48670966.8
2018-12-05,263.2,269.55,262.0,264.55,9640712.55
2018-12-06,265.0,270.0,264.3,269.2,9652126.8
2018-12-07,265.3,272.45,265.3,268.6,3122791.7
2018-12-10,264.0,270.0,262.75,267.9,3253572.25
2018-12-11,265.5,278.0,265.5,275.6,67562041.05
2018-12-12,284.4,285.0,275.7,277.65,32955281.55
2018-12-13,277.75,281.0,276.55,280.05,6269158.2
2018-12-14,277.0,280.0,277.0,278.5,16733732.35
2018-12-17,277.0,281.7,277.0,278.5,26041888.2
2018-12-18,280.0,280.0,275.5,276.35,3877763.65
2018-12-19,278.45,279.0,273.1,274.3,48099253.5
2018-12-20,274.5,275.4,271.45,273.2,5305726.05
2018-12-21,270.05,274.0,270.05,271.05,4637852.25
2018-12-24,270.1,274.95,269.65,273.05,5313488.85
2018-12-26,272.0,274.9,270.05,271.7,5506047.85
2018-12-27,274.2,274.2,271.85,272.6,3625967.2
2018-12-28,272.05,272.9,271.2,271.95,119118435.5
2018-12-31,270.6,271.7,269.05,269.4,22018955.3
2019-01-01,268.0,271.0,268.0,269.8,1649377.9
2019-01-02,269.35,271.85,269.25,270.0,9229487.75
2019-01-03,270.0,271.05,267.05,270.3,5841861.6
2019-01-04,269.75,271.95,269.25,270.8,3062865.55
2019-01-07,270.15,271.2,260.75,265.25,9063024.2
2019-01-08,261.3,272.0,261.3,269.85,11143397.15
2019-01-09,269.45,271.75,268.05,269.25,3810910.7
2019-01-10,266.1,270.5,266.1,269.3,3836781.0
2019-01-11,268.2,270.25,268.2,269.45,6343587.7
2019-01-14,267.0,270.0,261.75,266.15,7881794.95
2019-01-15,264.05,267.75,263.4,265.0,7903947.85
2019-01-16,265.0,269.0,264.45,265.05,2725166.45
2019-01-17,264.25,267.8,263.0,264.5,1538999.5
2019-01-18,264.25,275.0,263.0,272.45,11015082.5
2019-01-21,272.1,276.65,269.0,274.05,11787895.25
2019-01-22,277.0,277.0,271.1,272.3,1848656.3
2019-01-23,271.15,274.95,271.15,272.15,3381672.05
2019-01-24,276.3,277.2,269.15,273.85,10064085.7
2019-01-25,273.95,275.0,267.9,270.45,3517598.05
2019-01-28,267.55,270.9,266.5,269.15,3524785.55
2019-01-29,266.7,270.95,266.7,269.85,3446991.05
