date,open,high,low,close,volume
2018-01-01,341.0,354.0,337.45,347.55,138523176.0
2018-01-02,349.5,349.75,336.05,338.85,95364076.6
2018-01-03,342.2,346.85,337.5,342.65,148860029.2
2018-01-04,348.65,350.0,344.5,349.2,91313225.5
2018-01-05,349.95,351.35,342.45,344.3,64084156.05
2018-01-08,347.9,349.95,344.0,348.55,94971190.35
2018-01-09,351.3,354.9,347.0,348.25,77505683.45
2018-01-10,350.0,356.0,348.4,352.55,152958649.3
2018-01-11,355.9,363.0,353.0,354.6,125752799.9
2018-01-12,357.8,359.9,352.0,355.05,113221147.0
2018-01-15,357.7,362.95,355.05,358.35,65736277.75
2018-01-16,360.0,360.0,346.5,348.55,65785097.0
2018-01-17,345.05,356.0,338.4,352.15,68008983.95
2018-01-18,359.9,359.9,337.1,341.25,69503231.95
2018-01-19,344.1,350.0,332.55,346.6,55388668.75
2018-01-22,350.9,350.9,335.55,339.2,69020904.65
2018-01-23,340.5,342.85,331.0,332.6,61133694.35
2018-01-24,333.6,338.9,331.9,337.5,34081418.7
2018-01-25,340.0,340.95,335.6,339.0,31358116.6
2018-01-29,340.0,340.0,320.0,321.15,100598359.0
2018-01-30,315.5,334.6,312.05,324.45,86876806.9
2018-01-31,327.7,329.0,313.4,321.15,61441701.65
2018-02-01,325.0,329.5,314.0,322.9,58739580.8
2018-02-02,321.9,325.95,305.0,309.65,75899483.8
2018-02-05,291.0,307.0,291.0,303.1,112076303.3
2018-02-06,292.0,301.75,284.6,296.65,90535298.65
2018-02-07,307.5,339.7,305.1,335.75,550088660.4
2018-02-08,337.75,338.9,326.05,326.6,93817283.25
2018-02-09,323.0,329.0,318.0,324.2,75969734.05
2018-02-12,326.7,331.5,324.9,328.25,46319591.15
2018-02-14,333.0,334.0,325.75,328.95,80689675.1
2018-02-15,328.5,332.5,323.1,326.1,46457848.6
2018-02-16,326.95,329.0,316.55,319.75,50285911.45
2018-02-19,324.9,325.25,315.0,318.2,62260131.65
2018-02-20,319.0,320.0,312.25,313.55,27926076.4
2018-02-21,317.45,317.45,308.85,314.0,25747684.55
2018-02-22,313.5,317.9,310.1,313.8,23125775.1
2018-02-23,315.0,322.75,312.25,315.15,90244134.35
2018-02-26,316.1,328.0,310.5,325.75,231736785.8
2018-02-27,329.45,338.4,326.6,332.1,161446062.3
2018-02-28,327.1,334.45,323.8,329.4,80586776.6
2018-03-01,329.0,336.0,326.1,331.85,30151367.7
2018-03-05,331.85,333.8,320.0,329.3,30570276.8
2018-03-06,332.45,334.0,318.5,326.85,63187490.2
2018-03-07,325.0,325.0,316.0,322.3,49410760.55
2018-03-08,319.5,327.9,313.55,323.45,30334164.95
2018-03-09,325.5,330.0,321.15,325.9,38359336.35
2018-03-12,328.85,330.25,318.95,322.7,42308384.75
2018-03-13,321.2,328.0,321.0,326.45,54050333.5
2018-03-14,324.05,328.15,321.5,323.95,65033399.3
2018-03-15,327.1,336.0,327.1,332.1,101140283.9
2018-03-16,332.25,337.15,324.05,326.6,69404177.55
2018-03-19,327.85,330.5,321.4,325.25,64538617.65
2018-03-20,322.25,325.7,318.1,319.45,27030594.7
2018-03-21,321.0,326.4,317.0,321.4,67113406.7
2018-03-22,321.4,327.2,321.0,322.05,62027473.95
2018-03-23,312.55,317.05,304.1,306.0,70570566.15
2018-03-26,306.15,329.0,306.15,323.3,99834632.65
2018-03-27,326.8,331.0,317.05,329.25,54785622.25
2018-03-28,328.95,331.8,320.15,326.6,56837552.15
2018-04-02,327.0,333.7,322.65,331.25,40725234.1
2018-04-03,331.0,331.0,325.0,326.45,26172179.15
2018-04-04,329.55,336.95,326.05,333.8,56246059.95
2018-04-05,338.0,351.0,338.0,349.25,219530862.8
2018-04-06,352.5,356.6,349.4,354.45,97674909.2
2018-04-09,355.65,363.5,350.55,357.35,68081388.5
2018-04-10,358.0,358.8,348.0,349.7,28894834.3
2018-04-11,352.0,352.8,343.0,351.1,69651817.7
2018-04-12,352.0,357.65,342.8,345.15,47758972.35
2018-04-13,347.8,351.0,345.0,346.7,58552267.85
2018-04-16,346.0,346.75,337.05,338.35,42968404.05
2018-04-17,345.0,347.0,338.75,340.95,34015634.15
2018-04-18,344.0,345.0,340.15,343.85,26386781.8
2018-04-19,343.95,356.0,341.75,348.25,73072762.75
2018-04-20,355.0,355.0,345.0,349.8,33798154.55
2018-04-23,349.8,357.0,345.5,353.45,65247628.85
2018-04-24,355.5,355.5,345.5,347.25,38922553.2
2018-04-25,347.25,351.4,335.65,337.9,111676077.6
2018-04-26,339.85,340.0,334.5,336.15,30262325.1
2018-04-27,336.55,336.85,322.55,324.75,90914803.5
2018-04-30,328.85,328.85,321.15,325.95,33292066.4
2018-05-02,326.0,330.95,321.95,323.95,37620522.5
2018-05-03,323.9,329.95,305.15,307.7,106420849.5
2018-05-04,307.05,310.5,300.7,307.05,53681344.15
2018-05-07,308.05,314.0,306.0,308.7,29676394.05
2018-05-08,310.0,311.9,306.3,308.15,34680751.1
2018-05-09,292.4,307.95,292.4,304.55,59149621.4
2018-05-10,304.0,312.95,304.0,307.15,55021531.15
2018-05-11,305.0,316.0,303.0,306.15,88295493.35
2018-05-14,306.0,312.2,303.2,306.15,29907294.1
2018-05-15,308.15,309.3,303.0,305.85,35587073.2
2018-05-16,305.7,308.5,275.05,279.9,222122985.7
2018-05-17,278.5,278.5,266.1,269.0,155995005.6
2018-05-18,269.0,271.05,255.0,259.4,149748880.6
2018-05-21,265.0,270.75,258.2,265.3,222563601.2
2018-05-22,265.15,280.0,265.15,270.9,218225557.5
2018-05-23,273.35,278.95,266.3,270.55,73207640.05
2018-05-24,269.9,273.65,261.15,270.8,71732813.1
2018-05-25,272.4,273.5,266.5,269.5,49548983.7
2018-05-28,268.05,281.4,268.05,277.95,38000253.85
2018-05-29,276.2,283.45,270.5,279.75,62059171.35
2018-05-30,278.25,280.7,275.05,278.4,41635863.5
2018-05-31,279.9,284.4,277.0,279.35,40673887.55
2018-06-01,279.65,280.95,267.0,273.7,31837202.5
