date,open,high,low,close,volume
2018-01-01,153.95,160.8,152.15,157.05,240913192.8
2018-01-02,158.85,161.7,155.0,157.65,147425687.9
2018-01-03,160.0,164.5,159.0,160.2,247800057.7
2018-01-04,163.4,163.7,160.0,160.65,122597288.6
2018-01-05,160.5,160.5,158.0,159.15,59519807.35
2018-01-08,159.0,160.2,156.0,156.75,63737797.3
2018-01-09,157.0,157.45,153.2,154.3,60180922.35
2018-01-10,154.95,155.0,152.0,154.45,46814732.3
2018-01-11,154.95,157.5,153.05,154.5,332125225.5
2018-01-12,155.15,157.25,153.2,154.0,70530246.75
2018-01-15,156.0,159.65,153.85,156.6,127737617.2
2018-01-16,157.35,157.8,151.0,152.6,85067418.4
2018-01-17,152.0,155.9,150.0,155.55,61498382.65
2018-01-18,156.35,158.95,152.0,157.4,141888639.0
2018-01-19,158.2,159.5,153.9,154.4,44355568.55
2018-01-22,155.0,159.4,154.25,155.65,98842110.6
2018-01-23,156.75,161.9,155.8,158.7,217143825.4
2018-01-24,159.7,159.9,155.0,155.45,45423737.2
2018-01-25,156.15,157.5,152.5,154.1,81041893.75
2018-01-29,155.05,157.8,154.15,156.1,73244203.85
2018-01-30,156.5,157.0,153.5,155.95,51521062.3
2018-01-31,156.15,162.0,153.6,160.35,116698492.2
2018-02-01,162.35,164.7,152.7,154.25,333146595.0
2018-02-02,153.0,153.0,132.1,144.45,243215460.1
2018-02-05,140.0,143.3,135.7,142.25,52518293.2
2018-02-06,135.0,143.05,126.0,141.5,336069181.4
2018-02-07,145.0,161.7,144.4,157.95,322535630.9
2018-02-08,155.0,162.0,152.35,156.6,147806318.4
2018-02-09,150.0,156.8,149.05,155.05,77521620.5
2018-02-12,155.6,157.0,153.55,155.2,53486708.5
2018-02-14,157.9,158.75,154.85,157.05,49401677.8
2018-02-15,158.0,159.2,155.55,158.3,54885318.7
2018-02-16,159.0,159.0,155.25,156.15,41881987.5
2018-02-19,155.5,155.5,149.7,154.3,86935873.25
2018-02-20,154.0,158.3,151.65,157.2,62418394.0
2018-02-21,158.9,160.5,155.0,157.9,85735271.45
2018-02-22,156.2,157.25,152.75,154.05,137269918.0
2018-02-23,154.9,158.2,154.0,157.5,41505844.85
2018-02-26,157.0,173.2,155.5,170.3,477249215.2
2018-02-27,172.1,172.5,162.25,163.9,262353462.0
2018-02-28,162.3,170.0,158.3,168.75,213869984.4
2018-03-01,168.1,168.85,162.5,163.7,157678095.6
2018-03-05,163.7,167.05,161.15,163.6,166836452.6
2018-03-06,166.75,167.45,154.1,155.55,123633009.8
2018-03-07,156.35,156.45,151.0,152.55,72584154.45
2018-03-08,153.0,155.8,151.3,152.25,93067182.25
2018-03-09,152.7,154.9,150.65,153.15,105618237.9
2018-03-12,154.05,159.2,152.8,158.7,85571087.1
2018-03-13,158.4,162.9,157.9,161.1,80877933.5
2018-03-14,159.05,164.0,157.05,162.95,57941958.25
2018-03-15,164.45,167.0,163.55,166.35,132001007.5
2018-03-16,164.9,168.7,163.0,164.7,114908975.0
2018-03-19,164.05,166.5,160.0,165.55,48699865.2
2018-03-20,164.9,169.0,164.0,167.2,56969756.65
2018-03-21,168.0,171.0,167.5,169.6,75204387.45
2018-03-22,170.0,171.0,168.1,170.05,130745221.4
2018-03-23,166.0,170.8,160.65,164.1,158524910.6
2018-03-26,161.3,163.85,161.0,161.95,455262469.1
2018-03-27,163.0,165.95,162.35,165.3,91275373.95
2018-03-28,163.85,165.3,162.2,164.65,62455980.4
2018-04-02,162.1,165.65,162.1,163.05,35689494.05
2018-04-03,163.0,169.4,162.4,165.6,96997015.0
2018-04-04,166.6,167.7,163.0,163.75,74984970.4
2018-04-05,166.0,166.2,164.05,165.05,40991550.1
2018-04-06,165.45,166.5,162.5,165.95,47657254.7
2018-04-09,165.95,169.0,164.5,166.7,60121364.65
2018-04-10,166.7,166.9,164.55,166.45,40951819.3
2018-04-11,166.7,169.7,165.0,167.0,57941765.55
2018-04-12,167.0,167.0,165.65,166.4,22213876.85
2018-04-13,167.0,189.4,166.7,186.45,1004894077.0
2018-04-16,183.25,184.55,176.2,178.15,300639200.6
2018-04-17,178.5,182.8,172.6,178.0,316517135.4
2018-04-18,178.3,180.4,174.5,178.45,118759965.2
2018-04-19,178.0,194.5,177.9,190.4,523957753.8
2018-04-20,189.2,208.8,185.75,201.85,961807895.6
2018-04-23,201.4,203.85,194.2,196.85,169569596.8
2018-04-24,198.8,201.9,191.1,196.0,143660992.1
2018-04-25,195.0,209.0,193.6,201.85,349205208.3
2018-04-26,201.4,208.85,199.1,207.45,289926499.2
2018-04-27,207.6,209.35,202.25,203.3,100564639.0
2018-04-30,203.0,203.85,194.55,195.55,129310042.8
2018-05-02,195.55,199.8,191.55,192.65,69101263.05
2018-05-03,194.5,202.3,190.1,199.85,142952773.9
2018-05-04,200.7,200.7,190.7,192.85,115159416.6
2018-05-07,193.05,194.9,187.55,188.95,154450453.5
2018-05-08,187.35,188.9,181.25,183.3,106826009.3
2018-05-09,184.25,186.4,179.0,180.3,164896509.4
2018-05-10,181.05,184.9,172.8,182.9,617095303.3
2018-05-11,182.2,184.8,168.55,172.25,187030745.9
2018-05-14,173.9,178.7,170.0,171.2,78036789.2
2018-05-15,172.0,174.9,165.3,170.8,151951699.0
2018-05-16,169.0,172.25,166.0,167.9,53322101.15
2018-05-17,169.0,174.4,166.6,167.75,203817873.0
2018-05-18,168.0,169.3,163.8,164.7,54895960.55
