date,open,high,low,close,volume
2018-01-01,428.7,435.75,426.0,431.9,83240582.75
2018-01-02,435.7,435.7,423.5,430.05,156950640.7
2018-01-03,430.95,434.5,424.0,426.15,143846804.8
2018-01-04,426.05,428.3,422.0,423.3,173904571.0
2018-01-05,425.0,427.05,421.2,422.85,217453073.4
2018-01-08,424.75,431.5,423.6,425.85,136337340.7
2018-01-09,426.1,444.2,425.0,442.5,477514216.6
2018-01-10,445.5,447.65,436.4,438.3,393737412.6
2018-01-11,439.0,446.0,435.1,440.0,281372294.1
2018-01-12,442.5,451.9,438.2,445.95,444719117.9
2018-01-15,450.0,464.4,450.0,460.8,520674795.0
2018-01-16,461.0,462.95,447.0,453.1,178322720.7
2018-01-17,452.0,453.1,436.35,446.65,312074684.4
2018-01-18,446.5,460.0,434.2,437.4,158794184.6
2018-01-19,437.4,453.0,436.25,446.5,201208086.1
2018-01-22,460.0,460.0,426.7,427.7,641521639.3
2018-01-23,435.0,435.95,427.0,430.7,312033434.8
2018-01-24,430.7,433.95,424.0,428.75,126790209.4
2018-01-25,430.7,432.85,416.65,419.65,223146927.9
2018-01-29,422.9,422.9,411.5,412.8,137989519.1
2018-01-30,414.7,422.3,410.35,417.2,163445975.9
2018-01-31,419.0,423.35,411.35,413.7,129358429.5
2018-02-01,414.0,417.45,404.4,406.75,125042897.6
2018-02-02,402.5,403.0,375.3,382.9,396154934.4
2018-02-05,380.0,390.45,369.1,377.3,157457761.2
2018-02-06,362.0,369.3,356.3,362.65,202032964.4
2018-02-07,366.9,375.95,362.8,369.15,190989852.5
2018-02-08,374.0,382.0,370.25,372.9,378048598.7
2018-02-09,369.0,378.7,359.4,376.4,464210551.3
2018-02-12,382.0,383.65,376.0,378.85,210195239.5
2018-02-14,381.65,385.95,379.1,381.0,169381782.2
2018-02-15,385.9,387.85,376.0,378.15,134514648.9
2018-02-16,379.2,380.0,366.95,368.3,149242374.2
2018-02-19,368.5,368.65,354.6,360.3,282656072.8
2018-02-20,361.9,366.7,355.05,364.5,351693191.1
2018-02-21,365.1,367.0,356.0,358.15,106786706.4
2018-02-22,356.0,356.0,349.05,351.05,143961046.9
2018-02-23,351.2,359.9,351.1,355.35,280232751.8
2018-02-26,357.9,378.0,356.75,373.9,251294159.6
2018-02-27,382.6,382.6,367.65,369.5,366067509.0
2018-02-28,367.85,367.85,355.1,364.7,167520168.1
2018-03-01,365.2,366.95,358.0,360.05,101708316.7
2018-03-05,360.95,360.95,351.95,356.1,121764762.6
2018-03-06,357.15,364.8,351.2,353.9,204535338.4
2018-03-07,353.8,356.5,340.55,343.2,169724994.7
2018-03-08,344.0,349.9,335.95,344.35,145921467.0
2018-03-09,349.0,349.0,340.0,341.85,95741298.55
2018-03-12,346.0,349.0,338.8,347.05,85237696.5
2018-03-13,348.9,371.4,345.6,367.75,387174817.5
2018-03-14,367.95,367.95,357.0,361.75,145122058.1
2018-03-15,362.5,362.5,355.65,356.65,93529069.7
2018-03-16,356.0,356.35,344.0,346.3,156651780.2
2018-03-19,346.8,347.6,337.0,338.6,90535655.55
2018-03-20,337.0,343.8,332.8,340.5,110209366.8
2018-03-21,341.9,350.4,337.4,341.0,125885295.2
2018-03-22,338.75,340.8,333.05,338.35,150919799.0
2018-03-23,332.0,333.0,320.0,322.0,149665726.3
2018-03-26,322.0,322.05,310.5,317.25,192320718.5
2018-03-27,318.9,330.0,318.9,327.55,177915808.1
2018-03-28,326.7,333.5,322.0,327.35,209985274.1
2018-04-02,328.9,332.5,327.1,329.95,52340933.4
2018-04-03,330.1,344.8,330.1,340.85,220688088.9
2018-04-04,343.2,345.5,331.2,332.7,133871326.0
2018-04-05,334.7,342.45,334.55,339.8,74481410.65
2018-04-06,339.85,351.5,339.5,343.55,244858604.6
2018-04-09,347.65,359.0,344.5,355.9,268124227.1
2018-04-10,357.9,359.4,346.4,350.65,211728616.7
2018-04-11,349.0,349.65,329.25,335.05,375051215.4
2018-04-12,335.1,341.5,323.0,338.5,311065410.4
2018-04-13,338.9,343.0,334.3,336.3,138155046.4
2018-04-16,332.3,341.8,329.1,338.8,262612207.6
2018-04-17,338.9,342.5,335.6,337.5,88614556.85
2018-04-18,336.8,337.55,330.2,331.55,95338601.65
2018-04-19,326.05,329.6,321.25,328.15,218006836.7
2018-04-20,326.55,332.65,323.3,327.05,97581817.55
2018-04-23,327.9,333.0,325.8,330.75,127579637.9
2018-04-24,330.7,336.5,329.05,329.95,114273020.3
2018-04-25,330.0,332.0,321.7,322.75,94147336.5
2018-04-26,321.7,321.9,315.2,319.6,138185908.4
2018-04-27,320.8,328.6,317.9,319.35,142278766.2
2018-04-30,321.4,324.9,319.75,321.05,59854615.5
2018-05-02,321.85,323.7,309.55,311.35,128969033.5
2018-05-03,309.4,309.6,298.2,299.8,139454951.0
2018-05-04,300.0,304.3,292.05,297.65,188206024.3
2018-05-07,297.9,305.95,285.55,303.75,266961136.1
2018-05-08,303.45,309.5,297.65,304.05,219282831.6
2018-05-09,296.1,303.0,284.4,300.6,478777352.1
2018-05-10,299.05,312.2,297.0,302.05,706114574.1
2018-05-11,302.9,307.95,291.5,294.6,496635686.0
2018-05-14,294.0,300.4,290.15,292.5,155674443.5
2018-05-15,291.9,302.75,291.25,297.5,241193571.5
2018-05-16,292.0,300.85,291.5,299.3,158853749.2
2018-05-17,299.0,303.5,295.2,298.55,134683801.6
2018-05-18,297.9,302.4,288.55,290.05,160919891.3
2018-05-21,290.0,290.75,278.85,281.9,125941679.0
2018-05-22,281.6,282.5,273.05,279.15,134155228.8
2018-05-23,279.2,283.9,268.1,269.35,170026656.1
2018-05-24,269.4,272.55,262.45,267.5,130718419.1
2018-05-25,269.45,283.55,266.9,281.45,235175557.1
2018-05-28,290.1,299.9,282.25,283.9,281469309.6
2018-05-29,282.25,285.6,278.05,282.25,183920016.5
2018-05-30,280.0,283.9,278.65,283.0,125891398.9
2018-05-31,281.0,286.6,279.6,283.4,238576044.1
2018-06-01,284.05,287.5,280.85,285.4,122823665.5
2018-06-04,288.0,290.5,282.95,288.05,147560348.2
2018-06-05,288.0,290.35,281.35,287.25,127355858.1
2018-06-06,286.35,297.0,282.9,294.65,163667496.4
2018-06-07,296.95,297.75,292.05,294.2,94482655.45
2018-06-08,290.0,306.9,290.0,302.7,149365843.8
2018-06-11,304.9,315.9,302.1,314.9,404242244.6
2018-06-12,316.0,318.8,309.2,310.8,233104058.9
2018-06-13,311.5,314.1,302.85,305.7,111326343.4
2018-06-14,306.95,306.95,300.5,302.7,90479757.35
2018-06-15,300.15,302.95,296.25,299.85,138738360.1
2018-06-18,304.1,310.5,301.4,303.9,200720922.8
2018-06-19,306.9,308.7,295.0,298.8,382561381.1
2018-06-20,298.05,304.55,295.2,300.3,116863448.4
2018-06-21,300.15,308.0,297.2,305.5,159709936.7
2018-06-22,304.35,308.5,300.45,307.1,199210433.4
2018-06-25,305.5,305.5,298.8,302.0,125536023.1
2018-06-26,302.95,311.3,294.0,307.55,235748620.3
2018-06-27,304.1,304.1,296.0,298.7,306684555.1
2018-06-28,295.3,300.4,288.0,294.15,437194434.3
2018-06-29,293.9,308.0,290.45,304.05,142791416.9
2018-07-02,304.0,304.0,293.05,296.95,141568066.4
2018-07-03,295.75,298.95,293.25,295.05,137465415.5
2018-07-04,296.0,302.0,294.7,299.35,101252950.9
2018-07-05,299.8,305.95,297.3,299.5,203495666.3
2018-07-06,295.5,301.5,290.2,291.1,153217770.3
2018-07-09,293.25,293.25,287.0,291.45,192999768.8
2018-07-10,294.0,294.0,287.25,288.05,91039949.7
2018-07-11,287.0,291.0,285.0,287.75,80566605.5
2018-07-12,296.5,298.8,287.35,288.85,162257917.3
2018-07-13,291.0,291.0,285.25,288.2,61438375.3
2018-07-16,288.2,288.2,266.55,270.8,141677525.8
2018-07-17,275.95,280.3,268.45,277.8,282816013.6
2018-07-18,279.0,281.7,267.0,271.45,211959031.8
2018-07-19,271.45,276.85,267.85,272.95,95593619.55
2018-07-20,273.0,278.0,269.5,276.25,71399558.9
2018-07-23,278.5,284.0,275.2,280.2,111899789.2
2018-07-24,282.8,286.95,279.2,284.15,116229478.9
2018-07-25,284.2,293.95,284.15,291.25,161998459.6
2018-07-26,291.25,299.9,289.95,297.25,178745368.1
2018-07-27,299.0,303.55,296.85,299.1,133139495.4
2018-07-30,300.0,323.5,300.0,316.6,789963678.8
2018-07-31,316.5,320.9,297.0,315.05,1754941809.0
2018-08-01,314.5,332.8,310.65,323.75,971280355.0
2018-08-02,324.2,328.5,321.4,326.95,425965684.5
2018-08-03,327.05,327.05,311.5,313.2,636543061.0
2018-08-06,315.15,323.7,313.8,321.55,307264401.8
2018-08-07,319.2,331.9,319.2,330.4,506270990.1
2018-08-08,329.5,334.35,324.2,332.15,318779467.0
2018-08-09,332.1,336.0,330.7,334.85,251014877.6
2018-08-10,335.05,343.55,334.0,341.25,372540939.5
2018-08-13,341.0,344.95,336.9,341.8,317369145.5
2018-08-14,319.35,321.85,308.1,309.5,631410505.9
2018-08-16,308.0,308.75,301.0,302.2,312767725.0
2018-08-17,301.65,306.95,300.35,304.3,195526572.3
2018-08-20,306.5,311.15,303.05,304.15,170429339.0
2018-08-21,304.9,307.9,301.65,305.55,106120240.8
2018-08-23,304.2,307.0,300.2,305.0,94654433.6
2018-08-24,306.4,313.2,304.65,305.5,148565983.2
2018-08-27,306.8,311.8,305.6,309.6,141819497.1
2018-08-28,309.6,309.6,302.5,304.75,76035878.35
2018-08-29,304.75,316.2,303.5,310.25,241631576.4
2018-08-30,311.3,313.8,306.4,311.6,106828782.3
2018-08-31,311.0,318.0,309.0,314.65,172374752.7
2018-09-03,315.9,316.4,306.1,308.65,50655172.95
2018-09-04,307.05,308.4,290.05,292.35,119341691.3
2018-09-05,290.0,295.5,285.2,294.35,124593046.8
2018-09-06,294.45,299.7,292.6,297.35,64667172.75
2018-09-07,299.4,299.4,291.55,295.25,64924261.95
2018-09-10,293.0,294.5,288.75,289.5,73962042.25
2018-09-11,287.05,293.7,278.7,280.35,210695870.9
2018-09-12,278.0,285.2,270.9,283.9,184105055.7
2018-09-14,287.9,297.55,285.0,289.95,195356639.9
2018-09-17,291.55,307.6,286.55,303.15,264506729.9
2018-09-18,306.0,306.2,286.05,287.95,220050055.4
2018-09-19,289.0,295.0,286.1,290.4,94853144.4
2018-09-21,291.1,293.9,272.15,286.3,156540066.5
2018-09-24,287.4,287.4,271.0,271.95,127756732.8
2018-09-25,271.0,280.9,256.35,279.8,203159186.0
2018-09-26,281.45,285.0,268.45,271.6,104070831.2
2018-09-27,272.45,284.95,263.75,283.0,314489941.1
2018-09-28,283.75,285.75,267.45,278.4,223152063.1
2018-10-01,279.0,283.0,270.3,281.65,81670292.9
2018-10-03,279.0,301.0,274.0,290.2,196308796.2
2018-10-04,286.0,288.0,272.0,278.8,202363648.0
2018-10-05,266.8,270.95,253.8,256.2,190304054.2
2018-10-08,255.2,257.95,222.2,232.2,401297245.3
2018-10-09,223.0,233.8,220.65,225.95,196117790.0
2018-10-10,227.0,244.4,225.65,238.2,135748757.7
2018-10-11,228.0,255.0,225.0,246.95,263833394.1
2018-10-12,252.2,262.55,250.5,258.35,367785067.6
2018-10-15,264.0,264.0,246.7,256.9,199871678.7
2018-10-16,259.0,268.1,255.2,266.0,97993670.9
