date,open,high,low,close,volume
2018-01-01,274.85,282.8,273.1,279.9,46481397.1
2018-01-02,280.0,280.0,271.55,272.6,11304496.0
2018-01-03,283.0,283.0,270.35,273.1,11505536.15
2018-01-04,275.5,275.75,270.55,274.7,26379547.95
2018-01-05,271.55,275.05,270.75,271.2,25608043.45
2018-01-08,279.1,279.1,270.1,271.7,29970915.15
2018-01-09,272.25,326.0,272.1,326.0,1148584263.0
2018-01-10,330.0,369.0,321.0,357.9,1640948699.0
2018-01-11,354.0,372.0,341.75,358.1,875113818.3
2018-01-12,354.7,365.0,342.1,348.35,248901563.5
2018-01-15,346.25,364.2,345.0,349.6,222759204.3
2018-01-16,352.2,352.2,330.0,335.0,145032412.7
2018-01-17,330.0,358.0,327.65,346.8,327549161.5
2018-01-18,349.8,356.0,330.1,336.35,268656820.8
2018-01-19,338.0,356.0,338.0,349.4,337754106.9
2018-01-22,341.0,374.9,341.0,359.55,459114512.2
2018-01-23,363.5,364.5,353.05,358.8,141997487.4
2018-01-24,353.0,358.65,347.05,350.2,60918852.9
2018-01-25,351.9,369.0,342.25,344.5,227934787.2
2018-01-29,344.0,362.0,342.8,347.05,148343122.1
2018-01-30,354.0,354.0,330.35,332.0,178439413.4
2018-01-31,335.0,336.8,316.95,318.9,95376578.75
2018-02-01,320.0,336.5,316.0,326.35,169737247.3
2018-02-02,323.0,326.0,295.1,312.2,93382898.4
2018-02-05,307.8,324.0,300.0,320.15,82286990.0
2018-02-06,282.0,314.8,282.0,304.0,97884306.15
2018-02-07,311.6,317.9,306.0,309.5,47382104.15
2018-02-08,311.7,338.0,310.6,333.55,154778112.1
2018-02-09,327.0,339.8,321.35,335.35,144732457.3
2018-02-12,338.0,343.55,332.9,335.4,58092508.7
2018-02-14,336.9,340.0,328.25,331.35,62883441.65
2018-02-15,334.0,335.4,321.85,324.8,50015109.6
2018-02-16,327.95,330.7,319.1,323.8,39956295.75
2018-02-19,325.7,325.7,307.5,318.4,27971471.6
2018-02-20,320.0,321.55,310.5,312.5,18731734.9
2018-02-21,315.5,315.8,310.15,313.75,25090092.1
2018-02-22,313.75,316.2,310.0,314.8,27033153.4
2018-02-23,315.75,330.0,315.75,323.75,49604370.35
2018-02-26,330.6,334.0,309.5,317.3,1761888506.0
2018-02-27,315.5,325.7,315.5,320.3,158979261.7
2018-02-28,318.2,322.0,313.0,314.0,49870890.5
2018-03-01,314.0,315.5,309.05,310.6,41905132.05
2018-03-05,309.8,310.45,302.0,306.7,30275221.85
2018-03-06,307.0,313.45,304.0,305.85,45650232.1
2018-03-07,306.0,306.0,291.0,292.65,34409643.95
2018-03-08,295.2,304.0,286.05,294.25,62602306.95
2018-03-09,296.1,301.0,287.3,288.95,88610577.2
2018-03-12,293.0,298.0,288.2,289.2,33801323.25
2018-03-13,288.25,300.05,288.0,292.95,157472612.3
2018-03-14,292.8,306.0,291.25,301.35,328311362.6
2018-03-15,305.0,320.45,302.65,315.7,170438902.8
2018-03-16,318.0,325.35,312.0,314.7,81925178.55
2018-03-19,316.75,316.8,303.35,305.8,31165422.45
2018-03-20,305.6,314.0,302.45,311.9,36181530.8
2018-03-21,314.25,317.85,305.8,308.35,24525550.8
2018-03-22,310.9,311.0,301.1,303.2,24335654.95
2018-03-23,294.25,301.0,294.25,298.85,23155842.35
2018-03-26,302.15,306.8,296.45,304.55,38383478.6
2018-03-27,306.5,310.95,299.15,301.95,34855985.95
2018-03-28,301.0,307.0,299.0,304.85,21586550.65
2018-04-02,300.85,309.8,300.85,303.8,25081953.35
2018-04-03,303.0,313.3,300.1,304.55,54421293.1
2018-04-04,306.0,307.6,299.9,301.15,27838972.6
2018-04-05,304.15,309.25,303.5,306.0,15378222.45
2018-04-06,305.85,310.0,304.0,305.65,21140861.5
2018-04-09,305.65,309.5,302.2,304.75,31027096.0
2018-04-10,308.2,308.2,302.6,304.2,14609385.05
2018-04-11,305.4,306.8,297.0,299.7,23574499.75
2018-04-12,301.4,304.9,299.65,300.95,17097305.95
2018-04-13,302.75,305.5,300.0,301.05,36427101.0
2018-04-16,299.9,303.8,298.45,301.3,15764786.3
2018-04-17,301.6,309.0,299.85,302.95,28393668.4
2018-04-18,302.2,306.9,302.2,304.15,16706410.1
2018-04-19,303.1,326.4,303.1,308.75,212498398.0
2018-04-20,311.8,319.25,308.2,309.45,80895466.0
2018-04-23,309.0,331.9,309.0,325.75,328584072.9
2018-04-24,328.5,338.9,325.0,334.75,253080486.8
2018-04-25,340.0,343.0,328.1,333.65,162673300.7
2018-04-26,335.25,338.4,326.0,332.65,258630708.6
2018-04-27,334.4,339.15,328.65,334.15,135396918.4
2018-04-30,332.0,356.1,330.1,345.2,394042080.1
2018-05-02,345.9,347.0,337.5,342.65,82698449.45
2018-05-03,338.4,342.75,331.25,341.4,51305163.25
2018-05-04,341.0,354.0,335.25,339.75,142747749.0
2018-05-07,341.0,352.9,341.0,346.2,114395370.1
2018-05-08,348.5,349.15,338.95,341.25,65637242.2
2018-05-09,340.5,344.45,336.15,338.05,38351709.85
2018-05-10,338.05,340.0,331.15,332.95,48156216.7
2018-05-11,334.4,338.0,330.05,335.5,23254696.75
2018-05-14,334.6,337.9,324.15,328.4,24637643.4
2018-05-15,329.0,335.95,315.0,318.75,61255119.95
2018-05-16,322.9,326.5,309.6,313.15,42628913.05
2018-05-17,315.0,322.8,312.05,315.65,80088862.6
2018-05-18,318.0,319.9,304.0,310.0,140131318.8
2018-05-21,310.0,312.9,295.45,306.75,51222355.65
2018-05-22,306.75,311.5,304.15,306.85,40839911.55
2018-05-23,307.75,310.0,305.0,305.4,23852597.25
2018-05-24,306.45,312.0,302.0,305.3,51598616.3
2018-05-25,307.9,310.25,303.0,304.95,39510135.3
2018-05-28,307.0,310.0,305.7,307.1,16155748.6
2018-05-29,307.0,307.75,303.5,304.5,13733678.2
2018-05-30,306.0,306.0,298.2,299.35,44366103.15
2018-05-31,299.25,303.0,296.2,298.6,20763461.8
2018-06-01,298.8,299.5,289.45,291.6,44411926.55
2018-06-04,291.6,292.05,281.3,284.65,42612051.3
2018-06-05,280.0,286.1,278.4,280.7,24330180.5
2018-06-06,282.0,288.2,278.0,284.15,13839611.6
2018-06-07,285.8,294.85,276.0,279.4,44802975.9
2018-06-08,279.0,295.5,275.0,286.85,56484128.4
2018-06-11,285.0,333.0,285.0,310.85,438885238.0
2018-06-12,312.0,315.1,299.0,303.5,75450199.15
2018-06-13,304.7,306.0,293.0,294.45,55838419.75
2018-06-14,295.7,309.0,291.25,304.75,101634501.6
2018-06-15,304.0,314.0,302.0,305.1,108627909.2
2018-06-18,303.5,311.85,301.0,301.85,27905434.75
2018-06-19,301.15,304.9,290.0,292.35,31825285.7
2018-06-20,294.65,295.95,289.0,290.9,24646608.1
2018-06-21,291.05,293.25,284.05,285.2,17856318.5
2018-06-22,285.6,288.35,281.8,286.35,15766954.9
2018-06-25,286.0,290.75,283.55,284.9,10671151.55
2018-06-26,285.0,288.7,280.45,284.65,10667355.35
2018-06-27,287.65,289.3,275.1,276.35,49365836.35
2018-06-28,276.0,276.0,268.55,273.6,20605717.5
2018-06-29,273.75,278.0,263.6,270.4,43405464.5
2018-07-02,269.1,276.55,265.3,266.1,13460080.05
2018-07-03,266.75,269.65,263.05,265.55,26557536.8
2018-07-04,265.4,274.0,257.05,259.45,246219398.5
2018-07-05,263.0,268.8,257.15,258.5,36713061.8
2018-07-06,255.7,263.05,255.7,260.1,18679844.7
2018-07-09,264.9,265.7,259.05,259.75,16233649.75
2018-07-10,261.35,268.7,260.1,262.05,33600246.55
2018-07-11,261.9,268.2,261.9,264.8,20433686.8
2018-07-12,269.9,274.4,266.0,268.4,550503130.0
2018-07-13,268.0,269.5,263.05,265.85,16260122.2
2018-07-16,261.0,265.95,248.35,257.25,50188239.6
2018-07-17,252.0,262.0,252.0,260.9,6857354.3
2018-07-18,261.05,263.9,255.8,260.25,9713457.85
2018-07-19,262.2,262.25,255.1,256.15,9969026.45
2018-07-20,255.2,263.8,254.15,258.75,7921851.85
2018-07-23,252.1,263.4,252.1,260.2,7405765.95
2018-07-24,261.95,267.8,255.55,263.9,19644053.0
2018-07-25,265.45,266.45,261.1,264.9,14039277.55
2018-07-26,264.9,267.35,262.0,262.65,24021991.4
2018-07-27,259.1,263.0,257.0,260.05,25482143.95
2018-07-30,263.8,265.8,260.1,262.05,17070727.4
2018-07-31,262.9,269.9,261.1,267.75,18893407.25
2018-08-01,265.1,272.05,265.1,269.2,53576704.8
2018-08-02,268.8,269.5,262.2,264.45,14677813.95
2018-08-03,265.9,266.85,261.4,262.25,18434290.0
2018-08-06,261.3,264.0,256.0,258.65,14994678.2
2018-08-07,260.4,268.5,258.15,265.95,31034258.1
2018-08-08,267.5,281.0,267.0,272.25,111911821.4
2018-08-09,274.85,279.0,269.0,270.8,27603777.15
2018-08-10,263.0,268.85,258.05,259.5,29277792.9
2018-08-13,258.0,258.0,249.05,251.75,16851166.05
2018-08-14,253.45,254.05,241.1,247.4,37604186.1
2018-08-16,253.0,254.6,238.9,239.85,41462785.3
2018-08-17,242.0,259.65,236.45,244.7,86350416.05
2018-08-20,247.15,249.9,243.0,244.25,26269399.05
2018-08-21,241.5,255.0,241.5,248.1,62601099.7
2018-08-23,250.8,255.0,245.25,251.5,25800807.5
2018-08-24,251.75,253.85,245.1,246.05,12332752.15
2018-08-27,248.05,251.5,245.1,245.75,10349318.75
2018-08-28,245.8,259.5,243.2,255.25,233664988.3
2018-08-29,257.5,279.9,255.95,266.1,145196143.3
2018-08-30,266.2,272.9,261.05,261.7,75867419.45
2018-08-31,262.45,285.8,260.1,277.0,388008059.9
2018-09-03,276.0,279.95,266.2,269.15,90536818.75
2018-09-04,269.1,274.95,266.0,267.95,30001336.2
2018-09-05,265.05,279.0,263.2,277.9,75326942.9
2018-09-06,275.6,287.5,270.3,285.15,86737005.65
2018-09-07,285.75,299.25,283.2,298.0,118819751.9
2018-09-10,300.0,320.65,300.0,313.1,434881500.3
2018-09-11,313.75,321.4,301.35,305.25,150938303.4
2018-09-12,307.0,314.6,297.0,311.35,189934986.0
2018-09-14,312.6,324.85,307.0,312.9,120319287.7
2018-09-17,310.0,311.9,304.35,309.1,40620743.6
2018-09-18,312.55,321.85,307.7,310.15,103066056.7
2018-09-19,310.1,317.95,308.1,315.7,72141431.9
2018-09-21,316.85,324.45,275.1,314.8,256337872.2
2018-09-24,310.25,317.0,284.8,303.9,122979235.5
2018-09-25,306.95,306.95,288.45,298.4,77770359.7
2018-09-26,300.4,302.35,291.5,294.35,39533027.5
2018-09-27,295.4,295.85,281.05,286.05,32094023.45
2018-09-28,285.1,295.5,276.25,282.35,43361122.6
2018-10-01,275.1,280.0,269.5,272.95,49197568.15
2018-10-03,272.9,280.4,270.0,270.75,19438624.35
2018-10-04,265.9,272.8,255.35,262.4,25898908.2
2018-10-05,265.0,268.95,255.55,259.75,39710240.45
2018-10-08,263.55,264.1,242.75,253.15,75140184.1
2018-10-09,250.1,258.3,245.25,249.55,52049872.8
2018-10-10,252.0,264.9,250.1,257.75,34429980.85
2018-10-11,250.0,253.95,245.0,246.45,39400693.15
2018-10-12,248.0,254.85,247.05,248.9,27269660.45
2018-10-15,250.05,257.8,247.3,253.1,31299467.7
2018-10-16,255.0,276.4,254.35,271.05,121316697.4
2018-10-17,274.6,276.95,257.5,268.15,46621265.75
2018-10-19,265.0,275.0,257.0,264.75,153162445.7
2018-10-22,264.35,273.0,258.1,268.25,32371624.75
2018-10-23,265.0,271.2,262.6,267.6,39478409.75
2018-10-24,269.95,272.35,263.0,267.65,23331182.7
2018-10-25,266.4,269.8,262.15,266.35,27335225.45
2018-10-26,265.0,265.55,257.0,259.7,22860601.2
2018-10-29,259.9,264.8,257.65,260.8,30292461.25
2018-10-30,259.9,263.95,258.0,260.15,45383102.25
2018-10-31,260.6,261.8,256.0,260.05,29194829.6
2018-11-01,260.0,271.15,260.0,268.65,27611990.75
2018-11-02,271.0,274.0,267.8,270.6,43675316.4
2018-11-05,271.75,282.3,268.0,276.85,42867054.8
2018-11-06,279.35,287.45,277.05,279.6,122313087.5
2018-11-07,282.9,294.95,282.05,291.6,114795372.2
2018-11-09,292.75,293.35,283.1,285.65,73058445.4
2018-11-12,287.35,298.2,282.0,284.25,81451683.0
2018-11-13,282.8,288.0,281.05,286.2,55973192.0
2018-11-14,288.5,303.0,288.5,294.45,293716243.0
2018-11-15,294.45,294.45,275.1,277.8,102545555.5
2018-11-16,277.8,285.9,276.0,276.95,34059376.2
2018-11-19,278.1,278.15,271.1,272.45,18094672.5
2018-11-20,270.0,274.05,261.5,262.35,25063808.9
2018-11-21,260.8,269.9,260.1,266.25,23419016.35
2018-11-22,264.0,273.4,263.25,267.3,37872516.45
2018-11-26,268.25,271.25,261.1,269.2,22431396.7
2018-11-27,269.95,272.9,263.5,264.6,23116172.35
2018-11-28,263.5,266.9,262.5,265.05,16149149.35
2018-11-29,263.55,269.9,262.35,264.25,17156995.25
2018-11-30,265.85,266.4,261.8,263.15,24287147.8
2018-12-03,264.35,265.7,262.4,263.75,9766110.5
2018-12-04,264.45,267.65,262.3,264.95,6706103.7
2018-12-05,263.2,267.9,262.8,264.1,7374791.65
2018-12-06,267.45,275.9,264.0,265.7,45235811.7
2018-12-07,263.85,268.9,262.3,264.0,20969742.5
2018-12-10,255.1,262.15,254.65,255.15,13079408.7
2018-12-11,255.15,260.9,253.3,258.85,7626974.05
2018-12-12,257.25,267.9,257.25,266.95,27991654.7
2018-12-13,265.1,271.85,262.75,267.95,15309811.85
2018-12-14,269.85,269.85,263.4,264.1,8037666.5
2018-12-17,264.35,268.9,264.05,265.5,10731301.85
2018-12-18,263.85,273.8,263.85,270.05,47200144.9
2018-12-19,271.6,273.4,265.65,267.25,13547579.3
2018-12-20,265.5,282.8,265.5,276.65,38661308.8
2018-12-21,276.65,280.8,270.25,274.15,20830898.95
2018-12-24,250.0,273.6,250.0,270.7,15898889.1
2018-12-26,271.0,272.95,265.0,271.45,22041053.8
2018-12-27,273.75,274.4,268.1,269.15,22992742.1
2018-12-28,269.4,279.95,269.4,275.95,17507077.85
2018-12-31,275.9,284.0,274.05,278.8,17766158.9
2019-01-01,282.8,284.95,275.25,278.25,35472945.8
2019-01-02,276.8,277.65,274.3,275.9,28188585.15
2019-01-03,276.15,281.75,271.1,272.3,11643907.75
2019-01-04,273.05,273.75,267.3,269.85,10753037.2
2019-01-07,270.25,272.95,270.0,270.2,10165219.8
2019-01-08,270.2,273.0,267.55,268.5,13098756.25
2019-01-09,270.0,271.55,265.65,267.5,13027501.55
2019-01-10,267.55,268.85,266.05,266.9,14512245.6
2019-01-11,266.9,269.1,264.05,265.7,15185809.95
2019-01-14,265.0,276.85,265.0,273.2,45350227.8
2019-01-15,275.0,290.9,273.5,283.3,214213897.9
2019-01-16,288.0,296.2,279.4,290.0,277440779.1
2019-01-17,292.0,296.6,285.25,292.8,122172414.7
2019-01-18,293.0,296.0,286.5,294.35,64012871.25
2019-01-21,295.0,297.4,287.0,288.65,46672574.45
2019-01-22,288.0,294.9,283.1,289.05,116342390.9
2019-01-23,294.9,299.9,285.75,287.75,415786737.1
2019-01-24,290.1,292.5,283.5,284.7,81349947.0
2019-01-25,289.7,294.85,278.5,280.9,201607678.2
2019-01-28,270.0,273.75,266.1,269.95,145618382.4
2019-01-29,267.4,272.0,265.6,269.7,22437095.25
2019-01-30,266.95,270.4,266.1,268.0,41027314.9
2019-01-31,266.3,269.9,264.2,266.65,32822469.05
2019-02-01,268.95,268.95,264.85,265.6,12895901.55
2019-02-04,267.95,267.95,261.85,263.45,11926086.25
2019-02-05,264.35,267.95,257.55,260.95,34454425.45
2019-02-06,263.0,269.9,255.55,265.05,42356545.85
2019-02-07,269.0,269.95,259.15,260.8,29740501.9
2019-02-08,264.0,266.0,255.1,258.8,90783361.25
2019-02-11,259.0,259.45,252.05,254.7,27876881.65
2019-02-12,254.75,255.55,248.15,250.5,96782844.2
2019-02-13,251.0,273.4,251.0,268.5,116663645.4
2019-02-14,267.0,274.9,263.0,269.0,189152261.6
2019-02-15,269.1,283.65,269.1,281.5,79464581.5
2019-02-18,280.75,284.9,275.0,277.6,64046101.65
2019-02-19,278.6,283.0,272.15,279.95,32651732.15
2019-02-20,282.9,282.9,273.1,276.8,45273376.0
2019-02-21,278.05,280.75,275.1,277.65,17156234.25
2019-02-22,277.95,279.35,277.0,277.45,17576894.2
2019-02-25,279.9,282.95,277.0,280.85,22625311.05
2019-02-26,275.05,277.0,268.65,273.45,38120186.7
2019-02-27,278.0,279.0,271.25,273.05,267275572.3
2019-02-28,275.0,275.0,267.55,270.2,17450058.65
2019-03-01,273.95,277.75,272.1,275.25,32847378.8
2019-03-05,274.85,287.2,271.7,281.9,94735950.9
2019-03-06,285.0,287.0,278.3,284.25,86947838.15
2019-03-07,283.5,293.9,283.0,290.3,123451292.2
2019-03-08,290.45,297.0,287.4,289.05,140438152.9
2019-03-11,290.15,293.9,285.65,288.6,49727426.55
2019-03-12,290.0,292.4,286.0,287.5,44274462.6
2019-03-13,291.5,308.0,286.2,297.45,333766267.6
2019-03-14,298.0,306.85,297.0,303.45,206993850.8
2019-03-15,308.4,308.5,298.15,300.85,126680635.9
2019-03-18,303.4,318.0,301.0,309.8,360844914.9
2019-03-19,313.2,314.4,296.0,299.25,292761625.1
2019-03-20,300.8,301.6,290.0,292.15,101760997.2
2019-03-22,294.45,297.0,286.25,287.55,91320104.7
2019-03-25,284.0,285.85,278.05,279.9,40062443.25
2019-03-26,281.8,300.05,276.45,285.8,87326535.9
2019-03-27,286.6,291.9,284.3,289.1,61937557.35
2019-03-28,291.85,301.0,283.85,296.4,75365525.1
2019-03-29,300.05,300.05,286.5,289.35,74966729.0
2019-04-01,288.6,292.2,284.1,284.8,53960152.15
2019-04-02,285.8,285.8,277.35,278.75,56398828.25
2019-04-03,279.9,280.45,271.1,274.1,78381089.3
2019-04-04,275.7,280.0,273.0,275.6,33367026.0
2019-04-05,275.9,282.25,273.4,280.1,60995624.9
2019-04-08,279.7,280.0,274.1,276.4,38281795.95
2019-04-09,279.0,280.1,274.2,276.25,34232993.15
2019-04-10,275.0,277.95,273.15,273.8,20347789.55
2019-04-11,273.0,275.65,272.05,273.85,18081056.65
2019-04-12,273.85,278.65,273.0,274.35,20572379.1
2019-04-15,276.2,277.95,273.2,273.85,26225238.3
2019-04-16,276.45,276.45,271.15,272.5,22964994.75
2019-04-18,271.0,273.45,262.2,264.2,25758383.4
2019-04-22,263.45,264.9,261.5,264.0,16009732.95
2019-04-23,267.0,267.05,261.1,262.45,16365119.45
2019-04-24,263.7,268.95,261.1,267.25,13771963.95
2019-04-25,267.25,275.0,265.0,273.6,23041711.05
2019-04-26,273.6,274.9,266.1,267.15,72868000.8
2019-04-30,276.0,285.5,257.15,259.6,70878388.1
2019-05-02,262.0,264.65,260.15,262.8,16690728.6
2019-05-03,263.0,268.95,260.1,260.7,19281920.75
2019-05-06,255.7,260.0,255.7,259.55,8907364.8
2019-05-07,263.4,263.4,250.25,251.25,18191766.15
2019-05-08,249.3,254.65,249.15,251.5,12928776.3
2019-05-09,252.45,253.25,248.15,250.65,64823659.65
2019-05-10,251.1,254.05,246.5,250.05,27295246.15
2019-05-13,251.0,252.0,241.2,246.0,27311713.2
2019-05-14,244.9,247.85,241.2,245.4,9013685.0
2019-05-15,247.0,247.45,240.85,241.55,7121203.35
2019-05-16,241.55,245.7,241.25,243.1,9381940.15
2019-05-17,241.8,244.75,240.1,240.9,8834537.35
