date,open,high,low,close,volume
2018-01-01,580.1,586.75,545.5,556.9,114327877.9
2018-01-02,557.9,566.1,531.55,542.65,403765665.3
2018-01-03,551.05,574.7,551.05,568.45,126223409.0
2018-01-04,572.0,580.0,568.0,576.2,435744700.0
2018-01-05,581.0,581.55,565.7,569.85,43581898.4
2018-01-08,572.2,583.4,572.2,577.9,80904690.05
2018-01-09,583.0,585.8,572.3,575.65,92414121.6
2018-01-10,579.0,579.0,555.0,570.6,360635644.2
2018-01-11,567.0,577.0,560.05,571.8,78862625.9
2018-01-12,571.8,578.3,562.0,574.9,46131125.95
2018-01-15,563.8,579.0,560.0,575.0,147929699.5
2018-01-16,578.0,578.0,551.85,563.05,110476992.5
2018-01-17,562.0,562.95,550.05,555.2,69074537.45
2018-01-18,555.75,564.95,551.55,555.8,54195003.85
2018-01-19,559.95,576.8,554.9,574.35,91084101.55
2018-01-22,570.85,577.75,570.85,575.15,60647080.9
2018-01-23,575.15,580.0,562.0,573.9,84645754.6
2018-01-24,577.0,577.0,561.8,567.2,71384415.8
2018-01-25,569.0,573.95,538.5,546.1,153337724.2
2018-01-29,550.9,570.0,525.0,533.05,180508750.2
2018-01-30,534.0,535.4,522.05,529.4,124251659.4
2018-01-31,528.45,561.0,522.35,554.6,157184595.2
2018-02-01,555.0,563.45,531.1,549.0,136832841.5
2018-02-02,538.05,558.9,519.8,549.6,88596090.25
2018-02-05,548.0,555.0,521.0,551.8,140237469.8
2018-02-06,525.05,549.9,515.0,544.3,128932963.4
2018-02-07,549.85,565.55,536.85,542.45,71451679.15
2018-02-08,537.1,549.45,537.1,545.75,55371499.7
2018-02-09,540.0,544.9,525.0,535.05,73170494.6
2018-02-12,539.0,541.65,525.0,526.55,130011908.3
2018-02-14,530.0,542.85,521.75,534.3,56120808.45
2018-02-15,528.1,538.4,525.0,526.85,45576653.85
2018-02-16,529.9,529.95,516.35,525.15,49329416.3
2018-02-19,526.0,526.0,508.5,516.9,66133466.15
