date,open,high,low,close,volume
2018-01-01,268.8,277.4,268.4,273.45,75597267.7
2018-01-02,271.6,281.0,267.0,276.8,67840741.25
2018-01-03,277.0,277.95,267.1,268.1,50654905.6
2018-01-04,270.0,271.9,265.05,270.0,48418336.35
2018-01-05,270.0,275.7,268.0,272.6,53293031.2
2018-01-08,274.0,278.9,272.1,274.15,82972572.9
2018-01-09,274.0,274.95,269.5,271.85,75324507.2
2018-01-10,273.0,273.0,263.0,264.7,39570076.75
2018-01-11,264.7,268.7,263.65,264.85,30438519.35
2018-01-12,267.0,272.65,261.1,266.7,307075574.8
2018-01-15,268.8,270.0,265.0,267.25,37267970.95
2018-01-16,266.5,268.45,262.05,264.0,38132966.75
2018-01-17,263.95,263.95,261.0,262.05,17529139.85
2018-01-18,262.55,267.7,258.0,260.5,75923793.45
2018-01-19,265.85,266.2,261.15,262.25,44413838.65
2018-01-22,263.9,263.9,260.5,260.7,65885058.05
2018-01-23,260.25,263.0,257.6,258.6,29660469.15
2018-01-24,259.75,261.5,254.95,256.2,22375057.9
2018-01-25,256.45,262.5,255.8,259.95,195701277.5
2018-01-29,260.0,262.7,258.35,261.0,194026326.4
2018-01-30,258.05,261.0,253.0,254.85,367928906.7
2018-01-31,251.75,262.95,247.25,249.75,42937160.55
2018-02-01,250.2,253.9,239.3,243.6,21854071.15
2018-02-02,242.1,242.1,230.5,235.3,121935550.1
2018-02-05,232.1,239.9,228.0,236.35,25794122.9
2018-02-06,228.15,232.75,213.9,230.75,32930308.9
2018-02-07,233.35,250.0,232.3,247.4,31122863.75
2018-02-08,248.0,257.85,244.5,255.35,42251138.1
2018-02-09,250.0,252.7,243.0,250.65,11037352.2
2018-02-12,254.0,258.85,252.8,257.4,19880222.15
2018-02-14,259.0,261.75,250.6,252.05,20546290.4
2018-02-15,268.0,270.05,246.55,250.45,142904842.2
2018-02-16,253.0,254.5,241.1,244.05,32609378.35
2018-02-19,244.0,244.15,234.8,236.25,27708809.9
2018-02-20,237.5,239.7,235.0,236.7,16973274.1
2018-02-21,239.95,242.0,233.55,234.6,28735125.4
2018-02-22,233.0,239.95,230.55,234.95,41796507.75
2018-02-23,237.0,240.4,236.3,239.75,22493402.0
2018-02-26,241.2,245.0,240.15,241.8,27234069.8
2018-02-27,242.05,242.6,238.0,238.95,9471579.15
2018-02-28,236.5,241.75,236.1,238.75,14573850.45
2018-03-01,237.05,247.4,237.05,241.05,33300428.45
2018-03-05,239.0,253.7,239.0,249.85,115031203.7
2018-03-06,251.35,255.0,244.0,249.75,49653975.5
2018-03-07,249.0,256.0,247.05,253.8,38162373.95
2018-03-08,253.8,260.0,252.0,255.3,74372946.55
2018-03-09,257.0,257.5,251.1,253.05,14794134.3
2018-03-12,254.75,257.4,249.05,250.6,17921717.25
2018-03-13,251.5,254.5,248.1,250.1,24263805.5
2018-03-14,249.85,251.95,244.35,249.5,113429957.7
2018-03-15,249.6,256.5,248.0,251.25,32599484.45
2018-03-16,253.1,253.1,232.1,236.0,80359014.1
2018-03-19,242.3,243.0,236.15,238.05,22070730.05
2018-03-20,237.0,240.5,234.05,236.3,10206245.6
2018-03-21,238.0,247.0,238.0,243.8,33907505.2
2018-03-22,245.85,247.5,238.05,240.8,44151826.1
2018-03-23,237.0,239.0,231.6,234.15,309439755.0
2018-03-26,235.3,235.65,230.7,232.25,18922033.7
2018-03-27,235.15,235.8,231.75,232.7,17543810.35
2018-03-28,231.5,233.3,226.55,228.0,31762719.1
2018-04-02,230.6,235.6,228.5,233.9,14971847.65
2018-04-03,231.35,240.0,231.35,233.55,34977808.65
2018-04-04,234.9,238.45,232.0,233.55,19940651.75
2018-04-05,236.9,238.0,235.2,236.65,8156545.5
2018-04-06,238.45,240.0,235.2,236.25,24569652.15
2018-04-09,237.35,240.55,237.05,238.5,30801680.75
2018-04-10,240.0,240.0,237.25,238.8,7389028.5
2018-04-11,239.5,239.6,235.0,237.85,8340978.75
2018-04-12,237.35,238.8,234.35,235.95,7136406.5
2018-04-13,235.5,236.8,235.0,235.65,6856470.05
2018-04-16,236.9,247.25,233.3,243.85,64492143.25
2018-04-17,245.55,245.75,238.6,239.65,17870330.05
2018-04-18,241.0,245.0,235.15,236.65,38342156.85
2018-04-19,238.0,238.75,229.35,233.35,33252367.25
2018-04-20,233.0,237.4,232.1,235.05,15215396.6
2018-04-23,236.8,238.45,233.85,235.95,13011036.9
2018-04-24,238.0,238.0,235.0,235.6,10966870.5
2018-04-25,235.7,235.7,228.0,228.9,19972164.45
2018-04-26,230.75,230.75,224.0,225.9,16719900.35
2018-04-27,226.2,229.45,219.0,221.1,30454272.1
2018-04-30,222.0,223.25,218.0,219.9,32122875.6
2018-05-02,221.6,221.6,216.25,219.6,36313580.1
2018-05-03,219.7,220.0,214.3,215.35,16492788.9
2018-05-04,215.0,224.7,209.65,211.35,28769190.0
2018-05-07,212.1,213.9,205.65,208.5,52128963.4
2018-05-08,209.8,221.5,208.15,210.0,84623129.8
2018-05-09,211.0,215.0,210.1,211.8,67147606.9
2018-05-10,213.9,224.45,208.0,211.95,160299937.9
2018-05-11,212.55,215.2,210.1,211.8,23865923.2
2018-05-14,212.85,214.45,206.35,208.0,71657702.05
2018-05-15,208.0,211.0,205.5,207.0,25202108.0
2018-05-16,206.4,209.2,205.0,206.85,25433542.05
2018-05-17,206.6,208.6,205.0,207.85,20184313.15
2018-05-18,208.35,210.0,206.0,207.05,16057446.05
2018-05-21,207.4,209.45,205.0,208.15,15461227.15
2018-05-22,208.15,210.0,205.2,208.35,12926253.05
2018-05-23,208.45,210.4,206.05,207.0,10214370.85
2018-05-24,207.6,210.25,206.1,207.85,20438415.25
2018-05-25,210.0,237.75,207.35,208.45,621381973.1
2018-05-28,211.0,217.5,209.05,216.2,83015828.95
2018-05-29,208.0,213.1,198.65,210.05,191233257.8
2018-05-30,208.0,219.0,205.0,216.7,122628980.4
2018-05-31,215.0,216.95,208.6,215.5,45631628.8
2018-06-01,220.0,221.0,215.0,219.05,44085404.8
2018-06-04,219.7,219.7,210.05,212.55,28814072.0
2018-06-05,212.5,213.4,203.75,209.85,28043623.0
2018-06-06,210.0,211.45,204.05,205.8,51254525.25
2018-06-07,207.05,211.0,205.5,210.1,25288322.85
2018-06-08,207.9,222.4,207.55,220.6,86732795.8
2018-06-11,221.0,224.75,217.0,220.15,41884765.9
2018-06-12,220.2,220.9,214.5,215.7,28602665.65
2018-06-13,217.55,220.7,216.5,218.8,23977661.55
2018-06-14,217.65,218.35,211.8,215.9,29926252.85
2018-06-15,215.75,219.0,211.6,214.55,24452186.65
2018-06-18,214.0,215.7,211.7,214.05,8326568.55
2018-06-19,212.95,217.95,207.5,213.5,28260977.35
2018-06-20,214.95,215.7,210.35,213.25,17607613.1
2018-06-21,213.5,213.8,210.1,211.4,7752226.85
2018-06-22,210.95,213.0,208.8,211.75,10852781.7
2018-06-25,211.0,214.0,207.5,212.55,30541635.7
2018-06-26,211.75,211.75,206.2,208.65,40467214.55
2018-06-27,208.4,208.4,200.0,203.2,28427184.4
2018-06-28,202.1,205.8,197.0,205.0,16096898.75
2018-06-29,203.35,211.85,203.35,209.45,12697479.4
2018-07-02,214.8,214.8,204.3,206.05,45568103.55
2018-07-03,205.15,208.15,202.1,207.1,20629982.7
2018-07-04,206.0,209.8,204.0,208.5,15726544.8
2018-07-05,209.3,213.2,206.5,208.3,22013762.85
2018-07-06,208.95,211.0,207.35,209.3,12781806.3
2018-07-09,210.0,213.0,208.35,211.25,18976553.2
2018-07-10,210.0,217.4,209.65,215.35,25800390.1
2018-07-11,214.0,218.5,212.0,216.55,22363861.85
2018-07-12,219.0,222.2,215.2,219.45,43957583.4
2018-07-13,219.9,220.35,214.2,218.55,18912889.0
2018-07-16,218.55,219.5,213.5,218.1,13684338.85
2018-07-17,216.1,220.2,214.1,219.1,22554525.05
2018-07-18,220.0,220.0,213.15,214.7,7976867.95
2018-07-19,214.7,214.75,210.65,213.15,20394706.05
2018-07-20,211.0,211.8,208.1,210.5,9985552.6
2018-07-23,209.5,212.45,207.3,210.5,18265641.65
2018-07-24,210.5,212.0,208.2,209.5,31009725.95
2018-07-25,209.2,210.6,208.2,208.7,12005149.9
2018-07-26,208.8,210.4,208.55,209.55,15705743.5
2018-07-27,210.5,212.8,208.9,209.75,14835741.65
2018-07-30,210.0,212.0,208.4,210.9,13475128.25
2018-07-31,211.95,217.4,210.0,216.2,13450330.1
2018-08-01,216.5,218.0,212.1,214.0,15959484.15
2018-08-02,212.0,226.0,210.9,224.35,50255683.6
2018-08-03,225.0,227.0,222.0,225.5,26791829.75
2018-08-06,223.1,232.35,222.6,225.75,31696406.15
2018-08-07,226.0,226.45,220.1,221.75,12449647.25
2018-08-08,222.0,226.0,220.0,220.75,6977624.1
2018-08-09,222.7,222.7,220.0,220.5,2930901.1
2018-08-10,218.2,220.4,218.0,218.85,3847821.65
2018-08-13,218.55,219.95,214.55,216.45,6899561.0
2018-08-14,215.0,216.45,211.0,214.55,10000517.9
2018-08-16,209.55,211.7,205.2,210.05,22388961.95
2018-08-17,210.05,220.0,209.05,215.4,52204554.45
2018-08-20,214.5,221.55,214.5,220.2,24734554.75
2018-08-21,221.95,222.8,218.15,220.95,12463832.9
2018-08-23,220.0,222.25,218.6,220.05,7532686.45
2018-08-24,217.1,219.95,215.0,218.15,7459171.65
2018-08-27,215.2,221.0,215.2,220.15,7713293.85
2018-08-28,220.5,220.95,218.15,220.0,14553994.85
2018-08-29,219.0,222.55,219.0,220.0,9697349.1
2018-08-30,219.1,222.25,216.45,219.55,16291744.25
2018-08-31,219.5,228.0,219.5,225.8,22988559.15
2018-09-03,227.0,229.9,222.2,224.5,16978009.95
2018-09-04,222.2,227.3,221.85,224.3,13527343.85
2018-09-05,222.5,223.0,216.25,220.05,20777624.15
2018-09-06,219.0,220.65,215.1,216.85,6642717.35
2018-09-07,215.0,223.85,214.25,220.75,18095062.9
2018-09-10,219.0,221.2,217.1,218.0,10253987.5
2018-09-11,215.1,218.35,215.1,216.65,6415689.5
2018-09-12,213.5,217.8,213.5,216.85,6874738.75
2018-09-14,218.0,223.65,218.0,221.35,11050269.1
2018-09-17,218.25,221.35,216.15,217.7,22066360.35
2018-09-18,215.1,220.2,212.5,214.5,125700473.4
2018-09-19,213.5,214.4,204.95,207.4,16816421.95
2018-09-21,209.9,213.0,195.15,200.3,66034837.7
2018-09-24,200.3,209.95,186.0,189.4,20545787.3
2018-09-25,186.0,196.25,186.0,194.7,71824569.8
2018-09-26,194.2,195.5,190.7,193.5,14404846.3
2018-09-27,193.0,193.45,187.0,187.85,7509642.35
2018-09-28,187.1,190.0,164.1,168.2,21232578.2
2018-10-01,167.0,194.7,134.6,173.65,59333033.15
