date,open,high,low,close,volume
2018-01-01,275.5,280.0,269.0,270.6,38294942.2
2018-01-02,272.0,281.55,270.15,277.8,93692501.5
2018-01-03,278.0,283.75,272.15,280.15,108336019.9
2018-01-04,280.15,295.0,277.05,282.95,236632239.6
2018-01-05,284.65,289.15,277.1,279.0,71422262.35
2018-01-08,278.0,281.0,273.05,273.95,69181396.3
2018-01-09,275.0,280.45,274.35,276.1,929971274.2
2018-01-10,277.6,277.8,268.3,270.5,55577323.5
2018-01-11,270.85,275.0,270.85,272.65,103459988.7
2018-01-12,273.05,275.35,269.9,272.25,93546914.85
2018-01-15,271.75,278.75,263.0,265.75,92296138.6
2018-01-16,266.9,281.0,266.0,274.75,154248041.2
2018-01-17,276.8,276.8,268.15,269.4,66953763.15
2018-01-18,271.05,274.65,261.15,265.25,83707526.7
2018-01-19,269.0,269.0,261.0,262.55,62804251.05
2018-01-22,263.1,265.15,255.45,260.8,78548031.05
2018-01-23,263.0,273.75,261.15,264.3,365129323.4
2018-01-24,267.0,269.0,248.75,250.75,372966693.9
2018-01-25,251.1,253.95,234.1,237.6,860662774.7
2018-01-29,243.0,246.45,235.4,241.8,304021390.4
2018-01-30,245.0,245.75,235.0,242.15,282007437.8
2018-01-31,238.05,252.0,232.3,249.15,327454116.4
2018-02-01,251.95,264.95,248.5,253.4,291278893.7
2018-02-02,247.9,251.8,236.05,245.65,268021385.7
2018-02-05,245.1,259.7,233.3,254.35,197545775.2
2018-02-06,233.25,252.45,233.0,242.15,130188468.1
2018-02-07,244.0,249.7,242.0,242.9,299404400.2
2018-02-08,244.7,245.9,241.1,243.0,188333332.9
2018-02-09,239.0,247.3,238.65,244.5,73830715.45
2018-02-12,246.4,246.4,235.55,238.05,204124177.8
2018-02-14,239.8,242.9,234.9,235.25,403985137.6
2018-02-15,238.7,238.7,229.35,231.6,570023835.1
2018-02-16,232.05,234.4,225.55,227.75,169497619.6
2018-02-19,227.8,235.8,220.3,231.2,495226306.5
2018-02-20,231.65,237.0,231.3,233.55,581072181.3
2018-02-21,235.25,237.8,231.9,235.0,601116152.2
2018-02-22,235.9,236.3,228.5,230.7,100128457.8
2018-02-23,230.9,234.25,230.9,232.9,233907618.6
2018-02-26,233.0,239.75,230.9,232.7,393726188.0
2018-02-27,233.4,233.5,229.2,232.7,118868134.0
2018-02-28,232.7,234.7,229.8,232.5,109269229.8
2018-03-01,235.85,235.85,231.1,232.65,74222036.75
2018-03-05,234.2,237.0,232.7,234.7,375950736.6
2018-03-06,236.0,237.9,233.5,235.4,100549518.8
2018-03-07,236.0,237.65,232.0,236.15,94340376.85
2018-03-08,236.9,243.55,233.0,239.75,100525041.9
2018-03-09,243.0,243.0,237.65,240.9,117610579.1
2018-03-12,242.0,242.0,231.0,234.45,581871147.0
2018-03-13,234.0,235.15,225.5,227.1,138260296.9
2018-03-14,228.3,228.3,224.5,225.7,115813597.0
2018-03-15,227.65,227.65,221.0,222.35,143523871.9
2018-03-16,222.95,230.9,222.7,227.7,193061035.8
2018-03-19,229.2,229.2,217.3,219.75,377495558.2
2018-03-20,220.0,227.2,218.5,223.95,102277547.2
2018-03-21,224.05,234.0,222.2,232.45,141601907.0
2018-03-22,231.95,242.5,227.75,239.2,150934808.2
2018-03-23,233.5,244.7,226.4,242.5,273586944.6
2018-03-26,238.4,240.9,230.0,234.45,363052762.1
2018-03-27,237.1,237.85,226.35,232.3,284848944.7
2018-03-28,227.45,244.0,225.1,236.75,338720251.7
2018-04-02,237.5,237.5,230.65,232.6,41710892.1
2018-04-03,230.9,235.0,228.1,231.8,85872079.8
2018-04-04,232.7,234.6,228.0,229.3,56104953.45
2018-04-05,232.0,235.0,228.15,234.05,110307252.4
2018-04-06,232.1,233.95,229.3,230.85,118662034.5
2018-04-09,232.7,242.0,231.5,240.0,766367845.1
2018-04-10,240.1,242.8,234.5,237.6,173225534.9
2018-04-11,238.45,239.9,233.6,235.6,84177352.85
2018-04-12,235.0,237.45,233.55,236.15,180411369.9
2018-04-13,238.45,238.5,231.15,232.55,232097761.9
2018-04-16,230.8,230.8,222.0,225.2,369028384.5
2018-04-17,227.2,228.1,223.2,224.0,122323537.9
2018-04-18,224.9,227.65,224.25,226.2,214171841.6
2018-04-19,224.65,229.5,224.65,228.25,68827141.55
2018-04-20,228.0,231.5,225.85,229.65,767980542.0
2018-04-23,229.45,232.95,226.85,230.75,155073537.1
2018-04-24,231.8,233.5,228.15,231.9,186767245.3
2018-04-25,229.1,232.9,226.1,227.85,63322272.05
2018-04-26,228.95,230.25,226.0,229.45,70268237.3
2018-04-27,229.5,234.8,226.45,232.95,77859171.95
2018-04-30,233.0,236.8,232.05,236.0,75725963.85
2018-05-02,238.0,239.35,230.1,234.5,174582913.6
2018-05-03,232.0,237.45,229.8,235.55,96928764.15
2018-05-04,235.9,247.2,234.2,245.1,370834628.7
2018-05-07,247.6,252.6,240.45,248.9,354312506.6
2018-05-08,251.05,251.9,244.25,250.0,151124287.0
2018-05-09,249.9,249.95,243.15,245.9,126837239.5
2018-05-10,244.85,245.7,235.45,237.0,96452268.75
2018-05-11,238.0,239.75,233.0,234.35,76745991.8
2018-05-14,235.15,243.5,226.5,235.2,427884237.4
2018-05-15,239.0,243.0,226.6,229.65,105336538.4
2018-05-16,230.2,234.95,219.3,230.45,965343500.5
2018-05-17,233.4,251.0,231.9,247.35,475231828.0
2018-05-18,245.5,251.9,237.7,245.65,296683059.1
2018-05-21,243.0,244.95,234.0,241.2,138785964.1
2018-05-22,239.95,245.0,234.65,243.9,90130321.15
2018-05-23,244.45,247.0,238.1,240.25,79765035.65
2018-05-24,240.05,242.25,235.65,236.35,139684710.9
2018-05-25,238.25,238.25,230.1,231.0,103601389.4
2018-05-28,231.4,232.3,223.0,227.0,421715716.2
2018-05-29,226.55,228.65,225.0,226.4,210011651.3
2018-05-30,225.9,229.7,220.15,222.05,153621865.0
2018-05-31,222.6,228.5,222.2,226.75,259166697.4
2018-06-01,228.25,228.25,221.85,222.7,523699636.1
2018-06-04,225.0,225.5,220.05,223.85,44441223.45
2018-06-05,226.0,227.9,223.0,226.05,78113187.5
2018-06-06,227.0,227.0,222.25,225.0,48328140.35
2018-06-07,225.0,229.15,224.15,225.15,51005886.2
2018-06-08,225.0,227.6,223.3,226.15,35780212.65
2018-06-11,226.05,235.8,226.05,234.15,89573924.15
2018-06-12,236.85,236.9,231.0,234.75,35374601.0
