date,open,high,low,close,volume
2018-01-01,583.35,587.4,574.6,577.7,28850347.6
2018-01-02,576.75,580.85,571.75,575.3,19316702.95
2018-01-03,574.05,580.0,572.6,576.9,27596796.45
2018-01-04,580.0,580.95,571.65,576.1,23774115.85
2018-01-05,579.6,579.6,571.1,578.05,46649901.85
2018-01-08,581.6,582.5,574.0,580.3,82117517.95
2018-01-09,583.0,594.9,580.0,583.1,77632729.65
2018-01-10,583.0,588.95,575.25,581.6,138514494.6
2018-01-11,583.9,595.25,579.25,582.8,97540352.05
2018-01-12,583.05,598.05,562.65,577.4,180816118.1
2018-01-15,584.4,594.9,582.65,591.2,84033918.95
2018-01-16,591.0,598.0,576.15,582.6,156183216.4
2018-01-17,584.0,592.2,577.0,590.2,68711736.05
2018-01-18,596.0,599.0,575.0,581.55,130659563.0
2018-01-19,588.25,678.0,586.0,653.55,1170196113.0
2018-01-22,658.1,683.8,622.7,627.4,1008822912.0
2018-01-23,631.0,686.0,623.1,662.6,621828971.7
2018-01-24,642.3,663.3,630.0,640.8,5167631315.0
2018-01-25,643.65,654.4,635.1,643.3,366211478.8
2018-01-29,647.7,657.0,636.0,651.15,310231605.5
2018-01-30,651.0,653.5,615.0,622.45,422832809.7
2018-01-31,627.4,648.0,627.4,641.85,616818048.2
2018-02-01,641.85,647.8,626.65,641.85,152093455.7
2018-02-02,637.9,639.5,616.9,620.4,344096598.9
2018-02-05,611.15,634.6,607.95,622.5,272869593.2
2018-02-06,609.25,609.25,591.1,601.35,523116560.6
2018-02-07,606.25,616.45,602.0,604.9,194975809.9
2018-02-08,607.0,644.2,604.5,623.85,133759201.3
2018-02-09,617.75,633.8,613.75,628.4,52708576.85
2018-02-12,627.0,638.0,621.45,625.65,65142460.4
2018-02-14,635.0,635.0,620.8,624.0,42268413.7
2018-02-15,629.0,629.0,612.1,618.8,113795498.9
2018-02-16,620.0,626.5,608.0,610.25,74487586.35
2018-02-19,604.1,621.15,592.65,609.85,54340289.6
2018-02-20,618.0,622.0,611.0,614.8,39151464.6
2018-02-21,619.8,635.0,616.95,629.35,108923820.6
2018-02-22,632.9,651.9,612.3,619.65,392099033.8
2018-02-23,624.3,628.5,620.0,623.45,77246004.15
2018-02-26,626.0,639.8,622.0,637.3,80113715.5
2018-02-27,641.8,642.95,626.55,629.6,30369935.9
2018-02-28,634.5,640.5,625.0,636.55,74652655.15
2018-03-01,636.0,638.95,630.0,633.4,80940820.9
2018-03-05,635.0,636.45,625.0,630.1,54490606.95
2018-03-06,635.2,643.7,619.0,622.3,66076503.7
2018-03-07,624.7,634.4,622.5,625.0,68089485.9
2018-03-08,626.3,631.25,619.0,620.4,66716123.85
2018-03-09,617.25,625.0,617.05,622.2,34407128.05
2018-03-12,625.35,636.0,620.0,626.8,76890330.75
2018-03-13,629.8,632.0,621.0,628.2,25978928.75
2018-03-14,625.7,636.1,622.4,632.4,65746193.75
2018-03-15,632.4,632.4,624.0,628.2,41691746.9
2018-03-16,628.15,637.7,627.85,633.05,42414853.85
2018-03-19,627.35,646.0,627.35,641.95,165366201.7
2018-03-20,642.0,649.9,631.5,643.55,91712945.1
2018-03-21,647.0,673.0,641.65,651.2,269983489.1
2018-03-22,660.0,673.45,652.55,659.6,156955753.0
2018-03-23,642.0,669.5,640.0,659.9,141321796.8
2018-03-26,664.5,669.9,645.0,663.3,345145269.2
2018-03-27,670.0,692.0,645.0,686.3,184175165.8
2018-03-28,686.3,699.0,672.0,694.85,371653901.9
2018-04-02,694.85,696.0,674.7,687.7,333913638.9
2018-04-03,687.7,694.75,670.85,680.6,134059893.4
2018-04-04,680.75,684.0,646.6,655.8,189476510.2
2018-04-05,660.0,666.55,633.0,639.1,160320285.4
2018-04-06,643.9,655.0,635.6,648.4,110243439.0
2018-04-09,651.7,652.0,626.1,632.3,84613116.6
2018-04-10,634.3,644.4,621.15,635.7,192487491.9
2018-04-11,635.35,638.55,625.0,629.9,131685467.1
2018-04-12,634.05,652.0,631.0,638.4,312827014.8
2018-04-13,639.95,648.95,636.5,647.3,237792457.7
2018-04-16,644.0,653.95,637.1,649.05,138129853.2
2018-04-17,653.7,655.85,649.0,651.05,92820071.4
2018-04-18,654.95,664.2,638.5,643.25,142591258.4
2018-04-19,644.9,654.3,641.65,647.05,247604062.0
2018-04-20,668.0,735.85,668.0,710.15,2830869444.0
2018-04-23,701.8,729.0,701.75,717.25,845941134.8
2018-04-24,720.0,727.5,702.1,719.3,333130132.3
