date,open,high,low,close,volume
2018-01-01,350.95,359.0,349.3,357.5,28331917.6
2018-01-02,360.0,362.0,354.5,356.1,25730938.5
2018-01-03,358.0,359.45,351.6,353.4,16588648.9
2018-01-04,357.8,357.85,353.9,355.95,14768261.8
2018-01-05,357.0,364.45,356.0,360.55,30721497.85
2018-01-08,363.0,366.95,360.5,365.85,26185187.9
2018-01-09,366.9,377.9,364.0,373.3,72066475.35
2018-01-10,374.0,385.05,373.5,379.45,63003147.7
2018-01-11,377.0,383.0,377.0,381.55,16753993.3
2018-01-12,380.0,384.25,372.4,375.0,55150061.1
2018-01-15,377.4,379.35,371.0,374.2,16136605.9
2018-01-16,376.0,377.7,370.95,373.0,17268845.0
2018-01-17,373.25,375.6,366.0,371.55,21198167.45
2018-01-18,375.5,388.0,353.1,355.85,346148678.5
2018-01-19,353.9,356.85,346.0,352.75,52544921.8
2018-01-22,352.75,354.0,345.15,347.4,15715242.2
2018-01-23,349.0,349.0,339.0,340.85,105695553.6
2018-01-24,341.95,343.0,339.65,340.95,11114609.15
2018-01-25,344.5,344.5,338.0,339.75,27201010.4
2018-01-29,343.4,344.7,333.55,337.45,16846868.75
2018-01-30,340.0,340.0,330.1,335.45,8486379.7
2018-01-31,335.45,335.45,324.15,326.05,18532600.0
2018-02-01,331.5,331.5,327.0,330.0,395695668.8
2018-02-02,330.0,330.0,310.15,326.5,22900875.45
2018-02-05,327.0,338.7,321.0,329.7,5064184.5
2018-02-06,323.9,329.0,314.45,322.25,12027894.0
2018-02-07,327.05,331.0,323.0,326.95,58445471.7
2018-02-08,325.05,333.7,325.05,327.4,16449169.45
2018-02-09,327.0,330.0,310.7,317.45,22662617.65
2018-02-12,319.4,329.9,313.65,326.55,9804638.8
2018-02-14,331.35,334.0,325.0,327.4,7188389.25
2018-02-15,323.0,341.0,315.0,326.5,291952883.1
2018-02-16,321.65,327.95,321.65,324.95,12445365.85
2018-02-19,322.0,326.0,318.0,325.0,238159603.8
2018-02-20,323.05,332.0,323.05,329.35,28553729.95
2018-02-21,330.0,332.85,323.0,327.75,115844070.2
2018-02-22,327.0,327.35,321.05,322.7,4071103.45
2018-02-23,320.15,332.5,320.15,330.65,35573705.15
2018-02-26,334.75,334.8,323.6,327.1,139317278.2
2018-02-27,325.05,330.55,324.2,326.55,1559276.75
2018-02-28,328.9,344.45,325.75,334.55,81369181.35
2018-03-01,332.75,337.8,329.3,331.65,8889335.55
2018-03-05,333.4,360.0,323.1,344.1,14275969.2
2018-03-06,347.8,350.0,326.15,334.4,22380577.95
2018-03-07,330.3,338.0,316.15,323.55,15688835.35
2018-03-08,322.25,327.85,313.0,322.1,14683282.65
