date,open,high,low,close,volume
2018-01-01,326.1,327.85,318.0,320.6,25296395.35
2018-01-02,322.0,324.0,313.35,317.6,15759360.55
2018-01-03,319.35,325.65,315.0,316.45,34101514.45
2018-01-04,324.0,332.0,319.0,329.1,66734549.15
2018-01-05,335.0,342.0,325.0,340.4,76895337.0
2018-01-08,335.25,352.7,335.25,341.35,73235468.7
2018-01-09,344.0,347.6,333.35,340.2,37804163.2
2018-01-10,340.65,344.8,333.0,336.85,30157899.55
2018-01-11,339.1,339.1,328.0,329.9,23932526.1
2018-01-12,329.95,339.1,329.95,336.2,31418067.4
2018-01-15,336.2,352.0,331.8,347.1,123258197.9
2018-01-16,350.85,368.35,335.1,361.65,274682442.9
2018-01-17,360.0,378.1,352.25,364.85,233830342.1
2018-01-18,369.0,369.7,344.8,349.15,145359432.4
2018-01-19,345.0,365.0,345.0,360.95,196084979.1
2018-01-22,373.95,392.4,369.5,384.75,435444089.0
2018-01-23,390.0,396.4,380.0,390.05,119002626.0
2018-01-24,389.0,392.0,365.0,376.85,115547081.7
2018-01-25,375.0,395.8,364.0,383.0,138776743.8
2018-01-29,380.0,390.95,373.0,377.8,90548504.6
2018-01-30,375.0,379.95,370.5,374.1,53004130.5
2018-01-31,375.0,385.0,360.0,375.8,74573951.9
2018-02-01,374.85,382.15,370.0,375.85,156905537.2
2018-02-02,373.1,374.4,352.15,358.75,180188710.8
2018-02-05,350.95,357.35,336.0,354.6,74115499.35
2018-02-06,327.45,351.0,320.15,346.35,55685881.5
2018-02-07,350.0,354.5,340.9,346.85,45415051.15
2018-02-08,348.7,355.5,340.05,348.65,73507866.2
2018-02-09,340.5,348.0,333.05,344.75,28354277.8
2018-02-12,345.0,350.1,342.35,345.15,23091873.85
2018-02-14,349.9,349.9,342.35,343.75,73334431.3
2018-02-15,348.15,348.15,330.3,333.5,17704411.65
2018-02-16,334.15,345.0,334.15,338.2,29524738.65
2018-02-19,336.0,337.95,332.0,333.65,38708865.0
2018-02-20,330.0,338.05,329.95,335.6,14672602.65
2018-02-21,337.0,340.5,331.15,337.2,15191930.0
2018-02-22,335.0,335.2,330.1,331.25,17665382.15
2018-02-23,332.75,338.1,322.55,329.35,29834195.0
2018-02-26,332.0,343.0,330.0,340.2,58577093.15
2018-02-27,339.0,344.9,337.1,342.85,62964059.35
2018-02-28,343.0,343.0,334.0,336.25,24682527.45
2018-03-01,337.65,340.7,330.1,331.7,15381891.7
2018-03-05,332.0,333.5,321.95,330.2,32242729.05
2018-03-06,332.45,332.45,317.35,320.2,40165156.1
2018-03-07,320.0,320.05,304.3,311.45,39869991.1
2018-03-08,314.0,320.8,302.1,308.45,60366264.55
2018-03-09,315.0,315.0,302.1,305.8,53166366.6
2018-03-12,306.8,312.0,305.0,309.4,14100530.65
2018-03-13,312.9,316.8,308.25,311.1,23558174.95
2018-03-14,310.0,318.9,309.0,316.2,22068701.6
2018-03-15,314.95,325.0,313.15,321.7,13681661.45
2018-03-16,321.25,328.0,319.3,325.3,22965433.55
2018-03-19,320.15,327.4,308.75,309.95,25216428.05
2018-03-20,310.05,312.2,307.6,310.8,18388722.35
2018-03-21,312.35,315.0,302.0,303.9,13156528.9
2018-03-22,308.25,308.95,296.65,305.45,91542503.95
2018-03-23,296.0,303.85,293.1,300.0,21535353.8
