date,open,high,low,close,volume
2018-01-01,308.0,312.9,305.25,307.15,463413108.9
2018-01-02,307.65,309.45,296.2,298.8,566670320.4
2018-01-03,299.75,304.7,297.0,300.8,410164151.0
2018-01-04,303.0,310.45,298.7,306.4,654464499.7
2018-01-05,307.25,309.0,302.05,303.4,337010438.3
2018-01-08,304.25,308.7,302.45,305.9,374168856.1
2018-01-09,305.85,310.55,302.45,306.85,465391576.8
2018-01-10,307.0,307.35,298.1,300.55,409296294.3
2018-01-11,300.55,319.8,298.05,317.8,1554633593.0
2018-01-12,319.4,324.4,310.0,319.85,1190313211.0
2018-01-15,320.4,325.5,315.25,317.85,860290800.4
2018-01-16,330.0,343.95,324.0,328.6,4967349545.0
2018-01-17,331.5,336.9,323.05,332.15,1645836854.0
2018-01-18,333.0,336.9,321.0,324.15,893679218.3
2018-01-19,322.1,340.9,318.4,337.3,1570472087.0
2018-01-22,337.0,352.0,332.65,350.15,2106899670.0
2018-01-23,351.0,401.6,351.0,387.7,5029422600.0
2018-01-24,377.0,383.35,361.65,364.35,1976484556.0
2018-01-25,363.0,376.55,361.45,373.1,1488752082.0
2018-01-29,374.0,376.0,360.0,362.6,646195496.6
2018-01-30,359.45,371.0,350.0,354.0,991964319.8
2018-01-31,355.0,364.0,341.0,345.8,907787753.0
2018-02-01,346.1,363.8,342.0,356.4,1195534048.0
2018-02-02,349.05,356.0,324.0,330.5,1074111370.0
2018-02-05,322.0,344.5,309.7,342.85,1195635971.0
2018-02-06,315.0,333.25,312.0,325.3,1149587751.0
2018-02-07,333.5,337.65,318.5,320.9,802220237.7
2018-02-08,323.75,339.3,322.0,335.95,917830156.0
2018-02-09,325.0,354.45,322.5,350.75,1401683558.0
2018-02-12,351.7,367.3,351.7,363.9,1069340681.0
2018-02-14,366.7,372.8,362.35,364.45,708377905.0
2018-02-15,367.0,383.95,365.1,377.85,1330280879.0
2018-02-16,381.1,386.4,360.0,362.6,1288836983.0
2018-02-19,360.0,365.9,349.0,351.7,827499228.7
2018-02-20,354.7,365.0,349.8,356.2,948144003.6
2018-02-21,359.25,361.25,349.05,352.2,446122465.2
2018-02-22,350.4,356.3,347.0,348.9,735103612.7
2018-02-23,350.65,367.9,349.65,365.9,1308167704.0
2018-02-26,369.25,375.0,366.25,368.6,797490543.9
2018-02-27,368.8,369.6,355.0,356.9,563494249.9
2018-02-28,353.0,354.3,345.0,346.85,585310925.2
2018-03-01,348.9,357.85,346.05,351.15,574113628.3
2018-03-05,349.5,349.5,338.1,339.45,483348442.1
2018-03-06,343.4,346.6,326.05,328.05,768287257.8
2018-03-07,326.9,330.9,314.3,316.0,700477117.0
2018-03-08,319.7,324.0,303.5,312.45,1255017968.0
2018-03-09,315.0,320.8,310.25,314.9,613492188.1
2018-03-12,320.05,322.8,315.1,319.9,508834483.0
2018-03-13,319.75,324.85,308.25,314.15,665708312.8
2018-03-14,312.0,317.45,310.1,312.0,540622107.8
2018-03-15,312.0,317.65,308.0,309.5,572992263.4
2018-03-16,313.0,319.5,307.35,308.4,860648515.9
2018-03-19,309.4,311.2,294.5,296.4,640199451.0
2018-03-20,292.0,293.75,285.6,289.45,673382984.3
2018-03-21,291.05,303.95,291.05,299.7,658945504.1
2018-03-22,299.5,304.3,291.0,293.15,569987503.8
2018-03-23,282.0,292.4,277.55,286.25,771438452.7
2018-03-26,283.1,294.2,280.9,290.2,510682810.9
2018-03-27,294.6,300.7,293.45,297.45,424409795.7
2018-03-28,290.0,290.0,241.1,250.25,3980356325.0
2018-04-02,258.9,260.0,240.25,242.95,1657447399.0
2018-04-03,239.9,279.5,239.0,276.6,4821524519.0
2018-04-04,279.3,287.4,273.25,276.7,2644524285.0
2018-04-05,283.0,286.65,280.2,284.35,777561883.8
2018-04-06,282.95,282.95,250.2,277.45,765702995.8
2018-04-09,278.0,285.25,278.0,280.45,520290138.8
2018-04-10,281.85,288.4,275.1,282.45,945390056.5
2018-04-11,283.0,287.25,279.4,281.3,542775299.0
2018-04-12,280.0,283.3,275.55,277.0,386875864.0
2018-04-13,277.5,279.8,266.05,267.1,559632978.8
2018-04-16,266.0,278.9,264.0,274.9,800795430.2
2018-04-17,276.0,283.5,272.05,277.8,697903674.6
2018-04-18,279.8,286.9,277.0,284.75,886503589.8
2018-04-19,285.65,286.95,281.3,282.6,416793696.9
2018-04-20,281.5,292.5,280.8,287.45,1168251713.0
2018-04-23,287.95,291.9,280.1,284.65,740024512.3
2018-04-24,296.0,301.4,281.0,282.85,2008931178.0
2018-04-25,282.0,287.65,264.2,270.8,992986796.6
2018-04-26,271.8,276.7,269.35,273.35,413730339.9
2018-04-27,273.8,276.5,265.5,269.15,437070953.3
2018-04-30,271.6,274.5,268.15,270.35,301970828.5
2018-05-02,271.7,275.0,260.0,261.95,484190931.2
2018-05-03,261.7,261.7,253.0,254.15,338164398.6
2018-05-04,253.8,254.3,243.05,245.0,538630202.0
2018-05-07,246.4,257.8,246.0,250.35,790660933.8
2018-05-08,250.75,254.35,246.0,248.25,326825750.2
2018-05-09,247.4,247.4,238.0,239.9,512720364.2
2018-05-10,241.7,245.9,232.5,233.4,545049135.7
2018-05-11,231.4,238.5,227.55,232.55,405567255.0
2018-05-14,230.3,237.9,220.5,222.3,434337753.7
2018-05-15,220.0,236.8,218.25,225.85,1261000668.0
2018-05-16,226.0,244.8,222.5,238.45,2018706043.0
2018-05-17,241.15,271.0,241.15,250.0,1410658684.0
2018-05-18,249.95,252.7,243.65,247.85,804106397.4
2018-05-21,247.0,248.25,230.0,231.75,462938335.1
2018-05-22,229.25,237.9,229.25,231.85,393531555.5
2018-05-23,231.85,236.0,224.6,227.9,389496721.8
2018-05-24,230.0,234.45,227.25,231.3,406727497.3
2018-05-25,232.5,234.2,228.05,229.75,359118878.6
2018-05-28,231.0,253.7,230.5,247.3,1151567662.0
2018-05-29,247.0,252.2,242.55,247.25,647770577.3
2018-05-30,242.9,252.1,242.8,245.85,625911492.0
2018-05-31,248.0,248.65,237.65,239.35,474521249.7
2018-06-01,240.5,243.7,234.5,235.8,316996458.4
2018-06-04,237.55,238.0,214.1,219.75,912773099.7
2018-06-05,219.7,225.4,213.6,216.9,579978954.5
2018-06-06,217.0,224.2,214.0,221.25,467376761.2
2018-06-07,223.6,230.75,223.0,226.55,539892385.8
2018-06-08,224.3,228.9,221.1,227.2,405082532.1
2018-06-11,228.25,233.6,224.55,225.8,480671501.0
2018-06-12,226.0,229.8,224.4,227.75,324237616.7
2018-06-13,229.5,250.8,229.25,244.55,1831415066.0
2018-06-14,246.0,248.7,241.45,244.75,575520616.9
2018-06-15,244.0,247.95,236.6,245.9,539696908.0
2018-06-18,245.0,247.45,241.05,242.7,295889166.9
2018-06-19,240.9,244.9,236.0,239.85,420902558.5
2018-06-20,240.95,247.9,240.1,244.55,548363687.8
2018-06-21,245.1,247.5,240.3,241.25,301400513.7
2018-06-22,240.6,245.9,238.3,243.5,346974163.2
2018-06-25,241.7,245.5,238.5,240.15,305871173.6
2018-06-26,240.8,242.25,232.3,234.8,301923317.1
2018-06-27,235.0,235.9,220.0,223.0,425459468.8
2018-06-28,222.0,223.0,206.35,208.75,445783470.3
2018-06-29,211.5,219.2,211.0,217.05,335958811.3
2018-07-02,218.2,219.05,210.1,213.7,272362033.4
2018-07-03,214.0,227.5,210.35,223.25,607485568.1
2018-07-04,223.3,227.0,219.25,225.75,375619554.2
2018-07-05,225.9,232.6,222.2,229.7,512843454.0
2018-07-06,234.0,239.4,232.2,235.7,747554988.7
2018-07-09,237.4,244.0,234.25,241.9,552277572.6
2018-07-10,243.0,246.25,238.1,241.45,449197593.5
2018-07-11,243.15,245.25,241.0,242.45,386875295.0
2018-07-12,243.3,244.95,227.3,229.65,394246072.6
2018-07-13,230.7,230.9,220.5,222.5,279919393.8
2018-07-16,222.5,223.0,213.0,214.05,291189195.3
2018-07-17,214.0,217.5,210.6,215.35,360995983.3
2018-07-18,216.9,221.25,211.65,212.6,344184330.4
2018-07-19,214.0,214.9,202.15,204.0,403292161.8
2018-07-20,203.8,215.05,198.25,213.1,661059119.8
2018-07-23,216.45,229.95,211.5,227.75,932067481.1
2018-07-24,234.95,242.0,229.35,236.15,1793995049.0
2018-07-25,237.9,243.9,232.55,237.55,654029546.9
2018-07-26,238.0,238.75,229.5,232.8,350243478.2
2018-07-27,233.8,240.0,233.3,238.4,342786645.0
2018-07-30,239.5,250.75,237.95,248.15,816641075.4
2018-07-31,249.6,258.9,246.1,256.15,992785239.5
2018-08-01,257.0,260.65,249.4,253.95,576536566.7
2018-08-02,251.0,251.4,245.0,246.6,312397831.5
