date,open,high,low,close,volume
2018-01-01,259.45,262.45,255.2,256.7,1281427485.0
2018-01-02,258.45,259.7,251.4,253.9,1400697206.0
2018-01-03,254.0,261.9,254.0,258.3,1900003274.0
2018-01-04,258.25,260.2,255.55,257.5,1061995557.0
2018-01-05,258.35,265.25,257.6,259.95,1893147543.0
2018-01-08,260.8,262.7,258.15,260.25,1028922048.0
2018-01-09,260.9,271.4,258.25,269.85,3484614421.0
2018-01-10,270.6,272.25,265.7,269.35,2956262222.0
2018-01-11,269.0,273.85,267.35,270.5,1772295065.0
2018-01-12,270.75,272.15,262.35,268.55,1566736088.0
2018-01-15,268.55,271.45,265.6,266.85,925768103.3
2018-01-16,268.25,268.4,256.0,257.55,1538998097.0
2018-01-17,258.7,263.65,249.75,262.6,2035441675.0
2018-01-18,263.4,264.95,246.8,250.2,1721458492.0
2018-01-19,249.0,252.75,245.55,249.3,1623102841.0
2018-01-22,250.5,253.1,245.6,250.95,1248962910.0
2018-01-23,250.6,262.2,250.6,259.65,2319096229.0
2018-01-24,259.0,265.4,256.6,258.95,2463765782.0
2018-01-25,256.95,261.5,252.55,253.6,1518709280.0
2018-01-29,255.1,260.25,250.75,254.05,1510239096.0
2018-01-30,251.5,256.4,251.5,253.9,1272514269.0
2018-01-31,253.05,257.6,247.55,250.1,1593833148.0
2018-02-01,251.7,253.7,236.7,245.0,2593479077.0
2018-02-02,240.0,242.3,204.5,223.4,3818306605.0
2018-02-05,218.4,231.6,214.0,228.3,2335000500.0
2018-02-06,212.05,230.75,210.0,225.45,2841705483.0
2018-02-07,229.0,232.0,223.0,225.25,2169349054.0
2018-02-08,225.9,233.7,225.35,229.35,1884901942.0
2018-02-09,222.0,232.3,221.5,229.05,1807587681.0
2018-02-12,231.9,237.45,230.0,233.75,1641741786.0
2018-02-14,239.7,239.7,229.7,230.95,1899368624.0
2018-02-15,233.0,235.4,227.85,231.15,1258657547.0
2018-02-16,232.65,234.35,224.3,225.65,1491462947.0
2018-02-19,224.9,225.5,218.25,223.4,1774729245.0
2018-02-20,223.65,227.5,221.5,225.1,1294379182.0
2018-02-21,226.5,227.0,218.6,221.0,1329954439.0
2018-02-22,219.35,222.1,218.25,219.85,1528666104.0
2018-02-23,220.2,225.8,220.05,225.15,993272156.1
2018-02-26,227.3,230.0,224.25,228.15,1047771666.0
2018-02-27,228.9,228.9,221.2,222.45,925915936.6
