date,open,high,low,close,volume
2018-01-01,298.8,300.5,291.4,292.9,336401707.6
2018-01-02,294.65,294.65,284.85,285.5,566025615.2
2018-01-03,286.05,289.9,282.05,282.45,416495815.0
2018-01-04,283.7,286.05,282.2,285.35,393038208.2
2018-01-05,286.0,294.0,286.0,292.7,819064638.1
2018-01-08,293.2,294.7,286.4,288.15,504741767.7
2018-01-09,289.5,296.9,285.0,290.4,909696643.2
2018-01-10,290.25,291.35,282.05,283.45,572627960.0
2018-01-11,283.95,286.0,282.35,283.25,235850379.6
2018-01-12,285.1,285.5,281.0,282.75,353867367.7
2018-01-15,284.9,286.85,276.0,278.7,334734208.0
2018-01-16,280.0,284.2,273.0,273.9,404735501.5
2018-01-17,274.0,276.35,262.5,274.4,1751288107.0
2018-01-18,279.4,283.8,272.0,274.3,607563870.7
2018-01-19,275.85,282.0,270.65,280.05,598093479.9
2018-01-22,281.25,291.2,280.2,289.55,979897212.8
2018-01-23,292.0,299.0,290.1,295.05,2058155473.0
2018-01-24,296.0,296.05,286.0,288.55,527682255.6
2018-01-25,287.0,295.0,283.5,291.0,496047259.5
2018-01-29,292.65,292.9,286.25,290.35,368765776.5
2018-01-30,290.85,290.85,284.5,289.75,543308659.4
2018-01-31,286.9,290.0,279.0,280.7,1051637286.0
2018-02-01,281.8,288.6,271.45,281.6,798258741.7
2018-02-02,279.0,279.0,254.0,261.4,1141429385.0
2018-02-05,256.0,257.35,246.05,249.1,1080924195.0
2018-02-06,235.0,258.0,224.1,254.0,1037308759.0
2018-02-07,262.0,264.8,248.0,248.95,719018206.2
2018-02-08,254.9,261.6,252.65,259.6,771050588.6
2018-02-09,252.0,255.0,248.2,250.0,487552168.0
2018-02-12,254.9,260.3,248.5,258.1,451744361.2
2018-02-14,263.0,274.8,263.0,272.75,948005866.0
2018-02-15,274.0,275.25,263.75,269.4,420793242.3
2018-02-16,272.0,272.0,258.5,261.4,478755047.9
2018-02-19,263.25,265.0,247.5,253.9,718098461.8
2018-02-20,253.95,254.6,245.65,251.35,754758021.4
2018-02-21,255.0,260.5,250.65,258.85,398144859.4
2018-02-22,257.95,263.85,256.05,257.5,437015796.5
2018-02-23,259.6,261.9,257.05,260.6,262085146.8
2018-02-26,262.3,265.45,258.0,264.3,430037804.7
2018-02-27,264.95,267.1,263.1,265.75,316088036.4
2018-02-28,262.8,270.7,260.45,268.75,505846322.4
2018-03-01,268.75,280.65,267.95,278.15,864657604.8
2018-03-05,278.0,279.85,268.65,273.2,444520088.8
2018-03-06,275.0,279.7,261.25,264.55,583791621.1
2018-03-07,264.9,264.9,248.45,253.45,520207906.1
