date,open,high,low,close,volume
2018-01-01,146.25,147.85,145.7,147.05,18803766.6
2018-01-02,148.9,149.4,145.6,146.4,12826274.4
2018-01-03,147.75,149.9,147.05,149.2,27337845.45
2018-01-04,149.05,153.0,149.05,151.35,31155391.45
2018-01-05,152.6,154.9,152.05,154.0,24952404.4
2018-01-08,160.0,184.8,156.0,184.1,340121948.6
2018-01-09,187.7,190.5,173.5,175.7,209258252.1
2018-01-10,176.0,181.8,175.45,181.1,72515546.1
2018-01-11,181.85,188.0,179.25,185.4,71725512.7
2018-01-12,186.7,192.7,181.5,192.05,88195982.6
2018-01-15,193.5,195.0,190.5,193.0,80743202.45
2018-01-16,193.0,231.6,187.5,216.15,469504779.3
2018-01-17,214.8,214.9,201.55,205.55,78133930.95
2018-01-18,207.4,217.65,200.3,202.6,145522000.8
2018-01-19,204.1,207.0,192.35,198.75,46706448.0
2018-01-22,196.65,215.0,196.5,203.55,62793835.0
2018-01-23,205.0,213.9,198.35,200.8,60760256.9
2018-01-24,199.85,205.0,196.2,197.55,29158211.6
2018-01-25,199.0,202.55,196.25,197.15,33623343.25
2018-01-29,198.0,208.0,194.0,195.3,53756516.6
2018-01-30,195.0,206.7,194.0,198.9,73718294.05
2018-01-31,199.2,199.2,187.5,191.3,52056307.75
2018-02-01,188.45,197.9,188.05,190.05,66704647.2
2018-02-02,189.45,189.5,182.0,182.0,37726264.15
2018-02-05,181.5,183.0,175.25,176.55,34392507.8
2018-02-06,172.5,172.8,165.5,168.85,25259670.6
2018-02-07,172.5,177.0,172.15,174.8,13808437.3
2018-02-08,177.8,184.5,173.05,180.05,19162515.1
2018-02-09,178.5,185.8,176.0,181.1,42038761.8
2018-02-12,183.8,185.75,179.0,179.95,14056295.4
2018-02-14,182.7,184.5,180.0,182.9,12279466.05
2018-02-15,183.45,186.4,178.5,180.0,8848461.15
2018-02-16,181.5,181.5,171.8,177.15,12326992.5
2018-02-19,177.0,178.25,170.15,172.5,13793892.5
2018-02-20,174.15,178.5,171.0,171.85,20611801.25
2018-02-21,174.75,181.5,171.0,172.8,42360140.15
2018-02-22,172.0,180.0,168.3,169.45,58702584.95
2018-02-23,171.05,174.0,168.2,168.8,24166407.5
2018-02-26,170.0,171.15,165.55,167.1,28518811.55
2018-02-27,168.0,171.0,167.25,169.95,21088011.7
2018-02-28,168.0,178.4,167.7,173.8,90657225.6
2018-03-01,172.4,173.95,168.5,169.75,28465090.85
2018-03-05,169.75,171.0,168.0,168.05,25088959.4
2018-03-06,170.0,170.95,165.0,165.15,15325831.95
2018-03-07,166.6,167.45,164.0,166.0,16841529.3
2018-03-08,166.5,177.0,164.0,171.95,26215494.75
2018-03-09,175.0,175.5,170.95,173.95,24508269.35
2018-03-12,175.5,175.5,167.6,168.7,11489981.05
2018-03-13,168.25,173.85,168.25,169.25,14942812.2
2018-03-14,169.25,171.25,167.0,167.45,6812766.85
2018-03-15,168.7,170.7,167.1,168.3,62688916.3
2018-03-16,169.9,169.9,167.0,167.15,21328779.15
2018-03-19,169.0,169.0,164.65,166.05,28278717.9
2018-03-20,166.05,172.0,156.3,167.2,60539140.35
2018-03-21,172.0,172.0,163.6,165.0,412264199.1
2018-03-22,166.6,166.6,163.55,164.35,8207467.4
2018-03-23,163.2,163.5,157.65,160.3,23151932.3
2018-03-26,158.05,160.85,156.2,157.8,27322404.5
2018-03-27,160.95,161.5,157.1,160.1,92194624.0
2018-03-28,157.8,161.5,156.0,159.1,55753479.5
2018-04-02,160.65,162.9,159.5,161.3,53049326.1
2018-04-03,160.3,163.1,160.3,160.9,109967685.7
2018-04-04,162.4,168.9,161.0,161.9,22435153.05
2018-04-05,163.5,171.45,162.65,166.65,182451395.6
2018-04-06,167.45,169.5,164.3,165.35,14687706.75
2018-04-09,167.4,168.4,163.25,163.6,16462784.15
2018-04-10,165.0,167.7,163.55,165.45,168241780.7
2018-04-11,166.9,167.5,165.0,165.65,116638080.0
2018-04-12,166.45,169.0,165.35,168.15,16111696.65
2018-04-13,168.9,178.0,168.5,174.05,53980902.3
2018-04-16,173.75,175.95,170.7,172.0,31552104.15
2018-04-17,173.65,206.4,171.1,201.5,719482261.8
2018-04-18,202.4,213.25,196.5,198.25,619981918.9
2018-04-19,198.0,200.0,191.0,196.15,204298036.1
2018-04-20,197.45,205.0,191.1,193.5,78264875.45
2018-04-23,193.0,196.5,190.9,191.65,108392006.1
2018-04-24,192.8,195.4,185.65,191.3,259586929.6
2018-04-25,190.7,190.7,178.5,180.55,47335179.8
2018-04-26,181.8,185.0,173.25,174.55,69211044.65
2018-04-27,174.6,177.9,171.2,172.1,70068346.85
2018-04-30,174.5,179.8,171.25,176.1,39302567.8
2018-05-02,176.25,192.0,176.25,189.6,137195392.9
2018-05-03,188.8,192.8,185.0,190.75,58102634.3
2018-05-04,188.05,191.65,185.1,185.6,17012268.75
2018-05-07,185.0,190.0,183.0,184.15,88626549.75
2018-05-08,185.45,190.45,181.3,184.0,54823879.95
2018-05-09,187.25,187.25,179.3,180.7,40228569.0
2018-05-10,181.5,182.0,173.55,178.55,31428567.65
2018-05-11,178.5,179.3,169.1,171.0,48919254.7
2018-05-14,172.4,173.95,169.5,172.7,21889161.3
2018-05-15,172.7,175.5,168.1,170.6,33719318.0
2018-05-16,170.75,172.5,166.3,171.8,11020034.65
2018-05-17,172.5,174.8,168.05,170.2,24923421.6
2018-05-18,170.75,171.25,166.25,167.55,14264087.5
2018-05-21,167.0,167.3,161.1,161.85,21945671.2
2018-05-22,162.0,166.7,160.2,165.65,22264867.4
2018-05-23,166.0,168.55,164.1,167.05,10174342.05
2018-05-24,169.0,169.0,164.1,167.95,26319296.7
2018-05-25,168.6,169.75,166.5,168.05,23826474.45
2018-05-28,168.9,173.55,167.5,171.45,30891834.5
2018-05-29,171.85,178.8,170.25,177.65,40038963.75
2018-05-30,176.15,181.5,174.55,175.5,43975784.75
2018-05-31,176.8,179.65,171.2,176.75,82240120.7
2018-06-01,176.75,177.65,172.55,174.2,52651153.05
2018-06-04,177.25,177.25,173.05,174.2,59138194.15
2018-06-05,177.5,177.5,167.0,168.65,30697497.7
2018-06-06,168.75,174.65,168.05,168.95,19550339.45
2018-06-07,168.65,175.9,168.65,170.2,26913022.85
2018-06-08,169.6,179.9,169.6,174.3,81160368.0
2018-06-11,174.0,178.5,172.3,177.15,64539203.55
2018-06-12,178.0,182.5,175.4,179.9,69662995.1
2018-06-13,180.95,184.5,180.0,180.2,86569538.25
2018-06-14,180.7,180.7,176.55,178.6,16027155.0
2018-06-15,178.5,180.95,170.15,174.05,31612213.15
2018-06-18,173.25,174.65,169.5,170.15,8094289.15
2018-06-19,170.15,171.55,162.35,164.55,32830445.85
2018-06-20,165.5,167.45,162.1,164.05,39856782.25
2018-06-21,165.4,165.4,161.65,162.9,26829258.9
2018-06-22,162.5,166.15,160.6,162.8,20574449.85
2018-06-25,162.7,163.45,160.75,161.85,20572958.95
2018-06-26,161.85,163.5,159.5,161.0,16151615.4
2018-06-27,160.4,161.0,153.55,157.75,26764501.35
2018-06-28,157.95,159.5,152.2,156.9,43610339.45
2018-06-29,155.5,171.0,153.75,169.8,47426023.9
2018-07-02,169.4,169.4,162.4,163.1,37155702.25
2018-07-03,164.0,165.5,160.1,160.85,12037798.9
2018-07-04,161.5,167.5,160.2,165.8,27868804.3
