date,open,high,low,close,volume
2018-01-01,200.95,200.95,195.25,196.0,218911452.9
2018-01-02,196.5,197.2,192.15,194.25,202765149.5
2018-01-03,195.0,200.95,194.35,199.45,508018746.6
2018-01-04,200.45,202.0,197.55,199.5,406783313.7
2018-01-05,200.15,204.05,199.2,200.2,310179565.2
2018-01-08,200.15,201.85,198.0,199.7,222813814.5
2018-01-09,199.3,199.5,196.1,197.55,253946243.6
2018-01-10,197.4,199.7,193.9,194.7,293768838.6
2018-01-11,195.0,196.05,192.2,193.8,330472103.8
2018-01-12,194.6,198.7,192.95,194.0,494669387.9
2018-01-15,194.9,195.0,191.3,192.2,375824682.8
2018-01-16,192.9,193.6,183.2,184.45,530706541.0
2018-01-17,185.0,188.7,171.5,187.7,865629962.7
2018-01-18,187.9,189.1,176.85,178.25,375546862.6
2018-01-19,179.0,181.45,176.85,180.55,284558315.3
2018-01-22,181.0,182.6,175.65,177.1,426350051.5
2018-01-23,177.15,179.0,174.85,177.2,426816000.4
2018-01-24,177.95,177.95,173.55,174.3,373296364.6
2018-01-25,174.5,178.3,172.7,173.7,622939847.3
2018-01-29,174.6,176.85,174.2,176.05,182420615.9
2018-01-30,176.2,177.65,171.5,172.95,356835750.6
2018-01-31,175.65,179.0,171.9,177.5,723072800.0
2018-02-01,177.6,178.0,171.0,172.5,465047645.2
2018-02-02,172.0,172.85,158.0,165.9,518498855.4
2018-02-05,163.0,168.7,159.0,166.4,519996947.8
2018-02-06,160.0,166.65,154.55,163.25,330037844.3
2018-02-07,167.0,169.35,165.5,167.1,288549007.5
2018-02-08,167.0,171.75,166.5,170.35,181818432.2
2018-02-09,166.05,170.5,164.55,168.25,329820484.4
2018-02-12,170.0,173.65,168.25,173.0,276921678.0
2018-02-14,174.8,177.8,172.75,175.45,314699531.5
2018-02-15,175.8,177.0,170.0,171.9,270042757.1
2018-02-16,172.1,173.9,170.0,171.6,204619956.2
2018-02-19,170.15,171.45,166.05,166.9,312934239.1
2018-02-20,168.7,168.7,166.0,167.2,346086753.7
2018-02-21,169.0,169.0,162.25,163.55,447791766.6
2018-02-22,162.1,167.8,161.7,162.55,949772221.4
2018-02-23,163.75,171.8,162.9,170.8,452259555.4
2018-02-26,172.25,175.4,171.65,174.75,270850392.1
2018-02-27,174.5,177.3,169.25,170.45,362106236.0
2018-02-28,168.5,173.9,168.15,173.1,207867322.3
2018-03-01,174.45,174.45,170.05,171.8,174276270.7
2018-03-05,170.3,171.5,167.0,168.3,187083824.0
2018-03-06,169.0,170.2,163.5,164.7,188375492.1
2018-03-07,164.0,165.5,161.0,162.4,307300383.3
2018-03-08,164.5,164.8,160.7,162.45,198271783.1
2018-03-09,163.0,165.7,161.75,162.5,153594625.2
2018-03-12,163.35,164.7,159.6,163.45,191699946.9
2018-03-13,163.45,169.2,162.7,167.1,336504939.1
2018-03-14,166.5,170.2,162.55,169.65,239535937.9
2018-03-15,169.8,169.8,165.2,165.85,201059275.8
2018-03-16,166.05,167.25,159.35,160.25,524681502.5
2018-03-19,158.65,159.55,154.0,157.95,324162800.2
2018-03-20,156.6,157.45,153.65,154.65,237214471.3
2018-03-21,155.0,157.05,153.8,155.25,198478305.1
2018-03-22,155.25,155.85,152.2,154.05,281815029.0
2018-03-23,150.2,152.05,147.15,150.8,385355144.9
2018-03-26,151.0,159.85,148.85,157.15,302475666.7
2018-03-27,157.75,160.6,156.0,159.25,480082697.4
2018-03-28,158.5,161.5,156.0,158.45,522935288.8
2018-04-02,158.95,162.0,158.45,161.05,123392143.8
2018-04-03,160.95,164.45,160.15,163.9,202302395.0
2018-04-04,164.8,165.5,162.5,162.85,276746194.0
2018-04-05,165.25,167.4,162.05,166.6,283217342.8
2018-04-06,167.05,167.9,162.7,164.2,202331240.4
2018-04-09,165.4,165.4,161.8,162.75,140156592.3
2018-04-10,163.5,164.55,160.7,162.1,161726419.2
2018-04-11,162.8,163.25,158.25,159.75,270878914.3
2018-04-12,161.0,163.9,160.4,161.05,207737515.0
2018-04-13,161.4,162.65,157.1,159.95,221966765.2
2018-04-16,159.0,159.75,157.1,158.1,199029484.9
2018-04-17,159.0,159.45,155.85,157.1,270932389.9
2018-04-18,158.55,159.0,156.3,156.6,224164185.3
2018-04-19,157.45,158.0,154.85,155.7,205675846.5
2018-04-20,155.75,155.75,151.0,152.35,274314846.9
2018-04-23,153.5,154.25,150.75,153.65,303945215.3
2018-04-24,154.4,158.35,153.8,157.5,323393144.1
2018-04-25,157.5,157.7,152.4,154.3,92735333.95
2018-04-26,153.55,156.25,152.5,155.1,552397763.5
2018-04-27,155.2,159.7,154.5,156.4,265629959.8
2018-04-30,157.25,159.8,156.25,158.85,145042585.8
2018-05-02,159.7,159.7,154.0,154.8,149571997.7
2018-05-03,154.0,156.15,153.0,154.55,189410869.5
2018-05-04,154.45,155.0,153.25,153.9,82771567.7
2018-05-07,154.9,154.9,151.3,153.8,95622185.0
2018-05-08,154.7,155.6,153.8,154.25,126528407.5
2018-05-09,154.2,156.95,153.5,154.2,143457150.4
2018-05-10,154.8,155.0,153.4,154.0,145927319.6
2018-05-11,154.9,156.0,152.15,153.75,210163020.5
2018-05-14,153.65,154.55,151.55,152.05,120002593.7
2018-05-15,152.05,153.9,147.55,149.8,177795407.0
2018-05-16,148.05,149.7,144.75,145.4,296107918.7
2018-05-17,145.4,146.8,144.75,146.3,206719611.1
2018-05-18,146.3,148.9,142.0,143.65,156070426.4
2018-05-21,143.5,145.0,137.4,139.2,198738684.4
2018-05-22,138.8,139.75,135.05,136.25,228928968.1
2018-05-23,135.7,140.0,134.1,138.05,230671191.8
2018-05-24,138.1,139.55,132.35,133.5,211964700.9
2018-05-25,134.0,139.9,133.8,138.8,220337265.8
2018-05-28,140.75,142.25,136.5,139.35,250889263.7
2018-05-29,140.0,140.2,135.05,136.1,237296598.0
2018-05-30,135.9,136.3,133.4,133.9,190925231.2
2018-05-31,134.0,134.5,130.3,131.5,349527157.5
2018-06-01,132.65,136.0,126.8,132.05,813053539.3
2018-06-04,133.0,134.55,130.25,133.5,311418061.9
2018-06-05,133.0,133.0,128.15,130.35,277729976.0
2018-06-06,130.7,133.2,128.95,131.95,204412811.0
2018-06-07,132.55,134.45,130.3,134.05,336368477.7
2018-06-08,133.4,134.85,132.25,132.7,234143984.2
2018-06-11,132.95,136.15,131.9,134.05,247221799.9
2018-06-12,134.1,138.0,133.0,137.25,191521704.3
2018-06-13,138.3,138.8,134.0,134.5,226957426.7
2018-06-14,134.45,134.75,130.85,131.8,245065435.6
2018-06-15,131.0,133.4,129.1,130.05,255580219.7
2018-06-18,130.5,132.5,126.3,130.15,309015969.7
2018-06-19,129.75,129.95,126.1,127.8,170195701.3
2018-06-20,129.05,129.65,126.0,127.05,208395730.9
2018-06-21,127.5,128.4,125.1,127.85,205601770.1
2018-06-22,128.2,130.35,126.1,127.4,159501850.5
2018-06-25,126.5,128.65,126.15,127.6,132784044.4
2018-06-26,127.0,128.4,126.35,127.55,257928462.4
2018-06-27,127.85,128.25,122.75,125.1,268676563.8
2018-06-28,123.35,125.3,119.8,120.85,608117296.6
2018-06-29,121.6,124.75,121.55,124.2,130078545.1
2018-07-02,125.0,125.0,119.6,122.05,269651903.7
2018-07-03,122.5,125.8,120.05,125.05,230055253.1
2018-07-04,124.7,124.7,121.75,123.3,250553623.2
2018-07-05,123.3,124.5,122.05,122.55,176837607.3
2018-07-06,122.3,131.4,122.0,129.6,350358117.8
2018-07-09,130.0,131.4,127.05,127.75,167574457.8
2018-07-10,128.0,130.7,127.4,129.75,155939389.9
2018-07-11,129.7,132.35,127.5,129.3,327841403.4
2018-07-12,132.1,133.25,128.5,129.55,178149838.9
2018-07-13,129.9,130.25,121.45,123.1,264723771.3
2018-07-16,124.4,124.65,119.85,121.7,173228357.2
2018-07-17,121.7,126.5,120.35,124.35,151259174.9
2018-07-18,125.0,125.95,119.7,120.9,116836885.8
2018-07-19,121.1,122.4,117.8,119.5,254696574.4
2018-07-20,120.0,121.65,118.4,120.1,95030790.7
2018-07-23,120.2,123.4,119.65,122.75,132689942.3
2018-07-24,122.8,130.35,122.6,129.05,265297609.9
2018-07-25,129.1,135.25,129.1,134.55,395049234.8
2018-07-26,135.05,135.9,130.6,133.9,336977742.1
2018-07-27,133.95,135.05,132.15,133.05,136993715.2
2018-07-30,133.0,135.45,130.15,132.1,301324215.3
2018-07-31,132.25,136.55,130.35,135.95,291897463.7
2018-08-01,137.9,138.55,136.3,137.65,396736383.7
2018-08-02,137.6,137.65,134.5,135.4,107773211.3
2018-08-03,136.0,137.65,135.05,135.7,117594344.9
2018-08-06,135.05,138.0,133.8,134.55,133546549.6
2018-08-07,134.9,136.0,131.8,132.5,128349432.8
