date,open,high,low,close,volume
2018-01-01,148.425,149.5,147.175,147.85,6505138.15
2018-01-02,147.25,149.5,144.3,145.55,9620489.35
2018-01-03,147.75,148.225,143.875,144.8,30802935.95
2018-01-04,145.35,146.2,142.525,144.75,10634572.5
2018-01-05,142.0,148.3,142.0,145.5,7016376.7
2018-01-08,148.375,149.45,145.675,149.125,8645114.45
2018-01-09,150.0,150.0,146.25,147.225,7284355.35
2018-01-10,145.05,149.5,145.05,149.15,24616789.75
2018-01-11,149.45,149.5,146.5,148.25,21830180.1
2018-01-12,148.0,149.5,146.525,148.725,12568715.6
2018-01-15,149.5,149.5,148.5,148.875,23294002.0
2018-01-16,149.5,149.5,145.625,147.225,9196345.7
2018-01-17,145.5,149.45,144.625,148.2,7009071.05
2018-01-18,148.15,149.225,146.05,146.775,8686118.3
2018-01-19,148.175,149.025,146.125,148.125,5534286.45
2018-01-22,148.975,149.975,146.125,147.625,23061908.7
2018-01-23,147.5,149.475,147.1,148.975,20554726.55
2018-01-24,148.025,148.975,145.5,146.825,4740609.3
2018-01-25,147.95,149.0,145.05,145.75,3800790.85
2018-01-29,145.025,148.95,142.675,146.7,9275575.85
2018-01-30,144.975,148.15,142.975,146.0,4952081.3
2018-01-31,146.0,146.0,141.15,142.375,53365260.0
2018-02-01,143.5,146.6,142.0,143.375,8786348.45
2018-02-02,143.375,144.275,135.0,135.875,13235518.4
2018-02-05,133.875,136.0,122.025,133.85,19953537.95
2018-02-06,127.5,134.375,126.5,131.2,31917676.9
2018-02-07,133.775,138.775,128.025,132.675,35005661.5
2018-02-08,135.325,139.2,133.175,138.2,6760052.55
2018-02-09,135.8,146.0,132.675,139.925,4976724.75
2018-02-12,140.95,144.275,136.75,137.475,7610457.2
2018-02-14,135.5,140.5,135.025,136.725,161673965.8
2018-02-15,136.725,142.45,135.875,141.175,9757951.4
2018-02-16,141.525,146.925,141.525,144.15,37317560.85
2018-02-19,146.925,146.925,140.125,141.975,11669182.4
2018-02-20,140.5,144.475,135.3,139.0,11240218.25
2018-02-21,138.975,139.975,136.5,137.575,5788348.7
2018-02-22,137.65,137.65,135.3,136.425,6023981.85
2018-02-23,135.725,139.475,134.525,135.4,29636454.95
2018-02-26,138.9,141.0,135.05,139.35,14283338.7
2018-02-27,139.25,139.25,135.625,136.6,11994459.1
2018-02-28,137.9,137.9,132.5,133.525,20979617.3
2018-03-01,133.1,135.325,132.675,133.5,9886925.8
2018-03-05,134.5,134.5,128.5,128.725,13860015.7
2018-03-06,128.75,131.0,128.25,128.45,6733516.65
2018-03-07,130.35,130.35,125.75,126.5,32483414.85
2018-03-08,127.875,128.2,125.025,127.15,6419086.1
2018-03-09,127.1,129.175,125.5,126.25,12658050.5
2018-03-12,127.6,127.975,126.0,126.525,4472323.0
2018-03-13,126.525,128.0,125.925,126.475,3519442.2
2018-03-14,128.375,128.45,124.775,126.875,3903245.3
2018-03-15,125.65,127.5,124.975,125.725,28244631.85
2018-03-16,127.475,127.475,124.0,124.25,8221613.55
2018-03-19,125.1,125.1,122.0,122.425,5863927.45
2018-03-20,121.5,129.0,121.2,127.475,26986267.75
2018-03-21,128.95,130.5,124.5,126.4,12969267.1
2018-03-22,127.375,127.375,122.25,123.525,6388291.85
2018-03-23,121.0,123.3,120.275,121.675,5745018.3
2018-03-26,120.0,121.35,117.75,119.775,10492764.55
2018-03-27,119.875,121.375,119.325,119.85,7145344.1
2018-03-28,120.0,121.975,117.55,119.65,6533419.1
2018-04-02,120.0,121.5,119.0,119.875,13079901.1
2018-04-03,120.475,128.5,120.475,126.525,12937099.9
2018-04-04,127.9,129.5,124.0,125.175,9162115.4
2018-04-05,123.625,127.675,123.625,125.825,13247320.15
2018-04-06,125.825,125.875,123.825,124.4,4950534.25
2018-04-09,123.5,125.95,122.8,124.325,15055452.3
2018-04-10,124.5,128.75,123.8,127.875,4694404.95
2018-04-11,126.55,129.2,126.0,126.45,4417217.2
2018-04-12,127.275,130.75,127.125,129.475,8441812.1
2018-04-13,129.9,132.475,127.6,129.775,8821981.5
2018-04-16,127.15,130.7,127.15,129.25,4204992.5
2018-04-17,127.3,130.0,127.3,129.425,5149411.05
2018-04-18,129.575,130.65,127.5,128.625,6687691.0
2018-04-19,128.025,132.45,126.25,131.625,6806936.75
2018-04-20,131.625,133.925,126.35,132.75,6380222.05
2018-04-23,132.5,135.5,130.0,135.05,6557109.75
2018-04-24,135.175,135.175,133.0,133.75,4709783.25
2018-04-25,136.9,136.9,125.125,128.1,19707594.55
2018-04-26,127.5,133.95,127.5,131.325,9318571.35
