date,open,high,low,close,volume
2018-01-01,529.0,531.05,525.05,526.3,32559911.0
2018-01-02,525.5,530.75,498.0,511.25,154032441.8
2018-01-03,518.0,526.95,512.1,523.3,97570281.0
2018-01-04,526.8,561.25,518.0,553.65,335496126.1
2018-01-05,562.5,584.5,560.5,578.3,362141040.5
2018-01-08,571.0,581.2,561.25,573.85,109640462.4
2018-01-09,571.0,572.95,563.0,567.2,139753484.8
2018-01-10,573.1,579.95,551.15,554.2,271146146.2
2018-01-11,555.0,582.0,555.0,579.4,489777782.6
2018-01-12,580.0,582.3,554.1,568.05,237142382.9
2018-01-15,571.9,574.45,562.0,569.35,252744386.8
2018-01-16,562.3,569.3,532.0,536.75,177591372.0
2018-01-17,541.7,547.35,538.0,541.1,104411044.6
2018-01-18,541.25,544.5,526.55,530.25,228528566.9
2018-01-19,530.0,535.0,517.25,531.6,206656653.4
2018-01-22,531.0,544.7,530.5,538.85,157300562.9
2018-01-23,535.45,570.0,532.55,566.25,512879612.0
2018-01-24,566.0,569.25,549.0,564.15,108086047.6
2018-01-25,555.0,563.85,552.25,556.5,94877050.7
2018-01-29,560.0,564.7,541.55,548.55,276678435.9
2018-01-30,578.0,578.0,544.0,558.3,205553359.7
2018-01-31,558.0,562.8,546.75,557.85,152712279.0
2018-02-01,551.55,562.9,540.0,542.55,141042913.4
2018-02-02,540.0,546.6,502.0,512.3,92902330.95
2018-02-05,509.8,561.15,472.55,539.4,701437237.7
2018-02-06,476.05,532.95,476.05,523.85,291247293.5
2018-02-07,538.0,538.0,516.85,523.2,241989991.9
2018-02-08,529.0,532.3,514.05,517.55,1126717938.0
2018-02-09,501.5,524.3,501.5,520.5,129280531.9
2018-02-12,529.0,534.2,523.85,528.85,152967157.2
2018-02-14,534.0,535.0,524.0,526.9,631313246.5
2018-02-15,528.3,531.35,524.0,528.05,128177922.5
2018-02-16,526.1,530.55,510.0,514.85,692439178.4
2018-02-19,515.0,521.8,500.0,517.5,60256442.5
2018-02-20,516.1,520.0,502.1,515.15,210681126.9
2018-02-21,510.0,524.85,510.0,519.9,76165494.35
2018-02-22,519.0,522.25,505.1,511.1,63828229.0
