date,open,high,low,close,volume
2018-01-01,41.1,42.1,40.65,40.95,155400889.7
2018-01-02,41.1,41.4,39.9,40.25,123329290.6
2018-01-03,40.5,40.7,40.1,40.25,76997493.1
2018-01-04,40.35,40.8,40.15,40.5,85204166.55
2018-01-05,40.5,41.6,40.5,41.4,203118560.9
2018-01-08,42.0,42.4,41.15,41.5,206244871.9
2018-01-09,41.9,42.1,41.25,41.6,143304876.2
2018-01-10,41.95,43.45,41.5,42.25,335308271.8
2018-01-11,42.65,43.95,42.3,43.7,358177159.7
2018-01-12,44.35,48.25,44.15,46.2,2094583177.0
2018-01-15,46.9,47.45,45.2,45.55,410725646.3
2018-01-16,45.85,46.65,42.45,43.15,457400150.9
2018-01-17,43.3,43.6,41.35,43.2,271083727.6
2018-01-18,43.7,47.3,43.2,44.65,1078323826.0
2018-01-19,44.75,45.45,43.6,44.7,268991367.8
2018-01-22,44.6,44.85,43.5,43.85,161764106.9
2018-01-23,44.0,44.3,42.9,43.05,131624177.4
2018-01-24,43.0,45.85,42.3,44.1,553193474.1
2018-01-25,44.2,44.45,42.85,43.1,180157388.2
2018-01-29,43.35,44.3,42.4,42.75,142448594.8
2018-01-30,42.5,42.7,41.5,41.65,111129971.9
2018-01-31,41.55,42.35,40.7,41.0,99315912.9
2018-02-01,41.15,42.35,40.0,41.05,132117025.1
2018-02-02,40.6,40.6,37.5,37.9,374308679.2
2018-02-05,37.5,40.6,37.0,40.25,256708750.4
2018-02-06,37.0,40.65,36.75,39.85,218993185.4
2018-02-07,40.7,41.8,40.15,40.4,141543567.7
2018-02-08,41.45,41.95,41.0,41.25,268601883.9
2018-02-09,40.1,44.55,40.0,44.05,370468364.8
2018-02-12,44.7,48.0,44.3,47.55,1108734759.0
2018-02-14,48.2,50.2,47.75,48.35,833294952.6
2018-02-15,48.8,49.1,45.85,46.3,368059323.0
2018-02-16,46.85,48.5,45.4,46.95,458947539.8
2018-02-19,47.4,47.4,45.25,46.25,254483975.7
2018-02-20,46.5,46.85,45.6,45.8,183213844.2
2018-02-21,46.15,48.65,46.0,48.35,545199516.2
2018-02-22,47.9,50.55,47.8,50.25,1039425508.0
2018-02-23,50.65,52.35,50.55,51.85,887776335.5
2018-02-26,52.35,52.85,50.9,51.3,418513489.0
2018-02-27,51.3,51.8,50.0,50.8,403418374.3
2018-02-28,50.3,51.7,50.15,51.45,350691247.0
2018-03-01,51.45,54.4,51.45,53.25,1024041623.0
2018-03-05,53.0,54.2,52.3,53.35,468054568.2
2018-03-06,53.9,55.3,51.25,51.9,654817893.5
2018-03-07,51.35,51.65,47.8,48.7,513148369.5
2018-03-08,49.0,50.25,46.9,49.85,465459112.5
2018-03-09,50.65,51.05,48.1,48.65,287565142.3
2018-03-12,49.45,50.55,48.65,49.35,278615836.0
2018-03-13,49.4,50.3,48.85,49.65,250729727.6
2018-03-14,49.7,50.8,49.2,50.6,305367709.2
2018-03-15,50.6,51.4,50.4,50.9,254923622.9
2018-03-16,50.95,51.25,49.2,49.7,213962553.1
2018-03-19,49.7,50.1,47.55,48.15,279784876.4
2018-03-20,47.8,49.65,47.65,49.45,230834710.1
2018-03-21,49.8,50.6,49.7,50.05,246005359.5
2018-03-22,50.25,50.3,49.5,49.85,202481557.5
2018-03-23,48.05,49.0,47.55,48.45,196690603.6
2018-03-26,48.1,50.5,46.75,50.2,311053999.7
2018-03-27,50.6,52.95,50.4,52.65,405714463.0
2018-03-28,52.4,53.6,51.95,53.0,398037373.1
2018-04-02,53.8,55.7,53.35,54.55,528704789.1
2018-04-03,54.6,57.5,54.2,57.2,739036900.4
2018-04-04,57.3,57.75,54.3,54.8,479626123.6
2018-04-05,55.7,56.75,55.15,56.5,350555774.3
2018-04-06,56.25,57.35,55.05,56.65,397805878.2
2018-04-09,56.65,57.3,55.8,56.75,288033989.1
2018-04-10,56.6,56.85,55.2,55.75,280428757.0
2018-04-11,55.8,56.55,55.35,55.65,221364102.2
2018-04-12,55.55,58.35,55.25,57.75,772672531.2
2018-04-13,58.35,58.35,56.55,57.25,346368988.4
2018-04-16,55.8,58.4,55.75,58.0,309526272.3
2018-04-17,58.2,58.4,57.15,57.75,218043158.8
2018-04-18,57.65,59.15,56.75,58.45,496198978.3
2018-04-19,58.9,60.2,58.3,59.1,557552043.5
2018-04-20,58.95,60.45,58.7,59.7,363054568.6
2018-04-23,59.65,61.2,59.5,60.8,436476563.7
2018-04-24,61.0,62.15,59.75,60.0,381377256.4
2018-04-25,59.75,60.6,58.05,58.7,237544585.6
2018-04-26,58.65,60.4,58.3,60.15,261156507.9
2018-04-27,60.75,60.95,59.65,60.05,169017608.3
2018-04-30,60.15,64.5,59.9,63.85,689517395.4
2018-05-02,64.1,65.7,63.1,63.8,547533497.0
2018-05-03,64.5,65.1,63.1,63.55,363440944.6
2018-05-04,63.7,63.85,61.9,62.9,338279718.9
2018-05-07,63.5,64.55,60.1,62.75,897878470.2
2018-05-08,63.7,65.25,62.1,64.45,640440842.4
2018-05-09,65.0,74.5,64.8,72.25,3027788398.0
2018-05-10,70.95,73.35,69.65,71.45,1825018692.0
2018-05-11,72.0,73.15,70.35,70.9,635820188.8
2018-05-14,71.0,71.1,67.1,68.05,404150270.5
2018-05-15,68.3,71.35,68.0,68.95,575759607.3
2018-05-16,68.4,69.65,66.65,68.0,385895166.6
2018-05-17,68.65,73.65,68.05,71.5,1010464949.0
2018-05-18,72.1,74.75,69.6,70.8,863658876.7
2018-05-21,71.25,71.7,67.1,67.75,526981020.4
2018-05-22,67.9,69.7,67.1,68.65,321478449.0
2018-05-23,68.6,70.45,68.3,68.9,364897647.4
2018-05-24,69.0,71.2,69.0,70.45,434273247.1
2018-05-25,70.95,72.45,70.75,71.85,622138400.0
2018-05-28,72.3,73.0,71.75,72.3,337012587.6
2018-05-29,72.75,74.45,72.1,73.25,485812156.7
2018-05-30,72.55,73.9,72.2,73.15,348930705.7
2018-05-31,73.6,73.75,70.8,72.65,458164582.2
2018-06-01,72.7,76.9,72.05,75.15,1253008217.0
2018-06-04,75.9,77.6,75.5,76.3,909513388.2
2018-06-05,76.65,77.7,72.5,73.8,912376509.4
2018-06-06,73.5,76.7,71.4,76.05,787604908.6
2018-06-07,76.8,79.6,76.5,79.1,894787158.7
2018-06-08,79.1,79.8,78.2,79.25,598892761.1
2018-06-11,79.4,80.65,79.0,79.4,460469114.7
2018-06-12,78.9,83.7,78.65,82.5,1134593246.0
2018-06-13,82.5,83.9,81.8,82.7,573289324.6
2018-06-14,82.9,83.7,81.65,82.95,550161798.2
2018-06-15,82.9,83.5,81.6,82.3,353549582.6
2018-06-18,81.65,82.4,78.95,79.25,358077719.9
2018-06-19,78.85,78.85,73.55,74.4,621678342.7
