date,open,high,low,close,volume
2018-01-01,745.0,753.0,728.0,740.95,16952809.6
2018-01-02,746.95,749.0,725.1,727.5,5638005.85
2018-01-03,726.0,744.6,720.05,736.45,6603419.05
2018-01-04,736.0,799.0,736.0,768.55,92965030.95
2018-01-05,776.15,789.5,768.0,781.05,23034057.25
2018-01-08,782.0,849.7,775.55,827.35,87466591.55
2018-01-09,835.0,909.0,827.35,870.2,136990102.5
2018-01-10,873.0,889.95,850.35,856.55,24857100.0
2018-01-11,894.0,916.6,865.0,879.25,333552180.5
2018-01-12,889.0,924.7,882.0,914.0,123228395.7
2018-01-15,929.0,943.0,916.0,931.55,92204433.55
2018-01-16,938.7,946.0,917.25,937.65,58881304.15
2018-01-17,932.0,945.0,928.05,940.6,49238131.5
2018-01-18,945.0,945.0,919.35,929.75,39559989.35
2018-01-19,931.25,943.0,925.1,934.65,60611877.05
2018-01-22,921.1,1044.7,921.1,976.55,108795375.8
2018-01-23,994.0,1000.0,978.0,987.65,64104636.65
2018-01-24,998.95,1004.95,965.0,996.15,73231693.35
2018-01-25,1000.0,1015.0,980.25,999.4,71382984.5
2018-01-29,999.0,999.0,950.05,955.7,19141324.6
2018-01-30,950.05,984.4,930.5,934.9,25537726.9
2018-01-31,935.0,944.85,921.0,939.7,13256693.15
2018-02-01,920.0,970.0,878.6,922.85,130021832.6
2018-02-02,920.05,920.05,861.0,882.95,50900192.5
2018-02-05,875.0,915.0,855.0,901.3,39262922.5
2018-02-06,861.0,907.0,861.0,889.25,43787460.5
2018-02-07,894.9,925.0,865.0,873.0,29964741.55
2018-02-08,877.0,899.0,855.8,859.85,175530836.8
2018-02-09,851.0,880.0,845.0,859.2,11268614.8
2018-02-12,851.2,887.95,851.2,873.0,17972633.1
2018-02-14,879.95,898.9,875.25,884.85,26167698.1
2018-02-15,888.0,898.0,852.25,861.2,9343519.25
2018-02-16,862.0,875.15,850.05,857.5,8137956.65
2018-02-19,860.0,866.05,830.05,836.2,9137576.05
2018-02-20,830.1,849.95,812.05,817.7,11509875.8
2018-02-21,825.85,849.95,807.05,824.5,13149234.3
2018-02-22,824.0,846.0,796.15,819.8,12695421.95
2018-02-23,827.95,848.0,810.05,840.6,10631122.05
2018-02-26,848.0,852.55,822.0,829.95,7583955.85
2018-02-27,833.95,837.65,824.0,832.45,20076380.5
2018-02-28,819.0,859.0,815.0,840.3,16087151.85
2018-03-01,841.0,856.0,817.0,838.2,12817578.45
2018-03-05,832.5,832.9,818.5,822.8,7142697.25
2018-03-06,829.95,829.95,794.2,802.95,5951840.5
2018-03-07,802.85,840.0,785.0,818.8,13595261.1
2018-03-08,822.0,839.95,800.25,819.4,7747435.15
2018-03-09,815.35,848.7,815.0,845.0,10187135.85
2018-03-12,861.7,862.0,837.0,846.8,6348382.9
2018-03-13,846.0,855.25,827.1,830.05,5951244.65
2018-03-14,825.0,833.2,816.5,828.85,19514980.9
2018-03-15,836.0,844.95,820.05,841.8,7385107.05
2018-03-16,844.9,845.0,818.0,829.2,16913047.6
2018-03-19,829.2,829.2,810.15,815.45,5609740.95
