date,open,high,low,close,volume
2018-01-01,603.2,614.9,599.7,602.25,174456745.6
2018-01-02,607.2,609.9,595.95,601.7,191818131.6
2018-01-03,603.35,609.0,600.15,607.8,142141764.1
2018-01-04,608.0,621.0,607.45,612.45,364609993.7
2018-01-05,610.15,621.0,610.15,616.3,251308706.6
2018-01-08,619.7,619.85,606.55,609.95,375166062.4
2018-01-09,610.0,616.55,607.0,609.0,149062786.3
2018-01-10,608.0,619.9,607.95,617.15,323133288.8
2018-01-11,616.5,645.95,614.25,641.8,1097203751.0
2018-01-12,645.0,645.8,628.1,632.35,195422460.8
2018-01-15,632.1,634.8,617.0,618.75,168232756.8
2018-01-16,618.5,626.4,607.05,616.05,261512042.3
2018-01-17,616.05,626.75,610.0,624.25,153608009.4
2018-01-18,624.0,627.3,605.5,609.75,156650640.6
2018-01-19,605.2,623.85,605.2,621.85,198322771.3
2018-01-22,623.0,641.0,611.05,640.0,673041819.6
2018-01-23,643.0,643.0,625.6,628.5,166311430.0
2018-01-24,625.0,631.85,619.0,625.2,107341993.7
2018-01-25,618.05,632.4,615.0,620.05,342029297.1
2018-01-29,615.0,634.0,615.0,624.55,214848998.4
2018-01-30,628.1,628.1,604.0,606.2,204374596.8
2018-01-31,606.2,613.0,596.45,607.5,360686128.7
2018-02-01,615.0,618.85,604.35,611.55,292178657.8
2018-02-02,606.1,607.75,576.0,580.75,269085791.5
2018-02-05,575.0,580.0,551.55,557.0,351501431.6
2018-02-06,542.0,558.75,535.0,555.4,360473355.6
2018-02-07,559.3,564.0,544.0,546.45,827717135.9
2018-02-08,552.0,555.1,544.3,551.25,438689789.0
2018-02-09,542.0,552.3,540.0,550.05,186926677.2
2018-02-12,557.8,557.8,547.65,550.7,304419053.5
2018-02-14,556.9,559.35,541.65,547.6,462563843.9
2018-02-15,545.6,552.5,536.2,542.6,250240560.1
2018-02-16,546.0,547.4,535.3,541.8,128458740.9
2018-02-19,544.0,549.7,531.45,548.05,183975752.7
2018-02-20,551.0,551.0,540.1,544.15,103082071.7
2018-02-21,543.9,545.0,537.65,540.7,84758299.3
2018-02-22,542.0,548.45,531.55,539.05,350732569.8
2018-02-23,543.0,552.8,539.95,548.5,205041709.2
2018-02-26,548.5,555.0,544.1,551.15,502648240.0
