date,open,high,low,close,volume
2018-01-01,137.0,138.15,136.1,136.55,19512612.8
2018-01-02,137.6,140.8,134.0,138.55,49919239.6
2018-01-03,138.85,142.4,136.65,137.95,382184424.1
2018-01-04,139.0,139.95,137.65,138.85,69217674.3
2018-01-05,139.05,139.5,137.05,137.3,100583775.5
2018-01-08,138.45,139.0,136.1,136.4,273903432.2
2018-01-09,137.0,140.25,136.65,138.75,63004567.0
2018-01-10,140.0,143.9,138.7,143.05,425747444.8
2018-01-11,144.0,147.0,143.6,145.95,379596395.2
2018-01-12,146.5,164.8,146.25,159.65,1386661048.0
2018-01-15,161.9,167.9,158.0,164.6,329889353.9
2018-01-16,167.6,168.3,157.55,158.65,211774017.1
2018-01-17,158.9,160.2,152.5,154.7,155917970.6
2018-01-18,155.5,160.0,152.25,153.35,137298892.5
2018-01-19,152.1,155.0,150.35,153.15,38859643.5
2018-01-22,153.5,154.0,149.8,151.2,93506467.0
2018-01-23,153.0,153.8,148.5,149.05,30492221.95
2018-01-24,149.8,156.7,147.65,148.3,428509052.5
2018-01-25,148.6,153.8,148.6,152.35,61327195.3
2018-01-29,152.35,153.5,148.25,150.75,62727962.8
2018-01-30,149.2,151.0,144.65,147.1,61013662.95
2018-01-31,145.8,145.8,140.3,144.1,33691361.2
2018-02-01,147.9,147.9,140.1,142.25,26039268.15
2018-02-02,140.0,145.9,139.0,140.85,44672276.8
2018-02-05,140.0,140.0,136.85,138.25,134678296.8
2018-02-06,134.25,136.8,130.25,134.1,41922200.25
2018-02-07,137.5,142.25,134.6,141.4,258662493.9
2018-02-08,144.15,147.45,144.15,146.45,59075056.1
2018-02-09,141.0,149.95,141.0,145.95,46703587.0
2018-02-12,149.0,149.0,144.5,145.75,82998327.65
2018-02-14,146.55,152.8,145.55,151.6,105615056.4
2018-02-15,158.85,159.0,145.5,147.2,315008945.2
2018-02-16,148.9,148.9,143.05,143.6,36864444.7
2018-02-19,145.0,145.0,141.05,143.3,16126338.8
2018-02-20,143.5,144.0,140.85,142.0,21315543.95
2018-02-21,142.3,144.2,141.75,142.7,16147197.8
2018-02-22,142.7,143.0,140.75,141.9,17312309.1
2018-02-23,142.0,143.6,141.5,142.25,20024271.75
2018-02-26,145.0,147.7,144.2,144.75,25265566.1
2018-02-27,143.6,144.9,140.85,142.45,42717671.75
2018-02-28,142.0,143.6,139.35,142.0,31977285.95
2018-03-01,141.55,142.95,140.55,141.5,25985737.0
2018-03-05,142.5,142.8,137.1,138.05,11132454.4
2018-03-06,139.75,140.4,134.1,136.2,13155478.05
2018-03-07,136.2,139.8,134.65,137.55,19292970.1
2018-03-08,137.75,142.0,137.05,141.2,38006889.85
2018-03-09,141.7,143.95,141.3,143.3,18178653.35
2018-03-12,142.5,144.4,140.55,143.2,19984190.1
2018-03-13,143.0,143.0,138.75,140.05,42916195.55
2018-03-14,139.35,141.0,138.0,138.95,41797564.9
2018-03-15,141.8,141.8,136.6,137.45,176875158.8
2018-03-16,136.9,139.4,131.45,132.25,71308343.95
2018-03-19,133.0,134.0,131.0,132.5,46396803.9
2018-03-20,132.8,132.9,130.55,131.5,6446383.25
2018-03-21,132.3,134.0,130.5,132.05,72443156.7
2018-03-22,133.0,135.8,131.1,135.15,26914928.0
2018-03-23,132.1,137.0,127.6,135.35,39423090.15
2018-03-26,132.65,140.45,130.6,139.95,36014106.5
2018-03-27,143.0,146.05,137.6,145.1,36744052.9
2018-03-28,145.4,146.9,140.9,145.35,122333991.2
2018-04-02,145.35,146.65,142.1,145.8,19412235.95
2018-04-03,145.0,145.0,142.0,143.1,15463033.05
2018-04-04,144.95,144.95,139.2,140.0,28913772.8
2018-04-05,140.2,142.9,137.0,140.7,77178456.45
2018-04-06,141.45,142.45,140.6,141.95,10588945.3
2018-04-09,142.3,142.3,138.1,139.6,24318834.25
2018-04-10,141.95,141.95,137.5,138.1,15272774.95
2018-04-11,139.5,139.5,137.45,138.0,8676841.05
2018-04-12,138.15,139.85,137.15,139.3,8657611.55
2018-04-13,139.45,139.8,137.2,138.25,6022966.35
2018-04-16,138.3,141.05,136.65,140.25,69271259.15
2018-04-17,141.4,147.9,140.65,146.7,113462884.6
2018-04-18,147.0,147.7,142.25,143.15,19206717.65
2018-04-19,141.25,147.5,141.25,144.5,15042726.9
2018-04-20,145.0,145.35,141.55,142.2,16293389.0
2018-04-23,142.25,142.35,140.15,140.65,9472165.65
2018-04-24,141.0,145.5,141.0,142.25,9956633.7
2018-04-25,142.5,143.4,140.1,141.2,11492004.8
2018-04-26,144.05,155.5,144.05,148.7,162934677.1
2018-04-27,148.0,152.6,146.05,149.95,22797407.3
2018-04-30,152.5,153.0,147.1,148.3,45113586.5
2018-05-02,148.6,150.1,144.05,146.2,9845308.05
2018-05-03,146.3,147.5,142.1,144.2,9996324.65
2018-05-04,144.9,145.45,142.5,144.05,7881466.75
2018-05-07,142.55,149.8,142.55,149.4,20077940.65
2018-05-08,149.45,152.25,147.3,150.2,48560208.3
2018-05-09,147.0,150.0,147.0,148.0,24807355.0
2018-05-10,147.75,147.75,142.1,143.8,6053333.4
2018-05-11,145.75,146.05,141.3,141.9,6449096.95
2018-05-14,141.85,144.7,141.85,142.4,11468014.7
2018-05-15,142.45,145.0,140.8,141.25,7219691.75
2018-05-16,141.25,141.7,138.6,139.25,6302626.9
2018-05-17,139.9,140.95,132.0,134.35,78937081.5
2018-05-18,134.0,138.7,129.6,130.4,110957679.3
2018-05-21,128.0,132.45,125.25,125.45,17145377.55
2018-05-22,126.2,129.3,124.2,125.0,9947755.75
2018-05-23,125.45,127.35,123.5,124.75,10902139.6
2018-05-24,125.65,127.4,124.0,124.9,18165480.85
2018-05-25,125.1,125.8,122.0,123.8,10358530.95
2018-05-28,123.1,125.9,122.8,123.7,12280551.05
2018-05-29,124.9,128.0,119.25,119.85,26222268.4
2018-05-30,119.8,120.45,113.2,114.0,57030338.45
2018-05-31,115.0,117.0,114.4,115.45,27316707.25
2018-06-01,116.0,116.95,115.4,116.25,7140706.55
2018-06-04,117.0,117.0,111.1,113.6,9961320.8
2018-06-05,114.0,114.25,110.25,111.6,14920146.8
2018-06-06,112.0,116.25,110.25,115.25,116315520.8
2018-06-07,115.8,120.75,115.5,120.05,16004091.5
2018-06-08,120.5,120.6,118.1,119.35,4517933.85
2018-06-11,120.8,124.5,120.8,121.95,10191462.5
2018-06-12,123.25,123.55,122.0,122.15,5260986.9
2018-06-13,122.15,123.6,117.8,119.45,17905068.9
2018-06-14,119.45,120.75,117.5,117.75,7023855.05
2018-06-15,117.75,118.65,114.9,115.6,16415669.15
2018-06-18,114.2,117.5,114.2,115.05,7563639.35
2018-06-19,115.05,115.95,114.2,115.0,8457776.0
2018-06-20,114.75,115.75,113.65,114.0,18565226.15
2018-06-21,114.15,116.5,112.6,113.0,15876774.45
2018-06-22,113.0,113.6,111.25,111.8,63803511.15
2018-06-25,111.9,113.1,107.5,108.0,170918756.5
2018-06-26,110.0,112.0,104.05,104.95,96177454.5
2018-06-27,105.35,108.75,101.6,105.25,179675506.8
2018-06-28,105.9,109.8,102.2,104.5,956415837.4
2018-06-29,106.0,107.0,105.0,105.5,24227308.2
2018-07-02,105.55,106.75,103.0,103.7,23347461.9
2018-07-03,103.25,105.1,102.1,103.8,10351187.95
2018-07-04,107.0,110.9,104.6,107.05,117049003.9
2018-07-05,106.95,109.7,106.0,109.2,20640786.4
2018-07-06,109.9,113.1,108.0,111.85,21344430.45
2018-07-09,115.0,122.45,113.2,121.1,101563283.4
2018-07-10,121.0,121.6,119.1,121.1,22654452.8
2018-07-11,120.05,120.9,118.4,120.1,218092110.0
2018-07-12,119.8,124.95,119.25,120.35,89338228.8
2018-07-13,120.0,121.25,118.75,120.15,11104662.8
2018-07-16,118.05,119.8,116.5,117.9,11964611.8
2018-07-17,115.65,117.85,115.0,115.3,6413554.7
2018-07-18,115.05,116.15,111.5,112.75,6990712.55
2018-07-19,112.45,115.45,110.9,114.35,9494589.45
2018-07-20,113.4,116.0,112.25,115.0,6769042.0
2018-07-23,115.0,117.25,113.25,115.65,4014564.6
2018-07-24,115.3,120.8,114.6,119.45,7772984.5
2018-07-25,119.0,122.5,116.7,119.95,190136672.9
2018-07-26,119.7,120.0,113.6,116.1,13139182.85
2018-07-27,116.1,116.5,114.15,115.35,74950068.5
2018-07-30,116.0,118.3,115.3,115.7,38338364.1
2018-07-31,115.7,116.25,115.1,115.95,10981570.3
2018-08-01,114.25,114.45,112.2,112.95,15112764.2
2018-08-02,112.95,114.85,112.2,113.25,50259393.3
2018-08-03,111.8,115.6,111.8,115.1,13114379.1
2018-08-06,115.0,115.9,113.55,115.15,6906994.05
2018-08-07,116.0,116.1,115.0,115.1,3200207.25
2018-08-08,113.25,117.1,113.25,115.65,8281686.4
2018-08-09,116.1,116.7,111.2,114.85,53746369.6
2018-08-10,114.6,115.15,107.8,108.7,29764186.35
2018-08-13,111.0,111.95,108.3,108.45,15161351.3
2018-08-14,110.35,111.6,108.8,110.0,12732266.7
2018-08-16,109.95,110.8,108.0,108.2,5007788.1
2018-08-17,108.35,110.65,108.35,108.85,5517450.9
2018-08-20,110.35,111.0,108.0,108.5,5810320.0
2018-08-21,108.5,109.4,107.25,107.95,21095538.0
2018-08-23,110.0,110.0,108.0,108.45,6857180.75
2018-08-24,108.55,112.9,107.95,109.85,29284392.05
2018-08-27,108.4,110.85,108.15,108.55,60821500.9
2018-08-28,109.1,112.4,107.25,108.0,384937774.7
2018-08-29,111.5,112.8,109.1,110.35,77010010.2
2018-08-30,110.55,113.25,110.55,112.5,30919111.15
2018-08-31,112.1,112.65,110.1,111.1,66361335.3
2018-09-03,110.5,112.0,108.8,109.1,10714977.7
2018-09-04,109.3,110.0,107.1,107.45,8271141.8
2018-09-05,107.05,113.5,104.1,111.5,27607298.55
2018-09-06,112.15,112.4,108.3,109.15,9310533.55
2018-09-07,109.0,109.95,107.9,108.2,5518547.6
2018-09-10,108.0,109.5,106.0,106.25,9846828.75
2018-09-11,108.0,108.9,106.0,106.7,118514015.2
2018-09-12,107.9,107.9,106.0,106.65,7123876.25
2018-09-14,107.0,108.4,106.2,107.15,5024917.5
2018-09-17,106.9,108.5,106.85,107.4,6885925.25
2018-09-18,107.5,108.95,104.1,104.4,75897619.25
2018-09-19,104.8,106.2,103.8,105.4,4387664.6
2018-09-21,105.3,106.9,101.55,102.45,41429273.1
2018-09-24,105.0,105.0,101.1,102.15,10450829.9
2018-09-25,101.0,102.45,99.3,100.6,161248910.0
2018-09-26,102.0,102.6,100.25,101.0,2346190.2
2018-09-27,101.6,101.9,99.8,101.2,8086318.6
2018-09-28,101.65,103.0,99.15,100.3,13753150.05
2018-10-01,100.0,102.3,99.6,101.1,89659636.3
2018-10-03,100.65,108.2,100.05,103.7,11577429.0
2018-10-04,101.1,105.25,101.0,101.8,15426006.5
2018-10-05,101.7,103.0,100.0,100.75,6563328.15
2018-10-08,98.2,104.0,98.0,102.1,12918641.65
2018-10-09,102.1,102.55,99.75,100.05,11768672.35
2018-10-10,100.9,103.3,100.85,102.1,11678009.65
2018-10-11,95.3,102.75,95.3,102.0,10422016.5
2018-10-12,102.3,105.8,100.5,102.2,36810155.1
2018-10-15,101.55,105.0,100.15,103.5,14679669.1
2018-10-16,104.15,105.45,101.55,102.9,21544760.35
2018-10-17,104.25,104.5,101.1,101.6,25616648.45
2018-10-19,101.1,106.95,101.05,105.8,22552670.5
2018-10-22,108.25,108.25,101.55,102.65,17763604.8
2018-10-23,102.35,102.35,99.45,99.8,6336882.8
2018-10-24,100.2,102.0,99.15,100.5,70484856.15
2018-10-25,100.3,104.0,99.3,100.05,7920855.0
2018-10-26,100.4,102.8,99.0,101.6,5894496.9
2018-10-29,103.0,103.0,100.1,100.7,36304953.8
2018-10-30,101.0,104.1,100.15,101.7,22139757.5
2018-10-31,103.45,105.0,99.4,100.0,57378637.1
2018-11-01,100.8,101.75,98.2,98.75,18064200.95
2018-11-02,100.0,100.5,98.0,98.35,22348482.95
2018-11-05,99.5,100.8,99.0,99.45,11651869.05
2018-11-06,99.7,100.75,99.0,99.6,8074803.65
2018-11-07,100.4,100.95,99.05,100.55,2725533.55
2018-11-09,100.5,103.75,100.0,102.15,14656721.0
2018-11-12,101.9,103.35,101.0,101.2,6278374.85
