date,open,high,low,close,volume
2018-01-01,138.85,139.0,136.2,137.45,162208390.0
2018-01-02,137.5,138.2,133.0,134.15,265077508.7
2018-01-03,135.0,135.85,133.1,134.95,177802446.1
2018-01-04,135.0,135.9,132.8,135.15,162697978.5
2018-01-05,135.95,140.15,134.8,139.45,333344942.7
2018-01-08,138.05,142.45,138.05,140.05,297205543.1
2018-01-09,140.55,140.55,138.0,139.4,177088996.1
2018-01-10,139.9,141.5,138.1,140.5,308496619.6
2018-01-11,141.0,147.2,140.75,146.75,1394184234.0
2018-01-12,148.65,149.05,141.9,144.1,620640746.8
2018-01-15,150.0,150.0,144.5,144.9,550287120.5
2018-01-16,145.2,145.9,138.85,139.6,298949437.3
2018-01-17,139.6,141.0,131.6,140.35,387410366.4
2018-01-18,141.1,141.8,134.7,135.85,251435979.8
2018-01-19,135.7,137.45,133.75,135.6,161629464.4
2018-01-22,136.9,139.4,135.75,138.8,227072615.8
2018-01-23,139.05,141.75,138.3,138.95,337767918.1
2018-01-24,139.7,141.0,136.0,140.0,261244423.0
2018-01-25,140.8,140.85,135.75,136.85,250471808.8
2018-01-29,138.7,138.7,134.45,134.95,149021856.7
2018-01-30,134.7,135.0,131.7,132.7,183494717.9
2018-01-31,131.35,133.9,130.85,132.25,207864135.3
2018-02-01,132.0,132.2,125.8,127.55,322897291.3
2018-02-02,126.9,128.6,120.3,121.3,310128197.3
2018-02-05,119.0,122.6,116.2,119.45,243637241.9
2018-02-06,115.0,117.25,110.15,114.85,332460995.3
2018-02-07,118.1,120.35,116.9,119.15,233283230.7
2018-02-08,121.85,123.6,117.75,118.45,355864505.4
2018-02-09,115.05,119.3,114.05,118.75,177334867.5
2018-02-12,119.9,124.0,119.6,122.45,292466979.7
2018-02-14,124.0,125.0,121.4,122.05,210656837.7
2018-02-15,122.95,123.0,117.15,117.9,214367352.5
2018-02-16,118.75,119.85,116.65,117.8,173602554.6
2018-02-19,118.15,118.7,114.0,115.3,156852016.4
2018-02-20,115.3,117.05,114.2,116.05,117635471.8
2018-02-21,116.75,117.25,114.4,115.05,100348999.4
2018-02-22,115.0,115.05,111.9,112.35,375610038.5
2018-02-23,112.75,118.0,112.75,117.35,298107796.8
2018-02-26,118.65,120.1,116.4,119.7,165724299.4
2018-02-27,120.25,120.4,116.8,117.3,92878060.8
2018-02-28,115.25,119.5,114.75,118.4,368994754.3
2018-03-01,118.0,118.7,115.35,115.75,147692047.9
2018-03-05,116.0,116.35,112.3,113.75,179561228.7
