date,open,high,low,close,volume
2018-01-01,714.7,744.9,714.3,725.1,1942528581.0
2018-01-02,735.95,797.6,715.1,788.05,5382745561.0
2018-01-03,814.0,866.85,806.3,866.85,7164160102.0
2018-01-04,879.0,906.0,823.55,825.45,6395518526.0
2018-01-05,829.0,844.7,791.25,812.6,2948922431.0
2018-01-08,835.5,853.2,831.3,851.05,2126525042.0
2018-01-09,855.0,877.4,841.0,855.6,2828923184.0
2018-01-10,859.5,862.0,828.2,838.2,1309277469.0
2018-01-11,841.35,863.5,836.55,845.3,1781059091.0
2018-01-12,851.4,862.9,835.85,852.1,1477004823.0
2018-01-15,859.25,861.0,841.9,844.2,1050251532.0
2018-01-16,844.4,847.5,802.0,802.3,1282860432.0
2018-01-17,800.0,822.35,762.2,791.4,2386843790.0
2018-01-18,799.85,815.0,752.5,757.45,1112908338.0
2018-01-19,760.0,788.0,742.0,779.6,2048398421.0
2018-01-22,784.0,815.0,781.9,804.05,1515053558.0
2018-01-23,812.0,819.3,791.0,795.15,960711472.9
2018-01-24,798.4,798.4,772.55,779.85,729883449.8
2018-01-25,784.4,809.0,775.3,793.1,1080054383.0
2018-01-29,805.0,819.0,801.5,807.15,946938988.6
2018-01-30,811.95,836.0,786.0,795.05,3295595278.0
2018-01-31,810.0,812.0,755.3,758.6,1455660500.0
2018-02-01,769.0,774.8,720.7,720.7,1528991383.0
2018-02-02,686.0,703.0,684.7,684.7,886951807.0
2018-02-05,650.5,650.5,650.5,650.5,51783703.0
2018-02-06,618.0,618.0,618.0,618.0,79542162.0
2018-02-07,615.0,648.9,595.55,644.8,3473678787.0
2018-02-08,648.0,677.0,645.0,677.0,737790495.1
2018-02-09,656.0,710.85,655.0,710.85,1818029014.0
2018-02-12,730.0,746.35,730.0,746.35,1376642814.0
2018-02-14,772.0,783.65,745.0,749.25,1881803663.0
2018-02-15,755.0,769.0,715.1,720.25,926138748.8
2018-02-16,734.0,742.5,695.1,701.1,945778574.5
2018-02-19,705.0,716.5,671.1,707.3,1236620313.0
2018-02-20,693.0,695.95,671.95,671.95,768990382.4
2018-02-21,669.8,669.8,638.4,638.4,765480892.9
2018-02-22,622.2,630.0,606.5,606.5,2515332929.0
2018-02-23,608.0,631.0,599.0,619.2,1426644490.0
2018-02-26,625.0,630.8,605.6,611.8,897674306.9
2018-02-27,616.9,642.35,616.9,642.35,1179024983.0
2018-02-28,649.5,674.45,645.1,674.45,884675287.7
2018-03-01,708.15,708.15,685.0,692.45,2206006729.0
2018-03-05,685.0,685.0,657.85,658.25,998965202.7
2018-03-06,673.15,689.5,668.0,674.35,1264918053.0
2018-03-07,663.5,674.9,646.3,654.2,765364941.5
2018-03-08,668.0,674.7,622.05,654.45,1296012090.0
2018-03-09,661.9,669.25,641.95,644.35,693100334.9
2018-03-12,657.1,676.55,650.0,674.8,682008745.3
2018-03-13,675.0,708.5,670.0,708.5,2042512652.0
2018-03-14,714.6,738.4,709.0,717.2,1725569285.0
2018-03-15,719.0,753.05,718.0,753.05,1902981319.0
2018-03-16,767.6,790.7,760.4,775.2,4113054452.0
2018-03-19,813.95,813.95,754.2,796.2,3893173514.0
2018-03-20,775.1,792.0,756.4,756.4,1705018243.0
2018-03-21,760.1,773.95,742.2,757.9,1733948818.0
2018-03-22,758.0,763.6,722.4,725.95,1270583132.0
2018-03-23,693.6,752.75,693.6,739.85,2038382886.0
2018-03-26,744.0,758.3,720.55,727.65,1449884656.0
2018-03-27,739.0,761.0,734.4,755.0,1683201253.0
2018-03-28,744.95,747.0,722.25,726.1,1283347856.0
2018-04-02,734.7,762.4,733.2,762.4,1302490022.0
2018-04-03,765.0,783.5,750.2,759.7,1680446503.0
2018-04-04,766.0,771.95,721.75,721.75,1369756695.0
2018-04-05,700.0,720.0,686.1,698.8,2939222757.0
2018-04-06,712.0,752.0,706.3,720.75,2822219358.0
2018-04-09,728.0,735.0,705.15,707.9,1293637933.0
2018-04-10,720.0,724.9,701.75,704.8,822368249.0
2018-04-11,710.0,721.0,700.05,706.4,1238153991.0
2018-04-12,708.65,718.0,700.1,703.3,1150624298.0
2018-04-13,707.5,717.0,700.0,701.4,1033261091.0
2018-04-16,699.0,714.7,696.0,706.1,990680768.2
2018-04-17,711.0,711.4,700.1,702.0,769533390.9
2018-04-18,705.7,710.0,687.05,696.45,990869496.4
2018-04-19,697.0,699.0,615.65,664.85,3105954967.0
2018-04-20,669.0,711.9,646.3,706.3,2405759867.0
2018-04-23,712.4,718.65,695.0,698.7,1068850639.0
2018-04-24,702.45,702.45,680.05,682.85,568835685.1
2018-04-25,680.0,701.9,675.15,679.85,766916700.1
2018-04-26,679.0,684.4,665.0,670.15,469486710.9
2018-04-27,672.0,695.9,671.85,681.5,786321208.4
2018-04-30,689.0,704.4,683.2,697.55,856054998.0
2018-05-02,701.0,723.9,692.4,711.85,1520485540.0
2018-05-03,706.1,712.0,692.9,696.15,548801456.1
2018-05-04,698.05,718.0,698.05,711.85,902955682.1
2018-05-07,714.95,730.0,706.1,726.7,1026876334.0
2018-05-08,732.65,744.7,718.9,732.15,1640418856.0
2018-05-09,734.4,784.9,725.0,776.0,4824383415.0
2018-05-10,783.0,794.9,738.9,743.9,3475887917.0
2018-05-11,745.8,768.7,722.6,729.9,2542029200.0
2018-05-14,762.0,773.5,738.45,743.45,3290624834.0
2018-05-15,748.25,764.9,742.7,750.95,1613326128.0
2018-05-16,744.45,776.0,741.2,772.15,2534815300.0
2018-05-17,781.95,846.95,775.0,823.35,6904729547.0
2018-05-18,829.4,833.0,787.55,792.65,2772902039.0
2018-05-21,790.0,812.5,765.05,799.7,2078287574.0
2018-05-22,801.8,829.8,801.0,824.9,2352450082.0
2018-05-23,824.15,853.9,816.7,826.45,2781266135.0
2018-05-24,832.1,841.5,798.45,814.3,1262856114.0
2018-05-25,816.9,836.7,805.25,823.2,1303194823.0
2018-05-28,833.3,839.9,820.85,835.65,1375201785.0
2018-05-29,846.05,880.9,834.5,865.35,4125763196.0
2018-05-30,859.7,892.0,853.35,882.65,2871217954.0
2018-05-31,887.9,907.8,866.8,888.45,3520766023.0
2018-06-01,846.2,866.6,844.05,844.05,985487887.4
2018-06-04,811.1,819.65,801.85,801.85,213376265.3
2018-06-05,761.8,761.8,761.8,761.8,238218669.0
2018-06-06,723.75,799.85,723.75,799.85,2244388328.0
2018-06-07,824.9,839.8,815.05,839.8,796205151.6
2018-06-08,834.0,864.75,816.05,849.0,1578771216.0
2018-06-11,850.0,865.0,840.0,845.05,589833631.2
2018-06-12,860.0,860.0,816.6,831.55,541464377.6
2018-06-13,834.0,837.8,810.0,818.95,641383135.5
2018-06-14,818.95,833.75,810.45,827.0,485704685.3
2018-06-15,827.0,831.9,813.35,817.25,346549475.4
2018-06-18,815.0,825.0,798.0,800.0,334146579.3
2018-06-19,799.0,800.5,770.0,789.5,533907749.0
2018-06-20,786.0,802.0,782.0,794.9,515013695.6
2018-06-21,792.75,794.45,775.0,778.35,289731119.2
2018-06-22,775.0,789.75,771.0,783.95,295485470.9
2018-06-25,782.9,823.1,780.0,823.1,745435433.6
2018-06-26,818.0,850.0,816.35,833.65,830276586.5
2018-06-27,833.0,834.0,792.0,800.25,444112669.2
2018-06-28,801.0,823.1,786.05,800.1,396624610.7
2018-06-29,827.0,840.1,825.0,840.1,774178329.0
2018-07-02,860.9,882.1,857.95,882.1,1231368635.0
2018-07-03,888.0,926.2,867.5,925.35,1958903864.0
2018-07-04,935.0,971.6,927.0,969.45,1671205058.0
2018-07-05,960.0,1004.25,936.55,951.55,2418441273.0
2018-07-06,960.0,976.0,930.15,941.4,1079679496.0
2018-07-09,957.4,988.45,946.6,987.1,1131164686.0
2018-07-10,1005.0,1027.4,1002.5,1011.85,1303861654.0
2018-07-11,1015.0,1024.2,987.0,1008.65,951111419.0
2018-07-12,1008.65,1021.1,982.0,988.85,480787321.6
2018-07-13,988.85,988.85,943.7,948.75,659555663.7
2018-07-16,944.85,955.0,920.0,922.85,366745794.1
2018-07-17,922.0,968.95,900.05,968.95,767439260.8
2018-07-18,1001.0,1014.5,964.0,983.75,1145304781.0
2018-07-19,989.0,1005.0,974.0,997.5,661234719.9
2018-07-20,1002.9,1022.95,998.25,1016.0,731324180.9
2018-07-23,1023.0,1027.4,991.9,1006.6,381726615.5
2018-07-24,1002.65,1005.05,965.0,969.05,708778506.6
2018-07-25,975.95,1004.0,973.05,986.4,608657786.4
2018-07-26,989.0,1003.65,987.8,996.7,463995703.8
2018-07-27,999.95,1002.45,975.4,978.2,337428095.0
2018-07-30,986.7,989.4,960.55,972.65,361851664.2
2018-07-31,970.15,1021.25,963.95,1013.9,1307518309.0
2018-08-01,1014.0,1034.3,1003.25,1021.3,966188836.3
2018-08-02,1038.0,1072.0,1017.0,1036.0,2030385306.0
2018-08-03,1051.0,1068.0,1032.0,1057.55,1145034566.0
2018-08-06,1068.0,1094.75,1056.65,1062.9,1755629073.0
2018-08-07,1077.0,1084.0,1009.8,1009.8,1144950389.0
2018-08-08,987.1,1060.25,972.1,1060.25,2075032241.0
2018-08-09,1077.0,1109.9,1073.85,1095.65,1568056449.0
2018-08-10,1096.1,1127.0,1079.8,1106.95,1331173197.0
2018-08-13,1084.9,1118.0,1058.0,1099.85,1134800095.0
2018-08-14,1109.9,1126.2,1097.2,1100.55,773390189.0
2018-08-16,1093.8,1118.7,1079.45,1106.75,1006776183.0
2018-08-17,1116.0,1118.5,1090.0,1096.55,595473516.3
2018-08-20,1100.0,1109.25,1041.75,1041.75,1156153363.0
2018-08-21,1049.0,1069.0,997.1,1051.45,1339012833.0
2018-08-23,1049.9,1049.9,998.9,999.3,1376044574.0
2018-08-24,997.0,1013.0,965.1,980.65,1025102775.0
2018-08-27,984.0,1024.4,984.0,1009.1,1084727166.0
2018-08-28,1010.45,1022.0,1001.0,1012.75,475147713.9
2018-08-29,1004.0,1014.05,975.0,982.15,637496942.4
2018-08-30,990.0,997.15,976.8,989.7,348044437.0
2018-08-31,990.1,1025.0,986.1,1013.0,610139156.1
2018-09-03,1044.0,1045.0,1006.5,1010.2,561866854.5
2018-09-04,1010.0,1020.0,990.0,998.7,445629995.2
2018-09-05,1005.85,1034.0,986.0,1017.85,457744442.3
2018-09-06,1020.0,1030.0,1006.3,1018.05,489464075.9
2018-09-07,1019.9,1023.0,967.15,990.15,1146156621.0
2018-09-10,995.0,1013.25,991.0,994.25,311070927.0
2018-09-11,1000.0,1025.0,995.45,1001.65,513434856.4
2018-09-12,1004.0,1017.2,998.0,1010.6,504481726.4
2018-09-14,1010.6,1016.95,1002.0,1004.8,319704854.9
2018-09-17,1000.2,1014.0,989.0,992.1,317494373.6
2018-09-18,993.0,1013.0,982.0,986.25,1099550674.0
2018-09-19,985.0,1000.0,941.0,953.95,453109316.9
2018-09-21,920.0,981.0,906.3,956.1,1154672330.0
2018-09-24,960.0,963.85,908.3,908.3,509814349.0
2018-09-25,895.0,895.0,862.9,862.9,471595796.1
2018-09-26,860.0,895.0,835.0,845.7,671729895.6
2018-09-27,844.9,860.0,804.0,807.35,519882547.7
2018-09-28,815.0,847.7,781.0,843.3,694555798.7
2018-10-01,848.0,870.0,805.15,854.35,545694773.9
2018-10-03,856.4,873.0,825.0,846.75,330511976.1
2018-10-04,832.0,835.0,805.0,810.6,352940826.8
2018-10-05,809.0,824.0,785.3,803.1,282879322.2
2018-10-08,794.0,818.6,765.0,788.8,514411608.8
2018-10-09,799.9,808.4,781.55,790.4,357184231.5
2018-10-10,829.9,829.9,829.9,829.9,82595797.5
2018-10-11,871.35,871.35,861.35,871.35,751094309.1
2018-10-12,914.9,914.9,914.9,914.9,79089445.4
2018-10-15,960.6,960.6,960.6,960.6,106755320.4
2018-10-16,994.0,1008.6,980.0,1008.6,996235503.7
2018-10-17,1059.0,1059.0,976.6,1013.1,1184799843.0
