date,open,high,low,close,volume
2018-01-01,156.65,157.25,151.7,152.6,249651810.3
2018-01-02,153.25,153.95,146.0,146.9,541981571.5
2018-01-03,147.9,152.8,147.65,150.45,510754287.6
2018-01-04,151.0,152.65,149.55,152.05,306438289.4
2018-01-05,152.85,155.0,152.5,154.3,336095566.8
2018-01-08,154.3,155.85,153.2,153.75,182512832.8
2018-01-09,153.9,154.75,151.0,151.45,171399513.4
2018-01-10,151.85,152.75,149.0,150.2,139227963.3
2018-01-11,149.2,159.5,149.2,158.6,1028628920.0
2018-01-12,160.0,162.55,154.1,157.6,583892335.8
2018-01-15,158.3,165.9,156.4,164.9,1446820259.0
2018-01-16,166.4,166.4,154.5,155.5,817789266.5
2018-01-17,155.0,159.4,151.05,158.6,513454015.7
2018-01-18,158.95,159.75,148.25,150.3,530457466.9
2018-01-19,151.0,153.95,150.5,152.5,273186854.6
2018-01-22,151.0,156.85,151.0,155.05,364721850.5
2018-01-23,156.5,157.95,154.05,154.85,309750713.0
2018-01-24,156.5,156.85,153.2,153.85,325051424.4
2018-01-25,154.0,154.95,148.05,149.05,317472482.9
2018-01-29,149.2,150.85,145.55,146.35,222855577.7
2018-01-30,144.5,147.7,143.05,145.05,230641345.1
2018-01-31,144.7,146.5,142.3,144.7,211884843.5
2018-02-01,146.3,150.2,136.75,140.1,691541576.4
2018-02-02,137.0,138.15,128.0,129.1,383722752.4
2018-02-05,122.0,126.8,121.15,124.65,723211376.3
2018-02-06,115.0,123.6,113.25,120.1,458904453.9
2018-02-07,123.95,127.35,123.45,125.55,440112610.7
2018-02-08,126.65,130.5,125.85,129.4,381961064.4
2018-02-09,126.05,133.45,124.05,132.5,347436856.9
2018-02-12,133.7,141.15,132.7,137.85,933333257.2
2018-02-14,140.0,141.7,135.5,136.35,390011653.3
2018-02-15,136.8,139.35,133.8,134.45,269578029.2
2018-02-16,135.2,136.2,130.3,131.65,266596621.2
2018-02-19,130.5,133.6,128.7,132.1,272457038.6
2018-02-20,132.5,133.5,129.3,130.5,160359332.6
2018-02-21,131.5,131.8,128.75,129.2,116285677.8
2018-02-22,128.7,129.55,125.15,125.95,182118118.0
2018-02-23,125.55,129.15,125.25,128.2,153750726.7
2018-02-26,129.95,132.25,129.1,131.0,187451159.0
2018-02-27,132.45,133.0,130.05,130.75,202359253.0
2018-02-28,129.1,130.05,127.75,128.15,125405424.2
2018-03-01,127.5,130.05,127.4,128.0,141347606.5
2018-03-05,128.2,129.3,125.8,126.95,207550717.6
2018-03-06,127.45,128.85,122.85,124.05,123807235.2
2018-03-07,123.5,123.65,119.5,120.25,183410390.9
2018-03-08,121.0,122.6,118.75,122.0,149628993.7
2018-03-09,122.4,124.0,119.5,119.85,142646751.4
2018-03-12,121.85,122.8,119.0,122.25,159824762.4
2018-03-13,122.0,125.2,121.2,123.9,184116237.2
2018-03-14,123.4,125.6,122.7,124.15,179908986.0
2018-03-15,126.35,129.55,125.6,126.3,334432121.2
2018-03-16,126.0,126.8,122.2,123.0,123972445.3
2018-03-19,123.15,125.0,120.4,121.95,223291701.7
2018-03-20,120.9,124.5,120.3,122.9,194951075.3
2018-03-21,123.0,124.8,121.45,121.75,101432869.8
2018-03-22,122.5,123.85,120.1,120.8,125162393.0
2018-03-23,119.0,119.15,115.8,116.3,130986266.0
2018-03-26,115.0,117.15,113.45,116.75,205386668.7
2018-03-27,116.75,119.75,116.75,117.25,120627117.7
2018-03-28,116.95,117.0,113.5,114.1,164253709.6
2018-04-02,114.9,119.5,114.1,118.9,152929926.2
2018-04-03,118.85,124.0,118.2,123.65,146408535.5
2018-04-04,124.0,125.85,120.5,121.15,169783948.1
2018-04-05,122.35,126.35,122.35,125.2,146523331.7
2018-04-06,125.0,126.6,123.6,125.6,90060762.1
2018-04-09,125.5,127.35,124.45,125.05,93094987.1
2018-04-10,127.5,127.5,124.7,125.5,85769869.5
2018-04-11,126.0,126.45,123.2,124.05,171063384.8
2018-04-12,124.3,126.1,123.6,125.1,116253596.1
2018-04-13,126.0,129.1,125.1,128.55,223834523.7
2018-04-16,128.5,129.95,127.5,129.2,247352819.3
2018-04-17,130.0,130.85,128.0,128.15,162198003.6
2018-04-18,128.55,129.45,125.65,126.3,115195649.5
2018-04-19,127.0,131.7,126.45,131.25,312207909.0
2018-04-20,131.0,134.2,129.7,133.0,469909119.5
2018-04-23,132.05,133.7,129.75,130.35,145743071.3
2018-04-24,132.2,133.75,130.5,131.0,292378308.3
2018-04-25,131.4,135.25,129.5,130.25,527271042.8
2018-04-26,131.25,132.5,128.45,128.95,211945797.7
2018-04-27,129.5,131.15,129.5,129.85,128386535.5
2018-04-30,130.35,134.4,129.5,133.45,213075313.7
2018-05-02,135.0,135.55,130.45,131.55,228399587.8
2018-05-03,130.7,132.0,128.4,131.6,165298511.6
2018-05-04,130.9,132.75,130.15,131.5,131499623.1
2018-05-07,132.4,133.8,131.5,132.15,192728397.1
2018-05-08,132.5,136.4,132.3,135.1,372892473.5
2018-05-09,135.1,137.6,133.6,135.55,259635183.3
2018-05-10,135.85,135.95,130.5,130.8,164179381.9
2018-05-11,130.85,134.35,129.35,132.45,186013433.0
2018-05-14,132.5,134.5,131.7,132.2,116747906.6
2018-05-15,131.5,135.4,128.75,131.75,213057772.1
2018-05-16,131.5,133.4,130.1,131.7,178815506.4
2018-05-17,133.0,133.0,120.5,122.6,884017047.7
2018-05-18,123.0,124.1,117.0,117.35,365178994.9
2018-05-21,117.75,118.35,112.6,115.25,247448051.6
2018-05-22,115.0,115.95,112.6,112.95,200231321.6
2018-05-23,112.6,115.15,109.5,110.1,196529466.0
2018-05-24,110.3,112.2,109.45,110.85,132342683.8
2018-05-25,112.0,115.35,112.0,114.0,188809767.6
2018-05-28,115.0,119.85,114.9,119.5,207974264.6
2018-05-29,119.9,120.75,116.0,116.85,201060784.5
2018-05-30,115.35,118.3,115.2,117.15,99304881.15
2018-05-31,117.75,118.25,115.75,116.25,139544644.8
2018-06-01,116.5,118.4,113.5,114.55,178277644.2
2018-06-04,115.15,115.45,111.2,112.0,130122541.8
2018-06-05,111.0,111.05,105.35,107.3,233556475.9
2018-06-06,105.2,112.0,104.1,111.3,237216672.7
2018-06-07,112.3,114.2,111.6,113.25,113523103.2
2018-06-08,115.25,117.25,113.65,115.65,338289274.0
2018-06-11,116.0,117.5,115.2,116.1,97195227.0
2018-06-12,115.8,118.2,115.5,117.75,133121882.6
2018-06-13,117.85,117.9,116.1,116.4,67196885.1
2018-06-14,115.9,116.4,113.85,114.75,77328786.05
2018-06-15,114.65,116.6,112.55,114.15,110455728.6
