date,open,high,low,close,volume
2018-01-01,227.1,229.8,223.7,224.7,50613047.35
2018-01-02,224.3,226.5,219.4,222.7,79707688.8
2018-01-03,223.0,224.95,219.15,220.7,128019266.5
2018-01-04,221.8,221.8,217.5,219.05,91173359.75
2018-01-05,218.25,226.8,218.25,223.0,135565133.9
2018-01-08,225.5,227.0,221.5,222.15,52238631.6
2018-01-09,221.3,224.25,214.5,218.45,93138418.75
2018-01-10,218.5,225.8,217.1,218.1,180628918.5
2018-01-11,219.8,222.35,218.1,220.25,101906318.2
2018-01-12,220.8,224.0,218.0,221.2,123913967.8
2018-01-15,220.05,223.0,214.8,219.0,91113594.15
2018-01-16,216.0,224.3,213.25,215.75,210261625.8
2018-01-17,216.0,222.8,215.7,221.35,177995294.2
2018-01-18,221.0,222.8,212.7,214.1,77856201.65
2018-01-19,215.3,217.0,206.45,211.1,124884208.5
2018-01-22,211.2,215.05,208.7,209.7,57857013.2
2018-01-23,211.0,213.75,207.0,208.9,139936401.8
2018-01-24,209.9,211.95,208.2,209.5,43661253.15
2018-01-25,209.9,210.3,207.0,208.0,30336710.15
2018-01-29,208.3,209.65,201.7,205.35,207350826.7
2018-01-30,204.4,206.2,200.5,203.4,95857501.65
2018-01-31,203.3,204.85,201.1,202.85,66722899.05
2018-02-01,203.05,203.5,197.7,200.4,63797704.0
2018-02-02,199.2,201.0,189.2,192.95,209843221.0
2018-02-05,192.2,196.35,185.0,189.45,207140261.7
2018-02-06,186.2,194.05,177.35,193.05,122150417.9
2018-02-07,195.7,204.8,193.6,202.75,83229669.7
2018-02-08,201.65,210.75,201.65,207.35,114703547.5
2018-02-09,202.0,209.0,201.1,202.5,249397112.1
2018-02-12,204.2,204.95,198.1,199.6,212394738.2
2018-02-14,201.1,206.0,200.05,203.05,225826905.5
2018-02-15,203.05,204.75,201.0,202.35,202602899.4
2018-02-16,203.5,203.5,196.3,198.4,62906142.45
2018-02-19,199.0,199.65,192.4,193.0,127637334.0
2018-02-20,194.4,197.5,193.2,196.25,30727786.45
2018-02-21,197.7,199.7,195.9,198.4,28953977.25
2018-02-22,197.2,203.4,196.25,199.95,103004941.6
2018-02-23,201.0,207.5,196.95,199.25,113570374.4
2018-02-26,200.0,202.0,197.6,201.45,79039759.8
2018-02-27,202.7,205.3,201.8,204.45,94044472.95
2018-02-28,204.0,209.8,202.15,207.05,220173440.3
2018-03-01,207.75,209.55,201.05,201.7,49470099.7
2018-03-05,202.0,206.25,200.0,204.0,233985464.7
2018-03-06,204.1,206.35,198.25,200.1,78588550.55
2018-03-07,199.2,201.5,197.3,199.85,122855768.9
2018-03-08,200.0,201.0,196.7,200.0,102781401.6
2018-03-09,200.05,203.9,196.7,200.15,128460581.0
2018-03-12,201.8,201.8,194.25,195.4,104190120.7
2018-03-13,194.9,197.8,194.0,195.8,75361792.65
2018-03-14,195.55,195.55,191.1,192.3,51095160.6
2018-03-15,191.0,192.6,188.15,190.9,96520735.15
2018-03-16,191.1,196.6,191.05,192.2,82318886.85
2018-03-19,193.0,193.0,183.85,188.1,53795188.35
2018-03-20,186.45,186.45,173.65,177.7,498439405.4
2018-03-21,178.7,180.4,175.35,178.05,485365841.4
2018-03-22,180.0,181.0,178.5,180.1,69037483.2
2018-03-23,179.5,183.9,175.2,181.9,81499373.55
2018-03-26,181.9,185.4,176.3,181.8,389605865.8
2018-03-27,182.0,189.8,180.0,188.3,102287124.9
2018-03-28,187.95,195.65,185.0,189.5,391009566.3
2018-04-02,190.0,194.2,187.5,188.05,173755913.5
2018-04-03,188.05,190.6,183.5,184.7,46157928.95
2018-04-04,185.85,187.45,182.1,184.85,100126099.6
2018-04-05,186.9,192.0,184.8,188.5,46208277.1
2018-04-06,186.7,193.0,186.7,189.95,123671912.9
2018-04-09,190.35,192.0,187.1,190.85,105764232.4
2018-04-10,190.0,192.55,189.15,191.6,146766735.6
2018-04-11,191.0,192.35,186.8,187.6,71706843.15
2018-04-12,186.85,190.7,185.55,187.1,49293446.65
2018-04-13,187.0,190.9,184.25,185.5,55365610.25
2018-04-16,184.9,189.3,183.0,188.85,19078958.45
2018-04-17,187.0,189.35,184.9,186.55,44081704.35
2018-04-18,187.1,188.65,185.0,187.2,63404764.65
2018-04-19,188.4,189.5,187.0,187.95,39847178.8
2018-04-20,188.3,188.95,185.65,188.15,54545242.3
2018-04-23,188.0,192.0,186.15,188.25,115126215.5
2018-04-24,188.5,189.2,186.0,187.15,72134776.95
2018-04-25,186.6,188.5,182.5,183.1,147166048.1
2018-04-26,183.4,184.65,182.0,183.0,106542750.8
2018-04-27,183.1,184.3,180.2,181.05,103221595.6
2018-04-30,181.05,184.0,177.2,178.45,155617132.8
2018-05-02,179.0,184.0,178.3,180.0,188194878.0
2018-05-03,180.9,180.9,173.7,175.3,31128066.95
2018-05-04,175.3,180.75,173.0,179.55,39372030.9
2018-05-07,179.0,184.7,179.0,182.55,57800262.15
2018-05-08,183.0,183.75,180.2,181.85,15313514.1
2018-05-09,181.5,182.5,179.5,181.8,151048644.6
2018-05-10,181.0,182.2,179.8,180.35,206361245.6
2018-05-11,180.0,182.05,178.45,179.7,32490616.9
2018-05-14,179.45,180.25,176.5,178.75,12609284.2
2018-05-15,179.95,180.5,175.85,178.7,17715878.9
2018-05-16,179.0,179.5,174.95,176.45,170039651.7
2018-05-17,178.5,184.9,176.35,182.7,27066060.95
2018-05-18,183.8,184.6,174.85,179.3,128167732.0
2018-05-21,179.45,181.25,171.65,175.05,128340088.8
2018-05-22,175.1,178.45,166.65,167.65,176327371.6
2018-05-23,167.0,169.8,165.2,167.7,203450740.0
2018-05-24,167.15,178.0,167.15,174.4,197520161.1
2018-05-25,174.5,176.45,171.0,175.55,18144674.0
2018-05-28,175.5,178.3,173.25,177.4,37163296.6
2018-05-29,176.35,177.5,173.0,174.35,68848092.3
2018-05-30,173.0,175.75,172.0,173.5,56019405.4
2018-05-31,174.0,180.0,173.9,179.35,63649367.35
2018-06-01,180.0,183.3,176.95,178.5,100478373.1
2018-06-04,177.0,184.8,176.15,182.9,132403129.4
2018-06-05,181.1,182.55,175.3,178.8,102791502.3
2018-06-06,178.5,183.1,177.7,180.0,56320866.0
2018-06-07,180.0,183.8,179.05,181.45,70499205.6
2018-06-08,178.05,197.85,178.05,190.6,143415495.6
2018-06-11,187.7,187.7,182.3,183.75,344956757.9
2018-06-12,183.0,183.0,178.3,181.25,41297705.4
2018-06-13,181.0,182.95,179.0,181.1,21204951.55
2018-06-14,179.3,189.8,179.3,186.25,120986081.4
2018-06-15,185.95,189.5,183.65,188.0,170098714.5
2018-06-18,186.4,187.0,179.7,181.05,115495941.8
2018-06-19,180.0,184.0,176.5,177.45,97225668.95
2018-06-20,176.3,182.4,176.3,181.4,209684165.3
2018-06-21,182.1,184.5,180.0,181.2,42021642.35
2018-06-22,182.0,182.45,180.1,181.9,22230228.25
2018-06-25,182.0,183.35,179.95,180.9,83125950.45
2018-06-26,180.85,181.5,179.9,181.05,50739820.55
2018-06-27,180.05,183.0,179.05,180.35,425646840.5
2018-06-28,181.25,181.25,176.0,178.25,171642928.9
2018-06-29,179.7,182.8,177.0,179.95,117766354.8
2018-07-02,179.85,181.8,176.25,180.15,116700208.3
2018-07-03,181.0,181.0,176.8,177.35,13297155.6
2018-07-04,178.0,180.0,176.1,179.15,12584563.1
2018-07-05,179.1,179.35,175.65,177.05,24281941.35
2018-07-06,176.5,180.2,174.4,179.7,30318245.7
2018-07-09,181.25,182.8,178.5,179.95,158564051.8
2018-07-10,180.05,180.55,178.6,179.45,104620623.4
2018-07-11,179.0,180.8,177.65,179.4,37668030.25
2018-07-12,179.9,182.8,178.85,181.5,85775932.6
2018-07-13,180.4,182.5,178.0,181.75,22487060.95
2018-07-16,181.4,182.8,179.0,180.1,34800894.0
2018-07-17,181.0,186.2,178.55,185.5,52014316.1
2018-07-18,186.0,189.0,183.45,186.75,36047108.05
2018-07-19,186.0,188.0,184.75,185.1,197487031.4
2018-07-20,184.15,187.9,183.5,185.1,40959929.7
2018-07-23,186.0,186.8,185.0,186.05,103788879.1
2018-07-24,186.95,193.4,185.0,190.15,77926548.45
2018-07-25,192.7,196.85,186.5,194.05,64654240.8
2018-07-26,196.0,198.05,191.2,194.2,59323405.8
2018-07-27,195.95,199.4,193.5,196.7,64693309.75
