date,open,high,low,close,volume
2018-01-01,917.0,917.05,895.0,897.15,39465319.25
2018-01-02,890.15,905.85,885.05,893.15,27308184.15
2018-01-03,899.85,903.0,886.9,890.45,40468140.65
2018-01-04,892.1,905.0,888.0,894.25,46846898.95
2018-01-05,898.0,898.0,883.0,885.65,29997303.35
2018-01-08,888.6,917.0,887.0,899.7,66374716.95
2018-01-09,902.0,917.0,894.1,905.3,59735325.35
2018-01-10,903.0,916.0,890.0,894.85,68808247.65
2018-01-11,899.1,907.95,891.0,897.8,31808323.3
2018-01-12,900.05,903.75,887.0,892.0,27447667.7
2018-01-15,899.9,903.9,890.0,895.5,76553783.55
2018-01-16,894.0,900.0,877.0,883.2,136531719.4
2018-01-17,883.2,895.0,870.0,892.25,34077086.45
2018-01-18,885.0,921.0,870.0,875.75,186503851.8
2018-01-19,894.85,899.0,870.0,888.85,29567729.25
2018-01-22,895.0,909.0,870.05,882.35,22699072.55
2018-01-23,880.0,897.9,870.0,873.3,20696317.5
2018-01-24,873.3,881.5,870.0,874.1,13851842.8
2018-01-25,877.55,877.55,841.0,845.25,70072647.25
2018-01-29,855.9,860.0,834.5,842.15,38242165.8
2018-01-30,845.05,846.6,834.45,841.7,23422034.7
2018-01-31,836.0,850.0,825.05,833.2,44439102.05
2018-02-01,833.2,836.4,803.25,819.55,21371290.95
2018-02-02,805.25,815.85,770.65,796.35,65839170.85
2018-02-05,788.0,810.0,756.55,799.7,33909138.35
2018-02-06,779.75,779.75,735.0,771.35,22370618.15
2018-02-07,784.55,786.8,752.05,756.0,26243398.5
2018-02-08,764.6,797.0,761.0,780.35,79925867.4
2018-02-09,770.0,780.95,741.6,776.95,63401767.05
2018-02-12,784.05,793.0,780.25,787.55,50503947.1
2018-02-14,795.0,822.85,778.05,817.4,48011681.7
2018-02-15,820.0,824.0,797.6,804.05,21315263.85
2018-02-16,798.5,808.8,776.5,797.05,40415609.7
2018-02-19,790.0,798.85,750.0,775.8,16720833.85
2018-02-20,770.05,783.75,759.0,767.95,16279275.4
2018-02-21,773.0,773.0,741.1,748.1,34084821.85
2018-02-22,750.05,752.05,735.8,749.45,80543667.8
2018-02-23,743.0,788.0,743.0,777.1,251314865.9
2018-02-26,784.0,796.0,770.1,773.05,21218725.0
2018-02-27,779.75,786.65,767.0,774.4,19155379.4
2018-02-28,775.0,789.0,753.7,773.65,44853340.95
2018-03-01,770.5,792.0,765.2,785.1,25287112.45
2018-03-05,778.6,795.0,764.3,786.6,113695196.9
2018-03-06,789.1,795.0,775.0,789.5,40899254.4
2018-03-07,780.05,785.0,755.0,764.5,20922513.8
2018-03-08,760.45,786.0,750.1,778.1,22506054.85
2018-03-09,782.2,785.0,761.15,781.4,22432488.2
2018-03-12,790.0,790.0,765.6,776.35,13043310.85
2018-03-13,784.95,786.85,775.05,782.9,25350709.5
2018-03-14,779.35,781.0,771.0,778.85,25842880.2
2018-03-15,778.8,783.0,760.5,779.3,29062459.15
2018-03-16,784.95,797.0,768.15,788.15,55193643.6
2018-03-19,780.05,788.1,771.0,782.95,33759192.8
2018-03-20,775.1,784.0,773.0,782.3,33921658.9
2018-03-21,782.4,790.0,777.05,784.5,63795575.4
2018-03-22,785.05,789.0,770.0,771.85,30170877.2
2018-03-23,768.9,802.3,748.0,785.75,49351926.85
2018-03-26,789.8,798.9,765.0,782.0,61846713.25
2018-03-27,785.0,798.8,775.0,780.4,12615587.25
2018-03-28,780.35,815.0,772.6,796.5,170134343.4
2018-04-02,785.15,842.95,785.15,813.05,23971046.05
2018-04-03,814.95,815.0,796.5,805.8,13098004.1
2018-04-04,811.3,821.0,788.15,791.75,28980785.45
2018-04-05,809.95,810.0,796.05,804.65,13009194.15
2018-04-06,809.05,830.6,802.0,824.05,42000206.6
2018-04-09,825.0,841.0,812.75,823.6,19147156.45
2018-04-10,822.0,823.0,807.0,812.45,7815162.75
2018-04-11,815.0,820.0,807.0,819.2,7345919.25
2018-04-12,819.3,828.0,808.0,813.05,40901928.6
2018-04-13,813.0,820.9,808.2,814.5,114122581.0
2018-04-16,814.5,830.0,801.0,825.4,14772997.3
2018-04-17,829.35,865.0,820.0,852.5,30990526.55
2018-04-18,855.0,869.0,845.0,850.1,22901018.5
2018-04-19,840.0,869.9,840.0,854.5,27413159.6
2018-04-20,852.0,864.0,848.0,851.6,17878724.25
2018-04-23,852.6,864.0,847.75,855.85,16702387.25
2018-04-24,856.8,875.0,854.0,862.85,44712546.55
2018-04-25,862.95,868.8,855.0,858.4,24071753.45
2018-04-26,858.9,866.0,856.7,860.3,30142143.55
2018-04-27,857.55,870.0,852.0,859.65,19702961.55
2018-04-30,859.65,869.0,850.25,852.65,15285622.3
2018-05-02,856.15,862.8,840.55,855.1,10629035.85
2018-05-03,845.05,884.0,814.9,866.8,78784362.55
2018-05-04,864.9,864.9,840.0,844.1,15309486.6
2018-05-07,846.85,852.9,840.0,851.2,12836004.05
2018-05-08,848.1,868.35,846.2,861.0,9174536.85
2018-05-09,857.55,857.55,834.4,840.65,32931172.05
2018-05-10,840.65,842.75,830.2,832.2,5527635.45
2018-05-11,839.8,860.4,832.1,856.9,75982796.1
2018-05-14,857.0,867.9,851.0,859.45,22717129.3
2018-05-15,856.1,863.8,833.95,841.35,6580358.2
2018-05-16,841.45,857.95,830.25,849.9,11605945.05
