date,open,high,low,close,volume
2018-01-01,566.7,566.7,552.0,554.45,260761006.6
2018-01-02,555.0,557.65,545.3,549.25,377498954.8
2018-01-03,551.0,560.35,548.5,555.65,537907811.3
2018-01-04,558.0,563.9,552.45,562.85,658685403.2
2018-01-05,565.0,575.9,563.8,566.05,935209972.1
2018-01-08,566.5,571.5,560.9,563.1,504444988.6
2018-01-09,561.5,561.5,549.5,552.25,420386331.4
2018-01-10,551.75,556.35,545.0,549.7,696043343.2
2018-01-11,549.0,554.85,546.25,548.8,303253497.8
2018-01-12,549.5,552.55,545.5,549.1,479845214.1
2018-01-15,548.0,559.9,548.0,558.5,503207501.4
2018-01-16,562.0,563.9,552.45,556.7,457145506.2
2018-01-17,555.5,560.8,543.05,559.35,319883635.0
2018-01-18,562.75,563.35,546.1,552.1,209313270.3
2018-01-19,548.0,551.1,539.6,547.6,533271591.0
2018-01-22,548.6,564.15,538.7,552.65,1419670895.0
2018-01-23,565.0,587.75,563.1,584.15,2538646755.0
2018-01-24,584.9,585.0,572.4,576.25,778023997.4
2018-01-25,575.0,590.5,573.8,580.55,1236180225.0
2018-01-29,582.0,592.5,573.8,575.5,953302263.3
2018-01-30,575.35,576.95,552.0,552.85,590067476.5
2018-01-31,540.0,540.0,518.1,522.35,3836484087.0
2018-02-01,525.8,532.7,511.2,525.4,908893600.1
2018-02-02,519.0,523.5,504.65,509.6,559963657.0
2018-02-05,509.9,515.8,493.55,499.05,775533730.4
2018-02-06,474.95,509.95,450.0,505.8,1011445380.0
2018-02-07,511.0,519.2,488.0,504.2,1042659690.0
2018-02-08,510.55,523.0,507.05,520.9,514927464.6
2018-02-09,503.1,521.0,503.1,515.25,459292782.2
2018-02-12,519.2,521.6,512.4,516.05,374413432.9
2018-02-14,516.5,521.2,511.7,514.4,370076272.6
2018-02-15,515.1,525.8,512.2,516.25,673324415.5
2018-02-16,519.8,520.3,499.85,504.25,655408473.0
2018-02-19,508.95,508.95,498.1,504.05,602395226.2
2018-02-20,508.85,511.9,502.8,508.65,276867274.7
2018-02-21,510.85,511.6,500.2,506.35,363736090.7
2018-02-22,505.0,507.6,492.7,495.2,849342566.7
2018-02-23,497.0,509.35,495.2,507.7,553618013.6
2018-02-26,509.0,516.5,509.0,513.05,293151917.0
2018-02-27,514.5,519.9,507.7,512.1,379129244.2
2018-02-28,506.6,512.35,505.05,507.65,311172747.2
2018-03-01,507.65,522.3,507.65,511.25,738064797.8
2018-03-05,511.0,511.2,501.0,507.15,457731265.3
2018-03-06,511.8,512.85,496.4,500.3,362416041.9
2018-03-07,501.7,506.0,497.15,501.2,434805336.9
2018-03-08,504.1,506.8,490.0,502.55,526423933.0
2018-03-09,505.0,507.75,500.4,503.25,264956467.9
2018-03-12,508.0,510.3,500.55,505.2,375646660.2
2018-03-13,503.25,518.75,503.25,514.3,609955408.5
2018-03-14,516.5,523.0,512.45,517.1,687576275.1
2018-03-15,521.0,527.7,518.4,520.75,832621058.9
2018-03-16,522.9,525.0,515.15,516.6,777451698.8
2018-03-19,517.5,520.8,502.0,506.5,484281655.1
2018-03-20,502.0,502.95,494.7,499.0,681683987.3
2018-03-21,502.0,508.0,496.4,498.8,440788901.7
2018-03-22,499.4,502.0,493.35,495.9,320576517.9
2018-03-23,489.9,496.45,486.65,492.65,400826651.5
2018-03-26,493.0,494.0,487.8,491.15,594873310.6
2018-03-27,494.1,497.6,492.0,494.3,718494213.4
2018-03-28,492.15,495.65,486.2,487.85,531095356.7
2018-04-02,489.05,509.4,483.65,507.6,716787232.3
2018-04-03,506.85,509.7,500.0,508.0,617590824.8
2018-04-04,509.9,513.0,503.0,504.35,968098502.8
2018-04-05,510.0,516.2,508.85,512.65,1004480181.0
2018-04-06,515.0,535.0,512.65,533.15,1527255366.0
2018-04-09,533.1,539.4,530.0,534.25,616706747.8
2018-04-10,537.0,538.4,526.55,534.65,309317400.3
2018-04-11,535.5,536.05,527.1,530.85,340058862.1
2018-04-12,530.0,551.0,527.7,548.25,1248003936.0
2018-04-13,551.8,555.0,545.05,547.0,946523370.7
2018-04-16,543.45,551.45,541.2,546.0,409466224.4
2018-04-17,547.2,554.25,544.95,550.25,518263497.8
2018-04-18,552.7,554.8,545.65,547.25,621196830.6
2018-04-19,547.9,553.45,543.65,551.85,338596614.4
2018-04-20,551.9,559.2,544.7,548.25,1048392452.0
2018-04-23,549.9,551.9,543.95,546.1,492656066.9
2018-04-24,545.3,547.0,538.4,541.05,287327250.3
2018-04-25,538.8,544.65,536.55,538.55,303167362.1
2018-04-26,540.0,547.4,537.5,545.0,384462202.8
2018-04-27,547.0,556.0,544.5,549.75,455476132.9
2018-04-30,556.0,557.0,546.1,547.25,687981245.7
2018-05-02,548.45,553.6,533.95,543.05,590605775.0
2018-05-03,542.5,546.0,525.35,527.3,452335982.5
2018-05-04,525.0,543.35,521.35,540.4,1020727913.0
2018-05-07,544.95,552.2,541.1,548.0,692274561.0
2018-05-08,549.05,553.1,543.3,547.95,397380505.5
2018-05-09,545.05,561.0,545.05,553.9,1104511326.0
2018-05-10,556.0,557.2,535.1,537.75,711168445.3
2018-05-11,542.2,560.6,540.0,547.5,2607034096.0
2018-05-14,551.85,554.95,541.15,544.7,883946645.0
2018-05-15,543.05,549.7,537.2,544.2,407954453.1
