date,open,high,low,close,volume
2018-08-06,1726.25,1844.0,1726.25,1815.95,34761188195.0
2018-08-07,1819.8,1834.0,1755.0,1769.95,6265135607.0
2018-08-08,1762.0,1798.9,1742.35,1779.65,2985927428.0
2018-08-09,1779.6,1787.0,1740.0,1749.05,1189228187.0
2018-08-10,1740.0,1768.0,1740.0,1748.9,1030234094.0
2018-08-13,1739.0,1741.2,1704.5,1705.55,1246580536.0
2018-08-14,1707.5,1746.95,1707.5,1727.95,988495603.2
2018-08-16,1726.9,1741.0,1707.0,1710.3,649880481.7
2018-08-17,1719.7,1731.8,1714.05,1715.65,550044699.3
2018-08-20,1724.75,1755.8,1722.2,1747.15,1381901990.0
2018-08-21,1757.5,1773.3,1747.0,1763.6,1067934567.0
2018-08-23,1780.0,1848.8,1771.2,1834.7,4189045543.0
2018-08-24,1834.5,1924.4,1822.45,1895.05,5121938441.0
2018-08-27,1910.0,1970.0,1910.0,1942.0,3310924642.0
2018-08-28,1952.0,1955.45,1852.05,1863.8,2151994863.0
2018-08-29,1865.0,1865.0,1807.55,1820.05,1868778284.0
2018-08-30,1820.05,1854.65,1820.0,1837.6,787091045.9
2018-08-31,1840.0,1844.95,1810.0,1814.05,516221623.8
2018-09-03,1810.0,1810.0,1738.0,1741.9,1813932999.0
2018-09-04,1749.0,1772.0,1731.75,1738.45,979527574.0
2018-09-05,1742.0,1748.8,1662.0,1682.4,1765635798.0
2018-09-06,1690.0,1715.0,1681.25,1685.75,1095615326.0
2018-09-07,1700.2,1703.95,1660.0,1672.25,1205468648.0
2018-09-10,1672.9,1672.9,1626.0,1631.3,1064626750.0
2018-09-11,1640.0,1665.0,1608.1,1614.15,992326291.2
2018-09-12,1619.9,1635.35,1592.9,1630.65,1121441681.0
2018-09-14,1645.9,1658.0,1626.55,1635.45,691038158.0
2018-09-17,1625.0,1625.0,1595.0,1599.7,757081560.5
2018-09-18,1601.25,1604.5,1526.0,1536.2,1296226334.0
2018-09-19,1475.0,1480.0,1396.5,1408.85,8037613074.0
2018-09-21,1425.0,1430.0,1250.0,1383.3,2716215175.0
2018-09-24,1390.0,1414.35,1325.2,1334.95,1071040422.0
2018-09-25,1343.4,1406.85,1315.75,1397.2,1315952101.0
2018-09-26,1417.0,1444.0,1410.0,1439.05,1001357165.0
2018-09-27,1439.9,1445.45,1365.5,1371.1,639470006.4
2018-09-28,1394.0,1394.0,1308.0,1327.45,853324805.3
2018-10-01,1334.9,1334.9,1282.0,1301.4,684401342.6
2018-10-03,1300.0,1321.0,1280.0,1290.1,649822110.7
2018-10-04,1278.0,1308.7,1265.75,1292.55,646289617.6
2018-10-05,1295.0,1319.25,1282.2,1297.45,449794470.6
2018-10-08,1297.4,1302.0,1251.0,1272.9,433297599.1
2018-10-09,1280.25,1283.95,1250.0,1268.9,347350968.8
2018-10-10,1265.0,1335.25,1265.0,1323.9,404396987.2
2018-10-11,1281.0,1389.0,1250.0,1347.8,751169306.4
2018-10-12,1367.0,1384.9,1362.05,1369.4,338512246.3
2018-10-15,1376.4,1412.4,1354.85,1385.0,359097570.9
2018-10-16,1393.65,1407.0,1381.0,1389.1,239211315.8
2018-10-17,1400.0,1410.0,1350.0,1352.25,220049180.0
2018-10-19,1350.5,1350.5,1325.05,1331.9,179696718.6
2018-10-22,1340.7,1365.45,1332.0,1348.95,242357690.0
2018-10-23,1333.5,1375.45,1328.0,1367.4,369539213.6
2018-10-24,1375.8,1378.15,1352.0,1372.0,411257154.8
2018-10-25,1360.1,1363.8,1344.15,1353.55,277131454.6
2018-10-26,1344.0,1364.8,1326.0,1351.3,262927594.5
2018-10-29,1365.0,1382.1,1350.0,1374.85,237605373.3
2018-10-30,1375.0,1403.05,1355.75,1370.4,534828636.5
2018-10-31,1374.0,1413.8,1367.7,1400.5,352632861.3
2018-11-01,1411.8,1440.0,1400.85,1423.45,380442020.9
2018-11-02,1435.0,1450.95,1425.5,1436.7,387350333.2
2018-11-05,1435.0,1435.0,1412.7,1425.55,217289646.5
2018-11-06,1429.0,1438.0,1391.5,1402.85,135742680.2
2018-11-07,1415.0,1421.7,1406.1,1420.25,67461883.95
2018-11-09,1417.9,1417.9,1397.0,1404.8,164435899.0
2018-11-12,1410.65,1414.95,1398.0,1401.45,126928266.8
2018-11-13,1399.5,1403.2,1385.1,1393.45,117615206.8
2018-11-14,1398.95,1408.0,1393.0,1401.0,414304041.1
2018-11-15,1397.0,1410.0,1397.0,1400.55,130981617.7
2018-11-16,1405.0,1408.35,1391.2,1400.35,123901793.7
2018-11-19,1407.4,1421.0,1395.0,1403.5,353719709.7
2018-11-20,1401.0,1413.65,1400.0,1405.2,104997838.8
2018-11-21,1402.2,1418.85,1400.0,1413.8,133114468.9
2018-11-22,1428.5,1444.0,1419.0,1422.45,243013711.5
2018-11-26,1425.75,1503.4,1425.75,1472.95,1007877252.0
2018-11-27,1478.0,1488.3,1444.1,1474.95,295522551.7
2018-11-28,1482.95,1482.95,1454.75,1462.55,277982860.1
2018-11-29,1471.65,1488.0,1466.55,1482.95,218292573.7
2018-11-30,1489.9,1537.95,1486.15,1520.4,521680922.5
2018-12-03,1529.9,1565.0,1526.1,1559.6,330319986.3
2018-12-04,1562.0,1593.0,1556.0,1578.5,337308915.8
2018-12-05,1573.0,1578.45,1555.0,1564.9,256145988.9
2018-12-06,1557.55,1583.6,1518.7,1549.8,491999924.9
2018-12-07,1560.15,1574.55,1541.0,1549.15,163641797.1
2018-12-10,1517.0,1532.0,1505.0,1511.0,171882136.9
2018-12-11,1475.75,1535.0,1475.75,1523.35,249337620.0
2018-12-12,1544.0,1569.9,1540.2,1565.8,200444875.4
2018-12-13,1576.8,1580.25,1542.4,1551.0,215765794.2
2018-12-14,1551.0,1567.8,1544.0,1563.1,155264138.2
2018-12-17,1556.1,1575.0,1551.15,1571.55,138615091.3
2018-12-18,1570.0,1599.0,1556.4,1593.3,316729381.7
2018-12-19,1600.0,1600.0,1561.05,1572.85,152243128.8
2018-12-20,1560.0,1572.85,1545.15,1548.8,118691959.2
2018-12-21,1558.25,1564.9,1455.9,1525.05,1194523629.0
2018-12-24,1515.0,1537.0,1490.1,1493.6,167791852.0
2018-12-26,1487.9,1487.9,1457.2,1464.7,227257736.0
2018-12-27,1484.0,1494.3,1474.55,1485.75,119835589.9
2018-12-28,1495.5,1527.3,1490.65,1518.85,188208818.5
2018-12-31,1526.45,1535.0,1495.1,1504.95,122265333.3
2019-01-01,1504.95,1518.45,1491.65,1514.35,93679788.25
2019-01-02,1514.0,1524.0,1502.25,1506.05,88617073.4
2019-01-03,1513.65,1524.5,1502.0,1518.9,165398276.8
2019-01-04,1516.65,1528.8,1512.0,1523.35,70244540.85
2019-01-07,1530.0,1530.0,1503.0,1507.35,59993372.45
2019-01-08,1504.65,1512.45,1487.1,1490.85,89724760.45
2019-01-09,1496.6,1504.7,1490.0,1500.4,86521711.6
2019-01-10,1496.05,1512.65,1492.45,1507.5,75943765.35
2019-01-11,1507.0,1511.9,1495.0,1496.45,50321994.8
2019-01-14,1495.95,1495.95,1476.0,1481.4,58580686.55
2019-01-15,1489.0,1489.0,1475.0,1478.95,64182598.6
2019-01-16,1475.95,1483.95,1471.0,1474.55,57750091.4
2019-01-17,1482.0,1483.3,1470.1,1475.15,55629825.5
2019-01-18,1483.7,1493.85,1471.1,1485.15,278733977.7
2019-01-21,1493.0,1494.95,1475.2,1481.4,99758710.1
2019-01-22,1499.0,1508.4,1479.5,1487.65,281513552.9
2019-01-23,1481.1,1487.65,1454.5,1458.8,243535514.1
2019-01-24,1455.05,1467.0,1446.85,1456.0,70512555.55
2019-01-25,1464.8,1464.8,1420.0,1424.5,94101120.0
2019-01-28,1426.0,1428.0,1375.0,1383.35,136763257.8
2019-01-29,1384.8,1400.85,1361.8,1388.1,79876172.4
2019-01-30,1393.95,1398.3,1355.65,1373.15,116119655.2
2019-01-31,1379.85,1380.45,1353.6,1362.6,130423558.3
2019-02-01,1371.65,1378.45,1351.95,1361.55,147886828.7
2019-02-04,1361.5,1361.5,1340.0,1352.35,78694449.25
2019-02-05,1359.65,1365.95,1345.0,1362.6,108232141.8
2019-02-06,1368.95,1368.95,1343.0,1348.8,174574883.0
2019-02-07,1349.0,1364.95,1348.0,1350.8,107394230.4
2019-02-08,1350.65,1352.95,1341.0,1345.75,92460817.55
2019-02-11,1345.75,1348.1,1320.0,1324.8,100808146.8
2019-02-12,1337.65,1337.65,1320.85,1323.55,52707599.1
2019-02-13,1325.1,1342.85,1320.5,1339.25,68464882.3
2019-02-14,1326.05,1339.9,1314.0,1318.3,78352830.0
2019-02-15,1322.95,1329.0,1305.1,1319.15,59856736.6
2019-02-18,1322.0,1334.5,1320.0,1325.45,50712158.15
2019-02-19,1322.5,1326.55,1307.0,1311.4,57636366.85
2019-02-20,1311.3,1339.75,1311.0,1330.2,153981069.9
2019-02-21,1338.0,1352.5,1326.0,1348.65,138620707.2
2019-02-22,1353.0,1375.45,1344.0,1347.05,151661450.9
2019-02-25,1348.95,1354.95,1334.0,1339.35,73102716.65
2019-02-26,1337.5,1350.65,1320.0,1347.9,166476072.3
2019-02-27,1350.0,1365.8,1340.0,1351.4,121264584.0
2019-02-28,1351.45,1374.45,1348.05,1370.4,74121999.1
2019-03-01,1374.9,1416.0,1370.0,1410.7,194916355.8
2019-03-05,1418.0,1485.0,1417.0,1473.3,335890717.7
2019-03-06,1479.3,1524.0,1479.3,1503.65,432674026.3
2019-03-07,1506.0,1518.9,1488.0,1495.95,284875624.0
2019-03-08,1494.0,1494.0,1471.6,1488.4,148980354.6
2019-03-11,1497.9,1501.45,1490.75,1497.25,211054063.7
2019-03-12,1503.9,1523.9,1500.0,1508.4,215840530.2
2019-03-13,1506.9,1509.15,1497.35,1500.4,142898508.1
2019-03-14,1498.0,1512.0,1493.0,1507.8,131877803.4
2019-03-15,1515.0,1521.95,1502.0,1515.2,156786693.2
2019-03-18,1514.35,1520.95,1499.0,1501.05,109780982.8
2019-03-19,1500.2,1504.6,1487.0,1492.3,69695832.4
2019-03-20,1487.0,1492.35,1477.1,1480.6,95410236.55
2019-03-22,1481.0,1497.0,1479.0,1487.25,67728213.65
2019-03-25,1480.0,1480.0,1466.95,1469.85,79543612.1
2019-03-26,1470.0,1478.45,1466.0,1469.2,70040929.55
2019-03-27,1465.0,1538.0,1461.1,1497.15,267770659.3
2019-03-28,1496.9,1539.5,1490.2,1522.65,380158401.4
2019-03-29,1520.0,1542.6,1512.0,1533.9,183687493.4
2019-04-01,1538.0,1572.0,1535.05,1556.0,241791420.8
2019-04-02,1559.0,1579.6,1559.0,1569.0,148893078.9
2019-04-03,1572.5,1577.0,1555.15,1561.6,155648422.2
2019-04-04,1560.0,1567.9,1550.0,1558.1,65833551.9
2019-04-05,1558.1,1575.0,1544.85,1552.25,147857959.5
2019-04-08,1553.1,1560.9,1502.65,1525.3,212422801.3
2019-04-09,1533.0,1560.0,1515.0,1548.65,95682710.1
2019-04-10,1549.9,1558.15,1535.55,1539.8,52141658.4
2019-04-11,1524.1,1567.0,1520.0,1558.8,121780510.5
2019-04-12,1558.0,1587.0,1550.0,1578.4,139722158.7
2019-04-15,1588.5,1588.5,1579.6,1582.4,89292549.8
2019-04-16,1585.1,1587.0,1576.2,1580.3,56818414.35
2019-04-18,1571.1,1589.0,1531.5,1585.75,119159582.3
