date,open,high,low,close,volume
2018-01-01,1872.7,1880.75,1850.5,1854.5,3063622973.0
2018-01-02,1858.55,1875.0,1858.55,1872.35,2230859133.0
2018-01-03,1875.0,1878.25,1851.2,1852.65,2105921941.0
2018-01-04,1853.0,1865.5,1853.0,1859.9,1104125326.0
2018-01-05,1863.0,1868.05,1855.55,1863.6,1336816277.0
2018-01-08,1865.0,1870.7,1857.75,1860.6,2127331035.0
2018-01-09,1862.0,1869.85,1855.0,1863.7,2469224840.0
2018-01-10,1865.2,1867.9,1857.3,1864.2,2150540895.0
2018-01-11,1864.2,1876.0,1856.25,1872.55,1896296274.0
2018-01-12,1873.0,1878.15,1860.0,1865.3,2025876708.0
2018-01-15,1869.95,1904.4,1859.85,1897.75,5948565811.0
2018-01-16,1903.45,1910.0,1885.25,1900.15,3060951109.0
2018-01-17,1897.0,1902.55,1887.0,1890.5,1375065564.0
2018-01-18,1924.0,1954.0,1918.05,1934.3,8073993016.0
2018-01-19,1935.15,1959.9,1919.25,1952.2,5577473373.0
2018-01-22,1960.0,1988.0,1953.15,1963.35,4358108236.0
2018-01-23,1965.0,1966.7,1943.3,1951.3,2465611789.0
2018-01-24,1952.55,1969.0,1950.6,1957.65,2345001019.0
2018-01-25,1953.9,1980.0,1950.5,1974.95,4293844957.0
2018-01-29,1978.0,2006.95,1978.0,1999.65,4109064050.0
2018-01-30,1997.8,2001.9,1984.15,1995.5,3189237270.0
2018-01-31,1989.4,2013.5,1987.0,2005.7,3477096561.0
2018-02-01,2006.0,2015.0,1985.3,1991.15,3262488566.0
2018-02-02,1986.0,1989.9,1941.5,1948.0,3606812369.0
2018-02-05,1918.0,1935.25,1905.85,1913.85,3798409855.0
2018-02-06,1860.0,1912.0,1836.3,1896.8,5022468828.0
2018-02-07,1907.0,1907.0,1862.4,1872.8,3921971760.0
2018-02-08,1884.0,1898.6,1866.5,1880.95,2439953543.0
2018-02-09,1847.9,1864.7,1844.1,1849.5,2968965973.0
2018-02-12,1860.0,1886.0,1855.15,1876.65,2050832317.0
2018-02-14,1889.8,1897.9,1874.65,1883.15,1689825412.0
2018-02-15,1889.7,1894.75,1875.0,1881.9,2313293857.0
2018-02-16,1883.9,1894.85,1875.65,1878.6,1687649892.0
2018-02-19,1882.6,1887.6,1859.05,1878.2,1714398525.0
2018-02-20,1884.75,1885.85,1858.8,1863.2,1914810586.0
2018-02-21,1867.95,1868.55,1852.2,1857.4,1279377292.0
2018-02-22,1850.0,1860.0,1841.55,1853.2,6133748039.0
2018-02-23,1856.9,1884.85,1850.4,1880.55,1904887236.0
2018-02-26,1888.1,1914.8,1883.55,1911.55,2279631075.0
2018-02-27,1914.75,1921.75,1900.0,1902.55,2284446197.0
2018-02-28,1889.55,1895.45,1878.0,1884.2,1915043360.0
2018-03-01,1879.3,1893.3,1868.0,1874.35,1842102392.0
2018-03-05,1874.15,1878.0,1858.25,1869.95,1765625423.0
2018-03-06,1870.0,1879.9,1839.5,1846.25,2133448786.0
2018-03-07,1840.0,1853.4,1828.5,1832.6,2587784690.0
2018-03-08,1839.8,1858.5,1832.0,1852.85,2544714180.0
2018-03-09,1854.95,1865.25,1844.0,1851.05,1906219130.0
2018-03-12,1860.2,1869.45,1853.4,1867.25,3055594029.0
2018-03-13,1867.45,1884.75,1855.0,1860.25,2395869816.0
2018-03-14,1856.0,1867.9,1848.0,1864.5,1709311423.0
2018-03-15,1865.2,1887.5,1865.2,1880.8,2758155777.0
2018-03-16,1880.0,1881.1,1846.55,1853.0,3673949097.0
2018-03-19,1853.0,1860.0,1843.15,1847.25,3628898884.0
2018-03-20,1845.1,1855.9,1835.25,1839.5,1687115133.0
2018-03-21,1848.0,1863.2,1843.3,1858.9,2744280456.0
2018-03-22,1858.9,1880.0,1855.1,1867.75,3123149752.0
2018-03-23,1846.65,1853.1,1837.25,1841.55,3315060068.0
2018-03-26,1839.9,1900.0,1833.5,1893.45,4906054711.0
2018-03-27,1893.8,1899.0,1876.0,1892.6,2897382139.0
2018-03-28,1882.95,1899.7,1876.05,1886.1,4167862539.0
2018-04-02,1890.5,1935.75,1890.5,1931.2,2203201440.0
2018-04-03,1923.95,1925.7,1911.0,1915.9,1955306115.0
2018-04-04,1912.95,1924.95,1878.45,1883.25,1767257058.0
2018-04-05,1901.3,1914.0,1890.2,1908.9,2308652575.0
2018-04-06,1912.2,1926.45,1905.8,1923.4,1783068526.0
2018-04-09,1918.8,1942.0,1916.4,1939.05,1938008165.0
2018-04-10,1943.0,1943.0,1913.5,1920.85,2913693991.0
2018-04-11,1915.9,1920.0,1905.4,1918.85,1373553936.0
2018-04-12,1916.0,1932.9,1905.9,1928.8,2262325817.0
2018-04-13,1928.0,1940.0,1919.1,1925.0,1589255011.0
2018-04-16,1920.0,1950.0,1919.85,1942.1,1380367127.0
2018-04-17,1943.5,1951.0,1934.1,1948.5,1296845993.0
2018-04-18,1951.0,1953.5,1930.05,1932.6,1317640649.0
2018-04-19,1940.0,1944.8,1933.0,1939.0,1535448278.0
2018-04-20,1941.0,1961.0,1932.15,1955.9,4553789223.0
2018-04-23,1979.0,1979.0,1860.3,1935.75,7451481658.0
2018-04-24,1935.0,1948.05,1926.0,1935.0,2437572243.0
2018-04-25,1927.9,1938.0,1912.0,1920.75,1934175516.0
2018-04-26,1916.8,1939.2,1911.25,1930.25,3787241209.0
2018-04-27,1933.0,1935.5,1912.5,1923.4,2770792413.0
2018-04-30,1930.0,1954.8,1928.8,1944.3,2242199201.0
2018-05-02,1950.0,1978.0,1946.0,1969.5,3488178419.0
2018-05-03,1968.05,1974.9,1946.0,1967.9,2038207487.0
2018-05-04,1970.0,1990.0,1966.3,1988.5,3408176310.0
2018-05-07,1981.65,1987.3,1975.0,1977.4,2606904359.0
2018-05-08,1979.25,1979.9,1954.6,1967.05,3486935565.0
2018-05-09,1956.15,1980.5,1956.15,1978.4,2134957239.0
2018-05-10,1988.6,1999.0,1982.0,1992.7,3571274019.0
2018-05-11,1992.7,2017.0,1986.0,2011.75,3028118878.0
2018-05-14,2017.2,2027.4,2012.4,2021.75,2396569106.0
2018-05-15,2027.05,2065.0,2026.7,2037.8,5027645858.0
2018-05-16,2030.55,2049.0,2017.15,2023.35,3473886890.0
2018-05-17,2023.85,2044.45,2012.5,2027.75,3344316980.0
2018-05-18,2024.7,2024.7,2003.5,2012.15,2627602349.0
2018-05-21,2016.1,2021.0,1986.05,1993.05,2416479609.0
2018-05-22,1998.7,2013.95,1985.5,1989.9,1978165832.0
2018-05-23,1987.8,1994.0,1963.4,1967.5,2829907721.0
2018-05-24,1967.1,1990.25,1956.35,1986.0,2227221743.0
