date,open,high,low,close,volume
2018-01-01,401.35,410.0,395.0,400.35,40592315.3
2018-01-02,401.9,404.15,388.85,394.8,76421078.95
2018-01-03,396.9,398.75,393.0,395.95,23799577.4
2018-01-04,396.05,399.9,391.8,394.35,20754365.75
2018-01-05,390.3,404.0,390.3,398.45,80338692.9
2018-01-08,397.3,411.9,394.0,407.7,73121460.6
2018-01-09,410.0,443.8,401.25,418.4,266505810.1
2018-01-10,416.0,431.8,410.0,415.0,86353975.0
2018-01-11,412.0,425.0,412.0,418.4,41768862.55
2018-01-12,418.6,421.95,410.05,415.1,34810312.8
2018-01-15,415.1,417.8,407.0,411.9,34759577.7
2018-01-16,410.05,414.3,395.0,402.0,55614416.3
2018-01-17,395.2,404.95,392.0,401.4,30608166.1
2018-01-18,402.0,408.5,395.0,397.6,24490980.2
2018-01-19,400.0,401.9,389.1,391.7,50117229.75
2018-01-22,392.0,399.2,390.0,390.85,17304696.3
2018-01-23,390.85,395.95,389.0,389.9,27615491.6
2018-01-24,388.0,390.4,371.0,372.3,66139275.85
2018-01-25,374.4,381.5,370.5,376.85,23833016.95
2018-01-29,375.0,377.25,362.0,364.7,35566969.4
2018-01-30,364.5,369.0,345.55,351.65,35268270.0
2018-01-31,345.2,364.65,345.2,350.9,88234656.05
2018-02-01,353.0,356.9,344.0,346.9,25063127.2
2018-02-02,340.0,344.4,331.0,334.75,53340963.3
2018-02-05,333.0,339.9,322.55,330.85,36043647.95
2018-02-06,316.0,339.85,313.1,335.85,23743841.1
2018-02-07,338.1,357.9,338.1,352.95,40696113.4
2018-02-08,354.0,366.2,353.9,364.1,24933933.0
2018-02-09,358.0,365.9,350.0,364.15,17377244.7
2018-02-12,365.4,369.0,357.05,364.85,20968237.0
2018-02-14,366.85,367.3,360.0,364.9,36157917.65
2018-02-15,365.0,367.8,362.0,364.5,49362546.3
2018-02-16,365.0,367.05,358.1,361.05,8248487.1
2018-02-19,366.75,366.75,345.0,349.4,19525213.95
2018-02-20,350.8,360.5,346.25,356.6,16221017.6
2018-02-21,359.0,359.0,350.3,353.75,12992530.7
2018-02-22,354.8,354.9,349.5,352.4,6646231.45
2018-02-23,350.3,355.25,347.75,354.8,19834524.35
2018-02-26,357.0,363.7,351.95,356.95,28868373.3
2018-02-27,359.25,361.8,351.0,354.3,59386546.2
2018-02-28,354.9,354.95,350.1,351.55,11766255.25
2018-03-01,350.05,352.75,346.7,350.0,26621362.7
2018-03-05,352.25,352.25,343.15,347.9,5905897.3
2018-03-06,348.0,351.25,344.25,346.5,9993878.45
2018-03-07,345.05,347.8,327.6,333.05,63302731.35
2018-03-08,333.9,337.4,322.1,329.4,55633797.05
2018-03-09,335.0,337.9,328.15,334.25,12060779.2
2018-03-12,335.0,336.85,330.0,331.6,11095218.85
2018-03-13,328.5,349.0,328.5,346.65,10308302.75
2018-03-14,340.0,345.95,336.75,341.0,9415612.7
2018-03-15,342.0,355.0,338.3,345.65,11865364.6
2018-03-16,348.35,348.35,341.5,344.7,10547457.05
2018-03-19,347.0,347.6,332.9,338.8,8192172.05
2018-03-20,333.0,343.95,330.35,340.0,12293865.15
2018-03-21,340.15,345.95,336.2,338.65,15331465.1
2018-03-22,342.9,347.9,337.0,345.05,16534779.35
2018-03-23,333.0,343.7,332.1,340.25,11557974.35
2018-03-26,335.0,343.0,333.0,337.7,19678126.25
2018-03-27,341.0,345.75,338.2,343.85,8864196.05
2018-03-28,344.95,357.0,338.15,349.45,23995685.85
2018-04-02,348.75,357.0,343.3,355.1,41743921.85
2018-04-03,350.0,362.0,350.0,359.9,7578638.15
2018-04-04,358.0,365.0,355.55,360.65,42847149.55
2018-04-05,363.1,370.65,361.0,369.8,13785759.35
2018-04-06,370.6,375.35,366.9,374.0,16853972.5
2018-04-09,375.0,382.5,371.05,379.8,13012535.5
2018-04-10,379.95,396.8,378.95,392.1,162668831.7
2018-04-11,392.95,397.0,384.0,395.6,44977968.35
2018-04-12,395.7,398.0,388.75,392.65,67449319.65
2018-04-13,386.75,397.9,386.0,394.4,14736525.6
2018-04-16,394.5,397.05,386.0,395.7,14275235.3
2018-04-17,394.95,400.0,389.05,391.95,169642580.6
2018-04-18,391.9,399.9,389.65,391.9,17821814.45
