date,open,high,low,close,volume
2018-01-01,273.0,277.9,270.0,271.15,1258495905.0
2018-01-02,274.4,274.4,268.1,271.9,1232998660.0
2018-01-03,273.4,279.35,273.1,276.5,2015671987.0
2018-01-04,277.1,281.3,274.8,279.8,2886207302.0
2018-01-05,282.0,284.0,275.1,276.4,1978192641.0
2018-01-08,277.0,279.05,273.7,276.15,1146531480.0
2018-01-09,277.55,277.55,270.65,271.5,1415358887.0
2018-01-10,272.8,276.5,266.6,268.8,2022211171.0
2018-01-11,268.8,271.15,266.8,267.75,1746733965.0
2018-01-12,269.0,271.6,266.65,268.85,1193302915.0
2018-01-15,270.2,274.65,265.8,266.7,1778441671.0
2018-01-16,267.8,268.0,259.7,260.55,2215449335.0
2018-01-17,260.3,265.25,256.45,262.75,2874613764.0
2018-01-18,263.7,263.7,252.1,253.9,2901917631.0
2018-01-19,254.0,259.35,252.2,258.0,1504533431.0
2018-01-22,258.0,258.8,251.1,255.1,1581283112.0
2018-01-23,256.1,270.7,256.1,264.95,4633823173.0
2018-01-24,263.55,264.4,256.8,258.7,1663785606.0
2018-01-25,259.3,266.85,256.4,258.95,3972219231.0
2018-01-29,261.6,263.9,253.4,258.6,1553237649.0
2018-01-30,257.75,258.0,252.55,253.55,1347704721.0
2018-01-31,253.4,263.2,252.0,256.15,4521724082.0
2018-02-01,257.8,259.5,248.75,256.25,2280441617.0
2018-02-02,256.45,261.65,245.75,249.85,5479362602.0
2018-02-05,242.5,249.4,240.25,246.6,2073369249.0
2018-02-06,236.0,248.5,232.5,244.4,2515681888.0
2018-02-07,245.0,253.0,244.1,246.0,3413428900.0
2018-02-08,245.6,249.35,240.5,245.2,2490719188.0
2018-02-09,240.0,245.5,237.35,243.5,1704885614.0
2018-02-12,247.0,247.65,242.0,243.25,1354571128.0
2018-02-14,246.3,246.55,241.75,243.25,1735778059.0
2018-02-15,245.5,254.25,244.0,251.5,2523582831.0
2018-02-16,255.5,256.95,246.4,247.65,1917889287.0
2018-02-19,248.1,250.5,242.6,247.55,1488842706.0
2018-02-20,247.8,252.4,246.8,248.8,1192216389.0
2018-02-21,250.5,250.8,238.75,240.65,2866511858.0
2018-02-22,238.5,241.0,233.85,239.9,3126121472.0
2018-02-23,241.5,247.45,240.05,246.55,1691331285.0
2018-02-26,246.55,251.45,244.6,246.2,1619349332.0
2018-02-27,248.65,249.9,243.35,244.3,1182947695.0
2018-02-28,240.75,246.65,238.65,245.4,2129526103.0
2018-03-01,243.4,247.0,239.0,240.8,1399538997.0
2018-03-05,236.0,236.0,228.2,229.6,2865071001.0
2018-03-06,231.0,235.1,224.15,225.85,2869001285.0
2018-03-07,222.0,225.3,219.1,224.45,3104308311.0
2018-03-08,226.5,227.5,217.7,222.7,1714237868.0
2018-03-09,224.7,226.15,219.35,220.2,2980001788.0
2018-03-12,220.05,228.6,217.4,227.65,2128092946.0
2018-03-13,225.0,227.95,222.5,226.15,2256913143.0
2018-03-14,223.5,227.9,221.7,226.7,1433656298.0
2018-03-15,226.0,227.1,223.0,224.9,1512552002.0
2018-03-16,224.0,227.3,220.15,221.7,1740026406.0
2018-03-19,222.7,223.9,212.0,214.55,1462566465.0
2018-03-20,211.0,218.8,210.3,217.3,2072763534.0
2018-03-21,219.0,219.85,213.3,214.7,1907371683.0
2018-03-22,215.7,219.2,212.6,216.8,1808046452.0
2018-03-23,209.0,210.7,204.3,206.1,2654954946.0
2018-03-26,205.35,211.5,202.6,210.55,2101191762.0
2018-03-27,212.9,219.3,210.15,218.5,3353135013.0
2018-03-28,216.5,216.5,212.3,214.55,2972259891.0
2018-04-02,216.55,216.8,210.1,211.25,1727871370.0
2018-04-03,210.0,211.7,204.45,207.95,3761537099.0
2018-04-04,208.0,210.1,200.0,200.8,3635947702.0
2018-04-05,206.7,214.95,206.15,214.15,5113098236.0
2018-04-06,210.05,215.95,210.05,214.0,3200518808.0
2018-04-09,214.65,223.5,214.65,221.35,4066137681.0
2018-04-10,230.0,232.85,228.5,230.0,6337908160.0
2018-04-11,235.0,236.5,231.1,234.2,4397996467.0
2018-04-12,233.95,235.6,231.05,232.6,2731582393.0
2018-04-13,235.0,238.5,234.6,237.8,3973710563.0
2018-04-16,237.2,240.7,235.55,239.45,2219124662.0
2018-04-17,241.5,246.8,238.0,239.4,3992833106.0
2018-04-18,239.7,244.75,236.05,242.8,5566600536.0
2018-04-19,250.0,267.8,249.1,264.75,9591737802.0
2018-04-20,255.95,263.5,254.25,262.1,6035272434.0
2018-04-23,263.0,264.95,254.3,255.6,2475477456.0
2018-04-24,239.0,239.0,231.1,236.75,8253880300.0
2018-04-25,234.75,236.4,230.1,232.05,2444709899.0
2018-04-26,233.25,238.7,231.45,234.0,3864387864.0
2018-04-27,236.75,237.95,234.0,234.95,2163430698.0
2018-04-30,236.2,238.35,232.35,235.65,1385410448.0
2018-05-02,235.0,235.75,226.2,228.05,2027330123.0
2018-05-03,229.05,234.5,227.6,231.55,2368196701.0
2018-05-04,231.4,232.8,227.05,231.35,1816140447.0
2018-05-07,234.25,239.15,232.4,237.85,1839254758.0
2018-05-08,237.8,239.85,232.8,238.7,2055962479.0
2018-05-09,241.3,248.35,236.85,238.15,4523444482.0
2018-05-10,240.25,242.9,236.8,241.3,2023001280.0
2018-05-11,242.0,243.3,238.6,242.7,1506695020.0
2018-05-14,243.2,244.7,239.75,242.1,1651147025.0
2018-05-15,241.4,248.25,239.7,243.9,1824107192.0
2018-05-16,243.25,247.6,237.0,239.75,4184205632.0
2018-05-17,240.0,240.8,228.6,233.05,4008896184.0
2018-05-18,232.05,235.45,230.6,231.5,1705808699.0
2018-05-21,232.25,234.0,224.35,228.25,1859907019.0
2018-05-22,229.0,236.2,225.15,234.95,2144846617.0
2018-05-23,234.0,234.9,228.8,229.95,2084026085.0
2018-05-24,231.0,235.65,227.15,234.1,2139800557.0
2018-05-25,235.0,247.25,234.55,245.5,3677095184.0
2018-05-28,247.0,247.7,240.75,241.65,1437264957.0
2018-05-29,240.0,244.9,239.4,242.5,1650887835.0
2018-05-30,239.95,240.25,235.55,238.1,1857984205.0
2018-05-31,239.3,239.9,233.0,234.2,2107110969.0
2018-06-01,233.8,239.5,231.05,238.5,1731409065.0
2018-06-04,240.0,242.85,237.7,241.6,1933208715.0
2018-06-05,240.2,243.2,237.7,242.05,1320029398.0
2018-06-06,242.5,249.55,241.5,248.1,1582012564.0
2018-06-07,252.0,255.5,247.45,248.6,3231879822.0
2018-06-08,245.65,247.15,240.55,242.15,1662014970.0
2018-06-11,242.05,245.65,241.85,244.7,1268500225.0
2018-06-12,244.7,245.9,238.7,240.65,1127239775.0
2018-06-13,240.7,247.2,239.65,245.0,1459064689.0
2018-06-14,245.0,249.5,243.3,244.75,1673002559.0
2018-06-15,245.0,245.1,235.55,237.4,1622395433.0
2018-06-18,235.0,235.0,229.0,231.0,1579326397.0
2018-06-19,229.0,232.2,221.85,225.8,2293359113.0
2018-06-20,226.0,229.75,224.05,226.2,1641485061.0
2018-06-21,228.3,228.3,221.5,222.3,1353777316.0
2018-06-22,222.05,222.75,218.7,222.0,2165205419.0
2018-06-25,221.05,227.25,217.8,218.4,2074066845.0
2018-06-26,218.5,223.7,216.8,222.95,1876354378.0
2018-06-27,223.25,223.7,216.9,217.9,1511504649.0
2018-06-28,218.0,222.6,216.15,221.05,2288637734.0
2018-06-29,222.8,232.0,221.55,230.5,2391846225.0
2018-07-02,231.0,231.1,218.85,223.25,2041138690.0
2018-07-03,223.5,227.45,220.7,226.1,1797799140.0
2018-07-04,225.8,225.8,220.1,224.1,1169962529.0
2018-07-05,223.8,223.9,219.3,220.3,1054169133.0
2018-07-06,219.4,226.35,214.55,220.45,1959351088.0
2018-07-09,223.0,225.85,221.5,222.05,1153159908.0
2018-07-10,224.25,230.05,224.05,229.05,2629542890.0
