date,open,high,low,close,volume
2018-01-01,82.7,83.9,82.45,82.8,236133128.0
2018-01-02,82.85,83.1,80.75,82.0,203911219.9
2018-01-03,82.35,85.15,82.1,83.35,530168528.2
2018-01-04,83.75,84.7,82.75,84.2,340970421.1
2018-01-05,84.45,84.85,83.3,83.9,252776698.0
2018-01-08,84.15,85.55,83.7,84.6,305769717.4
2018-01-09,84.95,85.45,84.0,84.85,275039547.6
2018-01-10,85.4,89.4,85.2,87.1,1135870609.0
2018-01-11,87.2,87.5,85.55,86.35,279005675.9
2018-01-12,86.75,86.9,84.15,85.05,218870984.7
2018-01-15,85.5,86.5,84.75,85.0,143706276.2
2018-01-16,85.1,85.4,82.75,83.15,263847623.8
2018-01-17,83.35,84.25,81.05,83.9,199162535.1
2018-01-18,84.25,84.45,81.85,82.25,153480967.4
2018-01-19,82.5,83.75,81.7,83.5,135076707.5
2018-01-22,83.05,84.8,82.6,84.3,120145772.8
2018-01-23,84.6,85.35,83.05,83.75,214576622.3
2018-01-24,83.4,84.0,81.2,82.85,144711580.8
2018-01-25,83.55,83.55,82.0,82.2,87057245.4
2018-01-29,82.5,82.95,82.0,82.55,79260984.4
2018-01-30,82.6,82.7,81.1,81.3,79337922.75
2018-01-31,81.3,82.65,81.0,82.25,189412018.9
2018-02-01,82.25,84.35,81.9,83.1,364199839.6
2018-02-02,81.8,82.0,78.1,79.4,294745740.3
2018-02-05,77.9,80.5,76.6,80.15,227283026.6
2018-02-06,75.0,77.4,73.8,76.85,285768670.5
2018-02-07,77.75,78.9,76.85,78.05,212461026.7
2018-02-08,78.5,79.5,78.05,79.25,203642889.2
2018-02-09,77.4,80.3,77.1,80.0,144207733.5
2018-02-12,80.1,82.5,80.1,82.05,214670096.5
2018-02-14,82.45,82.8,81.0,81.75,148996054.4
2018-02-15,81.7,82.5,81.3,82.1,139794333.1
2018-02-16,82.2,84.1,81.0,83.75,281587760.6
2018-02-19,83.3,83.3,80.0,80.65,102000090.3
2018-02-20,80.85,81.7,80.05,80.25,77110455.6
2018-02-21,80.85,80.9,78.85,79.1,69302721.95
2018-02-22,78.95,79.65,78.25,78.4,53791387.35
2018-02-23,79.0,79.8,78.1,78.8,88294885.95
2018-02-26,79.6,79.75,79.05,79.15,76931022.4
2018-02-27,79.7,79.75,77.0,77.4,106488647.5
2018-02-28,77.0,77.7,76.55,77.0,64023575.2
2018-03-01,77.0,77.45,76.05,76.15,87940302.5
2018-03-05,76.05,76.45,74.65,75.05,72151473.75
2018-03-06,75.5,76.1,73.55,73.9,533879230.6
2018-03-07,73.85,73.85,72.1,72.2,87085240.5
2018-03-08,72.55,72.75,70.3,71.5,74735214.0
2018-03-09,71.25,71.9,70.3,70.5,65237275.1
2018-03-12,71.0,71.4,69.5,69.95,74735290.4
2018-03-13,70.25,71.9,69.95,70.8,84364139.7
2018-03-14,70.8,71.25,69.75,69.95,70866405.55
2018-03-15,70.0,71.25,69.5,70.75,96445933.0
2018-03-16,70.9,71.15,69.7,69.9,85687309.1
2018-03-19,69.9,70.25,67.7,67.9,76056849.95
2018-03-20,67.6,68.35,66.75,66.9,78728501.15
2018-03-21,67.2,68.6,67.2,67.35,64954504.0
2018-03-22,67.3,68.15,66.85,67.15,76975924.05
2018-03-23,66.25,66.25,65.05,65.7,108365567.0
2018-03-26,65.5,66.3,64.5,65.9,119113665.1
2018-03-27,66.35,67.6,66.35,67.0,71186450.5
2018-03-28,67.0,68.05,65.75,66.3,97349972.05
2018-04-02,67.45,68.9,67.05,68.2,63610754.45
2018-04-03,67.7,71.0,67.55,70.8,116214727.0
2018-04-04,71.0,72.25,68.8,69.4,116859407.0
2018-04-05,70.9,71.4,70.25,70.95,77207705.15
2018-04-06,70.4,71.2,69.6,70.4,66560726.05
2018-04-09,70.8,72.2,69.85,71.35,93128924.3
2018-04-10,71.5,71.8,70.65,70.9,57939609.35
2018-04-11,70.95,71.1,70.0,70.4,43218067.65
2018-04-12,70.3,71.15,69.65,70.2,56199802.65
2018-04-13,70.5,70.8,69.1,69.4,75392936.45
2018-04-16,69.0,69.2,68.2,68.9,67743468.7
2018-04-17,69.2,69.3,68.35,68.5,48732546.65
2018-04-18,68.85,68.85,67.55,67.85,83511054.35
2018-04-19,68.05,68.3,67.35,67.55,51803988.45
2018-04-20,67.5,68.7,67.0,67.9,61154218.35
2018-04-23,67.95,67.95,66.7,66.95,65314260.3
2018-04-24,67.3,67.6,66.6,66.8,58655121.85
2018-04-25,66.75,68.4,66.35,66.7,97402030.05
2018-04-26,66.7,67.2,66.05,66.35,51582956.2
2018-04-27,66.8,66.8,65.5,65.95,70208929.1
2018-04-30,66.05,67.15,65.55,65.65,62063611.3
2018-05-02,65.75,65.75,64.75,65.15,55899484.5
2018-05-03,65.15,65.5,63.7,63.95,68730472.5
2018-05-04,64.0,64.25,62.75,62.9,74000093.6
2018-05-07,63.5,63.5,61.2,61.75,96787742.85
2018-05-08,62.1,62.9,60.8,60.9,95828507.4
2018-05-09,61.5,61.5,60.4,60.65,86007201.45
2018-05-10,60.8,61.0,59.6,60.25,83861180.85
2018-05-11,60.45,60.6,58.05,59.05,113214388.0
2018-05-14,59.0,59.0,56.8,57.75,119921436.4
2018-05-15,57.55,58.6,55.8,57.25,148460066.0
2018-05-16,56.95,57.1,54.6,55.4,147516421.2
2018-05-17,55.4,59.9,55.1,58.7,310767339.3
2018-05-18,58.75,59.4,57.1,57.4,82211395.8
2018-05-21,57.8,57.8,55.3,55.6,52934921.05
2018-05-22,56.0,56.5,55.0,55.95,52579141.7
2018-05-23,55.65,57.35,55.65,56.0,43156311.0
2018-05-24,56.3,58.3,56.25,57.2,72222832.3
2018-05-25,57.2,58.4,57.2,57.65,40656079.15
2018-05-28,57.85,59.8,57.7,59.3,80838387.75
2018-05-29,60.15,62.85,59.95,61.0,227448552.7
2018-05-30,60.5,62.6,60.2,61.3,85856401.45
2018-05-31,62.2,62.75,59.2,59.6,89090029.35
2018-06-01,59.15,59.7,57.0,57.75,50653406.05
2018-06-04,58.25,58.35,55.85,56.25,49470364.65
2018-06-05,56.05,56.15,54.85,55.55,48568591.05
2018-06-06,55.7,56.75,54.9,56.3,50556381.0
2018-06-07,56.3,57.6,56.3,57.2,43880545.2
2018-06-08,57.0,57.45,56.35,57.15,41312178.7
2018-06-11,57.55,58.15,57.2,57.4,30339821.7
2018-06-12,57.5,59.9,56.8,58.85,76901430.1
2018-06-13,61.25,64.35,61.1,62.75,577959559.1
2018-06-14,62.45,62.45,60.95,61.45,87636408.1
2018-06-15,61.3,62.45,60.3,60.85,76029660.0
2018-06-18,60.75,61.0,59.1,59.3,37857350.35
2018-06-19,59.3,61.65,58.8,59.65,84127294.65
2018-06-20,59.95,60.65,59.05,59.4,43623724.2
2018-06-21,59.65,59.8,58.15,58.45,39689199.35
2018-06-22,58.4,59.35,57.4,58.4,51315606.95
2018-06-25,58.15,58.95,57.6,57.9,31164888.0
2018-06-26,57.6,58.1,56.5,57.0,43930990.1
2018-06-27,57.0,57.15,55.0,55.4,49271865.55
2018-06-28,55.5,56.1,54.25,55.55,54135828.8
2018-06-29,56.0,56.95,56.0,56.45,31298231.9
2018-07-02,57.0,57.0,55.3,55.5,24643629.5
2018-07-03,55.5,55.6,54.85,55.2,24354227.85
2018-07-04,55.2,55.2,53.05,54.45,34703555.0
2018-07-05,54.8,55.2,54.15,54.5,27908557.4
2018-07-06,54.6,56.2,54.2,55.2,37304448.35
2018-07-09,55.5,56.25,55.25,55.75,27697642.75
2018-07-10,56.0,57.5,55.95,56.6,39448317.3
2018-07-11,56.1,57.3,55.55,55.95,32966564.7
2018-07-12,56.05,56.5,55.1,55.2,33016497.25
2018-07-13,55.55,55.6,54.2,54.35,28283427.25
2018-07-16,54.05,54.5,52.75,52.9,35983201.6
2018-07-17,52.55,53.15,52.2,52.8,39594733.15
2018-07-18,53.4,53.7,52.1,52.35,28417291.55
2018-07-19,52.7,53.5,52.1,52.35,66409508.35
2018-07-20,52.15,52.15,51.0,51.15,42323634.2
2018-07-23,51.5,51.9,51.15,51.6,28997540.15
2018-07-24,51.6,54.25,51.45,53.8,85304719.9
2018-07-25,53.35,54.2,52.85,53.1,33753427.95
2018-07-26,53.05,53.7,52.7,52.9,27789223.35
2018-07-27,53.15,53.75,52.95,53.4,38512080.3
2018-07-30,53.2,55.6,53.2,54.95,78455438.45
2018-07-31,54.95,56.9,54.45,56.1,92731271.3
2018-08-01,56.1,56.75,55.2,55.8,35170248.7
2018-08-02,55.8,55.9,55.0,55.15,29386358.5
2018-08-03,55.5,57.1,55.4,56.3,56605535.15
2018-08-06,56.7,57.0,56.25,56.35,37707549.6
2018-08-07,56.35,58.8,56.35,57.2,146189293.7
2018-08-08,57.05,57.5,55.3,55.6,33188706.65
2018-08-09,55.8,56.5,55.6,55.95,29848972.9
2018-08-10,56.15,56.55,55.25,55.6,38592824.95
2018-08-13,55.2,55.3,54.25,54.6,23631981.05
2018-08-14,55.0,55.6,54.65,54.85,25964497.25
2018-08-16,54.6,55.2,54.4,54.6,25939910.15
2018-08-17,54.95,55.8,54.8,55.25,48037333.35
2018-08-20,55.4,55.6,55.0,55.15,32551234.2
2018-08-21,55.2,55.7,55.0,55.05,33255127.75
2018-08-23,54.5,55.3,54.1,54.35,37020410.5
2018-08-24,54.45,55.95,54.05,55.3,46311233.85
2018-08-27,55.85,56.7,55.35,56.0,50239839.45
2018-08-28,56.1,56.8,54.85,55.3,40828146.65
2018-08-29,55.3,56.7,55.05,55.75,47373972.6
2018-08-30,55.25,56.25,55.25,55.7,25212178.3
2018-08-31,55.55,55.85,55.2,55.3,28431774.4
2018-09-03,56.0,58.2,55.3,57.1,166184623.1
2018-09-04,57.35,58.4,55.7,56.15,70056334.0
2018-09-05,56.1,57.0,55.05,55.7,50412433.15
2018-09-06,62.6,63.0,59.2,59.65,801469698.7
2018-09-07,59.5,59.65,58.1,58.45,124533876.5
2018-09-10,57.9,59.25,57.9,58.35,91674531.3
2018-09-11,58.3,59.15,56.05,56.75,74974632.3
2018-09-12,56.9,57.2,55.25,55.9,58350530.1
2018-09-14,56.05,56.95,56.05,56.55,43105048.4
2018-09-17,56.0,57.25,55.7,56.4,50225982.1
2018-09-18,56.65,57.3,55.4,55.6,75027628.15
2018-09-19,55.8,56.7,55.05,55.2,38254194.95
2018-09-21,55.6,55.75,50.5,54.4,149350940.2
2018-09-24,54.4,54.4,51.0,51.4,59381812.4
2018-09-25,51.1,51.8,50.1,50.9,54553000.55
2018-09-26,51.45,51.6,50.55,51.05,30528038.35
2018-09-27,51.3,51.3,48.85,49.3,57389776.2
2018-09-28,49.4,49.65,45.5,46.15,73989354.1
2018-10-01,46.15,46.55,43.8,44.0,119361134.5
2018-10-03,44.0,45.35,43.5,44.35,94711729.4
2018-10-04,44.0,45.0,43.25,44.6,47719733.75
2018-10-05,44.3,44.6,43.45,43.8,44159891.6
2018-10-08,43.6,43.75,42.15,42.5,34697702.0
2018-10-09,42.8,42.8,41.6,42.1,39874534.8
2018-10-10,42.4,43.8,41.9,42.05,88842977.75
2018-10-11,40.45,41.65,40.05,41.15,51744372.95
2018-10-12,41.45,43.2,41.45,42.7,55206809.05
2018-10-15,42.95,43.9,42.45,43.5,35425604.15
2018-10-16,43.75,44.7,43.35,44.1,42448147.95
2018-10-17,44.8,44.8,42.7,42.9,32474977.25
2018-10-19,42.1,42.75,41.8,42.2,21735690.1
2018-10-22,42.4,42.65,41.45,41.55,27646438.25
2018-10-23,41.1,41.75,41.0,41.15,16165456.05
2018-10-24,41.5,41.8,41.0,41.25,18933904.2
2018-10-25,40.95,41.2,40.6,40.95,13790988.05
2018-10-26,41.25,41.25,40.5,40.8,22690349.05
2018-10-29,41.0,42.0,40.55,41.85,23850142.35
2018-10-30,41.55,43.9,41.45,43.15,48483587.95
2018-10-31,43.45,43.75,42.55,43.5,25576541.2
2018-11-01,43.8,44.4,43.6,43.95,33072368.9
2018-11-02,44.4,46.4,44.1,44.9,64729907.85
2018-11-05,45.1,45.1,44.1,44.65,24520027.4
2018-11-06,45.2,45.4,44.15,44.6,22066491.15
2018-11-07,45.4,45.5,44.55,45.35,13368448.45
2018-11-09,45.5,46.45,45.0,46.05,27698437.55
2018-11-12,46.15,46.7,44.55,44.7,28971808.05
2018-11-13,44.3,45.0,44.2,44.6,20700726.1
2018-11-14,44.9,45.4,44.4,44.85,20565752.75
2018-11-15,45.2,45.2,44.2,44.45,13002924.05
2018-11-16,44.75,44.75,43.9,44.15,12787127.25
2018-11-19,44.4,45.05,44.1,44.85,22589585.7
2018-11-20,44.8,45.15,44.1,44.3,19857643.65
2018-11-21,44.55,44.55,43.9,44.2,21451756.2
2018-11-22,44.4,44.75,43.9,44.0,26723350.8
2018-11-26,44.3,46.25,44.3,45.85,159754409.8
2018-11-27,45.9,45.95,44.0,44.15,44130185.75
2018-11-28,44.0,44.4,43.0,43.2,36504238.95
