date,open,high,low,close,volume
2018-01-01,224.0,226.8,217.65,219.2,716957054.6
2018-01-02,220.15,222.25,212.6,215.5,1277595320.0
2018-01-03,216.5,219.75,214.1,216.0,949853721.0
2018-01-04,217.1,221.25,214.0,219.25,953298102.8
2018-01-05,221.0,224.95,220.0,221.25,1083965479.0
2018-01-08,222.4,232.4,219.1,229.25,2950039290.0
2018-01-09,229.6,240.0,229.6,235.85,4079194278.0
2018-01-10,237.75,249.4,236.0,247.1,5482556399.0
2018-01-11,248.8,257.6,246.45,255.65,4759912930.0
2018-01-12,259.75,263.4,248.0,253.6,4636903442.0
2018-01-15,255.15,261.0,255.1,256.6,1797851010.0
2018-01-16,257.0,258.75,238.5,241.85,2350164866.0
2018-01-17,242.7,243.5,230.0,240.75,1943604371.0
2018-01-18,242.1,247.7,228.0,230.2,1439864234.0
2018-01-19,230.5,242.9,228.1,241.4,1272268534.0
2018-01-22,243.6,245.8,241.0,243.3,787251008.3
2018-01-23,244.65,245.5,236.6,239.75,828318153.0
2018-01-24,242.5,246.65,233.1,235.55,1983512573.0
2018-01-25,236.0,236.75,229.4,231.25,860020151.9
2018-01-29,232.75,233.85,223.5,225.2,832773423.3
2018-01-30,224.2,227.15,215.25,216.45,1306505682.0
2018-01-31,215.15,227.5,214.0,215.7,1685319085.0
2018-02-01,217.0,221.8,207.65,208.9,1729414550.0
2018-02-02,205.05,209.95,185.6,193.4,2109415674.0
2018-02-05,188.0,206.25,180.15,202.7,2059512057.0
2018-02-06,186.0,199.95,183.95,195.9,1787229594.0
2018-02-07,200.0,204.95,196.1,201.1,1107378222.0
2018-02-08,204.8,214.9,202.65,212.7,2599785655.0
2018-02-09,205.0,232.9,205.0,227.6,5316662733.0
2018-02-12,234.1,240.0,233.0,234.65,2749856852.0
2018-02-14,236.5,246.4,233.65,236.05,3284178856.0
2018-02-15,231.0,234.4,225.0,227.35,1572489135.0
2018-02-16,230.8,234.25,215.2,221.9,2065173723.0
2018-02-19,223.3,223.7,212.1,214.05,1417671707.0
2018-02-20,214.65,221.0,210.55,217.8,2129220667.0
2018-02-21,220.0,223.0,214.1,217.1,1845010910.0
2018-02-22,214.4,226.5,211.45,221.45,2807516852.0
2018-02-23,222.5,224.7,220.5,221.7,771541206.0
2018-02-26,222.9,225.4,217.5,220.35,795873564.3
2018-02-27,220.95,222.75,217.2,219.5,1287649671.0
2018-02-28,217.0,217.9,214.5,215.35,657541076.0
2018-03-01,214.9,218.65,210.75,212.1,705778338.5
2018-03-05,211.7,212.75,202.0,203.1,1290450955.0
2018-03-06,205.0,208.3,192.75,195.85,1312644303.0
2018-03-07,194.0,200.7,194.0,197.25,1480063263.0
2018-03-08,199.75,203.3,194.6,199.05,1034065584.0
2018-03-09,199.9,203.9,197.1,200.7,1117642738.0
2018-03-12,203.55,204.75,202.0,203.7,973163813.3
2018-03-13,202.1,210.9,201.5,207.5,1620755718.0
2018-03-14,205.0,211.5,205.0,209.05,837984896.2
2018-03-15,208.0,215.85,208.0,209.3,1327512277.0
2018-03-16,210.1,212.35,203.75,204.65,841646572.2
2018-03-19,206.0,206.75,196.25,197.85,747618938.1
2018-03-20,195.75,203.5,195.75,199.45,910906776.3
2018-03-21,201.9,212.25,201.55,204.3,1880650643.0
2018-03-22,205.3,206.95,198.7,200.65,1184831698.0
2018-03-23,194.7,198.4,188.3,192.45,1297139638.0
2018-03-26,197.95,199.8,185.25,187.8,2018963498.0
2018-03-27,190.0,193.75,187.5,188.8,1488093329.0
2018-03-28,187.0,188.0,170.3,181.45,2268192008.0
2018-04-02,181.5,185.0,178.5,179.75,771370747.9
2018-04-03,178.75,180.75,172.6,176.1,833433978.0
2018-04-04,177.3,187.5,177.0,180.65,2299607297.0
2018-04-05,184.1,191.3,183.0,189.5,1693366328.0
2018-04-06,190.4,192.8,187.0,190.25,1352678254.0
2018-04-09,190.0,192.15,186.5,188.2,1080598796.0
2018-04-10,189.25,189.8,184.1,185.0,742415263.3
2018-04-11,186.0,186.9,181.1,182.15,648626442.3
2018-04-12,181.0,181.0,174.25,176.7,1592295702.0
2018-04-13,178.0,183.05,177.1,180.75,994333987.1
2018-04-16,179.3,197.0,178.15,191.75,3926426540.0
2018-04-17,192.75,200.0,192.5,194.75,2835846671.0
2018-04-18,196.0,204.8,194.2,202.55,2957710648.0
2018-04-19,203.5,204.6,197.9,200.55,1143467268.0
2018-04-20,199.0,200.4,194.5,195.35,712281508.9
2018-04-23,195.45,199.85,192.75,193.7,846699359.6
2018-04-24,194.4,198.5,194.3,196.95,944274340.6
2018-04-25,196.9,207.95,196.0,205.1,3372429059.0
2018-04-26,216.0,224.0,202.0,203.85,7460208060.0
2018-04-27,205.3,207.45,198.2,199.3,1214296422.0
2018-04-30,201.0,217.85,197.0,215.2,3624514018.0
2018-05-02,216.55,221.5,207.55,212.0,2560728538.0
2018-05-03,211.9,212.8,202.7,205.5,1218582641.0
2018-05-04,207.55,214.2,205.3,206.8,1734528981.0
2018-05-07,207.85,212.0,206.35,208.2,841736115.6
2018-05-08,209.15,211.95,205.8,209.5,1132884968.0
2018-05-09,209.1,210.5,203.9,204.6,975328386.0
2018-05-10,205.3,206.9,197.5,198.9,939328109.7
2018-05-11,200.0,201.4,193.1,196.35,749684259.7
2018-05-14,195.95,197.6,185.1,196.25,1540378038.0
2018-05-15,193.0,195.8,183.95,185.8,1206567878.0
2018-05-16,191.3,209.8,191.3,208.65,5614292271.0
2018-05-17,210.0,212.9,204.5,210.95,2349165314.0
2018-05-18,210.45,214.25,203.0,205.7,2061107376.0
