date,open,high,low,close,volume
2018-01-01,314.0,314.0,309.1,310.3,2406452441.0
2018-01-02,310.95,311.7,307.5,309.7,2181071542.0
2018-01-03,312.5,316.35,312.5,315.0,2801397857.0
2018-01-04,314.95,315.65,311.5,314.7,2004561587.0
2018-01-05,314.45,315.15,311.6,312.9,1993946658.0
2018-01-08,313.5,318.2,312.6,314.15,2311942087.0
2018-01-09,314.8,315.8,310.75,312.6,2870336779.0
2018-01-10,312.55,312.95,310.55,312.0,2101227887.0
2018-01-11,312.5,312.5,308.55,309.5,2589352096.0
2018-01-12,309.6,318.8,309.6,317.7,3685884483.0
2018-01-15,320.8,330.7,320.25,329.3,9918246961.0
2018-01-16,329.75,340.75,326.55,334.1,8935405175.0
2018-01-17,334.05,344.2,334.05,343.25,14725189413.0
2018-01-18,350.0,353.2,343.0,346.15,10963642541.0
2018-01-19,347.45,355.0,340.8,353.6,6574941877.0
2018-01-22,352.4,352.9,344.8,351.5,5322721196.0
2018-01-23,350.45,364.45,350.45,362.3,8067826564.0
2018-01-24,357.75,359.2,351.8,352.75,4543436972.0
2018-01-25,352.5,364.8,350.7,360.8,10837607955.0
2018-01-29,360.0,365.7,355.6,357.65,6431819047.0
2018-01-30,356.8,356.8,350.5,353.25,4726175359.0
2018-01-31,348.85,353.95,343.6,352.95,7897536621.0
2018-02-01,347.55,355.9,343.8,346.2,10320662916.0
2018-02-02,342.55,343.7,333.7,335.1,5724605849.0
2018-02-05,327.6,334.25,327.05,329.7,5728449325.0
2018-02-06,315.25,337.95,313.0,330.7,6023299955.0
2018-02-07,335.35,336.4,329.9,332.55,3936610128.0
2018-02-08,332.55,338.4,329.5,333.85,3444595140.0
2018-02-09,325.0,328.65,322.65,326.75,3090254093.0
2018-02-12,328.85,329.2,323.25,326.25,2728928000.0
2018-02-14,327.0,327.0,316.55,318.95,4878546556.0
2018-02-15,322.15,331.8,322.15,328.65,7795832027.0
2018-02-16,330.35,334.0,318.8,321.05,5710388257.0
2018-02-19,329.5,329.6,315.2,319.75,6095538242.0
2018-02-20,320.5,324.2,316.3,317.25,5115246435.0
2018-02-21,319.0,320.7,315.7,319.2,3175413582.0
2018-02-22,317.0,319.3,313.95,318.35,8112180575.0
2018-02-23,319.05,324.05,318.35,322.75,2555689943.0
2018-02-26,325.0,327.8,323.15,327.05,2323490693.0
2018-02-27,327.0,327.05,319.65,322.15,3101427842.0
2018-02-28,315.15,317.0,311.1,313.25,5475509320.0
2018-03-01,312.65,314.0,304.25,304.95,5845250063.0
2018-03-05,304.45,306.5,299.3,303.35,4371801969.0
2018-03-06,307.4,307.7,294.2,295.05,5687868487.0
2018-03-07,293.3,293.8,285.35,286.7,9062922831.0
2018-03-08,290.25,298.0,289.25,296.95,6268318510.0
2018-03-09,299.0,299.5,290.7,292.7,3685897208.0
2018-03-12,295.6,301.9,293.75,300.65,3611536103.0
2018-03-13,300.1,307.0,299.6,304.35,4845465499.0
2018-03-14,303.15,307.45,297.8,306.05,3917772868.0
2018-03-15,305.75,305.75,300.4,301.45,4018320671.0
2018-03-16,301.25,301.85,297.4,298.1,8617212201.0
2018-03-19,298.1,300.0,291.25,294.55,4016806205.0
2018-03-20,293.0,297.2,290.25,292.0,3193306563.0
2018-03-21,295.0,295.05,287.35,289.2,3968064645.0
2018-03-22,289.5,289.65,280.9,283.25,6998652560.0
2018-03-23,277.1,277.85,273.55,275.55,8803030844.0
2018-03-26,276.1,283.15,275.95,281.65,6865245173.0
2018-03-27,284.5,287.3,281.4,283.9,6368729795.0
2018-03-28,283.0,283.3,277.1,278.35,7579456233.0
2018-04-02,273.0,273.85,258.8,261.85,19286273448.0
2018-04-03,261.4,271.5,261.4,270.05,10839355785.0
2018-04-04,267.25,273.3,265.5,268.65,9005417812.0
2018-04-05,267.8,280.0,267.7,278.65,7367938459.0
2018-04-06,278.4,282.95,277.0,280.65,8835462618.0
2018-04-09,277.75,283.45,274.35,280.85,8852647513.0
2018-04-10,279.45,294.45,279.05,288.8,12943353666.0
2018-04-11,287.75,287.9,282.35,284.55,4788332199.0
2018-04-12,285.3,289.9,283.55,286.75,6596551068.0
2018-04-13,288.0,291.1,285.8,288.25,5051433204.0
2018-04-16,285.0,288.95,284.1,287.6,4847744516.0
2018-04-17,287.6,293.25,286.8,291.75,4476404717.0
2018-04-18,293.7,294.9,289.0,290.05,6056657096.0
2018-04-19,291.0,291.0,287.3,289.6,4994030572.0
2018-04-20,289.25,290.15,279.7,282.15,5616193596.0
2018-04-23,280.0,282.8,275.25,279.4,3243028502.0
2018-04-24,279.35,286.6,279.35,284.1,4383457743.0
2018-04-25,284.05,285.65,276.85,278.9,2238460474.0
2018-04-26,279.8,280.4,275.35,278.85,3922515817.0
2018-04-27,277.4,291.7,276.0,287.9,4749749899.0
2018-04-30,288.95,291.0,282.3,284.2,2782098959.0
2018-05-02,283.65,283.75,275.55,276.9,3954249154.0
2018-05-03,277.3,283.65,277.3,281.9,4144925118.0
2018-05-04,280.45,285.6,278.35,282.85,3356787863.0
2018-05-07,284.0,293.0,282.85,289.8,5658336279.0
2018-05-08,302.0,314.5,300.0,309.3,26929185011.0
2018-05-09,305.0,309.8,304.25,306.8,6187770337.0
2018-05-10,308.45,312.9,305.7,306.85,5012495702.0
2018-05-11,307.95,311.85,307.55,310.95,5166917681.0
2018-05-14,310.0,311.0,305.15,310.1,3214039388.0
2018-05-15,310.7,317.5,305.05,308.25,5107955400.0
2018-05-16,303.9,304.9,295.3,297.25,7639362329.0
2018-05-17,299.0,299.95,294.05,296.0,3174519966.0
2018-05-18,294.15,295.3,284.6,286.1,5032309415.0
2018-05-21,289.5,293.0,287.75,289.3,6717590092.0
2018-05-22,289.5,293.85,286.85,290.3,3280083090.0
2018-05-23,288.85,298.4,288.8,292.05,4674361702.0
2018-05-24,293.7,299.0,291.2,297.7,3395227759.0
2018-05-25,298.4,300.95,294.6,295.65,4023518788.0
2018-05-28,293.75,302.3,293.35,299.25,5708512051.0
2018-05-29,298.75,298.75,288.3,289.9,3790765659.0
2018-05-30,285.9,288.15,282.75,284.9,7175523810.0
2018-05-31,285.0,288.95,279.3,285.8,6714446035.0
2018-06-01,295.0,299.95,286.85,289.3,8689595335.0
2018-06-04,293.3,293.3,285.55,286.75,4964376629.0
2018-06-05,288.0,288.0,283.1,284.1,3525747344.0
2018-06-06,285.7,286.9,281.1,283.9,4785379063.0
2018-06-07,287.5,293.05,287.15,290.9,5896012853.0
2018-06-08,290.1,290.9,285.5,288.25,3257198598.0
2018-06-11,285.4,290.35,283.2,286.4,4851459017.0
2018-06-12,288.55,289.15,285.25,287.4,4092114497.0
2018-06-13,289.0,292.9,286.4,290.75,3172523176.0
2018-06-14,290.85,290.85,284.1,284.75,3261173214.0
2018-06-15,287.2,288.5,280.0,282.5,13376814682.0
2018-06-18,284.0,294.2,283.4,293.0,8081027311.0
2018-06-19,295.5,295.5,288.35,292.8,7919650487.0
2018-06-20,292.6,294.6,291.0,293.2,5967466015.0
2018-06-21,294.8,300.35,294.55,297.95,8999953829.0
2018-06-22,298.2,302.7,295.65,300.65,5225762396.0
2018-06-25,299.8,300.5,288.8,289.7,4537338579.0
2018-06-26,287.55,289.1,284.7,288.1,3328266498.0
2018-06-27,287.9,287.9,274.0,279.05,7065093849.0
2018-06-28,278.0,278.4,269.8,271.4,9327012229.0
2018-06-29,272.0,276.0,269.6,275.4,5731208330.0
2018-07-02,274.0,279.9,271.0,277.4,19140099681.0
2018-07-03,275.9,276.8,272.2,272.9,3848715506.0
2018-07-04,274.2,274.85,271.0,273.25,2245365016.0
2018-07-05,273.0,275.5,270.75,271.55,2049804602.0
2018-07-06,271.1,271.95,267.05,270.05,7022024833.0
2018-07-09,273.9,274.7,270.0,271.2,5008214226.0
2018-07-10,272.0,275.95,271.9,273.4,3961077741.0
2018-07-11,274.55,274.9,267.5,268.75,3443169407.0
2018-07-12,270.4,273.7,269.05,272.3,4303432910.0
2018-07-13,273.0,273.3,266.05,267.75,5139499624.0
2018-07-16,265.3,266.6,256.5,259.25,7734072375.0
2018-07-17,260.25,267.5,260.0,266.45,3997629023.0
2018-07-18,266.0,267.35,261.0,262.7,6038212063.0
2018-07-19,263.95,264.35,259.4,261.2,3963327309.0
2018-07-20,261.8,267.7,261.8,265.8,3666872391.0
2018-07-23,265.35,276.3,265.35,275.55,4603594264.0
2018-07-24,273.65,277.9,273.35,274.35,3303034480.0
2018-07-25,273.0,276.6,272.25,274.65,4917365270.0
2018-07-26,275.0,286.5,273.25,285.65,10390873061.0
2018-07-27,284.9,295.15,282.2,293.2,8993214241.0
2018-07-30,300.0,308.45,294.25,307.35,16982950109.0
2018-07-31,304.3,308.5,302.2,304.25,6343610170.0
2018-08-01,302.6,305.65,296.8,299.3,4701932007.0
2018-08-02,295.0,300.75,294.1,298.55,4198768366.0
2018-08-03,300.0,306.75,297.55,305.0,4403125515.0
2018-08-06,306.95,318.0,306.8,315.1,8131998828.0
2018-08-07,313.95,318.15,310.4,313.15,6528827853.0
2018-08-08,313.0,320.0,308.25,318.7,5637983070.0
2018-08-09,320.25,345.85,320.25,333.0,25581091937.0
2018-08-10,334.05,340.3,325.35,328.6,12033411900.0
2018-08-13,324.0,327.45,322.0,324.9,4980533021.0
2018-08-14,324.7,333.5,324.7,332.45,5045850281.0
2018-08-16,329.55,339.2,328.75,334.3,12573774947.0
2018-08-17,336.8,342.2,335.85,340.0,8184164389.0
2018-08-20,340.0,342.45,336.7,338.45,4424896926.0
2018-08-21,338.3,341.85,334.05,338.85,5406170533.0
