date,open,high,low,close,volume
2018-01-01,61.3,62.25,60.05,60.35,229852569.8
2018-01-02,60.65,60.85,59.1,59.4,105686814.2
2018-01-03,59.6,60.05,59.25,59.5,105825805.6
2018-01-04,61.0,65.45,60.1,64.4,1601833783.0
2018-01-05,65.95,65.95,63.35,63.8,366234483.2
2018-01-08,63.75,64.2,63.0,63.2,153685357.4
2018-01-09,63.5,64.2,62.15,63.2,248272361.4
2018-01-10,63.1,63.65,61.5,62.0,242651542.5
2018-01-11,61.9,62.5,61.35,61.95,125653524.9
2018-01-12,62.05,62.4,60.2,61.05,195195774.1
2018-01-15,61.2,63.4,61.0,62.9,335536221.1
2018-01-16,62.95,63.05,59.05,59.6,230601009.6
2018-01-17,59.05,61.2,58.45,60.85,248693048.9
2018-01-18,63.5,63.5,58.8,60.15,404039252.6
2018-01-19,60.0,61.35,59.5,60.55,186787090.2
2018-01-22,60.6,61.5,60.35,61.1,136968511.1
2018-01-23,61.3,62.4,60.7,61.9,209859723.1
2018-01-24,61.65,66.0,60.5,65.35,651056464.5
2018-01-25,70.0,70.0,64.35,65.1,3056659778.0
2018-01-29,65.9,65.9,62.1,62.8,402165914.4
2018-01-30,62.2,62.55,60.5,60.85,331690928.9
2018-01-31,60.9,62.1,59.95,60.45,331855659.0
2018-02-01,60.0,64.8,58.5,63.65,976035475.3
2018-02-02,61.45,62.45,58.4,58.65,615247521.6
2018-02-05,58.0,61.0,57.1,60.4,422814077.8
2018-02-06,56.05,58.4,56.0,57.0,421433395.5
2018-02-07,58.45,58.85,56.75,57.7,344981829.9
2018-02-08,57.6,62.35,57.55,61.6,696862129.7
2018-02-09,59.1,63.75,59.1,62.75,469345024.6
2018-02-12,63.5,69.95,63.05,67.55,1782184809.0
2018-02-14,67.6,67.75,63.95,65.45,850887403.5
2018-02-15,64.8,65.95,62.35,63.45,563804998.3
2018-02-16,64.25,64.8,60.45,61.8,505447260.8
2018-02-19,62.3,64.6,60.7,63.95,900433021.9
2018-02-20,63.85,67.3,63.05,66.45,741449638.4
2018-02-21,67.25,71.2,65.45,70.3,1337592334.0
2018-02-22,70.05,74.9,69.6,74.1,3103454823.0
2018-02-23,73.1,77.5,73.1,77.15,2226339506.0
2018-02-26,77.0,83.7,76.2,78.95,4508762743.0
2018-02-27,78.5,79.9,72.2,73.5,2409816627.0
2018-02-28,72.8,75.4,68.2,74.55,3605316664.0
2018-03-01,74.3,80.85,73.75,80.35,5109393844.0
2018-03-05,79.85,91.5,78.75,84.65,9768925312.0
2018-03-06,85.5,88.85,79.85,82.6,7780855141.0
2018-03-07,81.1,84.4,77.6,79.15,5408180698.0
2018-03-08,80.95,82.7,73.1,74.8,4709239227.0
2018-03-09,75.7,76.7,69.95,70.7,3338043247.0
2018-03-12,71.0,71.65,62.45,64.85,4528602987.0
2018-03-13,62.0,70.4,61.1,67.25,5143973534.0
2018-03-14,65.9,77.0,63.5,73.7,5756524167.0
2018-03-15,77.05,80.0,75.2,78.85,7882456906.0
2018-03-16,78.75,81.9,76.55,78.95,7602360219.0
2018-03-19,79.9,81.4,71.2,73.75,5686646008.0
2018-03-20,71.85,75.45,69.8,73.7,5490079965.0
2018-03-21,75.8,77.5,74.5,75.9,3949218281.0
2018-03-22,77.25,77.4,75.25,76.65,2460414750.0
2018-03-23,73.3,74.5,70.85,71.85,2476729485.0
2018-03-26,69.25,72.9,68.0,72.25,3279224240.0
2018-03-27,73.8,77.0,73.75,76.25,3804742302.0
2018-03-28,74.95,75.6,71.3,72.2,3196856644.0
2018-04-02,71.0,71.85,68.85,71.1,2197552466.0
2018-04-03,71.15,73.3,71.15,72.1,1827559981.0
2018-04-04,73.3,73.8,69.5,70.0,2331783790.0
2018-04-05,72.95,72.95,71.15,72.3,3140447485.0
2018-04-06,72.65,73.5,70.9,73.1,1909763705.0
2018-04-09,73.5,74.65,72.7,73.7,2234125572.0
2018-04-10,74.8,74.85,73.3,74.15,1556942913.0
2018-04-11,74.0,74.1,71.3,72.1,1301523443.0
2018-04-12,70.5,72.0,69.85,71.35,1688020138.0
2018-04-13,71.1,72.9,71.1,72.1,1410831214.0
2018-04-16,72.0,72.55,70.2,72.15,2081037297.0
