date,open,high,low,close,volume
2018-01-01,107.4,108.15,104.05,104.6,1110939634.0
2018-01-02,106.3,106.3,99.35,100.7,1777655826.0
2018-01-03,101.0,103.9,101.0,102.7,1123489677.0
2018-01-04,103.45,105.6,101.8,104.55,1298636629.0
2018-01-05,108.0,118.9,107.5,115.8,9103270461.0
2018-01-08,110.1,113.75,107.7,109.05,4096142788.0
2018-01-09,109.65,112.75,107.35,108.6,3038891017.0
2018-01-10,113.0,113.25,106.15,107.35,2529905242.0
2018-01-11,107.0,109.0,106.2,107.15,1405531467.0
2018-01-12,107.2,110.05,101.85,108.6,2839614213.0
2018-01-15,108.75,108.75,103.85,104.6,1626277708.0
2018-01-16,105.05,106.8,102.25,102.8,1674616620.0
2018-01-17,103.1,104.15,100.85,103.5,1078707986.0
2018-01-18,103.7,104.35,99.25,101.1,1427568764.0
2018-01-19,101.1,103.35,99.2,102.3,1064977012.0
2018-01-22,102.2,102.2,99.1,99.5,753919891.1
2018-01-23,99.75,101.8,98.8,99.35,982590665.3
2018-01-24,98.0,99.0,92.75,93.9,3471606709.0
2018-01-25,91.7,97.45,91.7,95.1,2426994059.0
2018-01-29,93.9,95.55,91.2,93.6,2175952629.0
2018-01-30,93.0,95.6,92.2,94.0,1320304273.0
2018-01-31,94.0,96.1,92.0,93.1,1433696809.0
2018-02-01,93.5,93.55,90.35,91.3,902334386.2
2018-02-02,91.1,91.1,87.35,88.3,2099979949.0
2018-02-05,87.0,89.3,86.6,87.55,1233426044.0
2018-02-06,83.8,85.95,80.0,85.0,1808154352.0
2018-02-07,86.7,87.25,83.2,84.3,1213247351.0
2018-02-08,84.5,87.6,84.0,85.55,1323834224.0
2018-02-09,84.25,85.25,83.25,83.7,1098911586.0
2018-02-12,84.4,86.3,83.25,84.5,1553979362.0
2018-02-14,86.3,86.95,84.5,84.8,1148050519.0
2018-02-15,85.5,85.85,82.6,83.1,696862174.5
2018-02-16,83.1,84.1,81.15,82.05,732332141.4
2018-02-19,82.55,82.95,80.75,82.5,567629142.3
2018-02-20,83.0,84.6,82.5,84.0,618114153.5
2018-02-21,84.7,84.7,82.75,83.1,591139252.4
2018-02-22,83.0,83.15,80.65,81.2,825927706.8
2018-02-23,81.6,82.5,81.15,82.15,659219259.8
2018-02-26,82.6,83.5,81.85,82.35,779321604.0
2018-02-27,82.75,85.25,82.75,84.3,1749151836.0
2018-02-28,84.3,85.0,82.65,83.9,3773375720.0
2018-03-01,83.95,84.2,82.6,83.05,1259998901.0
2018-03-05,83.4,83.4,81.55,82.55,748539810.5
2018-03-06,83.0,83.2,81.25,81.9,810591738.6
2018-03-07,82.0,82.7,77.25,79.7,1091598587.0
2018-03-08,82.0,82.9,78.55,79.65,1607627385.0
2018-03-09,80.35,80.55,78.5,78.85,578843298.9
2018-03-12,79.2,79.95,76.55,78.5,893500991.9
2018-03-13,78.45,81.55,78.1,80.65,1224419646.0
2018-03-14,80.85,81.5,79.6,81.25,673274155.5
2018-03-15,81.0,82.2,79.75,80.15,588260489.7
2018-03-16,79.9,83.0,79.15,81.05,1375645662.0
2018-03-19,81.0,81.3,76.9,77.8,866282360.0
2018-03-20,76.6,78.15,76.15,77.15,956617105.8
2018-03-21,78.2,80.0,77.55,79.15,566572393.7
2018-03-22,78.6,79.75,76.75,77.6,514604201.6
2018-03-23,77.45,78.2,74.55,77.65,1018375076.0
2018-03-26,77.2,80.6,76.9,80.35,695953723.6
2018-03-27,80.35,81.65,79.7,80.6,538279511.1
2018-03-28,80.65,80.7,75.35,75.9,1459105752.0
2018-04-02,76.7,78.15,75.65,77.8,422059047.2
2018-04-03,76.85,78.0,76.5,77.35,553486436.8
2018-04-04,78.0,78.4,75.6,76.6,585814301.4
2018-04-05,77.05,77.7,76.0,76.9,708924926.3
2018-04-06,76.75,76.9,74.75,74.95,722583325.7
2018-04-09,74.5,75.35,73.55,74.85,739757587.0
2018-04-10,75.2,75.5,73.55,73.95,705152383.6
2018-04-11,74.0,75.2,73.55,73.95,561818768.5
2018-04-12,74.0,74.2,72.1,73.15,591987544.9
2018-04-13,73.0,74.3,71.9,72.15,751483746.5
2018-04-16,72.0,72.0,70.65,71.3,561922429.3
2018-04-17,71.45,73.95,71.0,71.45,1541566440.0
2018-04-18,72.0,72.45,71.3,71.5,2190972268.0
2018-04-19,71.95,72.0,70.1,70.95,937749723.8
2018-04-20,71.2,71.95,70.45,70.85,582282509.1
2018-04-23,71.7,72.3,70.7,71.65,718416455.2
2018-04-24,71.3,71.6,70.15,71.05,748134024.7
2018-04-25,71.95,72.7,70.7,71.4,1178969375.0
2018-04-26,71.6,71.75,67.55,68.4,2321860973.0
2018-04-27,69.25,70.1,68.25,68.8,941101283.3
2018-04-30,71.85,71.85,68.1,69.15,1101203735.0
2018-05-02,69.4,69.4,66.5,67.25,856622624.9
