date,open,high,low,close,volume
2018-01-01,62.9,64.6,62.5,63.0,311707985.1
2018-01-02,63.3,63.45,61.05,61.6,227182059.5
2018-01-03,61.65,62.25,61.45,61.7,209034856.1
2018-01-04,62.15,62.3,61.55,61.7,178739604.3
2018-01-05,61.75,64.9,61.65,64.45,665653092.6
2018-01-08,64.6,67.4,64.5,66.65,1233175717.0
2018-01-09,67.05,67.2,64.9,65.2,698347796.6
2018-01-10,65.5,65.5,62.9,63.95,491687136.9
2018-01-11,63.75,66.2,63.25,65.55,1822673479.0
2018-01-12,67.05,67.25,64.05,65.65,1158192616.0
2018-01-15,67.55,67.8,63.6,63.95,1689933299.0
2018-01-16,63.95,64.15,59.6,59.9,971136475.0
2018-01-17,60.0,61.9,59.3,61.7,752260654.1
2018-01-18,62.45,62.65,58.2,58.9,861514876.8
2018-01-19,59.0,59.35,57.45,58.0,1116480385.0
2018-01-22,58.0,59.0,57.2,58.55,759453950.6
2018-01-23,58.55,59.05,57.85,58.2,406599385.1
2018-01-24,58.0,58.5,57.2,58.05,340791562.6
2018-01-25,58.05,58.45,56.25,56.6,1651988381.0
2018-01-29,57.0,57.1,55.25,55.45,269552228.0
2018-01-30,55.5,57.3,55.0,56.8,511826717.2
2018-01-31,56.95,57.2,55.7,56.35,340439932.0
2018-02-01,56.3,57.2,54.35,55.65,498785746.9
2018-02-02,55.1,55.15,52.05,52.45,457068322.5
2018-02-05,51.0,53.95,50.55,53.25,470681960.9
2018-02-06,50.0,52.2,49.3,51.7,844204344.5
2018-02-07,52.8,53.0,51.95,52.2,273109677.7
2018-02-08,52.2,54.0,52.2,53.8,277370088.1
2018-02-09,52.5,53.7,52.1,53.25,159944423.1
2018-02-12,53.95,54.4,53.2,53.75,256426298.1
2018-02-14,53.85,54.25,53.1,53.3,134587990.4
2018-02-15,53.3,53.35,51.8,52.0,190358870.0
2018-02-16,52.2,52.6,51.35,51.75,123450349.6
2018-02-19,52.0,52.7,51.3,52.45,284728831.5
2018-02-20,52.55,53.35,51.9,52.5,197487216.0
2018-02-21,52.85,52.85,52.1,52.5,125559905.9
2018-02-22,52.2,52.75,51.35,51.6,489272473.7
2018-02-23,51.75,53.3,51.75,53.0,144547933.1
2018-02-26,53.4,53.95,52.85,53.4,230301077.2
2018-02-27,53.65,53.65,52.25,52.45,116261224.2
2018-02-28,52.3,53.0,51.75,52.95,158178656.5
2018-03-01,52.4,53.4,52.4,52.6,145535033.5
2018-03-05,52.4,52.55,50.65,51.25,182878240.6
2018-03-06,51.55,51.9,49.65,50.1,95627046.0
2018-03-07,50.0,50.15,48.4,48.75,399830455.5
2018-03-08,49.15,49.3,48.3,48.75,410826242.3
2018-03-09,48.95,49.65,48.65,49.05,339836162.1
2018-03-12,49.65,50.35,49.15,50.15,209523080.9
2018-03-13,50.1,51.7,49.9,51.3,345205084.6
2018-03-14,51.0,51.65,50.5,51.15,239393265.4
2018-03-15,51.2,51.7,51.0,51.25,168295880.1
2018-03-16,51.25,52.35,50.85,51.15,287076890.3
2018-03-19,51.0,51.35,49.5,49.75,275051257.3
2018-03-20,49.5,50.4,49.25,49.95,153829457.8
2018-03-21,50.55,50.6,49.5,49.9,266501723.0
2018-03-22,50.3,52.7,50.0,51.0,854169157.1
2018-03-23,50.0,50.95,48.9,49.3,428892514.4
2018-03-26,49.35,49.4,48.4,49.05,368862215.1
2018-03-27,49.45,50.65,49.0,49.65,230530009.1
2018-03-28,49.35,50.05,48.3,48.75,779261350.9
2018-04-02,49.05,50.4,48.85,50.2,129573801.3
2018-04-03,49.9,52.0,49.65,51.85,240508677.9
2018-04-04,52.0,52.45,50.5,50.75,186396298.0
2018-04-05,51.6,52.75,51.2,52.4,146446423.5
2018-04-06,52.45,52.9,51.95,52.7,119993479.4
