date,open,high,low,close,volume
2018-01-01,334.8,344.9,334.25,339.75,893318338.7
2018-01-02,342.3,343.4,331.7,335.2,423295271.9
2018-01-03,334.9,336.05,332.0,332.75,431746788.5
2018-01-04,333.95,333.95,327.6,329.05,709991246.4
2018-01-05,329.0,334.0,329.0,329.85,561999569.8
2018-01-08,330.7,331.0,326.1,328.2,782069928.1
2018-01-09,330.0,330.0,321.3,323.05,595842267.8
2018-01-10,323.0,326.75,321.8,325.75,466716889.9
2018-01-11,327.25,329.5,321.5,322.25,763326338.1
2018-01-12,323.25,328.9,320.6,327.5,441809890.7
2018-01-15,329.0,329.0,322.7,323.65,301289485.9
2018-01-16,324.3,324.8,316.0,316.8,480384035.6
2018-01-17,316.0,317.45,308.1,314.75,858247208.6
2018-01-18,316.0,316.6,304.1,305.45,699916503.3
2018-01-19,306.9,312.8,302.0,311.5,515545466.8
2018-01-22,312.0,314.55,308.75,309.7,389177299.6
2018-01-23,312.0,316.9,309.0,312.35,854571521.0
2018-01-24,314.0,316.4,311.35,313.25,450465119.6
2018-01-25,313.5,315.95,306.1,307.3,714584296.8
2018-01-29,308.95,312.5,305.8,310.35,599993779.2
2018-01-30,311.0,311.05,304.4,306.8,541084268.0
2018-01-31,307.25,310.0,301.5,304.65,807639905.6
2018-02-01,305.0,306.95,299.5,302.9,793761024.2
2018-02-02,300.0,300.0,285.0,289.15,1168606020.0
2018-02-05,280.45,301.35,280.3,296.75,1330923141.0
2018-02-06,281.0,294.0,271.1,290.85,837409661.0
2018-02-07,297.0,297.3,290.15,292.25,559526601.5
2018-02-08,292.8,295.95,287.15,290.2,1218011361.0
2018-02-09,290.0,293.65,286.0,289.55,852157992.3
2018-02-12,291.0,303.5,289.2,302.45,932194105.2
2018-02-14,306.9,312.0,305.35,307.75,2411935110.0
2018-02-15,311.7,311.7,300.2,304.2,421778822.2
2018-02-16,305.5,306.9,294.0,295.05,532172988.9
2018-02-19,298.65,298.75,291.25,294.75,259201270.2
2018-02-20,294.1,299.8,290.65,296.85,370988757.1
2018-02-21,300.95,301.55,292.05,293.9,579242474.9
2018-02-22,293.0,295.0,290.1,291.7,481930125.7
2018-02-23,292.0,301.0,292.0,295.5,629723049.5
2018-02-26,298.8,298.8,291.65,297.0,528903479.8
2018-02-27,299.65,309.5,298.5,305.2,1704297467.0
2018-02-28,305.1,308.5,302.15,304.7,633367812.0
2018-03-01,303.85,310.8,303.0,306.15,1156715205.0
2018-03-05,304.9,308.95,302.05,305.3,484887489.0
2018-03-06,309.0,316.8,307.8,310.8,1553062658.0
2018-03-07,310.95,314.4,306.3,308.1,661951637.5
2018-03-08,311.0,313.8,308.25,310.8,651845617.7
2018-03-09,312.0,312.9,297.8,300.85,853123612.7
2018-03-12,305.7,305.7,299.5,302.9,659003630.3
2018-03-13,302.95,304.75,300.15,303.6,485454489.4
2018-03-14,302.5,302.85,295.2,301.2,559119558.7
2018-03-15,301.95,301.95,296.0,298.3,583546734.5
2018-03-16,299.8,299.8,295.2,296.2,445438056.0
2018-03-19,294.3,294.9,287.25,290.35,668843259.2
2018-03-20,290.0,290.0,284.65,286.95,729773586.1
2018-03-21,287.0,296.8,287.0,294.35,669792672.4
2018-03-22,296.75,296.75,289.65,291.25,641917539.4
2018-03-23,285.2,288.8,280.45,282.0,773440504.1
2018-03-26,282.0,284.55,274.5,282.1,680228870.2
2018-03-27,283.0,284.35,276.55,280.2,806240204.9
2018-03-28,278.2,281.5,275.4,279.45,746758421.2
2018-04-02,284.5,285.4,277.25,279.35,766151794.1
2018-04-03,279.0,279.8,273.0,278.05,677007075.7
2018-04-04,279.95,286.9,279.0,281.25,749832859.3
