date,open,high,low,close,volume
2018-05-21,600.0,606.8,579.1,586.1,9854568744.0
2018-05-22,585.8,597.8,580.65,595.6,927535573.3
2018-05-23,596.0,605.0,593.3,603.6,894621513.7
2018-05-24,603.0,607.8,585.05,589.8,273996476.3
2018-05-25,586.55,592.85,582.15,588.3,96302900.85
2018-05-28,588.3,591.0,584.2,587.15,89231032.3
2018-05-29,584.9,587.45,581.0,584.8,125743815.4
2018-05-30,584.8,589.0,572.3,582.15,93989640.25
2018-05-31,585.0,597.9,581.7,590.1,217831331.1
2018-06-01,585.1,590.0,582.5,587.15,75039460.05
2018-06-04,584.0,587.9,580.0,584.5,85622954.15
2018-06-05,576.0,579.1,568.25,572.15,233018934.8
2018-06-06,570.0,579.9,561.0,570.65,36954309.95
2018-06-07,570.0,574.9,565.0,566.45,92530204.5
2018-06-08,561.05,565.8,561.05,563.0,34471715.7
2018-06-11,560.2,568.6,559.0,559.95,40254705.5
2018-06-12,558.5,561.95,555.0,555.95,75685476.85
2018-06-13,553.05,572.05,552.0,555.05,41937113.7
2018-06-14,555.0,563.0,553.5,559.9,37937385.7
2018-06-15,562.0,567.0,548.4,557.7,69724858.55
2018-06-18,562.45,572.0,557.1,564.5,414489416.8
2018-06-19,569.9,574.5,562.7,566.5,201992125.7
2018-06-20,567.0,568.45,556.5,561.0,23778174.8
2018-06-21,562.0,565.55,555.1,562.55,27644361.1
2018-06-22,560.15,561.9,551.0,553.0,26650576.2
2018-06-25,558.95,558.95,530.2,532.95,158817891.1
2018-06-26,530.0,534.0,511.1,520.6,42188536.2
2018-06-27,528.65,533.0,502.55,507.1,23025102.5
2018-06-28,503.0,519.6,496.3,510.5,68118005.35
2018-06-29,516.0,526.5,510.0,520.7,73739867.9
2018-07-02,520.7,524.4,504.15,506.15,30911648.95
2018-07-03,505.2,533.0,503.25,525.45,39978989.4
2018-07-04,528.95,535.3,521.4,527.7,81958766.05
2018-07-05,530.0,536.95,511.8,516.05,133057852.6
2018-07-06,513.0,524.45,509.0,515.65,26953002.55
2018-07-09,524.45,524.45,511.05,514.75,13391350.55
2018-07-10,512.1,521.5,512.1,515.95,86803367.35
2018-07-11,515.2,519.6,506.7,511.15,15966707.6
2018-07-12,513.3,514.85,498.95,501.85,32180303.7
2018-07-13,501.8,508.35,486.4,488.25,21119563.1
2018-07-16,494.0,494.0,471.4,489.0,33355675.4
2018-07-17,497.95,503.25,482.75,488.8,86648226.35
2018-07-18,494.45,494.5,475.1,480.8,66114664.35
2018-07-19,486.0,487.05,466.35,470.3,24559247.15
2018-07-20,470.0,473.9,432.9,447.55,127378690.9
2018-07-23,460.0,460.0,444.55,445.7,133227334.3
2018-07-24,442.2,450.0,442.2,445.75,19152449.0
2018-07-25,446.2,464.95,445.0,460.4,44669019.7
2018-07-26,464.0,464.8,452.3,458.4,15276268.6
2018-07-27,455.0,471.4,455.0,468.9,14633898.1
2018-07-30,474.0,487.0,470.0,483.4,98800210.25
2018-07-31,494.0,494.0,478.0,481.35,14641299.1
2018-08-01,485.9,493.95,478.5,486.5,27557884.8
2018-08-02,486.25,490.45,476.1,481.25,26517216.65
2018-08-03,489.8,489.8,476.4,482.35,35309640.2
2018-08-06,482.35,486.8,477.0,479.75,29631748.35
2018-08-07,475.1,490.0,475.1,486.9,20575482.6
2018-08-08,488.0,505.0,482.0,500.5,61808950.3
2018-08-09,505.0,505.0,496.25,500.7,13950578.5
2018-08-10,504.9,506.85,497.0,500.7,15177522.55
2018-08-13,482.55,487.35,471.5,480.05,134071782.8
2018-08-14,490.0,498.95,475.25,480.1,71364109.25
2018-08-16,483.25,489.95,480.0,484.5,22431417.1
2018-08-17,489.0,489.0,474.6,478.85,14377107.4
2018-08-20,479.0,489.55,476.4,481.25,103769995.4
2018-08-21,487.0,495.0,470.8,474.45,92195298.8
2018-08-23,475.0,475.0,462.6,464.4,5705548.25
2018-08-24,466.0,468.3,442.1,447.15,93700230.9
2018-08-27,447.0,449.25,440.15,441.2,10298288.0
2018-08-28,441.0,445.0,435.0,436.0,13273253.5
2018-08-29,439.9,440.0,433.0,436.25,69566805.4
2018-08-30,436.25,453.4,434.0,447.35,47129661.75
2018-08-31,450.0,469.4,447.05,459.55,42838297.65
2018-09-03,465.0,480.0,451.25,453.8,25755127.75
2018-09-04,457.45,465.9,451.0,452.5,6271754.3
2018-09-05,460.5,460.5,438.0,439.95,36119857.9
2018-09-06,443.5,449.95,441.0,444.8,5546156.8
2018-09-07,448.3,452.25,444.0,445.05,5161809.15
2018-09-10,450.0,450.0,440.0,441.3,8048409.15
