date,open,high,low,close,volume
2018-01-01,291.95,295.75,286.0,287.2,11845770.05
2018-01-02,289.7,293.35,280.0,280.85,19389547.25
2018-01-03,283.6,289.0,279.85,281.0,15465416.2
2018-01-04,282.0,286.0,278.1,281.75,32441711.9
2018-01-05,281.0,290.0,280.5,287.85,20451093.65
2018-01-08,292.0,294.0,286.85,290.8,19780061.6
2018-01-09,292.0,309.9,288.25,294.4,273475552.5
2018-01-10,294.8,297.0,285.0,287.0,41259058.8
2018-01-11,288.7,293.85,285.6,289.0,15797286.3
2018-01-12,290.05,293.5,283.5,285.95,43401534.1
2018-01-15,289.5,289.95,277.1,278.65,30393720.6
2018-01-16,281.0,286.0,275.0,276.25,25503932.95
2018-01-17,276.7,283.75,272.1,282.25,13599219.6
2018-01-18,284.1,291.0,275.0,280.45,155258618.3
2018-01-19,281.0,285.95,277.0,284.6,18383549.15
2018-01-22,280.2,284.95,279.25,280.4,52378577.45
2018-01-23,280.0,284.0,274.8,278.1,18721204.6
2018-01-24,280.95,280.95,273.35,274.1,28628909.75
2018-01-25,278.0,278.0,265.4,267.6,16206421.1
2018-01-29,269.0,278.0,267.7,273.95,102412742.4
2018-01-30,280.0,282.0,270.05,272.6,69968014.9
2018-01-31,277.0,281.2,270.2,276.95,92211906.8
2018-02-01,282.0,289.8,280.0,283.6,96590807.65
2018-02-02,279.95,292.45,274.0,282.9,106685205.2
2018-02-05,270.0,288.0,270.0,284.5,55967309.3
2018-02-06,265.0,289.0,257.6,284.65,107799908.1
2018-02-07,292.0,310.0,287.45,305.05,193490669.5
2018-02-08,306.0,326.35,300.0,302.95,303565701.6
2018-02-09,292.15,309.0,292.15,305.4,75142202.15
2018-02-12,309.7,310.0,300.5,302.3,22077233.3
2018-02-14,310.0,313.0,302.0,308.0,65310842.05
2018-02-15,309.1,311.4,300.0,301.65,30499680.8
2018-02-16,303.15,305.7,292.65,301.35,169828439.8
2018-02-19,302.95,303.3,287.8,290.15,17180831.1
2018-02-20,290.75,294.25,284.0,285.95,13390776.85
2018-02-21,290.3,290.9,275.5,278.95,19454613.8
2018-02-22,278.85,283.9,271.0,279.5,16768609.55
2018-02-23,282.0,282.0,274.05,278.2,13636740.5
2018-02-26,279.05,287.7,279.05,284.8,17874129.25
2018-02-27,289.0,295.0,280.15,281.45,12974712.15
2018-02-28,280.7,281.6,274.5,280.85,11632245.4
2018-03-01,283.8,286.45,279.1,280.45,13083584.15
2018-03-05,284.0,284.0,270.35,272.0,20668070.2
2018-03-06,275.0,275.0,262.1,265.75,17833973.6
2018-03-07,260.5,263.85,255.0,257.35,23246614.35
2018-03-08,257.35,261.8,255.35,257.55,12142556.8
2018-03-09,263.0,285.0,263.0,267.35,97077023.35
2018-03-12,268.1,272.0,260.05,262.65,13453174.3
2018-03-13,265.0,265.95,260.5,264.45,6491226.25
2018-03-14,261.0,263.45,256.0,261.05,29354152.15
2018-03-15,261.05,268.7,261.05,266.55,9294100.35
2018-03-16,269.0,269.0,260.0,263.0,7103108.9
2018-03-19,268.25,268.25,256.4,257.2,5839800.9
2018-03-20,257.05,261.9,255.8,257.9,8018600.5
2018-03-21,262.0,265.0,256.7,258.95,10840708.65
2018-03-22,262.35,266.95,260.0,263.9,12962476.7
2018-03-23,258.0,265.95,255.4,262.35,13745526.95
2018-03-26,266.0,268.2,258.35,267.0,8179306.4
2018-03-27,267.0,274.0,265.0,266.8,6956638.3
2018-03-28,267.0,271.5,262.05,265.05,6202748.25
2018-04-02,265.0,269.9,264.9,268.55,2069769.95
2018-04-03,272.0,277.7,266.8,274.7,8546205.05
2018-04-04,278.95,282.9,265.05,267.55,21548749.1
2018-04-05,270.0,276.8,267.05,271.2,10989519.2
2018-04-06,271.0,275.2,262.2,263.55,27749708.8
2018-04-09,265.65,268.5,261.75,267.2,27042347.8
2018-04-10,269.0,269.0,263.0,264.0,4601477.5
2018-04-11,267.5,267.5,262.3,263.05,6397920.9
2018-04-12,264.45,277.6,262.05,273.95,64168257.2
2018-04-13,274.0,274.95,269.7,272.85,9737772.85
2018-04-16,270.9,273.5,270.05,271.9,16546287.4
2018-04-17,277.0,277.0,267.35,268.85,5300393.95
2018-04-18,268.0,270.0,257.05,259.35,37555657.25
2018-04-19,260.0,268.95,259.9,266.95,67973388.85
2018-04-20,268.8,271.0,264.5,267.5,40360637.9
2018-04-23,268.0,274.3,266.1,267.0,59925345.25
2018-04-24,269.4,269.4,255.0,258.85,40264800.05
2018-04-25,259.15,261.0,256.0,258.4,19383214.35
2018-04-26,261.0,261.0,256.7,260.1,7617090.8
2018-04-27,261.5,262.8,258.0,260.75,14783920.25
2018-04-30,263.0,277.8,262.0,274.8,58416502.6
2018-05-02,275.0,277.5,266.0,267.25,17334176.1
