date,open,high,low,close,volume
2018-01-01,144.3,146.0,143.65,145.3,39889612.75
2018-01-02,145.5,151.0,142.1,145.0,41422416.4
2018-01-03,146.3,146.9,143.8,145.2,12768556.5
2018-01-04,144.3,145.9,143.0,143.55,16048342.3
2018-01-05,144.3,147.9,144.0,144.5,26793649.3
2018-01-08,144.3,145.6,144.0,144.65,28310867.4
2018-01-09,145.5,149.9,144.3,145.3,60959775.0
2018-01-10,145.3,149.0,144.9,145.8,31671412.4
2018-01-11,146.5,147.0,144.2,145.05,16690954.9
2018-01-12,145.1,152.8,145.1,146.75,109730476.0
2018-01-15,146.75,147.85,144.15,144.9,28804074.25
2018-01-16,147.3,148.8,142.1,143.4,26454619.6
2018-01-17,143.3,143.95,140.6,141.55,24550807.7
2018-01-18,142.55,144.35,134.15,135.65,41575079.1
2018-01-19,136.5,137.5,135.05,135.9,15767038.25
2018-01-22,136.5,138.0,135.9,136.5,9770436.55
2018-01-23,136.5,139.55,136.0,136.35,19366497.65
2018-01-24,136.6,137.35,129.2,131.1,48689262.05
2018-01-25,129.8,133.85,129.8,133.3,34532765.3
2018-01-29,133.3,134.85,132.0,132.75,7117740.9
2018-01-30,134.4,134.4,129.05,131.55,10776612.4
2018-01-31,132.4,132.4,128.65,129.8,10656418.75
2018-02-01,132.8,133.0,125.7,127.85,12317138.55
2018-02-02,127.95,127.95,118.5,119.85,22025305.65
2018-02-05,113.95,128.4,106.25,121.9,75965590.25
2018-02-06,111.0,119.1,111.0,117.35,19606886.05
2018-02-07,118.65,122.9,118.65,119.7,12004830.75
2018-02-08,119.95,125.6,119.95,122.25,17225310.25
2018-02-09,119.0,125.0,116.35,123.85,16165397.15
2018-02-12,125.0,128.8,125.0,126.55,22041647.8
2018-02-14,128.0,135.8,127.25,133.3,102561364.2
2018-02-15,135.0,138.7,134.05,135.0,42554767.15
2018-02-16,135.65,137.25,132.0,135.6,49656485.45
2018-02-19,136.0,136.0,132.0,132.6,38984331.35
2018-02-20,132.25,134.0,132.0,133.5,7358649.05
2018-02-21,134.75,134.75,129.0,130.35,20894568.0
2018-02-22,130.35,133.2,129.0,131.6,9499956.7
2018-02-23,131.7,132.65,128.2,129.25,13077336.95
2018-02-26,130.5,130.5,126.1,126.7,18787103.45
2018-02-27,127.9,128.0,123.55,126.75,18573002.4
2018-02-28,125.0,125.5,121.5,124.15,50630985.8
2018-03-01,124.5,140.45,123.0,135.3,190447087.6
2018-03-05,129.15,133.45,126.0,127.45,48344665.75
2018-03-06,128.6,131.65,123.35,124.85,20482780.05
2018-03-07,124.5,127.0,122.8,124.6,24650310.4
2018-03-08,125.1,127.25,119.0,121.3,34952992.7
2018-03-09,123.9,123.9,119.95,120.4,9188674.85
2018-03-12,121.5,122.9,119.15,119.95,20637730.9
2018-03-13,120.0,123.15,119.15,121.7,28491699.7
2018-03-14,120.35,121.55,120.0,120.7,8343337.15
2018-03-15,120.15,126.0,119.8,120.75,28144042.25
2018-03-16,120.95,122.65,120.15,120.5,9353941.8
2018-03-19,118.5,118.5,116.1,116.85,33368672.05
2018-03-20,116.0,117.4,114.55,115.25,21700297.55
2018-03-21,115.5,116.7,113.1,114.9,64253798.15
2018-03-22,115.0,115.95,107.05,108.25,39795898.2
2018-03-23,106.2,110.0,99.55,103.7,48000550.85
2018-03-26,105.0,112.0,103.35,108.3,42003966.6
2018-03-27,110.3,113.45,109.25,111.25,105567126.2
2018-03-28,110.5,111.5,106.85,108.5,19309622.05
2018-04-02,109.95,113.65,107.55,113.2,9156330.05
2018-04-03,112.0,116.9,111.0,116.5,23912192.75
2018-04-04,116.5,117.0,114.0,114.55,23666354.0
2018-04-05,115.6,116.2,115.0,115.4,32255309.55
2018-04-06,116.55,116.55,113.95,115.4,16979640.1
2018-04-09,118.95,119.0,115.5,116.4,47547180.8
2018-04-10,117.45,117.5,115.0,116.7,17127932.15
2018-04-11,116.0,118.0,115.7,117.05,22629475.3
2018-04-12,115.55,117.9,115.55,117.5,11297093.45
2018-04-13,117.5,117.7,116.25,116.8,8029308.25
2018-04-16,116.9,117.5,115.5,116.95,4387442.9
2018-04-17,117.05,117.5,115.05,115.5,10527671.45
2018-04-18,115.8,117.65,115.05,115.85,14861988.9
2018-04-19,116.2,116.65,115.25,116.0,5325894.35
2018-04-20,115.7,115.85,112.0,113.7,15759127.35
2018-04-23,113.7,116.3,113.7,115.4,19679948.35
2018-04-24,115.4,115.4,110.8,113.45,5380168.25
2018-04-25,113.5,114.05,109.3,109.85,18348327.45
2018-04-26,110.85,112.75,108.4,109.9,10311539.95
2018-04-27,110.0,113.0,108.2,108.7,8623643.35
2018-04-30,108.7,111.0,106.5,107.95,15445169.6
2018-05-02,107.75,108.7,105.1,105.4,12182304.8
2018-05-03,105.5,105.9,102.1,104.55,7923571.45
2018-05-04,103.05,105.9,102.0,104.95,7058393.5
2018-05-07,104.95,112.0,102.05,110.6,27310784.15
2018-05-08,110.8,111.45,106.55,110.05,11627355.9
2018-05-09,110.05,110.7,106.8,107.8,10621629.15
2018-05-10,106.35,107.5,102.55,103.55,8918536.3
2018-05-11,103.55,105.75,101.1,101.55,8045380.25
2018-05-14,102.85,102.9,96.05,97.75,15281493.8
2018-05-15,97.0,105.0,96.15,100.55,24992821.15
2018-05-16,98.0,101.9,97.8,99.25,9549505.25
2018-05-17,99.7,101.05,98.0,98.6,37308497.8
2018-05-18,98.6,102.0,96.9,97.35,10734750.0
2018-05-21,95.0,105.85,95.0,99.8,32248477.05
2018-05-22,99.55,99.65,97.85,98.5,13335768.6
2018-05-23,98.7,101.3,97.05,97.8,10560143.25
2018-05-24,97.5,99.75,95.25,95.8,9033433.25
2018-05-25,96.0,97.05,94.05,96.2,7313214.65
2018-05-28,95.95,98.5,95.0,96.5,10442990.55
2018-05-29,96.45,97.5,96.0,96.1,4414385.1
2018-05-30,96.1,97.45,95.8,96.7,6206052.45
2018-05-31,96.4,96.7,93.0,93.25,7903647.25
2018-06-01,93.55,94.1,90.55,92.0,11324587.65
2018-06-04,90.2,92.85,89.15,90.05,11369814.85
2018-06-05,90.05,90.3,86.25,87.05,11151606.6
2018-06-06,86.1,88.15,85.15,86.6,9294899.5
