date,open,high,low,close,volume
2018-01-01,195.0,196.25,194.25,194.975,865834992.9
2018-01-02,195.7,196.4,191.85,193.2,974573094.7
2018-01-03,193.95,194.95,192.55,193.15,1014126663.0
2018-01-04,193.5,194.175,192.2,193.65,1689603389.0
2018-01-05,193.5,194.45,191.0,191.925,1181345297.0
2018-01-08,192.25,195.125,192.25,194.275,1446403687.0
2018-01-09,194.5,197.0,193.0,196.2,1271021237.0
2018-01-10,196.0,197.75,193.625,194.775,1572462492.0
2018-01-11,194.75,195.925,193.5,194.45,511160173.5
2018-01-12,194.5,197.7,194.125,194.525,1330951024.0
2018-01-15,194.85,198.1,194.85,195.425,1631092181.0
2018-01-16,195.0,195.75,191.7,192.075,1120264488.0
2018-01-17,191.95,193.875,187.125,192.025,1504763506.0
2018-01-18,193.0,193.0,188.75,189.025,2023836696.0
2018-01-19,189.95,194.5,187.9,192.975,1582532454.0
2018-01-22,194.0,194.25,189.625,191.25,648438823.1
2018-01-23,197.35,197.35,193.825,194.7,2585135954.0
2018-01-24,195.95,196.3,193.825,195.15,1258448360.0
2018-01-25,196.0,197.5,194.5,196.15,2750984746.0
2018-01-29,197.0,200.325,196.3,199.825,1213749632.0
2018-01-30,202.425,211.15,199.7,208.125,10566056533.0
2018-01-31,210.95,213.7,207.25,208.8,5675011493.0
2018-02-01,209.8,211.1,205.2,208.95,2446744916.0
2018-02-02,207.5,208.175,203.75,204.325,1990256556.0
2018-02-05,204.0,205.7,201.5,204.5,2684405718.0
2018-02-06,200.95,203.175,200.0,200.65,2767889053.0
2018-02-07,203.0,204.875,201.75,202.375,3536292761.0
2018-02-08,194.425,195.95,192.5,192.8,2999318820.0
2018-02-09,191.5,191.5,187.975,189.325,1669689316.0
2018-02-12,192.25,192.375,187.8,189.525,1180847447.0
2018-02-14,190.4,190.875,187.8,188.675,1437162935.0
2018-02-15,189.4,190.3,187.15,188.4,1438869333.0
2018-02-16,189.0,189.75,187.25,187.525,942609607.9
2018-02-19,188.0,188.45,183.55,184.825,923375490.0
2018-02-20,185.0,185.625,182.8,183.3,664612014.9
2018-02-21,184.3,185.9,181.25,184.25,1609943925.0
2018-02-22,183.675,183.675,180.325,181.6,3715721578.0
2018-02-23,181.5,184.7,181.25,184.2,956863728.3
2018-02-26,185.575,190.9,185.05,188.35,1308911340.0
2018-02-27,189.85,191.45,187.55,188.725,1478360166.0
2018-02-28,188.3,190.6,186.75,189.65,794669724.2
2018-03-01,189.5,191.375,188.825,190.75,1381146579.0
2018-03-05,192.0,192.4,188.55,189.625,2483390689.0
2018-03-06,190.75,196.4,190.1,191.1,3057881897.0
2018-03-07,191.325,192.225,189.4,189.7,2115829066.0
2018-03-08,191.475,192.375,188.8,191.05,1738827083.0
2018-03-09,191.725,193.25,190.3,192.75,2169679418.0
2018-03-12,194.75,201.525,193.75,200.325,5462021426.0
2018-03-13,201.0,206.45,201.0,203.925,7592902817.0
2018-03-14,204.0,205.45,196.875,197.525,6676676008.0
2018-03-15,191.0,193.25,189.25,192.05,5061810547.0
2018-03-16,192.5,192.5,183.5,184.75,3474247065.0
2018-03-19,184.7,184.7,176.0,177.9,3496282432.0
2018-03-20,177.2,177.7,172.6,173.85,2488061070.0
2018-03-21,174.4,177.3,170.5,172.45,2059625121.0
2018-03-22,173.95,173.95,169.5,170.1,1653957552.0
2018-03-23,165.0,169.7,165.0,168.85,1497007826.0
2018-03-26,168.0,169.0,164.35,167.2,2209697384.0
2018-03-27,169.9,175.75,168.8,174.85,1780913758.0
2018-03-28,173.45,178.55,171.75,176.6,3102489068.0
2018-04-02,177.9,178.5,169.7,170.45,2396627452.0
2018-04-03,171.9,174.6,171.75,174.15,1462804341.0
2018-04-04,174.9,174.9,170.15,171.15,988366899.3
2018-04-05,172.9,174.15,171.7,173.55,707926305.1
2018-04-06,176.0,176.75,173.6,174.25,1387971422.0
2018-04-09,175.0,180.95,174.6,179.8,2193592458.0
2018-04-10,181.3,181.3,177.0,179.3,920395290.3
2018-04-11,177.0,177.5,165.65,167.35,4782644593.0
2018-04-12,163.0,170.4,159.0,168.25,4721523765.0
2018-04-13,169.6,169.9,164.55,165.35,1909288861.0
2018-04-16,164.4,166.45,162.75,165.0,2089189970.0
2018-04-17,165.5,167.75,164.65,167.2,1396257022.0
2018-04-18,167.5,167.6,164.5,164.95,866034904.7
2018-04-19,161.0,161.95,157.0,157.95,2700566496.0
2018-04-20,157.6,161.0,156.75,160.1,1814644049.0
2018-04-23,161.5,163.9,160.3,161.7,1834911918.0
2018-04-24,161.05,164.4,160.0,163.05,1191856742.0
2018-04-25,163.05,165.2,159.7,160.6,1507075347.0
2018-04-26,160.9,161.9,158.25,161.15,1556507546.0
2018-04-27,161.9,163.7,160.25,162.9,1124300531.0
2018-04-30,164.9,164.9,161.0,162.3,744348162.9
2018-05-02,163.4,163.4,160.1,161.15,1182350848.0
2018-05-03,159.9,162.3,159.8,161.7,745593632.3
2018-05-04,161.9,162.5,159.8,161.5,784591736.7
2018-05-07,160.5,165.3,159.1,164.3,1195349756.0
2018-05-08,162.65,166.85,161.5,166.55,2004282621.0
2018-05-09,162.15,167.9,160.75,167.2,2219474417.0
2018-05-10,166.1,168.2,165.0,167.95,1365934009.0
2018-05-11,168.8,173.1,168.45,169.1,2550742274.0
2018-05-14,170.5,173.7,167.55,168.4,1873112388.0
2018-05-15,169.0,170.0,165.6,167.2,2458279217.0
2018-05-16,166.5,167.05,163.0,165.95,1393972844.0
2018-05-17,166.0,167.5,163.65,164.75,1644153482.0
2018-05-18,164.0,166.15,161.65,163.7,1664524490.0
2018-05-21,164.0,165.75,162.8,165.15,1047511569.0
2018-05-22,166.8,166.95,157.85,160.5,3063826758.0
2018-05-23,159.2,160.0,152.65,153.5,2220156982.0
2018-05-24,155.0,156.75,151.1,155.9,1910040929.0
2018-05-25,156.6,164.5,156.6,163.45,2673950829.0
2018-05-28,170.0,177.0,169.3,170.45,4099728394.0
2018-05-29,171.95,174.0,169.35,172.45,1877006064.0
2018-05-30,170.0,171.95,168.8,170.8,1360468106.0
2018-05-31,170.0,175.7,169.05,174.1,5702047692.0
2018-06-01,174.1,175.65,171.2,172.35,1270220374.0
2018-06-04,173.1,175.15,170.5,173.8,1127143390.0
2018-06-05,173.5,174.35,171.6,173.95,858121493.6
2018-06-06,173.2,175.4,172.05,174.9,635084999.3
2018-06-07,174.9,176.45,172.8,174.8,1486552438.0
2018-06-08,173.5,175.5,172.0,175.0,924114957.1
2018-06-11,173.75,176.5,172.7,173.1,1717097681.0
2018-06-12,174.0,175.8,173.0,174.15,1259774056.0
2018-06-13,174.7,175.5,172.9,175.1,866504106.3
2018-06-14,175.0,175.0,171.0,171.55,1202161894.0
2018-06-15,171.5,171.65,167.2,167.75,1847102315.0
2018-06-18,170.5,177.2,170.1,173.9,2528641001.0
2018-06-19,173.5,173.55,168.0,168.6,1592749385.0
2018-06-20,168.8,169.95,165.0,165.4,1483556108.0
2018-06-21,166.35,172.4,163.65,170.25,1671222482.0
2018-06-22,171.0,173.0,168.7,170.0,2247981068.0
2018-06-25,169.95,170.25,165.4,167.35,1516813552.0
2018-06-26,166.1,170.45,165.35,166.8,1657822445.0
2018-06-27,164.9,165.0,154.6,155.65,2236758056.0
2018-06-28,152.4,160.5,150.0,154.35,2617537784.0
2018-06-29,155.5,158.2,153.8,156.0,1352355856.0
2018-07-02,156.2,157.75,152.2,153.7,1317785463.0
2018-07-03,153.7,155.8,153.0,155.3,1261058342.0
2018-07-04,154.95,156.35,154.1,155.25,922315600.1
2018-07-05,153.65,157.3,153.65,155.0,1400290385.0
2018-07-06,156.2,159.9,155.95,156.7,1557867967.0
2018-07-09,156.95,158.8,156.55,157.3,656014572.3
2018-07-10,157.0,157.4,154.75,155.25,689447974.2
2018-07-11,156.0,156.4,151.2,154.55,1474188031.0
2018-07-12,160.5,164.0,156.25,156.85,3200457282.0
2018-07-13,160.0,160.35,155.75,159.1,2168736610.0
2018-07-16,158.95,160.0,157.05,157.5,934555336.6
