date,open,high,low,close,volume
2018-01-01,598.0,609.0,592.55,599.8,170050757.4
2018-01-02,600.0,600.0,585.0,587.55,72502907.9
2018-01-03,584.35,597.95,576.95,584.7,246752471.6
2018-01-04,584.7,587.0,571.5,580.15,92837847.8
2018-01-05,580.0,592.0,578.0,583.55,69801277.25
2018-01-08,581.0,601.3,581.0,586.35,72724167.5
2018-01-09,586.5,593.0,576.2,579.5,42905063.7
2018-01-10,580.0,589.0,574.5,579.6,32482678.9
2018-01-11,577.15,584.95,570.0,572.35,34253392.35
2018-01-12,574.95,577.6,557.1,560.95,33029717.75
2018-01-15,564.9,575.0,562.3,568.9,33509393.0
2018-01-16,571.5,585.0,567.0,574.15,82900925.8
2018-01-17,579.9,595.0,578.05,584.0,142871927.9
2018-01-18,585.35,588.0,575.0,584.75,51886740.0
2018-01-19,580.0,585.25,575.1,579.8,67222412.85
2018-01-22,583.0,593.25,570.25,588.35,111773957.9
2018-01-23,587.95,599.0,573.55,581.5,245201408.0
2018-01-24,583.0,588.5,575.25,579.7,44139693.35
2018-01-25,583.2,585.15,562.35,570.6,35205082.5
2018-01-29,567.0,577.0,552.05,563.7,53865533.65
2018-01-30,566.1,569.45,556.35,562.7,39486327.85
2018-01-31,564.8,589.0,560.0,574.5,99077195.5
2018-02-01,575.0,579.05,557.75,562.35,73573802.2
2018-02-02,569.5,570.95,540.0,561.9,89651433.4
2018-02-05,545.05,560.0,538.5,557.4,25628573.85
2018-02-06,518.05,570.0,518.05,555.1,67210990.8
2018-02-07,565.95,609.8,558.0,573.1,652388141.9
2018-02-08,579.5,604.0,579.0,593.35,641093457.7
2018-02-09,579.0,627.5,577.1,620.05,1173845122.0
2018-02-12,630.0,653.95,615.2,639.55,428348228.8
2018-02-14,646.5,649.95,633.0,639.55,646405878.4
2018-02-15,642.0,656.7,595.0,601.05,333900362.8
2018-02-16,606.45,632.0,605.65,626.5,192462121.5
2018-02-19,632.0,636.8,621.75,628.7,127925393.0
2018-02-20,630.1,637.7,622.2,629.4,110092897.9
2018-02-21,631.3,645.0,627.3,640.05,271058124.5
2018-02-22,642.0,676.9,638.05,661.45,508041721.8
2018-02-23,668.5,689.4,663.75,672.75,515539731.1
2018-02-26,672.0,684.0,657.25,676.35,293245682.4
2018-02-27,677.0,678.55,665.15,672.9,182636541.3
2018-02-28,673.0,674.85,665.55,672.85,106335529.8
2018-03-01,672.5,695.9,672.5,686.2,313275860.8
2018-03-05,682.5,691.7,675.0,685.25,157065255.0
2018-03-06,683.0,687.65,651.4,663.75,110854153.2
2018-03-07,658.0,688.0,653.4,672.65,248822895.9
2018-03-08,677.0,679.95,658.55,667.3,70918336.7
2018-03-09,668.1,686.0,666.7,679.8,260795990.7
2018-03-12,686.4,687.0,677.7,683.8,85556716.9
2018-03-13,675.0,690.05,670.1,676.85,203814243.5
2018-03-14,671.3,675.95,661.85,667.75,123335671.4
2018-03-15,667.85,683.0,660.0,671.1,68392442.05
2018-03-16,678.7,678.7,661.95,667.55,105778697.1
2018-03-19,671.95,672.5,632.5,657.9,196967204.7
2018-03-20,658.0,670.0,639.0,661.2,66043366.0
2018-03-21,661.55,669.25,661.55,664.85,46616234.2
2018-03-22,669.4,670.0,660.15,665.7,45721204.1
2018-03-23,652.65,666.0,652.65,662.65,46195730.35
2018-03-26,665.0,667.6,651.3,659.55,34994218.25
2018-03-27,663.0,672.0,654.05,663.35,58576467.6
2018-03-28,666.0,666.0,647.65,655.65,53997791.3
2018-04-02,656.1,672.0,656.1,665.05,41350530.7
2018-04-03,660.65,685.0,660.65,676.75,90485611.05
2018-04-04,685.0,692.95,666.6,671.95,174822856.1
2018-04-05,676.0,679.5,663.5,669.55,55337122.55
2018-04-06,672.0,680.8,666.6,673.2,63927839.35
2018-04-09,673.45,681.0,661.0,671.95,59236547.95
2018-04-10,684.7,689.8,675.95,681.8,158241735.1
2018-04-11,685.0,703.65,666.1,693.45,167554001.1
2018-04-12,697.8,719.0,692.85,710.9,426920257.8
2018-04-13,716.7,742.0,712.0,736.3,269599981.1
2018-04-16,733.7,737.85,701.7,709.05,184661477.6
2018-04-17,712.0,723.5,711.3,717.75,102443835.8
2018-04-18,717.0,717.0,700.3,709.7,121094616.6
2018-04-19,713.0,713.0,691.6,697.45,42517387.2
2018-04-20,696.0,702.0,683.0,699.85,89407779.9
2018-04-23,700.0,720.7,697.25,718.85,129025816.8
2018-04-24,719.9,741.0,719.9,734.7,247629958.3
2018-04-25,734.75,734.75,690.0,695.3,126921267.3
2018-04-26,696.65,724.0,696.65,719.45,88649723.7
2018-04-27,715.0,740.0,715.0,735.95,126731302.6
2018-04-30,737.1,760.0,737.1,751.7,128861211.0
2018-05-02,753.0,755.15,726.05,732.1,63043045.9
2018-05-03,731.95,736.65,718.0,728.6,44314559.4
2018-05-04,731.45,735.0,723.1,727.5,50755457.95
2018-05-07,725.0,749.0,717.0,723.55,53911502.25
2018-05-08,727.25,731.95,705.6,729.5,72943993.45
2018-05-09,725.0,730.15,710.0,714.8,29522123.3
2018-05-10,720.0,737.75,717.45,727.55,335980366.9
2018-05-11,727.55,729.55,717.1,722.65,31833384.35
2018-05-14,722.0,729.85,700.9,714.8,57049448.05
2018-05-15,717.95,717.95,693.0,707.75,75110422.35
2018-05-16,707.0,710.0,698.0,706.7,47363730.6
2018-05-17,705.55,706.75,696.6,700.7,41567319.9
2018-05-18,700.1,700.85,688.0,696.25,23470593.4
2018-05-21,696.5,699.25,629.55,667.0,154873538.0
2018-05-22,667.95,674.05,658.0,661.6,30511280.95
2018-05-23,660.1,682.7,660.1,667.35,41616253.3
2018-05-24,666.15,672.0,660.1,662.9,18222991.8
2018-05-25,662.3,673.5,662.3,670.3,52395735.0
2018-05-28,672.0,687.0,668.1,676.65,55717027.4
2018-05-29,679.0,696.7,666.4,689.3,537004645.1
2018-05-30,688.0,695.0,671.3,673.6,119132482.7
2018-05-31,675.0,683.05,669.6,670.4,61040326.6
2018-06-01,670.4,679.8,670.0,674.3,40902381.65
2018-06-04,668.25,679.0,663.05,667.35,60284729.55
2018-06-05,663.95,664.0,642.35,649.75,30677534.9
2018-06-06,645.0,654.45,631.0,639.3,59718297.45
2018-06-07,639.3,684.95,638.4,669.45,75429331.1
2018-06-08,670.15,702.0,669.8,688.5,189437354.3
2018-06-11,689.95,698.2,685.85,689.05,56103694.5
2018-06-12,685.1,717.1,670.0,679.0,480823795.2
2018-06-13,682.4,696.4,674.2,688.8,133791272.7
2018-06-14,692.65,698.25,681.05,686.7,66294001.55
2018-06-15,691.25,699.0,670.2,675.4,240302081.3
2018-06-18,679.25,684.0,670.0,672.75,24484152.05
2018-06-19,668.7,684.7,662.0,676.3,44161068.55
2018-06-20,677.15,679.1,670.0,672.3,17196993.9
2018-06-21,675.0,676.15,662.6,670.6,38218087.05
2018-06-22,670.85,674.5,655.1,657.95,33597484.45
2018-06-25,658.0,661.2,645.0,646.5,83756976.7
2018-06-26,646.1,673.85,634.0,668.45,69680218.05
2018-06-27,668.3,677.25,666.2,674.9,125429130.4
2018-06-28,675.05,692.9,669.95,685.7,144365285.1
2018-06-29,692.7,703.45,690.7,699.6,268657054.8
2018-07-02,698.9,700.0,681.75,691.5,41699936.3
2018-07-03,682.4,692.0,675.1,679.2,51090950.0
2018-07-04,671.0,733.35,671.0,717.6,254684635.6
2018-07-05,717.6,733.5,702.6,706.65,171348217.6
