date,open,high,low,close,volume
2018-01-01,263.25,266.3,261.25,262.3,2753929705.0
2018-01-02,262.6,264.2,260.45,260.75,1489465051.0
2018-01-03,261.3,262.65,260.6,261.15,2884992810.0
2018-01-04,260.95,262.75,260.6,261.55,2451729470.0
2018-01-05,261.9,263.5,261.9,262.9,2418177131.0
2018-01-08,264.0,266.8,263.25,265.6,3832243909.0
2018-01-09,265.5,272.0,264.75,270.55,6936322435.0
2018-01-10,273.45,274.0,269.05,269.4,4461163515.0
2018-01-11,269.5,271.0,268.1,269.8,3045589736.0
2018-01-12,270.25,271.35,266.15,267.55,2196889041.0
2018-01-15,268.0,271.1,267.0,267.6,2831776794.0
2018-01-16,268.2,268.7,260.8,261.7,3408816014.0
2018-01-17,262.0,267.0,259.55,266.05,4320376056.0
2018-01-18,268.0,275.25,266.65,273.4,7213332787.0
2018-01-19,276.0,277.5,271.1,274.55,7056517734.0
2018-01-22,275.0,275.5,271.7,273.65,2275255436.0
2018-01-23,274.0,277.25,273.55,276.6,5027638084.0
2018-01-24,276.65,282.0,276.05,281.45,4839854901.0
2018-01-25,281.0,283.2,278.6,281.25,3685305308.0
2018-01-29,281.15,283.3,275.0,275.65,2651569802.0
2018-01-30,275.0,276.45,271.95,275.2,3583061026.0
2018-01-31,273.9,276.0,269.85,271.4,5169900054.0
2018-02-01,272.0,290.3,267.4,275.3,16574119705.0
2018-02-02,274.4,285.65,270.8,275.35,9744734166.0
2018-02-05,273.55,281.7,271.85,279.25,5483539598.0
2018-02-06,269.95,277.3,268.15,273.5,4323856239.0
2018-02-07,278.0,278.75,274.0,275.15,3569741913.0
2018-02-08,275.7,276.9,272.65,274.1,2688180687.0
2018-02-09,271.0,272.5,267.8,271.35,3837643796.0
2018-02-12,272.45,273.85,269.3,269.85,1818221178.0
2018-02-14,270.0,271.0,265.1,266.5,3033030765.0
2018-02-15,266.5,269.9,264.8,268.1,3143812349.0
2018-02-16,269.85,270.75,265.6,266.45,1649122894.0
2018-02-19,266.0,267.8,262.5,264.1,1607283146.0
2018-02-20,264.0,265.8,262.15,263.25,2452224763.0
2018-02-21,264.0,268.95,263.45,268.2,2820630713.0
2018-02-22,267.2,269.0,265.45,267.1,5107418306.0
2018-02-23,267.45,270.0,266.1,269.05,1753964424.0
2018-02-26,268.55,269.5,266.0,266.55,2242452602.0
2018-02-27,268.0,268.2,265.5,266.4,1978195127.0
2018-02-28,265.0,266.3,263.05,265.05,3563094170.0
2018-03-01,264.2,266.1,262.85,264.0,2053119807.0
2018-03-05,263.3,263.3,260.0,260.25,1727887213.0
2018-03-06,261.05,262.4,255.5,256.5,2120638509.0
2018-03-07,256.5,260.5,253.55,259.9,3917190656.0
2018-03-08,260.3,261.9,257.75,258.85,1566403217.0
2018-03-09,259.0,260.9,258.25,259.25,1587753302.0
2018-03-12,264.0,270.85,262.95,270.1,5322454895.0
2018-03-13,269.65,272.0,267.2,269.45,2248200027.0
2018-03-14,268.05,269.05,265.3,268.05,2115613733.0
2018-03-15,267.0,269.9,265.2,265.55,1483957145.0
2018-03-16,266.4,266.4,258.85,260.5,5398824649.0
2018-03-19,260.55,262.2,258.3,259.15,3366708258.0
2018-03-20,258.15,259.95,257.5,259.2,1935947293.0
2018-03-21,260.05,261.65,258.7,259.05,3357903165.0
2018-03-22,260.0,261.45,257.85,258.3,2077311368.0
2018-03-23,256.0,258.8,254.75,256.0,2871948545.0
2018-03-26,252.9,260.0,252.5,258.1,3215969232.0
2018-03-27,258.8,260.5,256.9,258.9,2265522478.0
2018-03-28,258.0,258.95,254.35,255.5,3149842990.0
2018-04-02,257.0,258.95,255.45,258.25,1804685060.0
2018-04-03,258.0,260.0,257.5,258.5,1318555195.0
2018-04-04,259.5,259.8,257.1,258.6,2169907682.0
2018-04-05,255.5,260.0,255.5,259.65,2357197516.0
2018-04-06,260.5,262.0,260.05,260.85,1592218442.0
2018-04-09,261.15,266.6,260.9,265.8,2439369320.0
2018-04-10,266.35,268.7,265.1,266.7,3914986494.0
2018-04-11,266.9,267.55,263.4,265.15,1386296172.0
2018-04-12,265.1,265.15,261.4,261.95,1608254078.0
2018-04-13,263.0,263.5,260.0,260.75,1305660006.0
2018-04-16,260.5,264.9,260.0,264.45,1373910540.0
2018-04-17,265.4,268.4,262.7,267.6,3503727423.0
2018-04-18,268.7,278.9,268.0,275.35,6560787577.0
2018-04-19,277.25,280.0,275.25,277.35,3554398832.0
2018-04-20,276.0,279.25,273.5,276.2,2980473404.0
2018-04-23,276.0,277.2,275.0,275.5,3240374914.0
2018-04-24,276.0,278.85,274.65,276.0,2338520425.0
2018-04-25,275.5,276.3,272.7,274.1,1352940983.0
2018-04-26,274.55,279.1,273.0,278.25,5625453401.0
2018-04-27,279.6,280.95,278.4,279.4,2721312114.0
2018-04-30,279.6,283.85,279.6,281.45,1670011564.0
2018-05-02,282.1,288.7,280.25,287.25,4596679160.0
2018-05-03,287.5,289.7,283.05,285.0,2675443139.0
2018-05-04,287.0,287.0,275.85,277.15,3045326299.0
2018-05-07,278.3,283.4,276.9,282.25,1817302907.0
2018-05-08,283.15,285.95,282.0,282.7,1868021838.0
2018-05-09,281.5,284.0,281.5,282.3,1192478708.0
2018-05-10,282.95,283.95,277.3,280.15,1586690352.0
2018-05-11,281.9,284.0,279.75,283.65,1096317364.0
2018-05-14,283.0,287.3,282.0,284.8,1850239955.0
2018-05-15,284.85,286.0,280.7,281.85,2199354526.0
2018-05-16,279.95,288.8,279.55,285.85,5135904587.0
2018-05-17,288.0,288.7,278.45,278.95,3040885606.0
2018-05-18,278.55,285.55,276.0,282.3,4349026700.0
2018-05-21,282.3,284.0,278.5,282.35,2418801617.0
2018-05-22,282.0,283.1,278.05,278.75,1324981606.0
2018-05-23,279.0,279.4,272.95,273.45,2171990568.0
2018-05-24,274.0,276.8,271.75,274.85,1725925597.0
2018-05-25,272.4,275.0,268.75,272.3,2515934420.0
2018-05-28,274.0,277.5,272.4,275.3,1930318874.0
2018-05-29,274.8,277.75,272.45,274.05,2436422865.0
2018-05-30,272.5,273.7,270.65,271.9,2173455928.0
2018-05-31,272.2,272.7,269.6,271.65,3586093412.0
2018-06-01,271.15,271.7,269.1,269.95,1785207851.0
2018-06-04,270.25,271.95,267.5,268.9,2156246192.0
2018-06-05,269.0,269.85,266.85,267.5,1552061333.0
2018-06-06,268.0,271.15,267.8,270.4,1965367223.0
2018-06-07,270.5,272.3,270.1,271.05,1843676633.0
2018-06-08,271.1,271.5,267.0,267.9,1818450858.0
2018-06-11,268.5,271.9,268.15,269.25,2317817511.0
2018-06-12,269.3,274.6,269.25,270.25,2297436671.0
2018-06-13,271.5,271.8,267.2,267.85,2107217175.0
2018-06-14,266.5,268.9,266.0,267.25,2450664491.0
2018-06-15,267.5,267.75,263.6,264.5,2863346627.0
2018-06-18,264.45,265.5,263.5,264.55,1661479287.0
2018-06-19,264.9,267.15,262.65,266.05,1944780782.0
2018-06-20,266.45,267.0,263.05,263.75,2518752937.0
2018-06-21,264.4,264.8,260.4,260.85,1868092353.0
2018-06-22,260.55,266.8,260.0,265.15,4454464652.0
2018-06-25,265.15,265.4,259.75,262.6,3567288274.0
2018-06-26,262.45,266.15,262.15,264.8,2673701965.0
2018-06-27,264.9,265.0,261.5,262.75,2634235336.0
2018-06-28,262.0,264.0,259.0,260.5,3831690350.0
2018-06-29,261.8,267.55,260.3,266.2,2886746264.0
2018-07-02,267.0,267.1,260.05,263.05,4753008643.0
2018-07-03,263.5,266.75,261.15,265.45,2738004735.0
2018-07-04,266.3,266.3,262.2,264.4,2078269662.0
2018-07-05,264.6,273.8,263.5,272.5,4180774337.0
2018-07-06,272.75,274.75,270.15,272.65,3525493584.0
2018-07-09,275.0,276.0,272.2,274.4,2682199666.0
2018-07-10,275.5,277.5,273.1,277.05,3163705622.0
2018-07-11,276.85,280.3,273.75,275.75,3155825718.0
2018-07-12,275.75,278.15,273.3,277.2,2734309896.0
2018-07-13,278.0,278.3,269.2,270.4,5049733675.0
2018-07-16,270.3,273.3,269.7,271.6,2793174902.0
2018-07-17,271.05,273.0,269.3,269.85,2716395360.0
2018-07-18,271.1,271.3,267.6,268.55,1898492449.0
2018-07-19,268.9,274.6,266.25,273.3,2427206252.0
2018-07-20,273.25,274.8,270.65,274.0,1796403276.0
2018-07-23,279.5,286.65,277.15,284.15,7388650088.0
2018-07-24,284.5,287.0,283.55,285.65,3456265377.0
2018-07-25,284.25,286.95,283.2,286.15,3799528112.0
2018-07-26,287.0,291.15,284.2,287.2,5963255934.0
2018-07-27,300.0,307.15,295.0,302.55,22864073328.0
2018-07-30,302.0,303.6,300.0,301.05,5150420660.0
2018-07-31,300.75,301.35,295.55,297.7,4338336293.0
2018-08-01,298.05,302.95,296.1,301.6,4374895521.0
2018-08-02,300.5,303.5,297.3,299.2,2959824678.0
2018-08-03,300.0,305.4,298.15,303.95,3768823077.0
2018-08-06,305.0,306.9,300.0,301.8,2330455822.0
2018-08-07,302.95,304.2,299.75,301.1,2169409211.0
2018-08-08,300.25,302.4,300.0,300.95,1939564374.0
2018-08-09,301.75,304.6,300.05,302.5,2789688719.0
2018-08-10,302.0,306.9,301.15,304.8,4501013700.0
2018-08-13,304.0,307.8,303.15,305.95,3046149287.0
2018-08-14,307.0,310.2,306.85,307.9,3800132941.0
2018-08-16,307.9,308.5,305.1,307.45,5732496214.0
2018-08-17,307.8,315.3,307.8,313.75,7958925725.0
2018-08-20,314.2,315.0,311.3,313.3,6023336204.0
2018-08-21,314.5,317.0,312.0,312.9,4274087159.0
2018-08-23,314.0,316.4,307.35,312.0,3529134270.0
2018-08-24,311.0,312.0,307.0,310.4,1686293626.0
2018-08-27,311.2,314.85,310.5,313.4,1655286147.0
2018-08-28,314.0,315.8,311.0,311.65,2067419428.0
2018-08-29,311.7,315.45,310.0,312.8,3230124249.0
2018-08-30,313.5,320.6,313.5,319.85,7951028429.0
2018-08-31,322.0,322.6,317.2,319.85,5796783130.0
2018-09-03,322.95,322.95,311.05,313.2,2904372851.0
2018-09-04,312.0,312.2,307.0,309.6,3451555524.0
2018-09-05,310.4,314.45,309.25,310.25,3156622499.0
2018-09-06,311.4,311.75,308.05,310.8,2360540353.0
2018-09-07,311.6,313.2,308.1,310.45,2235737172.0
2018-09-10,310.2,310.75,305.55,306.55,2957817198.0
2018-09-11,306.65,306.75,295.55,297.2,7751563041.0
2018-09-12,297.75,307.6,295.4,306.8,5893496998.0
2018-09-14,307.0,308.65,305.05,307.15,3931940129.0
2018-09-17,305.0,306.1,301.5,302.0,1766733344.0
2018-09-18,302.2,304.9,299.3,303.25,2480102395.0
2018-09-19,304.5,305.65,298.0,299.65,1858304845.0
2018-09-21,300.4,306.6,300.4,303.95,4963613173.0
2018-09-24,305.0,306.35,292.5,297.95,4330297146.0
2018-09-25,296.9,302.35,292.35,301.15,3954284882.0
2018-09-26,303.0,303.0,289.75,293.15,5847014818.0
